日期,市,省,比例
2020-01-01,苏州,江苏,0.2427
2020-01-01,嘉兴,浙江,0.0603
2020-01-01,南通,江苏,0.051699999999999996
2020-01-01,杭州,浙江,0.0481
2020-01-01,无锡,江苏,0.0355
2020-01-01,南京,江苏,0.0239
2020-01-01,宁波,浙江,0.0236
2020-01-01,北京,北京,0.022000000000000002
2020-01-01,盐城,江苏,0.0206
2020-01-01,常州,江苏,0.0182
2020-01-01,合肥,安徽,0.0158
2020-01-01,泰州,江苏,0.0144
2020-01-01,湖州,浙江,0.0126
2020-01-01,绍兴,浙江,0.0125
2020-01-01,舟山,浙江,0.0116
2020-01-01,扬州,江苏,0.0104
2020-01-01,金华,浙江,0.0098
2020-01-01,温州,浙江,0.009399999999999999
2020-01-01,广州,广东,0.009300000000000001
2020-01-01,徐州,江苏,0.0086
2020-01-01,深圳,广东,0.008
2020-01-01,武汉,湖北,0.0078000000000000005
2020-01-01,镇江,江苏,0.0077
2020-01-01,阜阳,安徽,0.0076
2020-01-01,宣城,安徽,0.0074
2020-01-01,芜湖,安徽,0.0074
2020-01-01,台州,浙江,0.0073
2020-01-01,成都,四川,0.0070999999999999995
2020-01-01,重庆,重庆,0.006999999999999999
2020-01-01,郑州,河南,0.0067
2020-01-01,宿迁,江苏,0.0064
2020-01-01,淮安,江苏,0.0064
2020-01-01,六安,安徽,0.0064
2020-01-01,滁州,安徽,0.0058
2020-01-01,西安,陕西,0.005699999999999999
2020-01-01,天津,天津,0.0055000000000000005
2020-01-01,蚌埠,安徽,0.0054
2020-01-01,淮南,安徽,0.0054
2020-01-01,厦门,福建,0.0051
2020-01-01,上饶,江西,0.0049
2020-01-01,临沂,山东,0.004699999999999999
2020-01-01,南昌,江西,0.004699999999999999
2020-01-01,青岛,山东,0.004699999999999999
2020-01-01,长沙,湖南,0.0046
2020-01-01,连云港,江苏,0.0044
2020-01-01,宿州,安徽,0.0040999999999999995
2020-01-01,亳州,安徽,0.0040999999999999995
2020-01-01,信阳,河南,0.004
2020-01-01,安庆,安徽,0.0036
2020-01-01,福州,福建,0.0034999999999999996
2020-01-02,苏州,江苏,0.15289999999999998
2020-01-02,南通,江苏,0.0518
2020-01-02,杭州,浙江,0.0452
2020-01-02,嘉兴,浙江,0.038900000000000004
2020-01-02,无锡,江苏,0.035
2020-01-02,北京,北京,0.0296
2020-01-02,南京,江苏,0.0269
2020-01-02,宁波,浙江,0.0256
2020-01-02,盐城,江苏,0.022400000000000003
2020-01-02,合肥,安徽,0.0204
2020-01-02,常州,江苏,0.018799999999999997
2020-01-02,泰州,江苏,0.0166
2020-01-02,绍兴,浙江,0.0149
2020-01-02,湖州,浙江,0.012
2020-01-02,扬州,江苏,0.011699999999999999
2020-01-02,温州,浙江,0.0113
2020-01-02,深圳,广东,0.0113
2020-01-02,广州,广东,0.0105
2020-01-02,金华,浙江,0.0103
2020-01-02,武汉,湖北,0.0102
2020-01-02,郑州,河南,0.0098
2020-01-02,成都,四川,0.0096
2020-01-02,台州,浙江,0.009300000000000001
2020-01-02,芜湖,安徽,0.0092
2020-01-02,徐州,江苏,0.009000000000000001
2020-01-02,舟山,浙江,0.0089
2020-01-02,镇江,江苏,0.0086
2020-01-02,重庆,重庆,0.0084
2020-01-02,淮安,江苏,0.0083
2020-01-02,六安,安徽,0.008199999999999999
2020-01-02,青岛,山东,0.008199999999999999
2020-01-02,阜阳,安徽,0.0078000000000000005
2020-01-02,西安,陕西,0.0077
2020-01-02,天津,天津,0.0076
2020-01-02,宣城,安徽,0.0075
2020-01-02,滁州,安徽,0.0072
2020-01-02,临沂,山东,0.006999999999999999
2020-01-02,南昌,江西,0.006999999999999999
2020-01-02,宿迁,江苏,0.0067
2020-01-02,蚌埠,安徽,0.0059
2020-01-02,淮南,安徽,0.0059
2020-01-02,长沙,湖南,0.0053
2020-01-02,连云港,江苏,0.0052
2020-01-02,济南,山东,0.0052
2020-01-02,上饶,江西,0.0051
2020-01-02,福州,福建,0.0051
2020-01-02,厦门,福建,0.004699999999999999
2020-01-02,沈阳,辽宁,0.0045000000000000005
2020-01-02,宿州,安徽,0.0045000000000000005
2020-01-02,大连,辽宁,0.0044
2020-01-03,苏州,江苏,0.1997
2020-01-03,杭州,浙江,0.0572
2020-01-03,嘉兴,浙江,0.0506
2020-01-03,南通,江苏,0.0504
2020-01-03,无锡,江苏,0.0347
2020-01-03,南京,江苏,0.0317
2020-01-03,北京,北京,0.0285
2020-01-03,宁波,浙江,0.028399999999999998
2020-01-03,盐城,江苏,0.018799999999999997
2020-01-03,合肥,安徽,0.0182
2020-01-03,常州,江苏,0.0181
2020-01-03,泰州,江苏,0.013999999999999999
2020-01-03,绍兴,浙江,0.0137
2020-01-03,湖州,浙江,0.011699999999999999
2020-01-03,舟山,浙江,0.0111
2020-01-03,温州,浙江,0.010700000000000001
2020-01-03,金华,浙江,0.0106
2020-01-03,扬州,江苏,0.0102
2020-01-03,深圳,广东,0.0098
2020-01-03,武汉,湖北,0.009300000000000001
2020-01-03,郑州,河南,0.0091
2020-01-03,青岛,山东,0.009000000000000001
2020-01-03,台州,浙江,0.009000000000000001
2020-01-03,广州,广东,0.009000000000000001
2020-01-03,镇江,江苏,0.0084
2020-01-03,芜湖,安徽,0.0084
2020-01-03,成都,四川,0.0076
2020-01-03,徐州,江苏,0.0076
2020-01-03,天津,天津,0.0070999999999999995
2020-01-03,重庆,重庆,0.006999999999999999
2020-01-03,南昌,江西,0.0064
2020-01-03,淮安,江苏,0.0064
2020-01-03,宣城,安徽,0.0064
2020-01-03,西安,陕西,0.0063
2020-01-03,六安,安徽,0.005699999999999999
2020-01-03,阜阳,安徽,0.005699999999999999
2020-01-03,济南,山东,0.005699999999999999
2020-01-03,滁州,安徽,0.0053
2020-01-03,宿迁,江苏,0.0052
2020-01-03,长沙,湖南,0.0051
2020-01-03,大连,辽宁,0.005
2020-01-03,沈阳,辽宁,0.004699999999999999
2020-01-03,临沂,山东,0.004699999999999999
2020-01-03,福州,福建,0.004699999999999999
2020-01-03,蚌埠,安徽,0.0046
2020-01-03,淮南,安徽,0.0045000000000000005
2020-01-03,烟台,山东,0.0040999999999999995
2020-01-03,厦门,福建,0.004
2020-01-03,连云港,江苏,0.0039000000000000003
2020-01-03,上饶,江西,0.0039000000000000003
2020-01-04,苏州,江苏,0.2084
2020-01-04,嘉兴,浙江,0.054000000000000006
2020-01-04,杭州,浙江,0.054000000000000006
2020-01-04,南通,江苏,0.051500000000000004
2020-01-04,无锡,江苏,0.0344
2020-01-04,南京,江苏,0.0281
2020-01-04,北京,北京,0.0268
2020-01-04,宁波,浙江,0.0252
2020-01-04,常州,江苏,0.0183
2020-01-04,盐城,江苏,0.0179
2020-01-04,合肥,安徽,0.0172
2020-01-04,湖州,浙江,0.0141
2020-01-04,泰州,江苏,0.0137
2020-01-04,绍兴,浙江,0.0128
2020-01-04,深圳,广东,0.010700000000000001
2020-01-04,舟山,浙江,0.0105
2020-01-04,金华,浙江,0.0103
2020-01-04,广州,广东,0.0102
2020-01-04,扬州,江苏,0.0097
2020-01-04,温州,浙江,0.0097
2020-01-04,武汉,湖北,0.009000000000000001
2020-01-04,台州,浙江,0.0087
2020-01-04,郑州,河南,0.008199999999999999
2020-01-04,天津,天津,0.008
2020-01-04,芜湖,安徽,0.0079
2020-01-04,镇江,江苏,0.0078000000000000005
2020-01-04,成都,四川,0.0078000000000000005
2020-01-04,徐州,江苏,0.0077
2020-01-04,重庆,重庆,0.0075
2020-01-04,西安,陕西,0.0069
2020-01-04,淮安,江苏,0.0067
2020-01-04,青岛,山东,0.0063
2020-01-04,宣城,安徽,0.0063
2020-01-04,南昌,江西,0.0058
2020-01-04,宿迁,江苏,0.0055000000000000005
2020-01-04,长沙,湖南,0.0055000000000000005
2020-01-04,阜阳,安徽,0.0055000000000000005
