日期,市,省,比例
2020-01-01,苏州,江苏,0.2158
2020-01-01,嘉兴,浙江,0.0622
2020-01-01,南通,江苏,0.0487
2020-01-01,杭州,浙江,0.048
2020-01-01,无锡,江苏,0.0338
2020-01-01,南京,江苏,0.0231
2020-01-01,宁波,浙江,0.0207
2020-01-01,北京,北京,0.0193
2020-01-01,盐城,江苏,0.019
2020-01-01,常州,江苏,0.016399999999999998
2020-01-01,合肥,安徽,0.0156
2020-01-01,绍兴,浙江,0.0145
2020-01-01,泰州,江苏,0.0126
2020-01-01,湖州,浙江,0.0122
2020-01-01,舟山,浙江,0.011
2020-01-01,重庆,重庆,0.0106
2020-01-01,阜阳,安徽,0.01
2020-01-01,扬州,江苏,0.0097
2020-01-01,芜湖,安徽,0.0084
2020-01-01,温州,浙江,0.0083
2020-01-01,金华,浙江,0.0083
2020-01-01,广州,广东,0.008199999999999999
2020-01-01,深圳,广东,0.0079
2020-01-01,成都,四川,0.0077
2020-01-01,六安,安徽,0.0075
2020-01-01,镇江,江苏,0.0074
2020-01-01,武汉,湖北,0.0074
2020-01-01,宣城,安徽,0.0069
2020-01-01,台州,浙江,0.0069
2020-01-01,周口,河南,0.006500000000000001
2020-01-01,淮南,安徽,0.006500000000000001
2020-01-01,滁州,安徽,0.006500000000000001
2020-01-01,徐州,江苏,0.0063
2020-01-01,淮安,江苏,0.0063
2020-01-01,商丘,河南,0.006
2020-01-01,宿迁,江苏,0.0058
2020-01-01,安庆,安徽,0.005600000000000001
2020-01-01,蚌埠,安徽,0.005600000000000001
2020-01-01,郑州,河南,0.005600000000000001
2020-01-01,亳州,安徽,0.0055000000000000005
2020-01-01,宿州,安徽,0.0052
2020-01-01,信阳,河南,0.0051
2020-01-01,西安,陕西,0.0049
2020-01-01,上饶,江西,0.004699999999999999
2020-01-01,南昌,江西,0.0046
2020-01-01,长沙,湖南,0.0046
2020-01-01,临沂,山东,0.0042
2020-01-01,厦门,福建,0.0041
2020-01-01,天津,天津,0.0039
2020-01-01,福州,福建,0.0038
2020-01-01,青岛,山东,0.0036
2020-01-01,驻马店,河南,0.0036
2020-01-01,连云港,江苏,0.0035
2020-01-01,哈尔滨,黑龙江,0.0033
2020-01-01,昆明,云南,0.0032
2020-01-01,黄冈,湖北,0.003
2020-01-01,沈阳,辽宁,0.0028000000000000004
2020-01-01,抚州,江西,0.0028000000000000004
2020-01-01,济南,山东,0.0028000000000000004
2020-01-01,三亚,海南,0.0027
2020-01-01,菏泽,山东,0.0027
2020-01-01,南阳,河南,0.0027
2020-01-01,马鞍山,安徽,0.0026
2020-01-01,大连,辽宁,0.0025
2020-01-01,池州,安徽,0.0025
2020-01-01,黄山,安徽,0.0025
2020-01-01,贵阳,贵州,0.0023
2020-01-01,宁德,福建,0.0023
2020-01-01,九江,江西,0.0023
2020-01-01,长春,吉林,0.0023
2020-01-01,洛阳,河南,0.0021
2020-01-01,宜春,江西,0.0021
2020-01-01,衢州,浙江,0.002
2020-01-01,济宁,山东,0.002
2020-01-01,枣庄,山东,0.0019
2020-01-01,淮北,安徽,0.0018
2020-01-01,天水,甘肃,0.0017
2020-01-01,铜陵,安徽,0.0017
2020-01-01,泉州,福建,0.0017
2020-01-01,南平,福建,0.0017
2020-01-01,石家庄,河北,0.0017
2020-01-01,丽水,浙江,0.0016
2020-01-01,赣州,江西,0.0016
2020-01-01,太原,山西,0.0016
2020-01-01,南宁,广西,0.0015
2020-01-01,巴中,四川,0.0015
2020-01-01,东莞,广东,0.0015
2020-01-01,佛山,广东,0.0015
2020-01-01,绵阳,四川,0.0014000000000000002
2020-01-01,潍坊,山东,0.0014000000000000002
2020-01-01,景德镇,江西,0.0014000000000000002
2020-01-01,兰州,甘肃,0.0014000000000000002
2020-01-01,襄阳,湖北,0.0014000000000000002
2020-01-01,烟台,山东,0.0014000000000000002
2020-01-01,许昌,河南,0.0013
2020-01-01,开封,河南,0.0013
2020-01-01,运城,山西,0.0013
2020-01-01,遵义,贵州,0.0013
2020-01-01,吉安,江西,0.0012
2020-01-01,珠海,广东,0.0012
2020-01-02,苏州,江苏,0.1153
2020-01-02,南通,江苏,0.0466
2020-01-02,杭州,浙江,0.042
2020-01-02,嘉兴,浙江,0.0384
2020-01-02,无锡,江苏,0.0287
2020-01-02,北京,北京,0.026
2020-01-02,南京,江苏,0.0246
2020-01-02,宁波,浙江,0.0237
2020-01-02,盐城,江苏,0.0189
2020-01-02,常州,江苏,0.0167
2020-01-02,合肥,安徽,0.0165
2020-01-02,重庆,重庆,0.0148
2020-01-02,湖州,浙江,0.0137
2020-01-02,阜阳,安徽,0.0126
2020-01-02,绍兴,浙江,0.0125
2020-01-02,泰州,江苏,0.0121
2020-01-02,深圳,广东,0.0108
2020-01-02,广州,广东,0.0103
2020-01-02,扬州,江苏,0.0099
2020-01-02,成都,四川,0.0098
2020-01-02,金华,浙江,0.0097
2020-01-02,温州,浙江,0.0095
2020-01-02,芜湖,安徽,0.0092
2020-01-02,舟山,浙江,0.0089
2020-01-02,周口,河南,0.0084
2020-01-02,徐州,江苏,0.0083
2020-01-02,武汉,湖北,0.008199999999999999
2020-01-02,商丘,河南,0.008
2020-01-02,宣城,安徽,0.0079
2020-01-02,六安,安徽,0.0076
2020-01-02,淮南,安徽,0.0076
2020-01-02,台州,浙江,0.0075
2020-01-02,信阳,河南,0.0075
2020-01-02,亳州,安徽,0.0074
2020-01-02,安庆,安徽,0.0073
2020-01-02,镇江,江苏,0.006999999999999999
2020-01-02,西安,陕西,0.006999999999999999
2020-01-02,郑州,河南,0.0069
2020-01-02,淮安,江苏,0.0067
2020-01-02,滁州,安徽,0.0064
2020-01-02,宿迁,江苏,0.0064
2020-01-02,蚌埠,安徽,0.0063
2020-01-02,宿州,安徽,0.0062
2020-01-02,南昌,江西,0.0059
2020-01-02,厦门,福建,0.0059
2020-01-02,天津,天津,0.0055000000000000005
2020-01-02,上饶,江西,0.0055000000000000005
2020-01-02,青岛,山东,0.0053
2020-01-02,驻马店,河南,0.0052
2020-01-02,临沂,山东,0.0051
2020-01-02,哈尔滨,黑龙江,0.005
2020-01-02,长沙,湖南,0.005
2020-01-02,三亚,海南,0.004699999999999999
2020-01-02,连云港,江苏,0.0045000000000000005
2020-01-02,菏泽,山东,0.0043
2020-01-02,南阳,河南,0.0042
2020-01-02,福州,福建,0.0041
2020-01-02,昆明,云南,0.0041
2020-01-02,抚州,江西,0.0038
2020-01-02,黄冈,湖北,0.0037
2020-01-02,济南,山东,0.0036
2020-01-02,宜春,江西,0.0036
2020-01-02,洛阳,河南,0.0032
2020-01-02,马鞍山,安徽,0.0031
2020-01-02,池州,安徽,0.0031
2020-01-02,沈阳,辽宁,0.0031
2020-01-02,九江,江西,0.0031
2020-01-02,贵阳,贵州,0.003
2020-01-02,天水,甘肃,0.0029
2020-01-02,黄山,安徽,0.0028000000000000004
2020-01-02,长春,吉林,0.0027
2020-01-02,淮北,安徽,0.0027
2020-01-02,大连,辽宁,0.0026
2020-01-02,济宁,山东,0.0025
2020-01-02,东莞,广东,0.0025
2020-01-02,遵义,贵州,0.0025
2020-01-02,衢州,浙江,0.0024
2020-01-02,南宁,广西,0.0024
2020-01-02,宁德,福建,0.0023
2020-01-02,烟台,山东,0.0023
2020-01-02,南平,福建,0.0023
2020-01-02,巴中,四川,0.0023
2020-01-02,太原,山西,0.0022
2020-01-02,绵阳,四川,0.0022
2020-01-02,泉州,福建,0.0022
2020-01-02,枣庄,山东,0.0022
2020-01-02,南充,四川,0.0021
2020-01-02,佛山,广东,0.002
2020-01-02,海口,海南,0.002
2020-01-02,铜陵,安徽,0.002
2020-01-02,赣州,江西,0.002
2020-01-02,运城,山西,0.0019
2020-01-02,开封,河南,0.0019
2020-01-02,景德镇,江西,0.0019
2020-01-02,丽水,浙江,0.0019
2020-01-02,石家庄,河北,0.0018
2020-01-02,潍坊,山东,0.0018
2020-01-02,许昌,河南,0.0018
2020-01-02,襄阳,湖北,0.0017
2020-01-02,珠海,广东,0.0016
2020-01-03,苏州,江苏,0.2136
2020-01-03,南通,江苏,0.0555
2020-01-03,杭州,浙江,0.0507
2020-01-03,嘉兴,浙江,0.0478
2020-01-03,无锡,江苏,0.0386
2020-01-03,南京,江苏,0.0286
2020-01-03,宁波,浙江,0.0236
2020-01-03,常州,江苏,0.0205
2020-01-03,北京,北京,0.0202
2020-01-03,湖州,浙江,0.0178
2020-01-03,盐城,江苏,0.0171
2020-01-03,合肥,安徽,0.0147
2020-01-03,泰州,江苏,0.0136
2020-01-03,绍兴,浙江,0.0134
2020-01-03,重庆,重庆,0.0102
2020-01-03,扬州,江苏,0.0101
2020-01-03,舟山,浙江,0.0098
2020-01-03,金华,浙江,0.0093
2020-01-03,阜阳,安徽,0.0086
2020-01-03,镇江,江苏,0.008100000000000001
2020-01-03,深圳,广东,0.0079
2020-01-03,芜湖,安徽,0.0075
2020-01-03,宣城,安徽,0.0072
2020-01-03,广州,广东,0.006999999999999999
2020-01-03,武汉,湖北,0.0069
2020-01-03,成都,四川,0.0068000000000000005
2020-01-03,温州,浙江,0.0066
2020-01-03,徐州,江苏,0.006500000000000001
2020-01-03,周口,河南,0.0061
2020-01-03,滁州,安徽,0.0061
2020-01-03,台州,浙江,0.0059
2020-01-03,六安,安徽,0.005600000000000001
2020-01-03,郑州,河南,0.0055000000000000005
2020-01-03,亳州,安徽,0.0053
2020-01-03,淮安,江苏,0.0053
2020-01-03,淮南,安徽,0.0052
2020-01-03,安庆,安徽,0.0051
2020-01-03,蚌埠,安徽,0.0051
