日期,市,省,比例
2020-01-01,毕节,贵州,0.0946
2020-01-01,凉山彝族自治州,四川,0.08990000000000001
2020-01-01,宜宾,四川,0.0692
2020-01-01,六盘水,贵州,0.0653
2020-01-01,重庆,重庆,0.0524
2020-01-01,成都,四川,0.0416
2020-01-01,百色,广西,0.0334
2020-01-01,黔西南布依族苗族自治州,贵州,0.0331
2020-01-01,贵阳,贵州,0.0297
2020-01-01,攀枝花,四川,0.0252
2020-01-01,北京,北京,0.0189
2020-01-01,上海,上海,0.0165
2020-01-01,泸州,四川,0.015600000000000001
2020-01-01,广州,广东,0.0144
2020-01-01,南宁,广西,0.0123
2020-01-01,深圳,广东,0.0118
2020-01-01,安顺,贵州,0.0101
2020-01-01,西安,陕西,0.0092
2020-01-01,长沙,湖南,0.0085
2020-01-01,郑州,河南,0.0083
2020-01-01,杭州,浙江,0.008
2020-01-01,遵义,贵州,0.0079
2020-01-01,武汉,湖北,0.0076
2020-01-01,东莞,广东,0.0062
2020-01-01,自贡,四川,0.006
2020-01-01,内江,四川,0.0058
2020-01-01,佛山,广东,0.005699999999999999
2020-01-01,南充,四川,0.004699999999999999
2020-01-01,乐山,四川,0.0046
2020-01-01,南京,江苏,0.0045000000000000005
2020-01-01,黔南布依族苗族自治州,贵州,0.0044
2020-01-01,厦门,福建,0.0043
2020-01-01,苏州,江苏,0.0043
2020-01-01,广安,四川,0.0040999999999999995
2020-01-01,天津,天津,0.004
2020-01-01,甘孜藏族自治州,四川,0.0037
2020-01-01,惠州,广东,0.0036
2020-01-01,温州,浙江,0.0034999999999999996
2020-01-01,邵阳,湖南,0.0034000000000000002
2020-01-01,黔东南苗族侗族自治州,贵州,0.0033
2020-01-01,北海,广西,0.0032
2020-01-01,桂林,广西,0.0031
2020-01-01,福州,福建,0.0031
2020-01-01,金华,浙江,0.003
2020-01-01,哈尔滨,黑龙江,0.003
2020-01-01,兰州,甘肃,0.0029
2020-01-01,济南,山东,0.0028000000000000004
2020-01-01,铜仁,贵州,0.0028000000000000004
2020-01-01,南昌,江西,0.0028000000000000004
2020-01-01,绵阳,四川,0.0028000000000000004
