日期,市,省,比例
2020-01-01,哈尔滨,黑龙江,0.1421
2020-01-01,沈阳,辽宁,0.0892
2020-01-01,北京,北京,0.0682
2020-01-01,铁岭,辽宁,0.0563
2020-01-01,通辽,内蒙古,0.0543
2020-01-01,兴安盟,内蒙古,0.0452
2020-01-01,大连,辽宁,0.0394
2020-01-01,大庆,黑龙江,0.0311
2020-01-01,天津,天津,0.031
2020-01-01,青岛,山东,0.0188
2020-01-01,齐齐哈尔,黑龙江,0.0186
2020-01-01,抚顺,辽宁,0.0179
2020-01-01,上海,上海,0.0179
2020-01-01,绥化,黑龙江,0.016200000000000003
2020-01-01,牡丹江,黑龙江,0.0142
2020-01-01,廊坊,河北,0.0098
2020-01-01,鞍山,辽宁,0.0091
2020-01-01,唐山,河北,0.0089
2020-01-01,营口,辽宁,0.0086
2020-01-01,丹东,辽宁,0.008199999999999999
2020-01-01,潍坊,山东,0.008100000000000001
2020-01-01,杭州,浙江,0.0075
2020-01-01,呼伦贝尔,内蒙古,0.0074
2020-01-01,广州,广东,0.0073
2020-01-01,锦州,辽宁,0.0073
2020-01-01,苏州,江苏,0.0069
2020-01-01,济南,山东,0.0068000000000000005
2020-01-01,深圳,广东,0.0067
2020-01-01,赤峰,内蒙古,0.0061
2020-01-01,成都,四川,0.006
2020-01-01,秦皇岛,河北,0.0058
2020-01-01,葫芦岛,辽宁,0.005699999999999999
2020-01-01,西安,陕西,0.005600000000000001
2020-01-01,沧州,河北,0.005600000000000001
2020-01-01,本溪,辽宁,0.0055000000000000005
2020-01-01,威海,山东,0.0054
2020-01-01,盘锦,辽宁,0.0053
2020-01-01,石家庄,河北,0.0053
2020-01-01,三亚,海南,0.0052
2020-01-01,南京,江苏,0.005
2020-01-01,郑州,河南,0.004699999999999999
2020-01-01,辽阳,辽宁,0.0043
2020-01-01,宁波,浙江,0.0041
2020-01-01,烟台,山东,0.004
2020-01-01,保定,河北,0.0039
2020-01-01,临沂,山东,0.0036
2020-01-01,阜新,辽宁,0.0036
2020-01-01,武汉,湖北,0.0035
2020-01-01,金华,浙江,0.0034
2020-01-01,重庆,重庆,0.0033
2020-01-02,哈尔滨,黑龙江,0.1152
2020-01-02,沈阳,辽宁,0.0934
2020-01-02,北京,北京,0.0753
2020-01-02,大连,辽宁,0.047699999999999985
2020-01-02,天津,天津,0.0371
2020-01-02,铁岭,辽宁,0.0335
2020-01-02,通辽,内蒙古,0.0311
2020-01-02,兴安盟,内蒙古,0.0286
2020-01-02,大庆,黑龙江,0.0241
2020-01-02,上海,上海,0.0237
2020-01-02,青岛,山东,0.0212
2020-01-02,齐齐哈尔,黑龙江,0.0181
2020-01-02,绥化,黑龙江,0.017
2020-01-02,牡丹江,黑龙江,0.0144
2020-01-02,抚顺,辽宁,0.0136
2020-01-02,营口,辽宁,0.0126
2020-01-02,鞍山,辽宁,0.0116
2020-01-02,廊坊,河北,0.0115
2020-01-02,潍坊,山东,0.0091
2020-01-02,锦州,辽宁,0.0088
2020-01-02,广州,广东,0.0087
2020-01-02,唐山,河北,0.0086
