日期,市,省,比例
2020-01-01,哈尔滨,黑龙江,0.1248
2020-01-01,沈阳,辽宁,0.1054
2020-01-01,北京,北京,0.0706
2020-01-01,铁岭,辽宁,0.0618
2020-01-01,通辽,内蒙古,0.0506
2020-01-01,兴安盟,内蒙古,0.0452
2020-01-01,大连,辽宁,0.0315
2020-01-01,大庆,黑龙江,0.0315
2020-01-01,齐齐哈尔,黑龙江,0.0205
2020-01-01,天津,天津,0.02
2020-01-01,抚顺,辽宁,0.0194
2020-01-01,上海,上海,0.0176
2020-01-01,牡丹江,黑龙江,0.0146
2020-01-01,绥化,黑龙江,0.0121
2020-01-01,丹东,辽宁,0.0116
2020-01-01,锦州,辽宁,0.0096
2020-01-01,青岛,山东,0.0096
2020-01-01,营口,辽宁,0.0093
2020-01-01,鞍山,辽宁,0.0091
2020-01-01,辽阳,辽宁,0.0087
2020-01-01,三亚,海南,0.0078
2020-01-01,葫芦岛,辽宁,0.0077
2020-01-01,广州,广东,0.0072
2020-01-01,廊坊,河北,0.0069
2020-01-01,深圳,广东,0.0068000000000000005
2020-01-01,秦皇岛,河北,0.0067
2020-01-01,赤峰,内蒙古,0.0067
2020-01-01,本溪,辽宁,0.0066
2020-01-01,成都,四川,0.0066
2020-01-01,唐山,河北,0.006500000000000001
2020-01-01,西安,陕西,0.006
2020-01-01,杭州,浙江,0.005600000000000001
2020-01-01,呼伦贝尔,内蒙古,0.005
2020-01-01,保定,河北,0.004699999999999999
2020-01-01,济南,山东,0.0046
2020-01-01,沧州,河北,0.0044
2020-01-01,重庆,重庆,0.0044
2020-01-01,潍坊,山东,0.0044
2020-01-01,盘锦,辽宁,0.0042
2020-01-01,南京,江苏,0.0041
2020-01-01,朝阳,辽宁,0.0041
2020-01-01,郑州,河南,0.004
2020-01-01,金华,浙江,0.004
2020-01-01,苏州,江苏,0.004
2020-01-01,厦门,福建,0.0038
2020-01-01,烟台,山东,0.0037
2020-01-01,石家庄,河北,0.0035
2020-01-01,阜新,辽宁,0.0031
2020-01-01,武汉,湖北,0.0031
2020-01-01,宁波,浙江,0.0029
2020-01-01,佳木斯,黑龙江,0.0029
2020-01-01,海口,海南,0.0029
2020-01-01,昆明,云南,0.0027
2020-01-01,长沙,湖南,0.0027
2020-01-01,鸡西,黑龙江,0.0024
2020-01-01,临沂,山东,0.0024
2020-01-01,黑河,黑龙江,0.0023
2020-01-01,衡水,河北,0.0022
2020-01-01,太原,山西,0.0022
2020-01-01,邯郸,河北,0.0022
2020-01-01,无锡,江苏,0.0022
2020-01-01,济宁,山东,0.0022
2020-01-01,威海,山东,0.0022
2020-01-01,双鸭山,黑龙江,0.002
2020-01-01,伊春,黑龙江,0.002
2020-01-01,承德,河北,0.002
2020-01-01,德州,山东,0.002
2020-01-01,合肥,安徽,0.0019
2020-01-01,徐州,江苏,0.0019
2020-01-01,南通,江苏,0.0018
2020-01-01,菏泽,山东,0.0017
2020-01-01,台州,浙江,0.0016
2020-01-01,淄博,山东,0.0016
2020-01-01,邢台,河北,0.0016
2020-01-01,佛山,广东,0.0015
2020-01-01,南宁,广西,0.0015
2020-01-01,呼和浩特,内蒙古,0.0015
2020-01-01,温州,浙江,0.0015
2020-01-01,江门,广东,0.0014000000000000002
2020-01-01,鹤岗,黑龙江,0.0013
2020-01-01,珠海,广东,0.0013
2020-01-01,泰安,山东,0.0013
2020-01-01,乌鲁木齐,新疆,0.0013
2020-01-01,北海,广西,0.0013
2020-01-01,常州,江苏,0.0013
2020-01-01,盐城,江苏,0.0012
2020-01-01,东莞,广东,0.0012
2020-01-01,嘉兴,浙江,0.0012
2020-01-01,南昌,江西,0.0012
2020-01-01,安庆,安徽,0.0011
2020-01-01,亳州,安徽,0.0011
