日期,市,省,比例
2020-01-01,重庆,重庆,0.2723
2020-01-01,昭通,云南,0.055
2020-01-01,遵义,贵州,0.0378
2020-01-01,北京,北京,0.0271
2020-01-01,西安,陕西,0.0263
2020-01-01,上海,上海,0.0222
2020-01-01,深圳,广东,0.0217
2020-01-01,广州,广东,0.0216
2020-01-01,东莞,广东,0.0204
2020-01-01,昆明,云南,0.0203
2020-01-01,佛山,广东,0.014
2020-01-01,贵阳,贵州,0.0132
2020-01-01,宁波,浙江,0.0113
2020-01-01,汉中,陕西,0.0108
2020-01-01,福州,福建,0.0104
2020-01-01,苏州,江苏,0.0102
2020-01-01,毕节,贵州,0.0102
2020-01-01,温州,浙江,0.0095
2020-01-01,丽江,云南,0.0093
2020-01-01,拉萨,西藏,0.0092
2020-01-01,中山,广东,0.0092
2020-01-01,嘉兴,浙江,0.009000000000000001
2020-01-01,杭州,浙江,0.0088
2020-01-01,陇南,甘肃,0.0075
2020-01-01,昌都,西藏,0.006999999999999999
2020-01-01,天津,天津,0.0069
2020-01-01,泉州,福建,0.0067
2020-01-01,惠州,广东,0.0064
2020-01-01,武汉,湖北,0.0064
2020-01-01,无锡,江苏,0.0064
2020-01-01,郑州,河南,0.0059
2020-01-01,厦门,福建,0.0059
2020-01-01,咸阳,陕西,0.005600000000000001
2020-01-01,乌鲁木齐,新疆,0.0054
2020-01-01,楚雄彝族自治州,云南,0.0051
2020-01-01,兰州,甘肃,0.0046
2020-01-01,汕头,广东,0.0043
2020-01-01,台州,浙江,0.0041
2020-01-01,金华,浙江,0.0041
2020-01-01,长沙,湖南,0.004
2020-01-01,南京,江苏,0.0039
2020-01-01,济南,山东,0.0038
2020-01-01,三亚,海南,0.0038
2020-01-01,石家庄,河北,0.0037
2020-01-01,绍兴,浙江,0.0036
2020-01-01,太原,山西,0.0035
2020-01-01,青岛,山东,0.0033
2020-01-01,南宁,广西,0.0032
2020-01-01,常州,江苏,0.0031
2020-01-01,渭南,陕西,0.003
2020-01-02,重庆,重庆,0.1904
2020-01-02,北京,北京,0.032
2020-01-02,深圳,广东,0.029900000000000006
2020-01-02,广州,广东,0.0294
2020-01-02,东莞,广东,0.0292
2020-01-02,西安,陕西,0.0284
2020-01-02,上海,上海,0.0277
2020-01-02,昭通,云南,0.0253
2020-01-02,佛山,广东,0.0201
2020-01-02,昆明,云南,0.0189
2020-01-02,遵义,贵州,0.017
2020-01-02,宁波,浙江,0.0168
2020-01-02,贵阳,贵州,0.014
2020-01-02,苏州,江苏,0.013500000000000002
2020-01-02,中山,广东,0.0128
2020-01-02,温州,浙江,0.0128
2020-01-02,福州,福建,0.0128
2020-01-02,嘉兴,浙江,0.0119
2020-01-02,杭州,浙江,0.0114
2020-01-02,拉萨,西藏,0.0108
2020-01-02,惠州,广东,0.0099
2020-01-02,泉州,福建,0.0096
2020-01-02,无锡,江苏,0.0087
2020-01-02,天津,天津,0.0085
2020-01-02,武汉,湖北,0.0085
2020-01-02,厦门,福建,0.0077
2020-01-02,乌鲁木齐,新疆,0.0068000000000000005
