日期,市,省,比例
2020-01-01,重庆,重庆,0.3692
2020-01-01,昭通,云南,0.0748
2020-01-01,遵义,贵州,0.0496
2020-01-01,昆明,云南,0.0303
2020-01-01,西安,陕西,0.0242
2020-01-01,北京,北京,0.0225
2020-01-01,贵阳,贵州,0.017
2020-01-01,上海,上海,0.0161
2020-01-01,汉中,陕西,0.0159
2020-01-01,深圳,广东,0.0139
2020-01-01,毕节,贵州,0.0128
2020-01-01,广州,广东,0.0127
2020-01-01,丽江,云南,0.0115
2020-01-01,陇南,甘肃,0.0095
2020-01-01,楚雄彝族自治州,云南,0.0075
2020-01-01,武汉,湖北,0.0071
2020-01-01,东莞,广东,0.0062
2020-01-01,郑州,河南,0.0055000000000000005
2020-01-01,三亚,海南,0.0054
2020-01-01,杭州,浙江,0.0049
2020-01-01,兰州,甘肃,0.0048
2020-01-01,咸阳,陕西,0.0045000000000000005
2020-01-01,长沙,湖南,0.0044
2020-01-01,佛山,广东,0.0044
2020-01-01,苏州,江苏,0.0042
2020-01-01,甘南藏族自治州,甘肃,0.0042
2020-01-01,西宁,青海,0.0041
2020-01-01,安康,陕西,0.0039
2020-01-01,曲靖,云南,0.0037
2020-01-01,南京,江苏,0.0037
2020-01-01,拉萨,西藏,0.0037
2020-01-01,昌都,西藏,0.0035
2020-01-01,黔南布依族苗族自治州,贵州,0.0034
2020-01-01,天津,天津,0.0033
2020-01-01,大理白族自治州,云南,0.0033
2020-01-01,南宁,广西,0.0032
2020-01-01,十堰,湖北,0.0032
2020-01-01,福州,福建,0.0032
2020-01-01,厦门,福建,0.003
2020-01-01,太原,山西,0.0028000000000000004
2020-01-01,六盘水,贵州,0.0028000000000000004
2020-01-01,宁波,浙江,0.0028000000000000004
2020-01-01,恩施土家族苗族自治州,湖北,0.0028000000000000004
2020-01-01,石家庄,河北,0.0027
2020-01-01,乌鲁木齐,新疆,0.0027
2020-01-01,济南,山东,0.0027
2020-01-01,宝鸡,陕西,0.0027
2020-01-01,中山,广东,0.0026
2020-01-01,合肥,安徽,0.0025
2020-01-01,迪庆藏族自治州,云南,0.0025
2020-01-01,南昌,江西,0.0024
2020-01-01,惠州,广东,0.0024
2020-01-01,桂林,广西,0.0024
2020-01-01,温州,浙江,0.0023
2020-01-01,渭南,陕西,0.0023
2020-01-01,洛阳,河南,0.0022
2020-01-01,沈阳,辽宁,0.0022
2020-01-01,青岛,山东,0.0022
