日期,市,省,比例
2020-01-01,北京,北京,0.1746
2020-01-01,廊坊,河北,0.1481
2020-01-01,唐山,河北,0.1321
2020-01-01,沧州,河北,0.0998
2020-01-01,保定,河北,0.0357
2020-01-01,邯郸,河北,0.0313
2020-01-01,德州,山东,0.0261
2020-01-01,石家庄,河北,0.0223
2020-01-01,秦皇岛,河北,0.0161
2020-01-01,衡水,河北,0.0143
2020-01-01,滨州,山东,0.0115
2020-01-01,邢台,河北,0.011
2020-01-01,张家口,河北,0.0098
2020-01-01,承德,河北,0.0091
2020-01-01,上海,上海,0.0083
2020-01-01,济南,山东,0.008
2020-01-01,哈尔滨,黑龙江,0.0074
2020-01-01,聊城,山东,0.0061
2020-01-01,青岛,山东,0.0058
2020-01-01,沈阳,辽宁,0.0058
2020-01-01,大同,山西,0.0048
2020-01-01,西安,陕西,0.004699999999999999
2020-01-01,菏泽,山东,0.0046
2020-01-01,郑州,河南,0.0044
2020-01-01,长春,吉林,0.0044
2020-01-01,大连,辽宁,0.004
2020-01-01,潍坊,山东,0.0039
2020-01-01,太原,山西,0.0039
2020-01-01,广州,广东,0.0037
2020-01-01,赤峰,内蒙古,0.0036
2020-01-01,济宁,山东,0.0035
2020-01-01,重庆,重庆,0.0035
2020-01-01,葫芦岛,辽宁,0.0034
2020-01-01,濮阳,河南,0.0033
2020-01-01,成都,四川,0.0033
2020-01-01,烟台,山东,0.0032
2020-01-01,临沂,山东,0.003
2020-01-01,武汉,湖北,0.0029
2020-01-01,东营,山东,0.0029
2020-01-01,呼和浩特,内蒙古,0.0028000000000000004
2020-01-01,晋中,山西,0.0028000000000000004
2020-01-01,锦州,辽宁,0.0028000000000000004
2020-01-01,泰安,山东,0.0028000000000000004
2020-01-01,苏州,江苏,0.0026
2020-01-01,南京,江苏,0.0026
2020-01-01,杭州,浙江,0.0025
2020-01-01,三亚,海南,0.0025
2020-01-01,安阳,河南,0.0024
2020-01-01,厦门,福建,0.0024
2020-01-01,淄博,山东,0.0023
2020-01-02,北京,北京,0.16579999999999998
2020-01-02,沧州,河北,0.0905
2020-01-02,廊坊,河北,0.0802
2020-01-02,唐山,河北,0.0728
2020-01-02,保定,河北,0.039900000000000005
2020-01-02,邯郸,河北,0.0327
2020-01-02,德州,山东,0.0319
2020-01-02,石家庄,河北,0.0296
2020-01-02,秦皇岛,河北,0.0175
2020-01-02,衡水,河北,0.0165
2020-01-02,张家口,河北,0.0144
2020-01-02,滨州,山东,0.0141
2020-01-02,上海,上海,0.014
2020-01-02,邢台,河北,0.0126
2020-01-02,济南,山东,0.0113
2020-01-02,哈尔滨,黑龙江,0.0105
2020-01-02,沈阳,辽宁,0.0099
2020-01-02,承德,河北,0.0088
2020-01-02,聊城,山东,0.008
2020-01-02,青岛,山东,0.0078
2020-01-02,长春,吉林,0.0077
2020-01-02,大连,辽宁,0.0067
2020-01-02,太原,山西,0.006500000000000001
2020-01-02,大同,山西,0.0063
2020-01-02,郑州,河南,0.0063
2020-01-02,西安,陕西,0.0061
2020-01-02,广州,广东,0.0055000000000000005
2020-01-02,潍坊,山东,0.0054
2020-01-02,成都,四川,0.005
2020-01-02,菏泽,山东,0.0049
2020-01-02,济宁,山东,0.004699999999999999
2020-01-02,赤峰,内蒙古,0.0044
2020-01-02,烟台,山东,0.0044
2020-01-02,呼和浩特,内蒙古,0.0043
2020-01-02,重庆,重庆,0.0043
2020-01-02,葫芦岛,辽宁,0.0043
2020-01-02,临沂,山东,0.0042
2020-01-02,杭州,浙江,0.0042
2020-01-02,濮阳,河南,0.0042
2020-01-02,苏州,江苏,0.0042
2020-01-02,晋中,山西,0.0041
2020-01-02,泰安,山东,0.004
2020-01-02,武汉,湖北,0.0039
2020-01-02,安阳,河南,0.0039
2020-01-02,南京,江苏,0.0038
2020-01-02,鞍山,辽宁,0.0036
2020-01-02,深圳,广东,0.0036
2020-01-02,淄博,山东,0.0035
2020-01-02,锦州,辽宁,0.003
2020-01-02,三亚,海南,0.0028000000000000004
2020-01-03,北京,北京,0.2848
2020-01-03,廊坊,河北,0.1069
2020-01-03,唐山,河北,0.0872
2020-01-03,沧州,河北,0.081
2020-01-03,保定,河北,0.0307
2020-01-03,邯郸,河北,0.0265
2020-01-03,石家庄,河北,0.023
2020-01-03,德州,山东,0.0183
