日期,市,省,比例
2020-01-01,榆林,陕西,0.10980000000000001
2020-01-01,鄂尔多斯,内蒙古,0.084
2020-01-01,平凉,甘肃,0.0827
2020-01-01,阿拉善盟,内蒙古,0.0706
2020-01-01,庆阳,甘肃,0.0692
2020-01-01,西安,陕西,0.0518
2020-01-01,乌海,内蒙古,0.0484
2020-01-01,白银,甘肃,0.0464
2020-01-01,兰州,甘肃,0.042300000000000004
2020-01-01,北京,北京,0.026600000000000002
2020-01-01,延安,陕西,0.0166
2020-01-01,巴彦淖尔,内蒙古,0.0143
2020-01-01,咸阳,陕西,0.0131
2020-01-01,武威,甘肃,0.0118
2020-01-01,天水,甘肃,0.011000000000000001
2020-01-01,成都,四川,0.009399999999999999
2020-01-01,宝鸡,陕西,0.0073
2020-01-01,上海,上海,0.0073
2020-01-01,西宁,青海,0.0073
2020-01-01,定西,甘肃,0.0070999999999999995
2020-01-01,包头,内蒙古,0.0068000000000000005
2020-01-01,石家庄,河北,0.0066
2020-01-01,重庆,重庆,0.006500000000000001
2020-01-01,南阳,河南,0.006
2020-01-01,渭南,陕西,0.0053
2020-01-01,郑州,河南,0.0053
2020-01-01,呼和浩特,内蒙古,0.0052
2020-01-01,三亚,海南,0.0049
2020-01-01,广州,广东,0.0045000000000000005
2020-01-01,乌鲁木齐,新疆,0.0044
2020-01-01,太原,山西,0.0038
2020-01-01,天津,天津,0.0036
2020-01-01,临夏回族自治州,甘肃,0.0034999999999999996
2020-01-01,陇南,甘肃,0.0034000000000000002
2020-01-01,酒泉,甘肃,0.0034000000000000002
2020-01-01,深圳,广东,0.0034000000000000002
2020-01-01,张掖,甘肃,0.0033
2020-01-01,长沙,湖南,0.0032
2020-01-01,苏州,江苏,0.003
2020-01-01,南京,江苏,0.003
2020-01-01,杭州,浙江,0.003
2020-01-01,吕梁,山西,0.0029
2020-01-01,昆明,云南,0.0028000000000000004
2020-01-01,洛阳,河南,0.0027
2020-01-01,金昌,甘肃,0.0024
2020-01-01,晋中,山西,0.0023
2020-01-01,商丘,河南,0.0023
2020-01-01,沧州,河北,0.0023
2020-01-01,菏泽,山东,0.0022
2020-01-01,哈尔滨,黑龙江,0.0022
2020-01-02,榆林,陕西,0.0806
2020-01-02,西安,陕西,0.066
2020-01-02,庆阳,甘肃,0.0579
2020-01-02,平凉,甘肃,0.056900000000000006
2020-01-02,鄂尔多斯,内蒙古,0.0548
2020-01-02,阿拉善盟,内蒙古,0.05
2020-01-02,兰州,甘肃,0.042199999999999994
2020-01-02,乌海,内蒙古,0.0378
2020-01-02,白银,甘肃,0.032400000000000005
2020-01-02,北京,北京,0.0311
2020-01-02,延安,陕西,0.0189
2020-01-02,巴彦淖尔,内蒙古,0.017
2020-01-02,咸阳,陕西,0.0148
2020-01-02,重庆,重庆,0.012199999999999999
2020-01-02,天水,甘肃,0.0116
2020-01-02,上海,上海,0.0115
2020-01-02,武威,甘肃,0.011200000000000002
2020-01-02,成都,四川,0.0104
2020-01-02,南阳,河南,0.0091
2020-01-02,广州,广东,0.009000000000000001
2020-01-02,定西,甘肃,0.0088
2020-01-02,宝鸡,陕西,0.0088
2020-01-02,郑州,河南,0.0088
2020-01-02,西宁,青海,0.0066
2020-01-02,天津,天津,0.0063
2020-01-02,乌鲁木齐,新疆,0.0060999999999999995
2020-01-02,包头,内蒙古,0.0055000000000000005
2020-01-02,张掖,甘肃,0.0054
2020-01-02,昆明,云南,0.0053
2020-01-02,杭州,浙江,0.0053
2020-01-02,呼和浩特,内蒙古,0.0052
2020-01-02,周口,河南,0.0052
2020-01-02,酒泉,甘肃,0.005
2020-01-02,三亚,海南,0.004699999999999999
2020-01-02,洛阳,河南,0.0046
2020-01-02,石家庄,河北,0.0045000000000000005
2020-01-02,武汉,湖北,0.0045000000000000005
2020-01-02,无锡,江苏,0.0042
2020-01-02,渭南,陕西,0.0042
2020-01-02,苏州,江苏,0.0042
2020-01-02,太原,山西,0.004
2020-01-02,深圳,广东,0.004
2020-01-02,亳州,安徽,0.004
2020-01-02,南京,江苏,0.0039000000000000003
2020-01-02,菏泽,山东,0.0039000000000000003
2020-01-02,长沙,湖南,0.0038
2020-01-02,徐州,江苏,0.0038
2020-01-02,商丘,河南,0.0037
2020-01-02,南充,四川,0.0037
2020-01-02,保定,河北,0.0037
