日期,市,省,比例
2020-01-01,南京,江苏,0.1444
2020-01-01,上海,上海,0.0973
2020-01-01,苏州,江苏,0.0602
2020-01-01,杭州,浙江,0.0535
2020-01-01,徐州,江苏,0.0521
2020-01-01,湖州,浙江,0.0345
2020-01-01,无锡,江苏,0.031
2020-01-01,常州,江苏,0.0255
2020-01-01,宁波,浙江,0.025
2020-01-01,商丘,河南,0.0249
2020-01-01,周口,河南,0.0236
2020-01-01,北京,北京,0.0228
2020-01-01,嘉兴,浙江,0.0169
2020-01-01,信阳,河南,0.0161
2020-01-01,扬州,江苏,0.0158
2020-01-01,武汉,湖北,0.0129
2020-01-01,温州,浙江,0.0124
2020-01-01,金华,浙江,0.0115
2020-01-01,镇江,江苏,0.0114
2020-01-01,郑州,河南,0.011200000000000002
2020-01-01,南通,江苏,0.011
2020-01-01,宿迁,江苏,0.0105
2020-01-01,绍兴,浙江,0.0101
2020-01-01,淮安,江苏,0.0099
2020-01-01,台州,浙江,0.008
2020-01-01,天津,天津,0.008
2020-01-01,驻马店,河南,0.0077
2020-01-01,西安,陕西,0.0068000000000000005
2020-01-01,临沂,山东,0.0068000000000000005
2020-01-01,黄冈,湖北,0.0063
2020-01-01,九江,江西,0.0061
2020-01-01,深圳,广东,0.0059
2020-01-01,菏泽,山东,0.005699999999999999
2020-01-01,泰州,江苏,0.0053
2020-01-01,广州,广东,0.0053
2020-01-01,南昌,江西,0.0045000000000000005
2020-01-01,济南,山东,0.0043
2020-01-01,盐城,江苏,0.0042
2020-01-01,青岛,山东,0.0042
2020-01-01,重庆,重庆,0.004
2020-01-01,济宁,山东,0.0039
2020-01-01,上饶,江西,0.0035
2020-01-01,东莞,广东,0.0035
2020-01-01,潍坊,山东,0.0033
2020-01-01,枣庄,山东,0.0033
2020-01-01,长沙,湖南,0.0032
2020-01-01,成都,四川,0.0031
2020-01-01,泉州,福建,0.003
2020-01-01,廊坊,河北,0.0028000000000000004
2020-01-01,连云港,江苏,0.0028000000000000004
2020-01-01,舟山,浙江,0.0028000000000000004
2020-01-01,厦门,福建,0.0027
2020-01-01,南阳,河南,0.0027
2020-01-01,石家庄,河北,0.0026
2020-01-01,景德镇,江西,0.0026
2020-01-01,福州,福建,0.0025
2020-01-01,沈阳,辽宁,0.0022
2020-01-01,洛阳,河南,0.0021
2020-01-01,聊城,山东,0.0021
2020-01-01,保定,河北,0.002
2020-01-01,衢州,浙江,0.002
2020-01-01,邯郸,河北,0.002
2020-01-01,沧州,河北,0.002
2020-01-01,开封,河南,0.0019
2020-01-01,佛山,广东,0.0019
2020-01-01,烟台,山东,0.0019
2020-01-01,焦作,河南,0.0018
2020-01-01,新乡,河南,0.0018
2020-01-01,哈尔滨,黑龙江,0.0018
2020-01-01,泰安,山东,0.0017
2020-01-01,昆明,云南,0.0015
2020-01-01,黄石,湖北,0.0015
2020-01-01,长春,吉林,0.0014000000000000002
2020-01-01,德州,山东,0.0014000000000000002
2020-01-01,大连,辽宁,0.0014000000000000002
2020-01-01,唐山,河北,0.0013
2020-01-01,太原,山西,0.0013
2020-01-01,淄博,山东,0.0013
2020-01-01,许昌,河南,0.0013
2020-01-01,平顶山,河南,0.0013
2020-01-01,邢台,河北,0.0013
2020-01-01,安阳,河南,0.0012
2020-01-01,宜春,江西,0.0012
2020-01-01,惠州,广东,0.0012
2020-01-01,赣州,江西,0.0012
2020-01-01,濮阳,河南,0.0012
2020-01-01,襄阳,湖北,0.0011
2020-01-01,丽水,浙江,0.001
2020-01-01,孝感,湖北,0.001
2020-01-01,漯河,河南,0.001
2020-01-01,乌鲁木齐,新疆,0.001
2020-01-01,桂林,广西,0.0009
2020-01-01,运城,山西,0.0009
2020-01-01,南宁,广西,0.0009
2020-01-01,威海,山东,0.0009
2020-01-01,贵阳,贵州,0.0009
2020-01-01,三亚,海南,0.0009
2020-01-01,抚州,江西,0.0009
2020-01-01,汕头,广东,0.0008
2020-01-01,海口,海南,0.0008
2020-01-02,上海,上海,0.1072
2020-01-02,南京,江苏,0.091
2020-01-02,苏州,江苏,0.07200000000000001
2020-01-02,杭州,浙江,0.0561
