日期,市,省,比例
2020-01-01,南京,江苏,0.1787
2020-01-01,上海,上海,0.0937
2020-01-01,徐州,江苏,0.07150000000000001
2020-01-01,苏州,江苏,0.0518
2020-01-01,杭州,浙江,0.0442
2020-01-01,商丘,河南,0.0302
2020-01-01,周口,河南,0.0287
2020-01-01,无锡,江苏,0.0268
2020-01-01,常州,江苏,0.0261
2020-01-01,湖州,浙江,0.0225
2020-01-01,信阳,河南,0.0216
2020-01-01,北京,北京,0.0187
2020-01-01,扬州,江苏,0.016399999999999998
2020-01-01,宁波,浙江,0.0161
2020-01-01,宿迁,江苏,0.0131
2020-01-01,淮安,江苏,0.0122
2020-01-01,嘉兴,浙江,0.0116
2020-01-01,镇江,江苏,0.011200000000000002
2020-01-01,武汉,湖北,0.011000000000000001
2020-01-01,驻马店,河南,0.0105
2020-01-01,郑州,河南,0.0097
2020-01-01,黄冈,湖北,0.0095
2020-01-01,南通,江苏,0.0091
2020-01-01,九江,江西,0.0085
2020-01-01,金华,浙江,0.008199999999999999
2020-01-01,绍兴,浙江,0.006500000000000001
2020-01-01,温州,浙江,0.0061
2020-01-01,菏泽,山东,0.006
2020-01-01,临沂,山东,0.0059
2020-01-01,泰州,江苏,0.005600000000000001
2020-01-01,重庆,重庆,0.0053
2020-01-01,盐城,江苏,0.0051
2020-01-01,西安,陕西,0.005
2020-01-01,深圳,广东,0.0048
2020-01-01,台州,浙江,0.0048
2020-01-01,天津,天津,0.004699999999999999
2020-01-01,上饶,江西,0.0045000000000000005
2020-01-01,广州,广东,0.0042
2020-01-01,济宁,山东,0.0042
2020-01-01,南昌,江西,0.004
2020-01-01,济南,山东,0.0038
2020-01-01,长沙,湖南,0.0036
2020-01-01,南阳,河南,0.0035
2020-01-01,连云港,江苏,0.0034
2020-01-01,成都,四川,0.0032
2020-01-01,厦门,福建,0.0031
2020-01-01,景德镇,江西,0.0029
2020-01-01,枣庄,山东,0.0029
2020-01-01,开封,河南,0.0028000000000000004
2020-01-01,青岛,山东,0.0027
2020-01-01,洛阳,河南,0.0025
2020-01-01,衢州,浙江,0.0025
2020-01-01,福州,福建,0.0022
2020-01-01,潍坊,山东,0.0021
2020-01-01,石家庄,河北,0.0021
2020-01-01,昆明,云南,0.002
2020-01-01,邯郸,河北,0.002
2020-01-01,新乡,河南,0.002
2020-01-01,泉州,福建,0.0019
2020-01-01,许昌,河南,0.0019
2020-01-01,平顶山,河南,0.0018
2020-01-01,东莞,广东,0.0017
2020-01-01,赣州,江西,0.0017
2020-01-01,哈尔滨,黑龙江,0.0017
2020-01-01,保定,河北,0.0016
2020-01-01,宜春,江西,0.0016
2020-01-01,太原,山西,0.0015
2020-01-01,德州,山东,0.0015
2020-01-01,黄石,湖北,0.0015
2020-01-01,廊坊,河北,0.0015
2020-01-01,焦作,河南,0.0015
2020-01-01,佛山,广东,0.0014000000000000002
2020-01-01,舟山,浙江,0.0014000000000000002
2020-01-01,聊城,山东,0.0014000000000000002
2020-01-01,安阳,河南,0.0014000000000000002
2020-01-01,泰安,山东,0.0014000000000000002
2020-01-01,沧州,河北,0.0014000000000000002
2020-01-01,沈阳,辽宁,0.0013
2020-01-01,烟台,山东,0.0013
2020-01-01,孝感,湖北,0.0013
2020-01-01,襄阳,湖北,0.0013
2020-01-01,淄博,山东,0.0012
2020-01-01,邢台,河北,0.0012
2020-01-01,抚州,江西,0.0012
2020-01-01,贵阳,贵州,0.0012
2020-01-01,漯河,河南,0.0011
2020-01-01,濮阳,河南,0.0011
2020-01-01,荆州,湖北,0.001
2020-01-01,三亚,海南,0.001
2020-01-01,吉安,江西,0.001
2020-01-01,唐山,河北,0.001
2020-01-01,渭南,陕西,0.0009
2020-01-01,日照,山东,0.0009
2020-01-01,宜昌,湖北,0.0009
2020-01-01,南平,福建,0.0009
2020-01-01,鄂州,湖北,0.0009
2020-01-01,咸阳,陕西,0.0009
2020-01-01,运城,山西,0.0009
2020-01-01,南宁,广西,0.0008
2020-01-01,咸宁,湖北,0.0008
2020-01-02,南京,江苏,0.13140000000000002
2020-01-02,上海,上海,0.107
2020-01-02,苏州,江苏,0.0535
2020-01-02,徐州,江苏,0.0471
2020-01-02,杭州,浙江,0.0458
2020-01-02,无锡,江苏,0.029900000000000006
2020-01-02,北京,北京,0.024700000000000003
2020-01-02,常州,江苏,0.0238
2020-01-02,湖州,浙江,0.0212
2020-01-02,宁波,浙江,0.0195
2020-01-02,商丘,河南,0.018500000000000003
2020-01-02,周口,河南,0.0181
2020-01-02,扬州,江苏,0.0151
2020-01-02,武汉,湖北,0.0141
2020-01-02,信阳,河南,0.0133
2020-01-02,嘉兴,浙江,0.0128
2020-01-02,镇江,江苏,0.0124
2020-01-02,郑州,河南,0.0113
2020-01-02,南通,江苏,0.0111
2020-01-02,金华,浙江,0.0107
2020-01-02,宿迁,江苏,0.0104
2020-01-02,淮安,江苏,0.0094
2020-01-02,绍兴,浙江,0.008100000000000001
2020-01-02,温州,浙江,0.0079
2020-01-02,驻马店,河南,0.0077
2020-01-02,黄冈,湖北,0.0076
2020-01-02,重庆,重庆,0.0074
2020-01-02,九江,江西,0.0071
2020-01-02,泰州,江苏,0.0066
2020-01-02,临沂,山东,0.006500000000000001
2020-01-02,广州,广东,0.006500000000000001
2020-01-02,台州,浙江,0.0062
2020-01-02,深圳,广东,0.0062
2020-01-02,南昌,江西,0.006
2020-01-02,盐城,江苏,0.0059
2020-01-02,菏泽,山东,0.0059
2020-01-02,西安,陕西,0.0058
2020-01-02,天津,天津,0.0054
2020-01-02,长沙,湖南,0.0049
2020-01-02,成都,四川,0.0048
2020-01-02,济南,山东,0.004699999999999999
2020-01-02,济宁,山东,0.0046
2020-01-02,上饶,江西,0.0044
2020-01-02,青岛,山东,0.0043
2020-01-02,南阳,河南,0.004
2020-01-02,连云港,江苏,0.0038
2020-01-02,厦门,福建,0.0037
2020-01-02,开封,河南,0.0033
2020-01-02,昆明,云南,0.0032
2020-01-02,福州,福建,0.0031
2020-01-02,枣庄,山东,0.0031
2020-01-02,潍坊,山东,0.003
2020-01-02,衢州,浙江,0.0029
2020-01-02,泉州,福建,0.0028000000000000004
2020-01-02,石家庄,河北,0.0027
2020-01-02,洛阳,河南,0.0027
2020-01-02,保定,河北,0.0026
2020-01-02,景德镇,江西,0.0025
2020-01-02,德州,山东,0.0025
2020-01-02,东莞,广东,0.0025
2020-01-02,邯郸,河北,0.0024
2020-01-02,佛山,广东,0.0023
2020-01-02,赣州,江西,0.0022
2020-01-02,哈尔滨,黑龙江,0.0022
2020-01-02,宜春,江西,0.0021
2020-01-02,新乡,河南,0.0021
2020-01-02,平顶山,河南,0.0021
2020-01-02,廊坊,河北,0.002
2020-01-02,沈阳,辽宁,0.002
2020-01-02,安阳,河南,0.002
2020-01-02,襄阳,湖北,0.0019
2020-01-02,黄石,湖北,0.0019
2020-01-02,贵阳,贵州,0.0017
2020-01-02,聊城,山东,0.0017
2020-01-02,烟台,山东,0.0017
2020-01-02,许昌,河南,0.0017
2020-01-02,泰安,山东,0.0017
2020-01-02,沧州,河北,0.0017
2020-01-02,长春,吉林,0.0017
2020-01-02,舟山,浙江,0.0017
2020-01-02,太原,山西,0.0017
2020-01-02,孝感,湖北,0.0016
2020-01-02,荆州,湖北,0.0016
2020-01-02,邢台,河北,0.0016
2020-01-02,抚州,江西,0.0015
2020-01-02,三亚,海南,0.0015
2020-01-02,宜昌,湖北,0.0015
2020-01-02,海口,海南,0.0015
2020-01-02,恩施土家族苗族自治州,湖北,0.0014000000000000002
2020-01-02,曲靖,云南,0.0014000000000000002
2020-01-02,大连,辽宁,0.0013
2020-01-02,运城,山西,0.0013
2020-01-02,濮阳,河南,0.0013
2020-01-02,淄博,山东,0.0013
2020-01-02,惠州,广东,0.0013
2020-01-02,南宁,广西,0.0013
2020-01-02,丽水,浙江,0.0012
2020-01-02,漯河,河南,0.0012
2020-01-02,唐山,河北,0.0012
2020-01-02,日照,山东,0.0012
2020-01-03,南京,江苏,0.1508
2020-01-03,上海,上海,0.094
2020-01-03,徐州,江苏,0.0573
2020-01-03,苏州,江苏,0.049100000000000005
2020-01-03,杭州,浙江,0.0451
2020-01-03,无锡,江苏,0.0285
2020-01-03,周口,河南,0.0271
2020-01-03,商丘,河南,0.0268
2020-01-03,北京,北京,0.0243
2020-01-03,常州,江苏,0.0238
2020-01-03,湖州,浙江,0.0198
2020-01-03,信阳,河南,0.0186
2020-01-03,宁波,浙江,0.0161
2020-01-03,武汉,湖北,0.0156
2020-01-03,扬州,江苏,0.0152
2020-01-03,郑州,河南,0.0121
2020-01-03,镇江,江苏,0.0117
2020-01-03,嘉兴,浙江,0.0116
2020-01-03,宿迁,江苏,0.0115
2020-01-03,淮安,江苏,0.0102
2020-01-03,南通,江苏,0.0095
2020-01-03,驻马店,河南,0.0087
2020-01-03,金华,浙江,0.0086
2020-01-03,黄冈,湖北,0.0086
2020-01-03,九江,江西,0.0076
2020-01-03,临沂,山东,0.0072
2020-01-03,重庆,重庆,0.0072
2020-01-03,菏泽,山东,0.0071
2020-01-03,绍兴,浙江,0.0069
2020-01-03,泰州,江苏,0.006500000000000001
2020-01-03,温州,浙江,0.0061
2020-01-03,南昌,江西,0.005699999999999999
2020-01-03,深圳,广东,0.005600000000000001
2020-01-03,广州,广东,0.005600000000000001
2020-01-03,西安,陕西,0.0054
2020-01-03,台州,浙江,0.0052
2020-01-03,天津,天津,0.0052
2020-01-03,济宁,山东,0.005
2020-01-03,盐城,江苏,0.0049
2020-01-03,济南,山东,0.0048
2020-01-03,长沙,湖南,0.0046
2020-01-03,厦门,福建,0.0045000000000000005
2020-01-03,南阳,河南,0.0042
2020-01-03,成都,四川,0.0042
2020-01-03,上饶,江西,0.0042
2020-01-03,青岛,山东,0.0039
2020-01-03,枣庄,山东,0.0037
2020-01-03,连云港,江苏,0.0035
2020-01-03,开封,河南,0.0033
2020-01-03,潍坊,山东,0.0031
2020-01-03,洛阳,河南,0.0029
2020-01-03,福州,福建,0.0026
2020-01-03,景德镇,江西,0.0026
2020-01-03,昆明,云南,0.0025
2020-01-03,石家庄,河北,0.0025
2020-01-03,衢州,浙江,0.0025
2020-01-03,哈尔滨,黑龙江,0.0024
2020-01-03,泉州,福建,0.0022
2020-01-03,泰安,山东,0.0021
2020-01-03,许昌,河南,0.0021
2020-01-03,东莞,广东,0.0021
2020-01-03,新乡,河南,0.0021
2020-01-03,邯郸,河北,0.0021
2020-01-03,佛山,广东,0.002
2020-01-03,宜春,江西,0.002
2020-01-03,赣州,江西,0.0019
2020-01-03,平顶山,河南,0.0019
