日期,市,省,比例
2020-01-01,北京,北京,0.07769999999999999
2020-01-01,徐州,江苏,0.0594
2020-01-01,天津,天津,0.043899999999999995
2020-01-01,沧州,河北,0.0363
2020-01-01,濮阳,河南,0.0344
2020-01-01,连云港,江苏,0.0329
2020-01-01,衡水,河北,0.0301
2020-01-01,上海,上海,0.0286
2020-01-01,邯郸,河北,0.023799999999999998
2020-01-01,邢台,河北,0.0233
2020-01-01,商丘,河南,0.0206
2020-01-01,郑州,河南,0.0171
2020-01-01,石家庄,河北,0.015
2020-01-01,苏州,江苏,0.0146
2020-01-01,开封,河南,0.0128
2020-01-01,南京,江苏,0.012
2020-01-01,保定,河北,0.0111
2020-01-01,盐城,江苏,0.0109
2020-01-01,廊坊,河北,0.0102
2020-01-01,大连,辽宁,0.0101
2020-01-01,哈尔滨,黑龙江,0.01
2020-01-01,杭州,浙江,0.0092
2020-01-01,周口,河南,0.0092
2020-01-01,宿迁,江苏,0.0085
2020-01-01,唐山,河北,0.0085
2020-01-01,西安,陕西,0.0083
2020-01-01,宿州,安徽,0.008
2020-01-01,广州,广东,0.0073
2020-01-01,新乡,河南,0.0072
2020-01-01,安阳,河南,0.0072
2020-01-01,重庆,重庆,0.0070999999999999995
2020-01-01,南通,江苏,0.0070999999999999995
2020-01-01,无锡,江苏,0.006999999999999999
2020-01-01,合肥,安徽,0.0068000000000000005
2020-01-01,沈阳,辽宁,0.0062
2020-01-01,武汉,湖北,0.0062
2020-01-01,成都,四川,0.0060999999999999995
2020-01-01,淮安,江苏,0.0058
2020-01-01,长春,吉林,0.005600000000000001
2020-01-01,阜阳,安徽,0.0055000000000000005
2020-01-01,宁波,浙江,0.0055000000000000005
2020-01-01,太原,山西,0.0048
2020-01-01,驻马店,河南,0.004699999999999999
2020-01-01,南阳,河南,0.004699999999999999
2020-01-01,扬州,江苏,0.0045000000000000005
2020-01-01,深圳,广东,0.0045000000000000005
2020-01-01,洛阳,河南,0.0044
2020-01-01,常州,江苏,0.0043
2020-01-01,长沙,湖南,0.0040999999999999995
2020-01-01,昆明,云南,0.0039000000000000003
2020-01-02,北京,北京,0.08070000000000001
2020-01-02,天津,天津,0.0415
2020-01-02,徐州,江苏,0.0354
2020-01-02,上海,上海,0.0332
2020-01-02,沧州,河北,0.0216
2020-01-02,连云港,江苏,0.0209
2020-01-02,濮阳,河南,0.019299999999999998
2020-01-02,郑州,河南,0.0182
2020-01-02,邯郸,河北,0.0173
2020-01-02,石家庄,河北,0.0152
2020-01-02,苏州,江苏,0.0152
2020-01-02,商丘,河南,0.0144
2020-01-02,南京,江苏,0.013500000000000002
2020-01-02,哈尔滨,黑龙江,0.0131
2020-01-02,邢台,河北,0.0129
2020-01-02,衡水,河北,0.0125
2020-01-02,杭州,浙江,0.012
2020-01-02,保定,河北,0.0111
2020-01-02,周口,河南,0.0105
2020-01-02,盐城,江苏,0.0102
2020-01-02,重庆,重庆,0.01
2020-01-02,西安,陕西,0.01
2020-01-02,大连,辽宁,0.009899999999999999
2020-01-02,廊坊,河北,0.0096
2020-01-02,唐山,河北,0.009300000000000001
2020-01-02,成都,四川,0.0087
2020-01-02,广州,广东,0.0087
2020-01-02,无锡,江苏,0.0086
2020-01-02,合肥,安徽,0.0083
2020-01-02,南通,江苏,0.008199999999999999
2020-01-02,宿迁,江苏,0.008199999999999999
2020-01-02,开封,河南,0.008
2020-01-02,武汉,湖北,0.0077
2020-01-02,沈阳,辽宁,0.0072
2020-01-02,安阳,河南,0.0072
2020-01-02,宿州,安徽,0.0066
2020-01-02,新乡,河南,0.0066
2020-01-02,宁波,浙江,0.0066
2020-01-02,深圳,广东,0.0064
2020-01-02,扬州,江苏,0.0063
2020-01-02,阜阳,安徽,0.0062
2020-01-02,南阳,河南,0.006
2020-01-02,长春,吉林,0.0059
2020-01-02,巴中,四川,0.005699999999999999
2020-01-02,长沙,湖南,0.005600000000000001
2020-01-02,驻马店,河南,0.0054
2020-01-02,太原,山西,0.0054
2020-01-02,常州,江苏,0.0052
2020-01-02,淮安,江苏,0.0051
2020-01-02,厦门,福建,0.0048
2020-01-03,北京,北京,0.0794
2020-01-03,徐州,江苏,0.0443
2020-01-03,天津,天津,0.0375
2020-01-03,上海,上海,0.032799999999999996
2020-01-03,沧州,河北,0.028399999999999998
2020-01-03,濮阳,河南,0.0281
2020-01-03,连云港,江苏,0.027000000000000003
2020-01-03,衡水,河北,0.024900000000000002
2020-01-03,邯郸,河北,0.0194
2020-01-03,邢台,河北,0.0187
2020-01-03,郑州,河南,0.0184
2020-01-03,商丘,河南,0.017
2020-01-03,石家庄,河北,0.0152
2020-01-03,苏州,江苏,0.0134
2020-01-03,南京,江苏,0.0131
2020-01-03,哈尔滨,黑龙江,0.011399999999999999
2020-01-03,盐城,江苏,0.0111
2020-01-03,杭州,浙江,0.0108
2020-01-03,保定,河北,0.010700000000000001
2020-01-03,开封,河南,0.0101
2020-01-03,周口,河南,0.0098
2020-01-03,大连,辽宁,0.0098
2020-01-03,廊坊,河北,0.0098
2020-01-03,西安,陕西,0.009399999999999999
2020-01-03,重庆,重庆,0.009300000000000001
2020-01-03,唐山,河北,0.0089
2020-01-03,成都,四川,0.008100000000000001
2020-01-03,合肥,安徽,0.008
2020-01-03,武汉,湖北,0.0076
2020-01-03,无锡,江苏,0.0076
2020-01-03,广州,广东,0.0075
2020-01-03,宿迁,江苏,0.0070999999999999995
2020-01-03,南通,江苏,0.0070999999999999995
2020-01-03,宿州,安徽,0.0069
2020-01-03,新乡,河南,0.0068000000000000005
2020-01-03,安阳,河南,0.006500000000000001
2020-01-03,沈阳,辽宁,0.0064
2020-01-03,巴中,四川,0.006
2020-01-03,阜阳,安徽,0.0059
2020-01-03,深圳,广东,0.0058
2020-01-03,驻马店,河南,0.005600000000000001
2020-01-03,南阳,河南,0.0055000000000000005
2020-01-03,昆明,云南,0.0055000000000000005
2020-01-03,扬州,江苏,0.0055000000000000005
2020-01-03,宁波,浙江,0.0051
2020-01-03,长沙,湖南,0.0051
2020-01-03,长春,吉林,0.0051
2020-01-03,淮安,江苏,0.0051
2020-01-03,太原,山西,0.0049
2020-01-03,厦门,福建,0.0049
2020-01-04,北京,北京,0.0736
2020-01-04,徐州,江苏,0.052300000000000006
2020-01-04,天津,天津,0.035699999999999996
2020-01-04,濮阳,河南,0.0325
2020-01-04,连云港,江苏,0.030899999999999997
2020-01-04,沧州,河北,0.0297
2020-01-04,上海,上海,0.0278
2020-01-04,衡水,河北,0.025
2020-01-04,邯郸,河北,0.022799999999999997
2020-01-04,商丘,河南,0.0204
2020-01-04,邢台,河北,0.0203
2020-01-04,郑州,河南,0.0169
2020-01-04,石家庄,河北,0.015700000000000002
2020-01-04,苏州,江苏,0.0123
2020-01-04,南京,江苏,0.0121
2020-01-04,保定,河北,0.011699999999999999
2020-01-04,哈尔滨,黑龙江,0.011399999999999999
2020-01-04,开封,河南,0.0109
2020-01-04,周口,河南,0.0106
2020-01-04,杭州,浙江,0.0103
2020-01-04,廊坊,河北,0.0095
2020-01-04,西安,陕西,0.0092
2020-01-04,盐城,江苏,0.0091
2020-01-04,重庆,重庆,0.0089
2020-01-04,大连,辽宁,0.0088
2020-01-04,唐山,河北,0.008199999999999999
2020-01-04,宿迁,江苏,0.0078000000000000005
2020-01-04,成都,四川,0.0077
2020-01-04,广州,广东,0.0077
2020-01-04,宿州,安徽,0.0074
2020-01-04,无锡,江苏,0.0073
2020-01-04,武汉,湖北,0.0070999999999999995
2020-01-04,安阳,河南,0.006999999999999999
2020-01-04,新乡,河南,0.0069
2020-01-04,沈阳,辽宁,0.0069
2020-01-04,合肥,安徽,0.0068000000000000005
2020-01-04,南通,江苏,0.0066
2020-01-04,巴中,四川,0.006500000000000001
2020-01-04,阜阳,安徽,0.006
2020-01-04,深圳,广东,0.0055000000000000005
2020-01-04,宁波,浙江,0.0052
2020-01-04,长春,吉林,0.0052
2020-01-04,太原,山西,0.0051
2020-01-04,南阳,河南,0.0051
2020-01-04,淮安,江苏,0.0049
2020-01-04,驻马店,河南,0.0048
2020-01-04,洛阳,河南,0.0046
2020-01-04,长沙,湖南,0.0045000000000000005
2020-01-04,扬州,江苏,0.0045000000000000005
2020-01-04,常州,江苏,0.0043
2020-01-05,北京,北京,0.102
2020-01-05,徐州,江苏,0.0499
2020-01-05,天津,天津,0.0394
2020-01-05,上海,上海,0.032799999999999996
2020-01-05,连云港,江苏,0.031200000000000002
2020-01-05,沧州,河北,0.0301
2020-01-05,濮阳,河南,0.0276
2020-01-05,衡水,河北,0.0236
2020-01-05,邯郸,河北,0.019299999999999998
2020-01-05,邢台,河北,0.018000000000000002
2020-01-05,商丘,河南,0.017
2020-01-05,郑州,河南,0.0169
2020-01-05,石家庄,河北,0.015600000000000001
2020-01-05,南京,江苏,0.014499999999999999
2020-01-05,苏州,江苏,0.013600000000000001
2020-01-05,杭州,浙江,0.0111
2020-01-05,哈尔滨,黑龙江,0.011000000000000001
2020-01-05,周口,河南,0.0103
2020-01-05,保定,河北,0.0097
2020-01-05,大连,辽宁,0.0097
2020-01-05,西安,陕西,0.009000000000000001
2020-01-05,开封,河南,0.009000000000000001
2020-01-05,重庆,重庆,0.0089
2020-01-05,廊坊,河北,0.0087
2020-01-05,盐城,江苏,0.0084
2020-01-05,宿州,安徽,0.0077
2020-01-05,成都,四川,0.0077
2020-01-05,合肥,安徽,0.0077
2020-01-05,南通,江苏,0.0076
2020-01-05,广州,广东,0.0076
2020-01-05,沈阳,辽宁,0.0072
2020-01-05,唐山,河北,0.0072
2020-01-05,宿迁,江苏,0.0070999999999999995
2020-01-05,武汉,湖北,0.0069
2020-01-05,无锡,江苏,0.0069
2020-01-05,安阳,河南,0.0063
2020-01-05,新乡,河南,0.0063
2020-01-05,深圳,广东,0.006
2020-01-05,长春,吉林,0.0059
2020-01-05,阜阳,安徽,0.005699999999999999
2020-01-05,巴中,四川,0.005699999999999999
2020-01-05,太原,山西,0.0054
2020-01-05,南阳,河南,0.0051
2020-01-05,长沙,湖南,0.0051
2020-01-05,淮安,江苏,0.0051
2020-01-05,宁波,浙江,0.005
2020-01-05,常州,江苏,0.004699999999999999
2020-01-05,驻马店,河南,0.004699999999999999
2020-01-05,昆明,云南,0.0045000000000000005
2020-01-05,扬州,江苏,0.0043
2020-01-06,北京,北京,0.0875
2020-01-06,徐州,江苏,0.046799999999999994
2020-01-06,天津,天津,0.0355
2020-01-06,上海,上海,0.0317
2020-01-06,濮阳,河南,0.028300000000000002
2020-01-06,沧州,河北,0.0281
2020-01-06,连云港,江苏,0.027000000000000003
2020-01-06,衡水,河北,0.0229
2020-01-06,商丘,河南,0.018799999999999997
2020-01-06,邢台,河北,0.0173
2020-01-06,邯郸,河北,0.0172
2020-01-06,郑州,河南,0.0171
2020-01-06,南京,江苏,0.0154
2020-01-06,石家庄,河北,0.0144
2020-01-06,苏州,江苏,0.0125
2020-01-06,大连,辽宁,0.0118
2020-01-06,哈尔滨,黑龙江,0.011699999999999999
2020-01-06,杭州,浙江,0.0113
2020-01-06,周口,河南,0.0113
2020-01-06,开封,河南,0.0102
2020-01-06,盐城,江苏,0.0098
2020-01-06,保定,河北,0.0097
2020-01-06,重庆,重庆,0.009399999999999999
2020-01-06,西安,陕西,0.009300000000000001
2020-01-06,廊坊,河北,0.0088
2020-01-06,南通,江苏,0.0084
2020-01-06,合肥,安徽,0.008199999999999999
2020-01-06,沈阳,辽宁,0.008
2020-01-06,唐山,河北,0.008
2020-01-06,广州,广东,0.0077
2020-01-06,成都,四川,0.0075
2020-01-06,宿州,安徽,0.0074
2020-01-06,武汉,湖北,0.0074
2020-01-06,宿迁,江苏,0.0072
2020-01-06,无锡,江苏,0.0068000000000000005
2020-01-06,阜阳,安徽,0.0066
2020-01-06,长春,吉林,0.006500000000000001
2020-01-06,新乡,河南,0.0064
2020-01-06,安阳,河南,0.0060999999999999995
2020-01-06,太原,山西,0.006
2020-01-06,深圳,广东,0.006
2020-01-06,巴中,四川,0.005699999999999999
2020-01-06,驻马店,河南,0.0053
2020-01-06,宁波,浙江,0.0053
2020-01-06,淮安,江苏,0.0052
2020-01-06,常州,江苏,0.005
2020-01-06,南阳,河南,0.005
2020-01-06,长沙,湖南,0.005
2020-01-06,扬州,江苏,0.0049
2020-01-06,洛阳,河南,0.004699999999999999
2020-01-07,北京,北京,0.0883
2020-01-07,徐州,江苏,0.0446
2020-01-07,天津,天津,0.0369
2020-01-07,上海,上海,0.0333
2020-01-07,沧州,河北,0.0253
2020-01-07,连云港,江苏,0.024700000000000003
2020-01-07,濮阳,河南,0.0235
2020-01-07,衡水,河北,0.0204
2020-01-07,南京,江苏,0.018000000000000002
2020-01-07,郑州,河南,0.0168
2020-01-07,商丘,河南,0.0167
2020-01-07,邢台,河北,0.015
2020-01-07,邯郸,河北,0.0144
2020-01-07,哈尔滨,黑龙江,0.014199999999999999
2020-01-07,石家庄,河北,0.013600000000000001
2020-01-07,苏州,江苏,0.013300000000000001
2020-01-07,杭州,浙江,0.0113
2020-01-07,西安,陕西,0.0105
2020-01-07,重庆,重庆,0.0104
2020-01-07,周口,河南,0.0097
2020-01-07,成都,四川,0.009000000000000001
2020-01-07,盐城,江苏,0.0089
2020-01-07,保定,河北,0.0088
2020-01-07,沈阳,辽宁,0.0087
2020-01-07,广州,广东,0.0084
2020-01-07,开封,河南,0.0083
2020-01-07,合肥,安徽,0.008199999999999999
2020-01-07,长春,吉林,0.0076
2020-01-07,廊坊,河北,0.0075
2020-01-07,武汉,湖北,0.0074
2020-01-07,唐山,河北,0.0074
2020-01-07,南通,江苏,0.0073
2020-01-07,深圳,广东,0.0070999999999999995
2020-01-07,无锡,江苏,0.0070999999999999995
2020-01-07,宿州,安徽,0.006999999999999999
2020-01-07,大连,辽宁,0.0069
2020-01-07,宿迁,江苏,0.0067
2020-01-07,新乡,河南,0.006
2020-01-07,阜阳,安徽,0.0059
2020-01-07,太原,山西,0.005699999999999999
2020-01-07,巴中,四川,0.005600000000000001
2020-01-07,长沙,湖南,0.0055000000000000005
2020-01-07,宁波,浙江,0.0055000000000000005
2020-01-07,安阳,河南,0.0055000000000000005
2020-01-07,淮安,江苏,0.0054
2020-01-07,常州,江苏,0.0053
2020-01-07,南阳,河南,0.0051
2020-01-07,昆明,云南,0.005
2020-01-07,驻马店,河南,0.0045000000000000005
2020-01-07,扬州,江苏,0.0045000000000000005
2020-01-08,北京,北京,0.08289999999999999
2020-01-08,徐州,江苏,0.0433
2020-01-08,天津,天津,0.0366
2020-01-08,上海,上海,0.032400000000000005
2020-01-08,沧州,河北,0.025699999999999997
2020-01-08,连云港,江苏,0.0255
2020-01-08,南京,江苏,0.025
2020-01-08,濮阳,河南,0.023
2020-01-08,衡水,河北,0.0197
2020-01-08,郑州,河南,0.0169
2020-01-08,商丘,河南,0.016
2020-01-08,邯郸,河北,0.0149
2020-01-08,邢台,河北,0.0147
2020-01-08,石家庄,河北,0.013999999999999999
2020-01-08,哈尔滨,黑龙江,0.013300000000000001
2020-01-08,苏州,江苏,0.0128
2020-01-08,大连,辽宁,0.0121
2020-01-08,杭州,浙江,0.010700000000000001
2020-01-08,周口,河南,0.0106
2020-01-08,西安,陕西,0.0106
2020-01-08,重庆,重庆,0.01
2020-01-08,盐城,江苏,0.0092
2020-01-08,保定,河北,0.009000000000000001
2020-01-08,沈阳,辽宁,0.0089
2020-01-08,成都,四川,0.0086
2020-01-08,合肥,安徽,0.0084
2020-01-08,廊坊,河北,0.0083
2020-01-08,开封,河南,0.008199999999999999
2020-01-08,唐山,河北,0.0079
2020-01-08,南通,江苏,0.0077
2020-01-08,广州,广东,0.0076
2020-01-08,武汉,湖北,0.0074
2020-01-08,无锡,江苏,0.0070999999999999995
2020-01-08,宿迁,江苏,0.0070999999999999995
2020-01-08,长春,吉林,0.006999999999999999
2020-01-08,宿州,安徽,0.0067
2020-01-08,阜阳,安徽,0.0063
2020-01-08,新乡,河南,0.0062
2020-01-08,巴中,四川,0.0059
2020-01-08,安阳,河南,0.0058
2020-01-08,深圳,广东,0.005699999999999999
2020-01-08,长沙,湖南,0.005600000000000001
2020-01-08,太原,山西,0.0053
2020-01-08,宁波,浙江,0.0052
2020-01-08,淮安,江苏,0.0052
2020-01-08,南阳,河南,0.005
2020-01-08,扬州,江苏,0.004699999999999999
2020-01-08,驻马店,河南,0.004699999999999999
2020-01-08,昆明,云南,0.0046
2020-01-08,常州,江苏,0.0045000000000000005
2020-01-09,北京,北京,0.0747
2020-01-09,徐州,江苏,0.0421
2020-01-09,天津,天津,0.0339
2020-01-09,上海,上海,0.028900000000000002
2020-01-09,沧州,河北,0.0279
2020-01-09,濮阳,河南,0.0255
2020-01-09,连云港,江苏,0.0241
2020-01-09,衡水,河北,0.0207
2020-01-09,南京,江苏,0.0194
2020-01-09,邯郸,河北,0.0189
2020-01-09,邢台,河北,0.0184
2020-01-09,郑州,河南,0.0171
2020-01-09,商丘,河南,0.0163
2020-01-09,石家庄,河北,0.0141
2020-01-09,哈尔滨,黑龙江,0.0139
2020-01-09,苏州,江苏,0.012
2020-01-09,周口,河南,0.0118
2020-01-09,大连,辽宁,0.0115
2020-01-09,西安,陕西,0.0103
2020-01-09,杭州,浙江,0.009899999999999999
2020-01-09,重庆,重庆,0.0096
2020-01-09,保定,河北,0.009399999999999999
2020-01-09,沈阳,辽宁,0.009000000000000001
2020-01-09,廊坊,河北,0.0089
2020-01-09,盐城,江苏,0.0087
2020-01-09,开封,河南,0.0084
2020-01-09,成都,四川,0.0076
2020-01-09,合肥,安徽,0.0076
2020-01-09,南通,江苏,0.0074
2020-01-09,唐山,河北,0.0073
2020-01-09,广州,广东,0.0070999999999999995
2020-01-09,阜阳,安徽,0.006999999999999999
2020-01-09,无锡,江苏,0.0069
2020-01-09,武汉,湖北,0.0069
2020-01-09,巴中,四川,0.0068000000000000005
2020-01-09,新乡,河南,0.0068000000000000005
2020-01-09,宿迁,江苏,0.0067
2020-01-09,宿州,安徽,0.0066
2020-01-09,安阳,河南,0.006500000000000001
2020-01-09,南阳,河南,0.0064
2020-01-09,长春,吉林,0.0060999999999999995
2020-01-09,驻马店,河南,0.005600000000000001
2020-01-09,深圳,广东,0.0053
2020-01-09,太原,山西,0.0052
2020-01-09,长沙,湖南,0.0052
2020-01-09,扬州,江苏,0.0052
2020-01-09,淮安,江苏,0.005
2020-01-09,常州,江苏,0.0048
2020-01-09,宁波,浙江,0.004699999999999999
2020-01-09,安庆,安徽,0.004699999999999999
2020-01-10,北京,北京,0.07690000000000001
2020-01-10,徐州,江苏,0.0475
2020-01-10,天津,天津,0.038
2020-01-10,沧州,河北,0.030600000000000002
2020-01-10,上海,上海,0.028399999999999998
2020-01-10,濮阳,河南,0.0265
2020-01-10,连云港,江苏,0.0259
2020-01-10,衡水,河北,0.020499999999999997
2020-01-10,郑州,河南,0.02
2020-01-10,邯郸,河北,0.0196
2020-01-10,南京,江苏,0.0191
2020-01-10,商丘,河南,0.0187
2020-01-10,邢台,河北,0.0184
2020-01-10,石家庄,河北,0.0151
2020-01-10,大连,辽宁,0.012
2020-01-10,苏州,江苏,0.0116
2020-01-10,哈尔滨,黑龙江,0.0116
2020-01-10,保定,河北,0.0108
2020-01-10,西安,陕西,0.010700000000000001
2020-01-10,周口,河南,0.010700000000000001
2020-01-10,杭州,浙江,0.0103
2020-01-10,盐城,江苏,0.01
2020-01-10,开封,河南,0.009899999999999999
2020-01-10,廊坊,河北,0.009399999999999999
2020-01-10,沈阳,辽宁,0.0092
2020-01-10,重庆,重庆,0.0086
2020-01-10,唐山,河北,0.0079
2020-01-10,宿迁,江苏,0.0079
2020-01-10,合肥,安徽,0.0077
2020-01-10,南通,江苏,0.0076
2020-01-10,武汉,湖北,0.0075
2020-01-10,新乡,河南,0.0074
2020-01-10,无锡,江苏,0.0073
2020-01-10,成都,四川,0.0072
2020-01-10,宿州,安徽,0.0070999999999999995
2020-01-10,安阳,河南,0.0070999999999999995
2020-01-10,广州,广东,0.0069
2020-01-10,阜阳,安徽,0.0064
2020-01-10,南阳,河南,0.0059
2020-01-10,巴中,四川,0.005699999999999999
2020-01-10,长沙,湖南,0.005699999999999999
2020-01-10,淮安,江苏,0.0055000000000000005
2020-01-10,长春,吉林,0.0055000000000000005
2020-01-10,太原,山西,0.0055000000000000005
2020-01-10,深圳,广东,0.0052
2020-01-10,扬州,江苏,0.0051
2020-01-10,驻马店,河南,0.005
2020-01-10,常州,江苏,0.0048
2020-01-10,洛阳,河南,0.004699999999999999
2020-01-10,宁波,浙江,0.0046
2020-01-11,北京,北京,0.0793
2020-01-11,徐州,江苏,0.0493
2020-01-11,天津,天津,0.0379
2020-01-11,沧州,河北,0.028399999999999998
2020-01-11,濮阳,河南,0.0281
2020-01-11,上海,上海,0.0278
2020-01-11,连云港,江苏,0.0275
2020-01-11,衡水,河北,0.0217
2020-01-11,郑州,河南,0.0199
2020-01-11,商丘,河南,0.0194
2020-01-11,邯郸,河北,0.0194
2020-01-11,邢台,河北,0.0189
2020-01-11,南京,江苏,0.0167
2020-01-11,石家庄,河北,0.0137
2020-01-11,大连,辽宁,0.0132
2020-01-11,哈尔滨,黑龙江,0.0127
2020-01-11,苏州,江苏,0.0125
2020-01-11,西安,陕西,0.011200000000000002
2020-01-11,周口,河南,0.011200000000000002
2020-01-11,杭州,浙江,0.0103
2020-01-11,开封,河南,0.0103
2020-01-11,盐城,江苏,0.0102
2020-01-11,保定,河北,0.0092
2020-01-11,重庆,重庆,0.0091
2020-01-11,廊坊,河北,0.009000000000000001
2020-01-11,沈阳,辽宁,0.0083
2020-01-11,唐山,河北,0.008199999999999999
2020-01-11,宿迁,江苏,0.008
2020-01-11,合肥,安徽,0.008
2020-01-11,无锡,江苏,0.0079
2020-01-11,南通,江苏,0.0076
2020-01-11,宿州,安徽,0.0075
2020-01-11,阜阳,安徽,0.0074
2020-01-11,成都,四川,0.0072
2020-01-11,新乡,河南,0.0069
2020-01-11,武汉,湖北,0.0067
2020-01-11,安阳,河南,0.0066
2020-01-11,广州,广东,0.0064
2020-01-11,南阳,河南,0.0062
2020-01-11,巴中,四川,0.005699999999999999
2020-01-11,淮安,江苏,0.0053
2020-01-11,长春,吉林,0.0053
2020-01-11,太原,山西,0.0053
2020-01-11,长沙,湖南,0.005
2020-01-11,驻马店,河南,0.0048
2020-01-11,扬州,江苏,0.004699999999999999
2020-01-11,常州,江苏,0.004699999999999999
2020-01-11,宁波,浙江,0.004699999999999999
2020-01-11,深圳,广东,0.0046
2020-01-11,昆明,云南,0.0046
2020-01-12,北京,北京,0.0736
2020-01-12,徐州,江苏,0.052000000000000005
2020-01-12,天津,天津,0.0338
2020-01-12,濮阳,河南,0.031200000000000002
2020-01-12,沧州,河北,0.029300000000000003
2020-01-12,连云港,江苏,0.0287
2020-01-12,上海,上海,0.0263
2020-01-12,衡水,河北,0.0256
2020-01-12,邯郸,河北,0.0208
2020-01-12,商丘,河南,0.0207
2020-01-12,邢台,河北,0.0204
2020-01-12,郑州,河南,0.0194
2020-01-12,石家庄,河北,0.0143
2020-01-12,哈尔滨,黑龙江,0.013999999999999999
2020-01-12,南京,江苏,0.0139
2020-01-12,大连,辽宁,0.011699999999999999
2020-01-12,苏州,江苏,0.0113
2020-01-12,西安,陕西,0.0109
2020-01-12,周口,河南,0.0109
2020-01-12,开封,河南,0.0106
