日期,市,省,比例
2020-01-01,北京,北京,0.1105
2020-01-01,榆林,陕西,0.07690000000000001
2020-01-01,石家庄,河北,0.0581
2020-01-01,西安,陕西,0.0458
2020-01-01,天津,天津,0.0335
2020-01-01,鄂尔多斯,内蒙古,0.0319
2020-01-01,邯郸,河北,0.0315
2020-01-01,保定,河北,0.0277
2020-01-01,乌兰察布,内蒙古,0.0276
2020-01-01,渭南,陕西,0.0271
2020-01-01,张家口,河北,0.0255
2020-01-01,郑州,河南,0.0237
2020-01-01,焦作,河南,0.0211
2020-01-01,安阳,河南,0.0202
2020-01-01,三门峡,河南,0.0197
2020-01-01,邢台,河北,0.0194
2020-01-01,呼和浩特,内蒙古,0.0177
2020-01-01,上海,上海,0.0141
2020-01-01,沧州,河北,0.0134
2020-01-01,新乡,河南,0.0128
2020-01-01,延安,陕西,0.0119
2020-01-01,洛阳,河南,0.0097
2020-01-01,苏州,江苏,0.0093
2020-01-01,廊坊,河北,0.0087
2020-01-01,唐山,河北,0.008100000000000001
2020-01-01,包头,内蒙古,0.008
2020-01-01,成都,四川,0.0079
2020-01-01,济源,河南,0.0068000000000000005
2020-01-01,武汉,湖北,0.006500000000000001
2020-01-01,青岛,山东,0.0064
2020-01-01,杭州,浙江,0.0062
2020-01-01,济南,山东,0.0062
2020-01-01,衡水,河北,0.0061
2020-01-01,聊城,山东,0.005600000000000001
2020-01-01,南京,江苏,0.0055000000000000005
2020-01-01,重庆,重庆,0.005
2020-01-01,咸阳,陕西,0.0049
2020-01-01,无锡,江苏,0.004699999999999999
2020-01-01,广州,广东,0.0046
2020-01-01,哈尔滨,黑龙江,0.0046
2020-01-01,深圳,广东,0.0042
2020-01-01,徐州,江苏,0.004
2020-01-01,潍坊,山东,0.0039
2020-01-01,长沙,湖南,0.0037
2020-01-01,南阳,河南,0.0036
2020-01-01,合肥,安徽,0.0034
2020-01-01,三亚,海南,0.0034
2020-01-01,菏泽,山东,0.0033
2020-01-01,德州,山东,0.0033
2020-01-01,济宁,山东,0.0032
2020-01-02,北京,北京,0.1224
2020-01-02,石家庄,河北,0.0608
2020-01-02,西安,陕西,0.0466
2020-01-02,天津,天津,0.0393
2020-01-02,榆林,陕西,0.0377
2020-01-02,邯郸,河北,0.0289
2020-01-02,保定,河北,0.0255
2020-01-02,安阳,河南,0.024700000000000003
2020-01-02,郑州,河南,0.0233
2020-01-02,鄂尔多斯,内蒙古,0.0218
2020-01-02,上海,上海,0.0197
2020-01-02,邢台,河北,0.0188
2020-01-02,焦作,河南,0.018000000000000002
2020-01-02,张家口,河北,0.017
2020-01-02,乌兰察布,内蒙古,0.0161
2020-01-02,苏州,江苏,0.0154
2020-01-02,呼和浩特,内蒙古,0.0153
2020-01-02,沧州,河北,0.0147
2020-01-02,廊坊,河北,0.011200000000000002
2020-01-02,新乡,河南,0.011200000000000002
2020-01-02,渭南,陕西,0.0104
2020-01-02,洛阳,河南,0.01
2020-01-02,成都,四川,0.0094
2020-01-02,三门峡,河南,0.0094
2020-01-02,武汉,湖北,0.0092
2020-01-02,青岛,山东,0.0091
2020-01-02,包头,内蒙古,0.0089
2020-01-02,济南,山东,0.0087
2020-01-02,聊城,山东,0.0079
2020-01-02,衡水,河北,0.0078
2020-01-02,唐山,河北,0.0076
2020-01-02,杭州,浙江,0.0074
2020-01-02,南京,江苏,0.0074
2020-01-02,哈尔滨,黑龙江,0.0073
2020-01-02,延安,陕西,0.0072
2020-01-02,徐州,江苏,0.0061
2020-01-02,重庆,重庆,0.006
2020-01-02,无锡,江苏,0.006
2020-01-02,广州,广东,0.0058
2020-01-02,潍坊,山东,0.005
2020-01-02,咸阳,陕西,0.005
2020-01-02,济宁,山东,0.0049
2020-01-02,长春,吉林,0.0049
2020-01-02,沈阳,辽宁,0.0049
2020-01-02,大连,辽宁,0.0048
2020-01-02,济源,河南,0.0045000000000000005
2020-01-02,深圳,广东,0.0045000000000000005
2020-01-02,德州,山东,0.0042
2020-01-02,长沙,湖南,0.0041
2020-01-02,合肥,安徽,0.004
