日期,市,省,比例
2020-01-01,北京,北京,0.095
2020-01-01,榆林,陕西,0.0875
2020-01-01,石家庄,河北,0.0482
2020-01-01,西安,陕西,0.0432
2020-01-01,鄂尔多斯,内蒙古,0.0363
2020-01-01,邯郸,河北,0.0326
2020-01-01,张家口,河北,0.0298
2020-01-01,郑州,河南,0.0297
2020-01-01,保定,河北,0.028999999999999998
2020-01-01,安阳,河南,0.027999999999999997
2020-01-01,乌兰察布,内蒙古,0.026000000000000002
2020-01-01,渭南,陕西,0.0241
2020-01-01,三门峡,河南,0.0231
2020-01-01,天津,天津,0.022799999999999997
2020-01-01,邢台,河北,0.0202
2020-01-01,呼和浩特,内蒙古,0.016
2020-01-01,焦作,河南,0.015300000000000001
2020-01-01,延安,陕西,0.0128
2020-01-01,唐山,河北,0.0127
2020-01-01,新乡,河南,0.0113
2020-01-01,沧州,河北,0.011200000000000002
2020-01-01,洛阳,河南,0.009300000000000001
2020-01-01,包头,内蒙古,0.0092
2020-01-01,上海,上海,0.0092
2020-01-01,重庆,重庆,0.0070999999999999995
2020-01-01,周口,河南,0.0066
2020-01-01,廊坊,河北,0.006500000000000001
2020-01-01,南阳,河南,0.0063
2020-01-01,成都,四川,0.0060999999999999995
2020-01-01,聊城,山东,0.0059
2020-01-01,咸阳,陕西,0.0054
2020-01-01,衡水,河北,0.0052
2020-01-01,商丘,河南,0.005
2020-01-01,济源,河南,0.005
2020-01-01,徐州,江苏,0.005
2020-01-01,菏泽,山东,0.0049
2020-01-01,济南,山东,0.0048
2020-01-01,苏州,江苏,0.004699999999999999
2020-01-01,杭州,浙江,0.0044
2020-01-01,广州,广东,0.0043
2020-01-01,济宁,山东,0.0040999999999999995
2020-01-01,青岛,山东,0.0039000000000000003
2020-01-01,武汉,湖北,0.0039000000000000003
2020-01-01,安康,陕西,0.0038
2020-01-01,南京,江苏,0.0037
2020-01-01,深圳,广东,0.0036
2020-01-01,开封,河南,0.0036
2020-01-01,驻马店,河南,0.0034000000000000002
2020-01-01,濮阳,河南,0.0034000000000000002
2020-01-01,平顶山,河南,0.0034000000000000002
2020-01-02,北京,北京,0.09820000000000001
2020-01-02,榆林,陕西,0.0603
2020-01-02,西安,陕西,0.0403
2020-01-02,石家庄,河北,0.036699999999999997
2020-01-02,鄂尔多斯,内蒙古,0.0336
2020-01-02,天津,天津,0.0279
2020-01-02,郑州,河南,0.027200000000000002
2020-01-02,邯郸,河北,0.024700000000000003
2020-01-02,安阳,河南,0.024399999999999998
2020-01-02,保定,河北,0.0217
2020-01-02,唐山,河北,0.0206
2020-01-02,乌兰察布,内蒙古,0.020499999999999997
2020-01-02,张家口,河北,0.0195
2020-01-02,呼和浩特,内蒙古,0.016
2020-01-02,邢台,河北,0.0152
2020-01-02,渭南,陕西,0.0149
2020-01-02,上海,上海,0.013000000000000001
2020-01-02,三门峡,河南,0.0116
2020-01-02,新乡,河南,0.0113
2020-01-02,沧州,河北,0.0113
2020-01-02,重庆,重庆,0.0109
2020-01-02,包头,内蒙古,0.0108
2020-01-02,焦作,河南,0.0102
2020-01-02,延安,陕西,0.0096
2020-01-02,洛阳,河南,0.0087
2020-01-02,成都,四川,0.0084
2020-01-02,周口,河南,0.008199999999999999
2020-01-02,南阳,河南,0.0073
2020-01-02,廊坊,河北,0.0063
2020-01-02,广州,广东,0.006
2020-01-02,青岛,山东,0.005699999999999999
2020-01-02,深圳,广东,0.0055000000000000005
2020-01-02,济南,山东,0.0053
2020-01-02,徐州,江苏,0.0053
2020-01-02,苏州,江苏,0.0052
2020-01-02,聊城,山东,0.0051
2020-01-02,衡水,河北,0.0051
2020-01-02,三亚,海南,0.0051
2020-01-02,商丘,河南,0.005
2020-01-02,潍坊,山东,0.0049
2020-01-02,菏泽,山东,0.0048
2020-01-02,南京,江苏,0.004699999999999999
2020-01-02,杭州,浙江,0.004699999999999999
2020-01-02,安康,陕西,0.004699999999999999
2020-01-02,济源,河南,0.004699999999999999
2020-01-02,咸阳,陕西,0.0046
2020-01-02,武汉,湖北,0.0045000000000000005
2020-01-02,昆明,云南,0.0044
2020-01-02,济宁,山东,0.0044
2020-01-02,驻马店,河南,0.0042
2020-01-03,北京,北京,0.09300000000000001
2020-01-03,榆林,陕西,0.0682
2020-01-03,石家庄,河北,0.0478
2020-01-03,西安,陕西,0.0458
2020-01-03,鄂尔多斯,内蒙古,0.034300000000000004
2020-01-03,邯郸,河北,0.0296
2020-01-03,天津,天津,0.0271
2020-01-03,郑州,河南,0.027000000000000003
2020-01-03,安阳,河南,0.024900000000000002
2020-01-03,保定,河北,0.0241
