日期,市,省,比例
2020-01-01,赣州,江西,0.0433
2020-01-01,香港,香港,0.0424
2020-01-01,玉林,广西,0.0417
2020-01-01,澳门,澳门,0.040999999999999995
2020-01-01,梧州,广西,0.0308
2020-01-01,贵港,广西,0.029300000000000003
2020-01-01,郴州,湖南,0.0282
2020-01-01,南宁,广西,0.0279
2020-01-01,长沙,湖南,0.0259
2020-01-01,北京,北京,0.025
2020-01-01,衡阳,湖南,0.0239
2020-01-01,上海,上海,0.0231
2020-01-01,贺州,广西,0.0176
2020-01-01,永州,湖南,0.0174
2020-01-01,重庆,重庆,0.0172
2020-01-01,桂林,广西,0.017
2020-01-01,漳州,福建,0.0165
2020-01-01,武汉,湖北,0.0158
2020-01-01,成都,四川,0.0134
2020-01-01,厦门,福建,0.0134
2020-01-01,海口,海南,0.0126
2020-01-01,邵阳,湖南,0.0123
2020-01-01,钦州,广西,0.012199999999999999
2020-01-01,泉州,福建,0.0111
2020-01-01,北海,广西,0.010700000000000001
2020-01-01,杭州,浙江,0.009899999999999999
2020-01-01,吉安,江西,0.0095
2020-01-01,西安,陕西,0.0092
2020-01-01,龙岩,福建,0.0089
2020-01-01,南昌,江西,0.0085
2020-01-01,贵阳,贵州,0.008
2020-01-01,福州,福建,0.0077
2020-01-01,郑州,河南,0.0076
2020-01-01,柳州,广西,0.0075
2020-01-01,株洲,湖南,0.0069
2020-01-01,百色,广西,0.0064
2020-01-01,苏州,江苏,0.0064
2020-01-01,岳阳,湖南,0.0062
2020-01-01,昆明,云南,0.0062
2020-01-01,南京,江苏,0.006
2020-01-01,天津,天津,0.0059
2020-01-01,常德,湖南,0.005699999999999999
2020-01-01,宜春,江西,0.005699999999999999
2020-01-01,怀化,湖南,0.0052
2020-01-01,娄底,湖南,0.0051
2020-01-01,河池,广西,0.0051
2020-01-01,温州,浙江,0.0048
2020-01-01,三亚,海南,0.004699999999999999
2020-01-01,益阳,湖南,0.0044
2020-01-01,南阳,河南,0.0044
2020-01-02,香港,香港,0.0332
2020-01-02,北京,北京,0.0331
2020-01-02,赣州,江西,0.0319
2020-01-02,玉林,广西,0.0316
2020-01-02,上海,上海,0.0296
2020-01-02,长沙,湖南,0.0287
2020-01-02,南宁,广西,0.0273
2020-01-02,贵港,广西,0.024900000000000002
2020-01-02,郴州,湖南,0.0218
2020-01-02,梧州,广西,0.0216
2020-01-02,衡阳,湖南,0.0202
2020-01-02,澳门,澳门,0.0199
2020-01-02,武汉,湖北,0.0197
2020-01-02,重庆,重庆,0.0182
2020-01-02,成都,四川,0.0167
2020-01-02,永州,湖南,0.014199999999999999
2020-01-02,桂林,广西,0.0141
2020-01-02,贺州,广西,0.0134
2020-01-02,南昌,江西,0.0128
2020-01-02,厦门,福建,0.0123
2020-01-02,杭州,浙江,0.012199999999999999
2020-01-02,泉州,福建,0.011699999999999999
2020-01-02,漳州,福建,0.011200000000000002
2020-01-02,郑州,河南,0.0106
2020-01-02,钦州,广西,0.0105
2020-01-02,海口,海南,0.0104
2020-01-02,邵阳,湖南,0.0103
2020-01-02,西安,陕西,0.01
2020-01-02,贵阳,贵州,0.01
2020-01-02,苏州,江苏,0.0096
2020-01-02,吉安,江西,0.0091
2020-01-02,北海,广西,0.009000000000000001
2020-01-02,南京,江苏,0.0087
2020-01-02,福州,福建,0.0086
2020-01-02,昆明,云南,0.008199999999999999
2020-01-02,天津,天津,0.008199999999999999
2020-01-02,柳州,广西,0.0079
2020-01-02,株洲,湖南,0.0079
2020-01-02,岳阳,湖南,0.0068000000000000005
2020-01-02,宜春,江西,0.0067
2020-01-02,龙岩,福建,0.0060999999999999995
2020-01-02,温州,浙江,0.006
2020-01-02,宁波,浙江,0.005600000000000001
2020-01-02,南阳,河南,0.0055000000000000005
2020-01-02,百色,广西,0.0054
2020-01-02,常德,湖南,0.0054
2020-01-02,哈尔滨,黑龙江,0.0052
2020-01-02,合肥,安徽,0.0051
2020-01-02,沈阳,辽宁,0.0051
2020-01-02,九江,江西,0.005
2020-01-03,香港,香港,0.057699999999999994
2020-01-03,澳门,澳门,0.0557
2020-01-03,赣州,江西,0.0325
2020-01-03,玉林,广西,0.030600000000000002
2020-01-03,长沙,湖南,0.029300000000000003
2020-01-03,北京,北京,0.0292
2020-01-03,南宁,广西,0.0276
2020-01-03,上海,上海,0.027200000000000002
2020-01-03,郴州,湖南,0.022400000000000003
2020-01-03,梧州,广西,0.0223
2020-01-03,贵港,广西,0.021400000000000002
2020-01-03,衡阳,湖南,0.0189
2020-01-03,武汉,湖北,0.018799999999999997
2020-01-03,重庆,重庆,0.0159
2020-01-03,成都,四川,0.0158
2020-01-03,桂林,广西,0.0155
2020-01-03,永州,湖南,0.0132
2020-01-03,厦门,福建,0.013000000000000001
2020-01-03,泉州,福建,0.0127
2020-01-03,漳州,福建,0.0123
2020-01-03,贺州,广西,0.0121
2020-01-03,南昌,江西,0.012
2020-01-03,海口,海南,0.0118
2020-01-03,杭州,浙江,0.0111
2020-01-03,贵阳,贵州,0.0105
2020-01-03,郑州,河南,0.0101
2020-01-03,北海,广西,0.009300000000000001
2020-01-03,邵阳,湖南,0.009300000000000001
2020-01-03,钦州,广西,0.0092
2020-01-03,福州,福建,0.0091
2020-01-03,西安,陕西,0.0087
2020-01-03,株洲,湖南,0.008199999999999999
2020-01-03,昆明,云南,0.008199999999999999
2020-01-03,苏州,江苏,0.008100000000000001
2020-01-03,吉安,江西,0.008
2020-01-03,南京,江苏,0.0079
2020-01-03,柳州,广西,0.0077
2020-01-03,天津,天津,0.0076
2020-01-03,宁波,浙江,0.006
2020-01-03,龙岩,福建,0.0059
2020-01-03,温州,浙江,0.0058
