日期,市,省,比例
2020-01-01,香港,香港,0.049699999999999994
2020-01-01,澳门,澳门,0.0449
2020-01-01,赣州,江西,0.0337
2020-01-01,重庆,重庆,0.029500000000000002
2020-01-01,玉林,广西,0.0291
2020-01-01,衡阳,湖南,0.026699999999999998
2020-01-01,郴州,湖南,0.0246
2020-01-01,贵港,广西,0.0236
2020-01-01,南宁,广西,0.022799999999999997
2020-01-01,梧州,广西,0.0219
2020-01-01,永州,湖南,0.021099999999999997
2020-01-01,长沙,湖南,0.0166
2020-01-01,邵阳,湖南,0.0165
2020-01-01,北京,北京,0.015
2020-01-01,桂林,广西,0.0139
2020-01-01,百色,广西,0.0137
2020-01-01,上海,上海,0.0131
2020-01-01,贺州,广西,0.0127
2020-01-01,文山壮族苗族自治州,云南,0.0123
2020-01-01,钦州,广西,0.012
2020-01-01,荆州,湖北,0.0116
2020-01-01,南阳,河南,0.0111
2020-01-01,武汉,湖北,0.0106
2020-01-01,吉安,江西,0.0105
2020-01-01,漳州,福建,0.0103
2020-01-01,成都,四川,0.0101
2020-01-01,常德,湖南,0.0098
2020-01-01,达州,四川,0.0096
2020-01-01,驻马店,河南,0.009300000000000001
2020-01-01,怀化,湖南,0.0091
2020-01-01,河池,广西,0.009000000000000001
2020-01-01,岳阳,湖南,0.009000000000000001
2020-01-01,黔东南苗族侗族自治州,贵州,0.0087
2020-01-01,厦门,福建,0.0079
2020-01-01,黄冈,湖北,0.0079
2020-01-01,遵义,贵州,0.0077
2020-01-01,株洲,湖南,0.0076
2020-01-01,铜仁,贵州,0.0075
2020-01-01,黔南布依族苗族自治州,贵州,0.006999999999999999
2020-01-01,柳州,广西,0.0068000000000000005
2020-01-01,娄底,湖南,0.0067
2020-01-01,北海,广西,0.0067
2020-01-01,贵阳,贵州,0.0066
2020-01-01,毕节,贵州,0.0066
2020-01-01,昆明,云南,0.006500000000000001
2020-01-01,海口,海南,0.0064
2020-01-01,南充,四川,0.0063
2020-01-01,宜春,江西,0.0063
2020-01-01,泉州,福建,0.0062
2020-01-01,益阳,湖南,0.0062
2020-01-02,重庆,重庆,0.0356
2020-01-02,衡阳,湖南,0.0294
2020-01-02,香港,香港,0.0277
