日期,市,省,比例
2020-01-01,佛山,广东,0.1035
2020-01-01,广州,广东,0.1002
2020-01-01,东莞,广东,0.094
2020-01-01,深圳,广东,0.0731
2020-01-01,中山,广东,0.0579
2020-01-01,湛江,广东,0.0456
2020-01-01,茂名,广东,0.0297
2020-01-01,肇庆,广东,0.0279
2020-01-01,永州,湖南,0.0263
2020-01-01,江门,广东,0.0254
2020-01-01,文山壮族苗族自治州,云南,0.018500000000000003
2020-01-01,黔西南布依族苗族自治州,贵州,0.017
2020-01-01,惠州,广东,0.0155
2020-01-01,黔南布依族苗族自治州,贵州,0.0151
2020-01-01,黔东南苗族侗族自治州,贵州,0.0122
2020-01-01,云浮,广东,0.0116
2020-01-01,北京,北京,0.0104
2020-01-01,珠海,广东,0.0101
2020-01-01,长沙,湖南,0.01
2020-01-01,重庆,重庆,0.0099
2020-01-01,上海,上海,0.0098
2020-01-01,邵阳,湖南,0.0095
2020-01-01,贵阳,贵州,0.0088
2020-01-01,成都,四川,0.008
2020-01-01,昆明,云南,0.0078
2020-01-01,怀化,湖南,0.0068000000000000005
2020-01-01,武汉,湖北,0.0066
2020-01-01,清远,广东,0.0066
2020-01-01,杭州,浙江,0.006500000000000001
2020-01-01,汕头,广东,0.0064
2020-01-01,衡阳,湖南,0.0063
2020-01-01,阳江,广东,0.006
2020-01-01,海口,海南,0.0052
2020-01-01,曲靖,云南,0.0048
2020-01-01,天津,天津,0.0045000000000000005
2020-01-01,泉州,福建,0.0041
2020-01-01,金华,浙江,0.0041
2020-01-01,温州,浙江,0.0034
2020-01-01,宁波,浙江,0.0032
2020-01-01,郑州,河南,0.0031
2020-01-01,厦门,福建,0.0031
2020-01-01,西安,陕西,0.003
2020-01-01,福州,福建,0.0029
2020-01-01,三亚,海南,0.0028000000000000004
2020-01-01,遵义,贵州,0.0028000000000000004
2020-01-01,南京,江苏,0.0028000000000000004
2020-01-01,苏州,江苏,0.0027
2020-01-01,揭阳,广东,0.0027
2020-01-01,郴州,湖南,0.0025
2020-01-01,南昌,江西,0.0025
2020-01-02,东莞,广东,0.1119
2020-01-02,广州,广东,0.1005
2020-01-02,佛山,广东,0.0997
2020-01-02,深圳,广东,0.08839999999999999
2020-01-02,中山,广东,0.0618
2020-01-02,湛江,广东,0.0273
2020-01-02,江门,广东,0.024700000000000003
2020-01-02,茂名,广东,0.0178
2020-01-02,肇庆,广东,0.0177
2020-01-02,惠州,广东,0.0174
2020-01-02,永州,湖南,0.0139
2020-01-02,上海,上海,0.0136
2020-01-02,长沙,湖南,0.0127
2020-01-02,北京,北京,0.0123
2020-01-02,重庆,重庆,0.0117
2020-01-02,珠海,广东,0.0104
2020-01-02,成都,四川,0.0097
2020-01-02,武汉,湖北,0.0096
2020-01-02,文山壮族苗族自治州,云南,0.0095
2020-01-02,贵阳,贵州,0.0093
2020-01-02,黔南布依族苗族自治州,贵州,0.0092
2020-01-02,昆明,云南,0.0087
2020-01-02,黔西南布依族苗族自治州,贵州,0.008199999999999999
2020-01-02,杭州,浙江,0.0077
2020-01-02,邵阳,湖南,0.0074
2020-01-02,云浮,广东,0.0071
2020-01-02,黔东南苗族侗族自治州,贵州,0.0069
2020-01-02,天津,天津,0.0063
2020-01-02,衡阳,湖南,0.006
2020-01-02,汕头,广东,0.0058
2020-01-02,清远,广东,0.0054
2020-01-02,金华,浙江,0.0052
2020-01-02,西安,陕西,0.0052
2020-01-02,阳江,广东,0.0048
2020-01-02,海口,海南,0.0048
2020-01-02,郑州,河南,0.004699999999999999
2020-01-02,怀化,湖南,0.0043
2020-01-02,泉州,福建,0.0042
2020-01-02,福州,福建,0.0039
2020-01-02,南京,江苏,0.0037
2020-01-02,南昌,江西,0.0037
2020-01-02,苏州,江苏,0.0036
2020-01-02,厦门,福建,0.0035
2020-01-02,石家庄,河北,0.0035
2020-01-02,宁波,浙江,0.0033
2020-01-02,温州,浙江,0.0033
2020-01-02,揭阳,广东,0.0032
2020-01-02,遵义,贵州,0.003
2020-01-02,曲靖,云南,0.0029
2020-01-02,赣州,江西,0.0027
2020-01-03,广州,广东,0.1015
2020-01-03,东莞,广东,0.097
2020-01-03,佛山,广东,0.09210000000000004
2020-01-03,深圳,广东,0.0842
2020-01-03,中山,广东,0.0538
2020-01-03,湛江,广东,0.0349
2020-01-03,茂名,广东,0.0231
2020-01-03,江门,广东,0.0225
2020-01-03,肇庆,广东,0.0206
2020-01-03,永州,湖南,0.0195
2020-01-03,惠州,广东,0.016
2020-01-03,上海,上海,0.0132
2020-01-03,文山壮族苗族自治州,云南,0.0131
2020-01-03,长沙,湖南,0.0128
2020-01-03,北京,北京,0.0128
2020-01-03,黔西南布依族苗族自治州,贵州,0.0125
2020-01-03,重庆,重庆,0.0111
2020-01-03,黔南布依族苗族自治州,贵州,0.0107
2020-01-03,贵阳,贵州,0.0104
2020-01-03,武汉,湖北,0.0101
2020-01-03,珠海,广东,0.0098
2020-01-03,昆明,云南,0.0093
2020-01-03,云浮,广东,0.0092
2020-01-03,成都,四川,0.0089
2020-01-03,黔东南苗族侗族自治州,贵州,0.0086
2020-01-03,邵阳,湖南,0.0079
2020-01-03,杭州,浙江,0.0073
2020-01-03,天津,天津,0.0071
2020-01-03,衡阳,湖南,0.0067
2020-01-03,怀化,湖南,0.006500000000000001
2020-01-03,清远,广东,0.0058
2020-01-03,海口,海南,0.0053
2020-01-03,郑州,河南,0.0048
2020-01-03,泉州,福建,0.0046
2020-01-03,阳江,广东,0.0045000000000000005
2020-01-03,汕头,广东,0.0045000000000000005
2020-01-03,西安,陕西,0.0045000000000000005
2020-01-03,南昌,江西,0.0044
2020-01-03,南京,江苏,0.0043
2020-01-03,温州,浙江,0.004
2020-01-03,金华,浙江,0.004
2020-01-03,宁波,浙江,0.0038
2020-01-03,曲靖,云南,0.0035
2020-01-03,赣州,江西,0.0034
2020-01-03,厦门,福建,0.0034
2020-01-03,苏州,江苏,0.0033
2020-01-03,遵义,贵州,0.0031
2020-01-03,揭阳,广东,0.003
2020-01-03,福州,福建,0.003
2020-01-03,石家庄,河北,0.0028000000000000004
2020-01-04,广州,广东,0.0986
2020-01-04,佛山,广东,0.095
2020-01-04,东莞,广东,0.08710000000000001
2020-01-04,深圳,广东,0.075
2020-01-04,中山,广东,0.0526
2020-01-04,湛江,广东,0.0359
2020-01-04,茂名,广东,0.0251
2020-01-04,肇庆,广东,0.024
2020-01-04,永州,湖南,0.0239
2020-01-04,江门,广东,0.0217
2020-01-04,文山壮族苗族自治州,云南,0.0151
2020-01-04,惠州,广东,0.0149
2020-01-04,上海,上海,0.0145
2020-01-04,黔西南布依族苗族自治州,贵州,0.013500000000000002
2020-01-04,长沙,湖南,0.0128
2020-01-04,北京,北京,0.0119
2020-01-04,重庆,重庆,0.0115
2020-01-04,武汉,湖北,0.0108
2020-01-04,黔南布依族苗族自治州,贵州,0.0108
2020-01-04,珠海,广东,0.0102
2020-01-04,邵阳,湖南,0.0098
2020-01-04,云浮,广东,0.0097
2020-01-04,成都,四川,0.0095
2020-01-04,黔东南苗族侗族自治州,贵州,0.0095
2020-01-04,贵阳,贵州,0.0085
2020-01-04,昆明,云南,0.0084
2020-01-04,杭州,浙江,0.0074
2020-01-04,天津,天津,0.006999999999999999
2020-01-04,清远,广东,0.0069
2020-01-04,衡阳,湖南,0.0064
2020-01-04,怀化,湖南,0.0055000000000000005
2020-01-04,西安,陕西,0.0051
2020-01-04,海口,海南,0.0051
2020-01-04,郑州,河南,0.0049
2020-01-04,金华,浙江,0.0049
2020-01-04,汕头,广东,0.004699999999999999
2020-01-04,南昌,江西,0.0046
2020-01-04,阳江,广东,0.0043
2020-01-04,福州,福建,0.0043
2020-01-04,曲靖,云南,0.0042
2020-01-04,泉州,福建,0.0042
2020-01-04,宁波,浙江,0.004
2020-01-04,厦门,福建,0.0036
2020-01-04,温州,浙江,0.0035
2020-01-04,苏州,江苏,0.0035
2020-01-04,南京,江苏,0.0033
2020-01-04,遵义,贵州,0.0033
2020-01-04,济南,山东,0.0029
2020-01-04,揭阳,广东,0.0027
2020-01-04,绍兴,浙江,0.0027
2020-01-05,广州,广东,0.104
2020-01-05,佛山,广东,0.1019
2020-01-05,东莞,广东,0.0894
2020-01-05,深圳,广东,0.0717
2020-01-05,中山,广东,0.058
2020-01-05,湛江,广东,0.0323
2020-01-05,江门,广东,0.024
2020-01-05,肇庆,广东,0.0236
