日期,市,省,比例
2020-01-01,佛山,广东,0.0941
2020-01-01,广州,广东,0.0875
2020-01-01,东莞,广东,0.06309999999999999
2020-01-01,深圳,广东,0.061900000000000004
2020-01-01,湛江,广东,0.0519
2020-01-01,中山,广东,0.0449
2020-01-01,茂名,广东,0.0331
2020-01-01,永州,湖南,0.0301
2020-01-01,肇庆,广东,0.0296
2020-01-01,文山壮族苗族自治州,云南,0.0248
2020-01-01,江门,广东,0.0203
2020-01-01,黔西南布依族苗族自治州,贵州,0.0194
2020-01-01,黔南布依族苗族自治州,贵州,0.0178
2020-01-01,重庆,重庆,0.015700000000000002
2020-01-01,黔东南苗族侗族自治州,贵州,0.0143
2020-01-01,云浮,广东,0.0143
2020-01-01,惠州,广东,0.0124
2020-01-01,北京,北京,0.012
2020-01-01,邵阳,湖南,0.0111
2020-01-01,长沙,湖南,0.010700000000000001
2020-01-01,昆明,云南,0.0106
2020-01-01,珠海,广东,0.0097
2020-01-01,贵阳,贵州,0.0095
2020-01-01,成都,四川,0.0095
2020-01-01,衡阳,湖南,0.009300000000000001
2020-01-01,上海,上海,0.0085
2020-01-01,怀化,湖南,0.0078000000000000005
2020-01-01,清远,广东,0.0072
2020-01-01,武汉,湖北,0.0069
2020-01-01,阳江,广东,0.0063
2020-01-01,海口,海南,0.0052
2020-01-01,遵义,贵州,0.0049
2020-01-01,杭州,浙江,0.004699999999999999
2020-01-01,西安,陕西,0.0045000000000000005
2020-01-01,曲靖,云南,0.0043
2020-01-01,郑州,河南,0.0036
2020-01-01,娄底,湖南,0.0034999999999999996
2020-01-01,郴州,湖南,0.0034999999999999996
2020-01-01,福州,福建,0.0034999999999999996
2020-01-01,天津,天津,0.0032
2020-01-01,南京,江苏,0.0031
2020-01-01,三亚,海南,0.0028000000000000004
2020-01-01,岳阳,湖南,0.0027
2020-01-01,厦门,福建,0.0027
2020-01-01,南昌,江西,0.0026
2020-01-01,赣州,江西,0.0026
2020-01-01,株洲,湖南,0.0025
2020-01-01,苏州,江苏,0.0025
2020-01-01,雅安,四川,0.0024
2020-01-01,益阳,湖南,0.0024
2020-01-02,广州,广东,0.0967
2020-01-02,佛山,广东,0.0898
