日期,市,省,比例
2020-01-01,北京,北京,0.0695
2020-01-01,西安,陕西,0.0588
2020-01-01,成都,四川,0.0456
2020-01-01,酒泉,甘肃,0.0441
2020-01-01,重庆,重庆,0.0331
2020-01-01,上海,上海,0.031400000000000004
2020-01-01,海西蒙古族藏族自治州,青海,0.0279
2020-01-01,兰州,甘肃,0.0262
2020-01-01,广州,广东,0.0256
2020-01-01,郑州,河南,0.0232
2020-01-01,武威,甘肃,0.0221
2020-01-01,天津,天津,0.0211
2020-01-01,武汉,湖北,0.0187
2020-01-01,长沙,湖南,0.015700000000000002
2020-01-01,三亚,海南,0.0141
2020-01-01,张掖,甘肃,0.0139
2020-01-01,哈尔滨,黑龙江,0.012
2020-01-01,杭州,浙江,0.0116
2020-01-01,深圳,广东,0.0113
2020-01-01,青岛,山东,0.0102
2020-01-01,定西,甘肃,0.01
2020-01-01,济南,山东,0.0095
2020-01-01,南京,江苏,0.0091
2020-01-01,石家庄,河北,0.0091
2020-01-01,咸阳,陕西,0.0087
2020-01-01,周口,河南,0.0084
2020-01-01,长春,吉林,0.0083
2020-01-01,南阳,河南,0.008
2020-01-01,天水,甘肃,0.0074
2020-01-01,徐州,江苏,0.0074
2020-01-01,银川,宁夏,0.0072
2020-01-01,阿拉善盟,内蒙古,0.0072
2020-01-01,苏州,江苏,0.006999999999999999
2020-01-01,商丘,河南,0.0069
2020-01-01,昆明,云南,0.006500000000000001
2020-01-01,驻马店,河南,0.0059
2020-01-01,沈阳,辽宁,0.0059
2020-01-01,保定,河北,0.005600000000000001
2020-01-01,西宁,青海,0.0048
2020-01-01,平凉,甘肃,0.0045000000000000005
2020-01-01,海口,海南,0.0044
2020-01-01,洛阳,河南,0.0042
2020-01-01,南充,四川,0.0042
2020-01-01,大连,辽宁,0.0041
2020-01-01,厦门,福建,0.0041
2020-01-01,三门峡,河南,0.004
2020-01-01,新乡,河南,0.004
2020-01-01,陇南,甘肃,0.004
2020-01-01,吕梁,山西,0.0039
2020-01-01,沧州,河北,0.0039
2020-01-02,西安,陕西,0.0691
2020-01-02,北京,北京,0.06849999999999999
2020-01-02,成都,四川,0.0571
2020-01-02,上海,上海,0.035
2020-01-02,酒泉,甘肃,0.0332
2020-01-02,重庆,重庆,0.0286
2020-01-02,兰州,甘肃,0.0245
2020-01-02,武汉,湖北,0.0235
2020-01-02,天津,天津,0.0231
2020-01-02,郑州,河南,0.0198
2020-01-02,武威,甘肃,0.0181
2020-01-02,广州,广东,0.0174
2020-01-02,张掖,甘肃,0.0153
2020-01-02,哈尔滨,黑龙江,0.0146
2020-01-02,济南,山东,0.0124
2020-01-02,南京,江苏,0.0122
2020-01-02,长沙,湖南,0.0113
2020-01-02,石家庄,河北,0.011200000000000002
2020-01-02,深圳,广东,0.0109
2020-01-02,咸阳,陕西,0.0108
2020-01-02,三亚,海南,0.0103
2020-01-02,海西蒙古族藏族自治州,青海,0.0102
2020-01-02,青岛,山东,0.0097
2020-01-02,杭州,浙江,0.0097
2020-01-02,长春,吉林,0.0091
2020-01-02,银川,宁夏,0.0087
2020-01-02,绵阳,四川,0.0083
2020-01-02,南阳,河南,0.008
2020-01-02,定西,甘肃,0.0079
2020-01-02,沈阳,辽宁,0.0078
2020-01-02,周口,河南,0.0075
2020-01-02,天水,甘肃,0.0075
2020-01-02,徐州,江苏,0.0073
2020-01-02,保定,河北,0.0069
2020-01-02,南充,四川,0.0068000000000000005
2020-01-02,昆明,云南,0.0067
2020-01-02,大连,辽宁,0.0063
2020-01-02,商丘,河南,0.005699999999999999
2020-01-02,苏州,江苏,0.005699999999999999
2020-01-02,合肥,安徽,0.0053
2020-01-02,连云港,江苏,0.0053
2020-01-02,三门峡,河南,0.0052
2020-01-02,厦门,福建,0.0048
2020-01-02,海口,海南,0.0048
2020-01-02,南昌,江西,0.004699999999999999
2020-01-02,驻马店,河南,0.0046
2020-01-02,廊坊,河北,0.0046
2020-01-02,吕梁,山西,0.0046
2020-01-02,西宁,青海,0.0045000000000000005
2020-01-02,潍坊,山东,0.0045000000000000005
2020-01-03,西安,陕西,0.069
2020-01-03,北京,北京,0.0636
2020-01-03,成都,四川,0.0469
2020-01-03,上海,上海,0.0378
2020-01-03,重庆,重庆,0.0352
2020-01-03,酒泉,甘肃,0.0323
2020-01-03,天津,天津,0.029300000000000007
2020-01-03,兰州,甘肃,0.0292
2020-01-03,武汉,湖北,0.0264
2020-01-03,郑州,河南,0.0235
2020-01-03,广州,广东,0.022400000000000003
2020-01-03,武威,甘肃,0.0183
2020-01-03,海西蒙古族藏族自治州,青海,0.0125
2020-01-03,张掖,甘肃,0.0125
2020-01-03,杭州,浙江,0.0124
2020-01-03,南京,江苏,0.0123
2020-01-03,长沙,湖南,0.0121
2020-01-03,济南,山东,0.012
2020-01-03,哈尔滨,黑龙江,0.0106
2020-01-03,长春,吉林,0.0104
2020-01-03,咸阳,陕西,0.01
2020-01-03,石家庄,河北,0.0096
2020-01-03,沈阳,辽宁,0.0092
2020-01-03,深圳,广东,0.0092
2020-01-03,南阳,河南,0.0089
2020-01-03,三亚,海南,0.0089
2020-01-03,青岛,山东,0.0087
2020-01-03,徐州,江苏,0.008100000000000001
2020-01-03,绵阳,四川,0.0079
2020-01-03,苏州,江苏,0.0071
2020-01-03,银川,宁夏,0.006999999999999999
2020-01-03,定西,甘肃,0.0069
2020-01-03,周口,河南,0.0066
2020-01-03,天水,甘肃,0.0064
2020-01-03,南昌,江西,0.0062
2020-01-03,商丘,河南,0.0061
2020-01-03,保定,河北,0.0061
2020-01-03,西宁,青海,0.006
2020-01-03,厦门,福建,0.005699999999999999
2020-01-03,合肥,安徽,0.005699999999999999
2020-01-03,大连,辽宁,0.005699999999999999
2020-01-03,昆明,云南,0.005699999999999999
2020-01-03,阿拉善盟,内蒙古,0.0055000000000000005
2020-01-03,海口,海南,0.005
2020-01-03,廊坊,河北,0.004699999999999999
2020-01-03,嘉峪关,甘肃,0.0046
2020-01-03,烟台,山东,0.0046
2020-01-03,南充,四川,0.0046
2020-01-03,宝鸡,陕西,0.004
2020-01-03,南通,江苏,0.004
2020-01-04,西安,陕西,0.075
2020-01-04,北京,北京,0.0606
2020-01-04,成都,四川,0.047
2020-01-04,上海,上海,0.041
2020-01-04,重庆,重庆,0.0374
2020-01-04,酒泉,甘肃,0.0297
2020-01-04,天津,天津,0.0283
2020-01-04,兰州,甘肃,0.028
2020-01-04,广州,广东,0.0249
2020-01-04,武汉,湖北,0.0236
2020-01-04,郑州,河南,0.0203
2020-01-04,武威,甘肃,0.0167
2020-01-04,济南,山东,0.0152
2020-01-04,海西蒙古族藏族自治州,青海,0.0145
2020-01-04,杭州,浙江,0.0134
2020-01-04,张掖,甘肃,0.0125
2020-01-04,长春,吉林,0.0125
2020-01-04,长沙,湖南,0.0121
2020-01-04,南京,江苏,0.0119
2020-01-04,青岛,山东,0.0111
2020-01-04,咸阳,陕西,0.0108
2020-01-04,深圳,广东,0.0103
2020-01-04,哈尔滨,黑龙江,0.0098
2020-01-04,南昌,江西,0.0097
2020-01-04,银川,宁夏,0.0084
2020-01-04,南阳,河南,0.0083
2020-01-04,三亚,海南,0.008199999999999999
2020-01-04,石家庄,河北,0.008100000000000001
2020-01-04,沈阳,辽宁,0.0079
2020-01-04,绵阳,四川,0.0078
2020-01-04,大连,辽宁,0.0074
2020-01-04,苏州,江苏,0.0067
2020-01-04,西宁,青海,0.0066
2020-01-04,天水,甘肃,0.006
2020-01-04,周口,河南,0.006
2020-01-04,定西,甘肃,0.006
2020-01-04,昆明,云南,0.006
2020-01-04,南充,四川,0.0058
2020-01-04,商丘,河南,0.005699999999999999
2020-01-04,徐州,江苏,0.0055000000000000005
2020-01-04,合肥,安徽,0.0054
2020-01-04,厦门,福建,0.0053
2020-01-04,阿拉善盟,内蒙古,0.0044
2020-01-04,中卫,宁夏,0.0043
2020-01-04,宝鸡,陕西,0.0042
2020-01-04,潍坊,山东,0.0042
2020-01-04,洛阳,河南,0.004
2020-01-04,海口,海南,0.0039
2020-01-04,白银,甘肃,0.0038
2020-01-04,无锡,江苏,0.0038
2020-01-05,北京,北京,0.0721
2020-01-05,西安,陕西,0.06849999999999999
2020-01-05,成都,四川,0.0493
2020-01-05,上海,上海,0.0463
2020-01-05,重庆,重庆,0.0367
2020-01-05,酒泉,甘肃,0.0326
