日期,市,省,比例
2020-01-01,上海,上海,0.2836
2020-01-01,滁州,安徽,0.0502
2020-01-01,宿州,安徽,0.0435
2020-01-01,杭州,浙江,0.0321
2020-01-01,嘉兴,浙江,0.032
2020-01-01,马鞍山,安徽,0.0307
2020-01-01,临沂,山东,0.0303
2020-01-01,湖州,浙江,0.024
2020-01-01,合肥,安徽,0.0239
2020-01-01,北京,北京,0.0191
2020-01-01,宣城,安徽,0.015700000000000002
2020-01-01,枣庄,山东,0.0152
2020-01-01,宁波,浙江,0.0148
2020-01-01,芜湖,安徽,0.0138
2020-01-01,济宁,山东,0.0134
2020-01-01,蚌埠,安徽,0.0107
2020-01-01,青岛,山东,0.01
2020-01-01,六安,安徽,0.0093
2020-01-01,商丘,河南,0.0092
2020-01-01,郑州,河南,0.0087
2020-01-01,阜阳,安徽,0.0078
2020-01-01,淮北,安徽,0.0077
2020-01-01,亳州,安徽,0.0073
2020-01-01,金华,浙江,0.0072
2020-01-01,武汉,湖北,0.0071
2020-01-01,天津,天津,0.0071
2020-01-01,绍兴,浙江,0.006999999999999999
2020-01-01,菏泽,山东,0.006999999999999999
2020-01-01,日照,山东,0.006500000000000001
2020-01-01,西安,陕西,0.0064
2020-01-01,潍坊,山东,0.0062
2020-01-01,济南,山东,0.006
2020-01-01,深圳,广东,0.0059
2020-01-01,温州,浙江,0.0059
2020-01-01,广州,广东,0.0055000000000000005
2020-01-01,台州,浙江,0.0052
2020-01-01,重庆,重庆,0.0051
2020-01-01,信阳,河南,0.0049
2020-01-01,成都,四川,0.0046
2020-01-01,安庆,安徽,0.0045000000000000005
2020-01-01,淮南,安徽,0.0044
2020-01-01,石家庄,河北,0.0038
2020-01-01,周口,河南,0.0037
2020-01-01,舟山,浙江,0.0033
2020-01-01,长沙,湖南,0.0032
2020-01-01,南昌,江西,0.0032
2020-01-01,烟台,山东,0.0031
2020-01-01,铜陵,安徽,0.0029
2020-01-01,洛阳,河南,0.0028000000000000004
2020-01-01,新乡,河南,0.0027
2020-01-01,厦门,福建,0.0027
2020-01-01,池州,安徽,0.0026
2020-01-01,泰安,山东,0.0026
2020-01-01,邯郸,河北,0.0026
2020-01-01,沧州,河北,0.0025
2020-01-01,淄博,山东,0.0025
2020-01-01,开封,河南,0.0025
2020-01-01,聊城,山东,0.0025
2020-01-01,福州,福建,0.0024
2020-01-01,哈尔滨,黑龙江,0.0024
2020-01-01,南阳,河南,0.0023
2020-01-01,大连,辽宁,0.0021
2020-01-01,安阳,河南,0.0021
2020-01-01,沈阳,辽宁,0.0021
2020-01-01,九江,江西,0.002
2020-01-01,昆明,云南,0.002
2020-01-01,黄山,安徽,0.002
2020-01-01,太原,山西,0.0019
2020-01-01,长春,吉林,0.0019
2020-01-01,保定,河北,0.0019
2020-01-01,焦作,河南,0.0018
2020-01-01,德州,山东,0.0018
2020-01-01,滨州,山东,0.0018
2020-01-01,黄冈,湖北,0.0018
2020-01-01,濮阳,河南,0.0018
2020-01-01,东莞,广东,0.0017
2020-01-01,邢台,河北,0.0017
2020-01-01,廊坊,河北,0.0017
2020-01-01,驻马店,河南,0.0017
2020-01-01,上饶,江西,0.0016
2020-01-01,平顶山,河南,0.0016
2020-01-01,威海,山东,0.0016
2020-01-01,唐山,河北,0.0016
2020-01-01,泉州,福建,0.0016
2020-01-01,许昌,河南,0.0014000000000000002
2020-01-01,衢州,浙江,0.0014000000000000002
2020-01-01,贵阳,贵州,0.0014000000000000002
2020-01-01,兰州,甘肃,0.0014000000000000002
2020-01-01,三亚,海南,0.0014000000000000002
2020-01-01,运城,山西,0.0014000000000000002
2020-01-01,佛山,广东,0.0013
2020-01-01,南宁,广西,0.0013
2020-01-01,东营,山东,0.0013
2020-01-01,衡水,河北,0.0011
2020-01-01,乌鲁木齐,新疆,0.0011
2020-01-01,珠海,广东,0.001
2020-01-01,宜春,江西,0.001
2020-01-01,桂林,广西,0.001
2020-01-01,赣州,江西,0.001
2020-01-01,丽水,浙江,0.001
2020-01-02,上海,上海,0.231
2020-01-02,滁州,安徽,0.0406
2020-01-02,杭州,浙江,0.0344
2020-01-02,宿州,安徽,0.0303
2020-01-02,北京,北京,0.0279
2020-01-02,合肥,安徽,0.0267
2020-01-02,临沂,山东,0.0257
2020-01-02,嘉兴,浙江,0.023
2020-01-02,宁波,浙江,0.0196
2020-01-02,马鞍山,安徽,0.0195
2020-01-02,湖州,浙江,0.016399999999999998
2020-01-02,芜湖,安徽,0.0137
2020-01-02,青岛,山东,0.0128
2020-01-02,郑州,河南,0.0127
2020-01-02,宣城,安徽,0.0127
2020-01-02,济宁,山东,0.0125
2020-01-02,枣庄,山东,0.011
2020-01-02,武汉,湖北,0.0105
2020-01-02,六安,安徽,0.0103
2020-01-02,蚌埠,安徽,0.0102
2020-01-02,商丘,河南,0.0093
2020-01-02,天津,天津,0.0093
2020-01-02,西安,陕西,0.0092
2020-01-02,深圳,广东,0.0089
2020-01-02,金华,浙江,0.0087
2020-01-02,潍坊,山东,0.0085
2020-01-02,绍兴,浙江,0.0085
2020-01-02,济南,山东,0.0085
2020-01-02,阜阳,安徽,0.008199999999999999
2020-01-02,亳州,安徽,0.0073
2020-01-02,温州,浙江,0.0072
2020-01-02,台州,浙江,0.0071
2020-01-02,菏泽,山东,0.006999999999999999
2020-01-02,广州,广东,0.0069
2020-01-02,重庆,重庆,0.0067
2020-01-02,淮北,安徽,0.006500000000000001
2020-01-02,成都,四川,0.0062
2020-01-02,石家庄,河北,0.0059
2020-01-02,日照,山东,0.0048
2020-01-02,长沙,湖南,0.004699999999999999
2020-01-02,信阳,河南,0.004699999999999999
2020-01-02,烟台,山东,0.0046
2020-01-02,淮南,安徽,0.0045000000000000005
2020-01-02,安庆,安徽,0.0043
2020-01-02,南昌,江西,0.0042
2020-01-02,聊城,山东,0.0041
2020-01-02,沧州,河北,0.004
2020-01-02,哈尔滨,黑龙江,0.0039
2020-01-02,沈阳,辽宁,0.0039
2020-01-02,邯郸,河北,0.0039
2020-01-02,周口,河南,0.0038
2020-01-02,淄博,山东,0.0038
2020-01-02,泰安,山东,0.0037
2020-01-02,福州,福建,0.0037
2020-01-02,洛阳,河南,0.0037
2020-01-02,新乡,河南,0.0037
2020-01-02,安阳,河南,0.0034
2020-01-02,舟山,浙江,0.0034
2020-01-02,大连,辽宁,0.0033
2020-01-02,焦作,河南,0.0033
2020-01-02,长春,吉林,0.0033
2020-01-02,厦门,福建,0.0031
2020-01-02,开封,河南,0.003
2020-01-02,铜陵,安徽,0.003
2020-01-02,东莞,广东,0.003
2020-01-02,昆明,云南,0.0029
2020-01-02,德州,山东,0.0029
2020-01-02,南阳,河南,0.0029
2020-01-02,邢台,河北,0.0027
2020-01-02,九江,江西,0.0026
2020-01-02,保定,河北,0.0025
2020-01-02,廊坊,河北,0.0025
2020-01-02,太原,山西,0.0024
2020-01-02,唐山,河北,0.0024
2020-01-02,池州,安徽,0.0024
2020-01-02,平顶山,河南,0.0024
2020-01-02,许昌,河南,0.0024
2020-01-02,滨州,山东,0.0023
2020-01-02,兰州,甘肃,0.0023
2020-01-02,贵阳,贵州,0.0022
2020-01-02,东营,山东,0.0021
2020-01-02,黄冈,湖北,0.002
2020-01-02,泉州,福建,0.0019
2020-01-02,佛山,广东,0.0019
2020-01-02,乌鲁木齐,新疆,0.0019
2020-01-02,上饶,江西,0.0018
2020-01-02,驻马店,河南,0.0018
2020-01-02,濮阳,河南,0.0018
2020-01-02,威海,山东,0.0017
2020-01-02,衢州,浙江,0.0017
2020-01-02,黄山,安徽,0.0016
2020-01-02,运城,山西,0.0016
2020-01-02,南宁,广西,0.0014000000000000002
2020-01-02,银川,宁夏,0.0014000000000000002
2020-01-02,丽水,浙江,0.0014000000000000002
2020-01-02,襄阳,湖北,0.0014000000000000002
2020-01-02,赣州,江西,0.0013
2020-01-02,咸阳,陕西,0.0013
2020-01-02,宜春,江西,0.0013
2020-01-02,衡水,河北,0.0012
2020-01-03,上海,上海,0.3385
2020-01-03,滁州,安徽,0.0359
2020-01-03,杭州,浙江,0.0345
2020-01-03,宿州,安徽,0.0274
2020-01-03,嘉兴,浙江,0.0253
2020-01-03,合肥,安徽,0.025
2020-01-03,临沂,山东,0.024
2020-01-03,北京,北京,0.0231
2020-01-03,马鞍山,安徽,0.0197
2020-01-03,湖州,浙江,0.0184
2020-01-03,宁波,浙江,0.0174
2020-01-03,芜湖,安徽,0.0124
2020-01-03,济宁,山东,0.011200000000000002
2020-01-03,宣城,安徽,0.0111
2020-01-03,青岛,山东,0.0107
2020-01-03,枣庄,山东,0.0107
2020-01-03,郑州,河南,0.01
2020-01-03,蚌埠,安徽,0.0086
2020-01-03,武汉,湖北,0.0085
2020-01-03,济南,山东,0.0084
2020-01-03,天津,天津,0.008100000000000001
2020-01-03,六安,安徽,0.008
2020-01-03,金华,浙江,0.0077
2020-01-03,绍兴,浙江,0.0077
2020-01-03,商丘,河南,0.0077
2020-01-03,西安,陕西,0.006999999999999999
2020-01-03,温州,浙江,0.0068000000000000005
2020-01-03,台州,浙江,0.0067
2020-01-03,阜阳,安徽,0.0067
2020-01-03,潍坊,山东,0.0064
2020-01-03,深圳,广东,0.0062
2020-01-03,淮北,安徽,0.0058
2020-01-03,日照,山东,0.0058
2020-01-03,菏泽,山东,0.0054
2020-01-03,成都,四川,0.0052
2020-01-03,广州,广东,0.0052
2020-01-03,亳州,安徽,0.0051
2020-01-03,重庆,重庆,0.0051
2020-01-03,石家庄,河北,0.004
2020-01-03,新乡,河南,0.004
2020-01-03,南昌,江西,0.0038
2020-01-03,淮南,安徽,0.0038
2020-01-03,长沙,湖南,0.0036
2020-01-03,安庆,安徽,0.0036
2020-01-03,烟台,山东,0.0036
2020-01-03,信阳,河南,0.0034
2020-01-03,周口,河南,0.0031
2020-01-03,淄博,山东,0.0031
2020-01-03,沈阳,辽宁,0.003
2020-01-03,安阳,河南,0.003
2020-01-03,沧州,河北,0.0029
2020-01-03,铜陵,安徽,0.0029
2020-01-03,哈尔滨,黑龙江,0.0028000000000000004
2020-01-03,大连,辽宁,0.0028000000000000004
2020-01-03,福州,福建,0.0028000000000000004
2020-01-03,泰安,山东,0.0028000000000000004
2020-01-03,洛阳,河南,0.0027
2020-01-03,厦门,福建,0.0027
2020-01-03,邯郸,河北,0.0027
2020-01-03,长春,吉林,0.0026
2020-01-03,聊城,山东,0.0025
2020-01-03,昆明,云南,0.0025
2020-01-03,许昌,河南,0.0024
2020-01-03,开封,河南,0.0024
2020-01-03,舟山,浙江,0.0023
2020-01-03,南阳,河南,0.0022
2020-01-03,九江,江西,0.0021
2020-01-03,保定,河北,0.002
2020-01-03,太原,山西,0.002
2020-01-03,东莞,广东,0.002
2020-01-03,德州,山东,0.002
2020-01-03,焦作,河南,0.002
2020-01-03,廊坊,河北,0.0019
2020-01-03,平顶山,河南,0.0019
2020-01-03,池州,安徽,0.0018
2020-01-03,兰州,甘肃,0.0018
2020-01-03,唐山,河北,0.0017
2020-01-03,邢台,河北,0.0017
2020-01-03,泉州,福建,0.0017
2020-01-03,滨州,山东,0.0017
2020-01-03,佛山,广东,0.0016
2020-01-03,威海,山东,0.0016
2020-01-03,黄冈,湖北,0.0015
2020-01-03,运城,山西,0.0015
2020-01-03,上饶,江西,0.0014000000000000002
2020-01-03,衢州,浙江,0.0014000000000000002
2020-01-03,南宁,广西,0.0014000000000000002
2020-01-03,黄山,安徽,0.0014000000000000002
2020-01-03,贵阳,贵州,0.0013
2020-01-03,驻马店,河南,0.0013
2020-01-03,乌鲁木齐,新疆,0.0013
2020-01-03,濮阳,河南,0.0013
2020-01-03,银川,宁夏,0.0013
2020-01-03,衡水,河北,0.0012
2020-01-03,东营,山东,0.0012
2020-01-03,宜春,江西,0.0011
2020-01-03,桂林,广西,0.001
2020-01-03,丽水,浙江,0.001
2020-01-03,赣州,江西,0.001
2020-01-03,襄阳,湖北,0.001
2020-01-04,上海,上海,0.29410000000000003
2020-01-04,滁州,安徽,0.0389
2020-01-04,宿州,安徽,0.0351
2020-01-04,杭州,浙江,0.0328
2020-01-04,临沂,山东,0.0294
2020-01-04,嘉兴,浙江,0.0279
2020-01-04,合肥,安徽,0.0253
2020-01-04,马鞍山,安徽,0.0232
2020-01-04,北京,北京,0.0211
2020-01-04,湖州,浙江,0.0205
2020-01-04,宁波,浙江,0.0165
2020-01-04,芜湖,安徽,0.0134
2020-01-04,济宁,山东,0.0125
2020-01-04,宣城,安徽,0.0125
2020-01-04,枣庄,山东,0.0124
2020-01-04,青岛,山东,0.0117
2020-01-04,郑州,河南,0.0111
2020-01-04,蚌埠,安徽,0.0091
2020-01-04,武汉,湖北,0.0086
2020-01-04,天津,天津,0.0085
2020-01-04,西安,陕西,0.0084
2020-01-04,济南,山东,0.0083
2020-01-04,绍兴,浙江,0.0077
2020-01-04,商丘,河南,0.0074
2020-01-04,六安,安徽,0.0074
2020-01-04,金华,浙江,0.0074
2020-01-04,深圳,广东,0.0068000000000000005
2020-01-04,温州,浙江,0.0066
2020-01-04,阜阳,安徽,0.006500000000000001
2020-01-04,淮北,安徽,0.006500000000000001
2020-01-04,潍坊,山东,0.0064
2020-01-04,日照,山东,0.0062
2020-01-04,广州,广东,0.006
2020-01-04,菏泽,山东,0.006
2020-01-04,重庆,重庆,0.005699999999999999
2020-01-04,成都,四川,0.005699999999999999
2020-01-04,台州,浙江,0.005699999999999999
2020-01-04,亳州,安徽,0.0053
2020-01-04,长沙,湖南,0.0041
2020-01-04,石家庄,河北,0.0039
2020-01-04,南昌,江西,0.0039
2020-01-04,淮南,安徽,0.0039
2020-01-04,周口,河南,0.0039
2020-01-04,烟台,山东,0.0035
2020-01-04,安庆,安徽,0.0035
2020-01-04,新乡,河南,0.0034
2020-01-04,信阳,河南,0.0033
2020-01-04,洛阳,河南,0.0031
2020-01-04,沈阳,辽宁,0.003
2020-01-04,沧州,河北,0.003
2020-01-04,长春,吉林,0.003
2020-01-04,厦门,福建,0.003
2020-01-04,铜陵,安徽,0.0029
2020-01-04,大连,辽宁,0.0029
2020-01-04,开封,河南,0.0029
2020-01-04,邯郸,河北,0.0029
2020-01-04,福州,福建,0.0028000000000000004
2020-01-04,哈尔滨,黑龙江,0.0028000000000000004
2020-01-04,昆明,云南,0.0028000000000000004
2020-01-04,泰安,山东,0.0028000000000000004
2020-01-04,南阳,河南,0.0027
2020-01-04,淄博,山东,0.0027
2020-01-04,舟山,浙江,0.0026
2020-01-04,兰州,甘肃,0.0026
2020-01-04,安阳,河南,0.0024
2020-01-04,聊城,山东,0.0024
2020-01-04,太原,山西,0.0022
2020-01-04,廊坊,河北,0.0022
2020-01-04,九江,江西,0.0022
2020-01-04,德州,山东,0.0022
2020-01-04,东莞,广东,0.0022
2020-01-04,池州,安徽,0.0021
2020-01-04,唐山,河北,0.0021
2020-01-04,保定,河北,0.002
2020-01-04,泉州,福建,0.002
2020-01-04,滨州,山东,0.002
2020-01-04,邢台,河北,0.002
2020-01-04,佛山,广东,0.0018
2020-01-04,濮阳,河南,0.0018
2020-01-04,平顶山,河南,0.0017
2020-01-04,威海,山东,0.0017
2020-01-04,贵阳,贵州,0.0016
2020-01-04,运城,山西,0.0016
2020-01-04,乌鲁木齐,新疆,0.0015
2020-01-04,焦作,河南,0.0015
2020-01-04,黄山,安徽,0.0015
2020-01-04,许昌,河南,0.0015
2020-01-04,驻马店,河南,0.0015
2020-01-04,南宁,广西,0.0015
2020-01-04,上饶,江西,0.0015
2020-01-04,黄冈,湖北,0.0015
2020-01-04,衢州,浙江,0.0014000000000000002
2020-01-04,东营,山东,0.0014000000000000002
2020-01-04,漯河,河南,0.0012
2020-01-04,银川,宁夏,0.0011
2020-01-04,丽水,浙江,0.0011
2020-01-04,赣州,江西,0.0011
2020-01-04,咸阳,陕西,0.0011
2020-01-04,衡水,河北,0.001
2020-01-04,桂林,广西,0.001
2020-01-05,上海,上海,0.249
2020-01-05,滁州,安徽,0.047400000000000005
2020-01-05,杭州,浙江,0.0358
2020-01-05,宿州,安徽,0.0322
2020-01-05,马鞍山,安徽,0.0296
2020-01-05,合肥,安徽,0.0285
2020-01-05,临沂,山东,0.0281
2020-01-05,嘉兴,浙江,0.0281
2020-01-05,北京,北京,0.0263
2020-01-05,湖州,浙江,0.024
2020-01-05,宁波,浙江,0.0166
2020-01-05,芜湖,安徽,0.0156
2020-01-05,宣城,安徽,0.0145
2020-01-05,青岛,山东,0.0127
2020-01-05,济宁,山东,0.0124
2020-01-05,枣庄,山东,0.0121
2020-01-05,郑州,河南,0.0115
2020-01-05,蚌埠,安徽,0.0101
2020-01-05,武汉,湖北,0.0098
2020-01-05,济南,山东,0.0092
2020-01-05,天津,天津,0.0089
2020-01-05,西安,陕西,0.0084
2020-01-05,深圳,广东,0.008
2020-01-05,绍兴,浙江,0.008
2020-01-05,金华,浙江,0.0078
2020-01-05,六安,安徽,0.0076
2020-01-05,阜阳,安徽,0.006999999999999999
2020-01-05,商丘,河南,0.006999999999999999
2020-01-05,广州,广东,0.0068000000000000005
