日期,市,省,比例
2020-01-01,上海,上海,0.2492
2020-01-01,滁州,安徽,0.0502
2020-01-01,宿州,安徽,0.0385
2020-01-01,嘉兴,浙江,0.0334
2020-01-01,杭州,浙江,0.0308
2020-01-01,马鞍山,安徽,0.0274
2020-01-01,临沂,山东,0.0273
2020-01-01,合肥,安徽,0.0236
2020-01-01,湖州,浙江,0.0227
2020-01-01,北京,北京,0.0167
2020-01-01,宣城,安徽,0.015
2020-01-01,商丘,河南,0.0139
2020-01-01,芜湖,安徽,0.013500000000000002
2020-01-01,宁波,浙江,0.0134
2020-01-01,六安,安徽,0.012
2020-01-01,枣庄,山东,0.0119
2020-01-01,济宁,山东,0.0118
2020-01-01,阜阳,安徽,0.0104
2020-01-01,蚌埠,安徽,0.0104
2020-01-01,亳州,安徽,0.0099
2020-01-01,重庆,重庆,0.0083
2020-01-01,绍兴,浙江,0.0079
2020-01-01,周口,河南,0.0076
2020-01-01,青岛,山东,0.0073
2020-01-01,菏泽,山东,0.0072
2020-01-01,郑州,河南,0.0069
2020-01-01,日照,山东,0.0067
2020-01-01,金华,浙江,0.0066
2020-01-01,信阳,河南,0.0064
2020-01-01,武汉,湖北,0.0063
2020-01-01,淮北,安徽,0.0062
2020-01-01,安庆,安徽,0.0058
2020-01-01,温州,浙江,0.005699999999999999
2020-01-01,台州,浙江,0.0054
2020-01-01,西安,陕西,0.0053
2020-01-01,深圳,广东,0.0052
2020-01-01,广州,广东,0.0051
2020-01-01,济南,山东,0.0048
2020-01-01,淮南,安徽,0.0048
2020-01-01,成都,四川,0.0046
2020-01-01,南阳,河南,0.0046
2020-01-01,天津,天津,0.0046
2020-01-01,驻马店,河南,0.0041
2020-01-01,潍坊,山东,0.0041
2020-01-01,洛阳,河南,0.004
2020-01-01,铜陵,安徽,0.0039
2020-01-01,平顶山,河南,0.0035
2020-01-01,池州,安徽,0.0035
2020-01-01,开封,河南,0.0034
2020-01-01,长沙,湖南,0.0034
2020-01-02,上海,上海,0.1875
2020-01-02,杭州,浙江,0.0317
2020-01-02,滁州,安徽,0.0289
2020-01-02,宿州,安徽,0.0277
2020-01-02,合肥,安徽,0.0234
2020-01-02,嘉兴,浙江,0.0221
2020-01-02,北京,北京,0.0217
2020-01-02,临沂,山东,0.0178
2020-01-02,商丘,河南,0.0172
2020-01-02,宁波,浙江,0.016200000000000003
2020-01-02,马鞍山,安徽,0.0153
2020-01-02,湖州,浙江,0.0152
2020-01-02,阜阳,安徽,0.013
2020-01-02,重庆,重庆,0.013
2020-01-02,六安,安徽,0.0125
2020-01-02,亳州,安徽,0.012
2020-01-02,芜湖,安徽,0.012
2020-01-02,蚌埠,安徽,0.0114
2020-01-02,宣城,安徽,0.0113
2020-01-02,周口,河南,0.01
2020-01-02,金华,浙江,0.0091
2020-01-02,武汉,湖北,0.0088
2020-01-02,青岛,山东,0.0086
2020-01-02,绍兴,浙江,0.0086
2020-01-02,郑州,河南,0.0084
2020-01-02,济宁,山东,0.0083
2020-01-02,信阳,河南,0.008199999999999999
2020-01-02,菏泽,山东,0.0079
2020-01-02,枣庄,山东,0.0075
2020-01-02,深圳,广东,0.0074
2020-01-02,温州,浙江,0.0074
2020-01-02,广州,广东,0.0073
2020-01-02,成都,四川,0.0072
2020-01-02,西安,陕西,0.0069
2020-01-02,安庆,安徽,0.0068000000000000005
2020-01-02,台州,浙江,0.0064
2020-01-02,南阳,河南,0.0062
2020-01-02,淮北,安徽,0.006
2020-01-02,洛阳,河南,0.0059
2020-01-02,天津,天津,0.0059
2020-01-02,济南,山东,0.005600000000000001
2020-01-02,淮南,安徽,0.0051
2020-01-02,潍坊,山东,0.005
2020-01-02,驻马店,河南,0.0048
2020-01-02,平顶山,河南,0.004699999999999999
2020-01-02,长沙,湖南,0.0046
2020-01-02,池州,安徽,0.0043
2020-01-02,厦门,福建,0.0043
2020-01-02,哈尔滨,黑龙江,0.0042
2020-01-02,开封,河南,0.0042
2020-01-03,上海,上海,0.2129
2020-01-03,滁州,安徽,0.0429
2020-01-03,宿州,安徽,0.0344
2020-01-03,杭州,浙江,0.0328
2020-01-03,嘉兴,浙江,0.0256
2020-01-03,马鞍山,安徽,0.0253
2020-01-03,合肥,安徽,0.0248
2020-01-03,临沂,山东,0.0237
2020-01-03,湖州,浙江,0.0211
2020-01-03,北京,北京,0.0197
2020-01-03,宁波,浙江,0.0147
2020-01-03,商丘,河南,0.0141
2020-01-03,芜湖,安徽,0.0138
2020-01-03,宣城,安徽,0.0128
2020-01-03,六安,安徽,0.0114
2020-01-03,阜阳,安徽,0.0114
2020-01-03,蚌埠,安徽,0.011
2020-01-03,重庆,重庆,0.0107
2020-01-03,济宁,山东,0.0106
2020-01-03,亳州,安徽,0.0106
2020-01-03,枣庄,山东,0.0103
2020-01-03,郑州,河南,0.009000000000000001
2020-01-03,绍兴,浙江,0.0086
2020-01-03,武汉,湖北,0.0085
2020-01-03,周口,河南,0.0085
2020-01-03,青岛,山东,0.008199999999999999
2020-01-03,金华,浙江,0.008
2020-01-03,菏泽,山东,0.006999999999999999
2020-01-03,信阳,河南,0.0068000000000000005
2020-01-03,安庆,安徽,0.0066
2020-01-03,西安,陕西,0.0063
2020-01-03,深圳,广东,0.0062
2020-01-03,成都,四川,0.0061
2020-01-03,淮北,安徽,0.006
2020-01-03,温州,浙江,0.0059
2020-01-03,日照,山东,0.0059
2020-01-03,济南,山东,0.0058
2020-01-03,广州,广东,0.0058
2020-01-03,天津,天津,0.0053
2020-01-03,台州,浙江,0.0053
2020-01-03,南阳,河南,0.0048
2020-01-03,潍坊,山东,0.0046
2020-01-03,洛阳,河南,0.0045000000000000005
2020-01-03,池州,安徽,0.0044
2020-01-03,淮南,安徽,0.0044
2020-01-03,驻马店,河南,0.004
2020-01-03,昆明,云南,0.004
2020-01-03,长沙,湖南,0.004
2020-01-03,平顶山,河南,0.0039
2020-01-03,铜陵,安徽,0.0039
2020-01-04,上海,上海,0.2112
2020-01-04,滁州,安徽,0.042800000000000005
2020-01-04,宿州,安徽,0.037000000000000005
2020-01-04,杭州,浙江,0.0317
2020-01-04,嘉兴,浙江,0.0288
2020-01-04,临沂,山东,0.0274
2020-01-04,马鞍山,安徽,0.0255
2020-01-04,合肥,安徽,0.0223
2020-01-04,湖州,浙江,0.0202
2020-01-04,北京,北京,0.0176
2020-01-04,商丘,河南,0.0145
2020-01-04,宁波,浙江,0.0134
2020-01-04,芜湖,安徽,0.0125
2020-01-04,宣城,安徽,0.0123
2020-01-04,济宁,山东,0.0116
2020-01-04,阜阳,安徽,0.011200000000000002
2020-01-04,亳州,安徽,0.0111
2020-01-04,六安,安徽,0.0111
2020-01-04,枣庄,山东,0.011
2020-01-04,重庆,重庆,0.0105
2020-01-04,蚌埠,安徽,0.0103
2020-01-04,周口,河南,0.008199999999999999
2020-01-04,绍兴,浙江,0.008100000000000001
2020-01-04,郑州,河南,0.0078
2020-01-04,金华,浙江,0.0076
2020-01-04,青岛,山东,0.0075
2020-01-04,菏泽,山东,0.0074
2020-01-04,武汉,湖北,0.0071
2020-01-04,信阳,河南,0.0071
2020-01-04,淮北,安徽,0.006500000000000001
2020-01-04,安庆,安徽,0.006500000000000001
2020-01-04,成都,四川,0.0063
2020-01-04,西安,陕西,0.0062
2020-01-04,深圳,广东,0.006
