日期,市,省,比例
2020-01-01,杭州,浙江,0.0492
2020-01-01,深圳,广东,0.0486
2020-01-01,金华,浙江,0.0485
2020-01-01,广州,广东,0.0481
2020-01-01,长沙,湖南,0.0479
2020-01-01,上海,上海,0.0422
2020-01-01,温州,浙江,0.0375
2020-01-01,东莞,广东,0.0361
2020-01-01,黄冈,湖北,0.0282
2020-01-01,泉州,福建,0.0253
2020-01-01,宁波,浙江,0.0246
2020-01-01,武汉,湖北,0.0227
2020-01-01,株洲,湖南,0.0197
2020-01-01,厦门,福建,0.0191
2020-01-01,衢州,浙江,0.0175
2020-01-01,佛山,广东,0.017
2020-01-01,嘉兴,浙江,0.015
2020-01-01,北京,北京,0.0148
2020-01-01,福州,福建,0.0143
2020-01-01,苏州,江苏,0.0141
2020-01-01,惠州,广东,0.0133
2020-01-01,台州,浙江,0.011
2020-01-01,南平,福建,0.0109
2020-01-01,梅州,广东,0.0107
2020-01-01,绍兴,浙江,0.0106
2020-01-01,河源,广东,0.0098
2020-01-01,龙岩,福建,0.0095
2020-01-01,韶关,广东,0.0095
2020-01-01,中山,广东,0.0091
2020-01-01,汕头,广东,0.0087
2020-01-01,南京,江苏,0.008199999999999999
2020-01-01,揭阳,广东,0.008100000000000001
2020-01-01,三明,福建,0.008100000000000001
2020-01-01,安庆,安徽,0.0078
2020-01-01,黄石,湖北,0.0066
2020-01-01,重庆,重庆,0.0062
2020-01-01,无锡,江苏,0.0059
2020-01-01,郴州,湖南,0.0058
2020-01-01,漳州,福建,0.0058
2020-01-01,合肥,安徽,0.0058
2020-01-01,郑州,河南,0.0055000000000000005
2020-01-01,池州,安徽,0.0052
2020-01-01,潮州,广东,0.0051
2020-01-01,莆田,福建,0.005
2020-01-01,成都,四川,0.005
2020-01-01,湖州,浙江,0.0046
2020-01-01,岳阳,湖南,0.0045000000000000005
2020-01-01,西安,陕西,0.0044
2020-01-01,黄山,安徽,0.004
2020-01-01,丽水,浙江,0.004
2020-01-01,衡阳,湖南,0.0039
2020-01-01,天津,天津,0.0038
2020-01-01,贵阳,贵州,0.0035
2020-01-01,咸宁,湖北,0.0035
2020-01-01,昆明,云南,0.0033
2020-01-01,常州,江苏,0.0032
2020-01-01,海口,海南,0.0031
2020-01-01,芜湖,安徽,0.0031
2020-01-01,珠海,广东,0.0031
2020-01-01,桂林,广西,0.0029
2020-01-01,南通,江苏,0.0028000000000000004
2020-01-01,南宁,广西,0.0027
2020-01-01,临沂,山东,0.0027
2020-01-01,清远,广东,0.0027
2020-01-01,湘潭,湖南,0.0027
2020-01-01,江门,广东,0.0024
2020-01-01,石家庄,河北,0.0023
2020-01-01,哈尔滨,黑龙江,0.0023
2020-01-01,宁德,福建,0.0023
2020-01-01,宣城,安徽,0.0023
2020-01-01,徐州,江苏,0.0021
2020-01-01,南阳,河南,0.0021
2020-01-01,济南,山东,0.0021
2020-01-01,青岛,山东,0.002
2020-01-01,三亚,海南,0.002
2020-01-01,娄底,湖南,0.002
2020-01-01,镇江,江苏,0.0019
2020-01-01,阜阳,安徽,0.0019
2020-01-01,常德,湖南,0.0018
2020-01-01,襄阳,湖北,0.0018
2020-01-01,信阳,河南,0.0018
2020-01-01,邵阳,湖南,0.0017
2020-01-01,湛江,广东,0.0017
2020-01-01,永州,湖南,0.0016
2020-01-01,济宁,山东,0.0015
2020-01-01,怀化,湖南,0.0015
2020-01-01,泰州,江苏,0.0015
2020-01-01,廊坊,河北,0.0015
2020-01-01,扬州,江苏,0.0014000000000000002
2020-01-01,周口,河南,0.0014000000000000002
2020-01-01,六安,安徽,0.0014000000000000002
2020-01-01,潍坊,山东,0.0013
2020-01-01,荆州,湖北,0.0013
2020-01-01,宜昌,湖北,0.0013
2020-01-01,益阳,湖南,0.0013
2020-01-01,滁州,安徽,0.0013
2020-01-01,沧州,河北,0.0013
2020-01-01,菏泽,山东,0.0012
2020-01-01,肇庆,广东,0.0012
2020-01-01,亳州,安徽,0.0012
2020-01-02,深圳,广东,0.0562
2020-01-02,杭州,浙江,0.0527
2020-01-02,广州,广东,0.0526
2020-01-02,温州,浙江,0.0499
2020-01-02,金华,浙江,0.0493
2020-01-02,上海,上海,0.045700000000000005
2020-01-02,东莞,广东,0.0418
2020-01-02,长沙,湖南,0.032
2020-01-02,宁波,浙江,0.0308
2020-01-02,泉州,福建,0.0269
2020-01-02,武汉,湖北,0.0223
2020-01-02,嘉兴,浙江,0.0198
2020-01-02,佛山,广东,0.0197
2020-01-02,厦门,福建,0.0189
2020-01-02,苏州,江苏,0.0173
2020-01-02,北京,北京,0.017
2020-01-02,惠州,广东,0.0145
2020-01-02,福州,福建,0.0145
2020-01-02,黄冈,湖北,0.0137
2020-01-02,台州,浙江,0.0133
2020-01-02,绍兴,浙江,0.0116
2020-01-02,汕头,广东,0.0105
2020-01-02,中山,广东,0.0103
2020-01-02,株洲,湖南,0.0101
2020-01-02,衢州,浙江,0.0093
2020-01-02,南京,江苏,0.008100000000000001
2020-01-02,无锡,江苏,0.0079
2020-01-02,揭阳,广东,0.0075
2020-01-02,湖州,浙江,0.0067
2020-01-02,合肥,安徽,0.006500000000000001
2020-01-02,南平,福建,0.0064
2020-01-02,西安,陕西,0.0059
2020-01-02,重庆,重庆,0.0059
2020-01-02,郑州,河南,0.0059
2020-01-02,梅州,广东,0.0058
2020-01-02,龙岩,福建,0.0055000000000000005
2020-01-02,韶关,广东,0.0053
2020-01-02,黄石,湖北,0.0053
2020-01-02,成都,四川,0.0053
2020-01-02,漳州,福建,0.0052
2020-01-02,河源,广东,0.005
2020-01-02,天津,天津,0.0049
2020-01-02,莆田,福建,0.0048
2020-01-02,潮州,广东,0.0046
2020-01-02,安庆,安徽,0.0045000000000000005
2020-01-02,三明,福建,0.0045000000000000005
2020-01-02,贵阳,贵州,0.004
2020-01-02,昆明,云南,0.0039
2020-01-02,郴州,湖南,0.0036
2020-01-02,常州,江苏,0.0036
2020-01-02,岳阳,湖南,0.0035
2020-01-02,海口,海南,0.0033
2020-01-02,江门,广东,0.0033
2020-01-02,珠海,广东,0.0033
2020-01-02,哈尔滨,黑龙江,0.0031
2020-01-02,临沂,山东,0.0031
2020-01-02,南通,江苏,0.0031
2020-01-02,桂林,广西,0.0031
2020-01-02,芜湖,安徽,0.003
2020-01-02,石家庄,河北,0.0028000000000000004
2020-01-02,衡阳,湖南,0.0028000000000000004
2020-01-02,丽水,浙江,0.0028000000000000004
2020-01-02,南宁,广西,0.0027
2020-01-02,湘潭,湖南,0.0027
2020-01-02,徐州,江苏,0.0027
2020-01-02,镇江,江苏,0.0025
2020-01-02,济南,山东,0.0025
2020-01-02,廊坊,河北,0.0024
2020-01-02,黄山,安徽,0.0024
2020-01-02,池州,安徽,0.0024
2020-01-02,清远,广东,0.0024
2020-01-02,咸宁,湖北,0.0024
2020-01-02,南阳,河南,0.0023
2020-01-02,宁德,福建,0.0021
2020-01-02,阜阳,安徽,0.0021
2020-01-02,长春,吉林,0.002
2020-01-02,扬州,江苏,0.002
2020-01-02,宣城,安徽,0.0019
2020-01-02,沈阳,辽宁,0.0019
2020-01-02,襄阳,湖北,0.0018
2020-01-02,青岛,山东,0.0018
2020-01-02,泰州,江苏,0.0018
2020-01-02,保定,河北,0.0017
2020-01-02,娄底,湖南,0.0017
2020-01-02,潍坊,山东,0.0017
2020-01-02,邵阳,湖南,0.0017
2020-01-02,沧州,河北,0.0016
2020-01-02,三亚,海南,0.0016
2020-01-02,焦作,河南,0.0016
2020-01-02,铜仁,贵州,0.0015
2020-01-02,菏泽,山东,0.0015
2020-01-02,济宁,山东,0.0015
2020-01-02,常德,湖南,0.0015
2020-01-02,荆州,湖北,0.0014000000000000002
2020-01-02,遵义,贵州,0.0013
2020-01-02,怀化,湖南,0.0013
2020-01-02,滁州,安徽,0.0013
2020-01-02,肇庆,广东,0.0013
2020-01-02,邯郸,河北,0.0013
2020-01-02,盐城,江苏,0.0013
2020-01-03,深圳,广东,0.0532
2020-01-03,广州,广东,0.0521
2020-01-03,杭州,浙江,0.0508
2020-01-03,金华,浙江,0.0469
2020-01-03,温州,浙江,0.0466
2020-01-03,上海,上海,0.0462
2020-01-03,长沙,湖南,0.0395
2020-01-03,东莞,广东,0.0364
2020-01-03,宁波,浙江,0.0283
2020-01-03,泉州,福建,0.024700000000000003
2020-01-03,武汉,湖北,0.0231
2020-01-03,佛山,广东,0.0187
2020-01-03,嘉兴,浙江,0.0173
2020-01-03,苏州,江苏,0.0169
2020-01-03,厦门,福建,0.0167
2020-01-03,黄冈,湖北,0.0165
2020-01-03,北京,北京,0.016200000000000003
2020-01-03,株洲,湖南,0.0154
2020-01-03,福州,福建,0.015
2020-01-03,衢州,浙江,0.0136
2020-01-03,台州,浙江,0.0133
2020-01-03,惠州,广东,0.0129
2020-01-03,绍兴,浙江,0.0109
2020-01-03,中山,广东,0.0101
2020-01-03,南京,江苏,0.0093
2020-01-03,汕头,广东,0.0087
2020-01-03,南平,福建,0.0084
2020-01-03,无锡,江苏,0.0076
2020-01-03,韶关,广东,0.0073
2020-01-03,西安,陕西,0.0072
2020-01-03,揭阳,广东,0.0071
2020-01-03,合肥,安徽,0.0071
2020-01-03,湖州,浙江,0.0069
2020-01-03,梅州,广东,0.0064
2020-01-03,龙岩,福建,0.0064
2020-01-03,河源,广东,0.0064
2020-01-03,三明,福建,0.0063
2020-01-03,黄石,湖北,0.0062
2020-01-03,郑州,河南,0.0059
2020-01-03,成都,四川,0.005699999999999999
2020-01-03,安庆,安徽,0.005600000000000001
2020-01-03,重庆,重庆,0.0054
2020-01-03,岳阳,湖南,0.0052
2020-01-03,漳州,福建,0.0051
2020-01-03,天津,天津,0.0048
2020-01-03,潮州,广东,0.0046
2020-01-03,莆田,福建,0.0044
2020-01-03,郴州,湖南,0.0044
2020-01-03,贵阳,贵州,0.0039
2020-01-03,昆明,云南,0.0039
2020-01-03,常州,江苏,0.0039
2020-01-03,衡阳,湖南,0.0036
2020-01-03,哈尔滨,黑龙江,0.0033
2020-01-03,临沂,山东,0.0033
2020-01-03,珠海,广东,0.0033
2020-01-03,江门,广东,0.0033
2020-01-03,海口,海南,0.0032
2020-01-03,南宁,广西,0.0032
2020-01-03,桂林,广西,0.0031
2020-01-03,黄山,安徽,0.0031
2020-01-03,南通,江苏,0.0031
2020-01-03,丽水,浙江,0.0029
2020-01-03,湘潭,湖南,0.0029
2020-01-03,池州,安徽,0.0029
2020-01-03,芜湖,安徽,0.0029
2020-01-03,徐州,江苏,0.0026
2020-01-03,石家庄,河北,0.0024
2020-01-03,咸宁,湖北,0.0024
2020-01-03,青岛,山东,0.0024
2020-01-03,清远,广东,0.0024
2020-01-03,济南,山东,0.0023
2020-01-03,宁德,福建,0.0023
2020-01-03,南阳,河南,0.0021
2020-01-03,镇江,江苏,0.0021
2020-01-03,泰州,江苏,0.002
2020-01-03,阜阳,安徽,0.002
2020-01-03,邵阳,湖南,0.002
2020-01-03,潍坊,山东,0.002
2020-01-03,长春,吉林,0.0018
2020-01-03,宣城,安徽,0.0017
2020-01-03,襄阳,湖北,0.0017
2020-01-03,荆州,湖北,0.0017
2020-01-03,保定,河北,0.0017
2020-01-03,廊坊,河北,0.0017
2020-01-03,常德,湖南,0.0016
2020-01-03,娄底,湖南,0.0016
2020-01-03,扬州,江苏,0.0016
2020-01-03,盐城,江苏,0.0015
2020-01-03,信阳,河南,0.0015
2020-01-03,宜昌,湖北,0.0014000000000000002
2020-01-03,滁州,安徽,0.0014000000000000002
