日期,市,省,比例
2020-01-01,长沙,湖南,0.0661
2020-01-01,深圳,广东,0.0433
2020-01-01,上海,上海,0.043
2020-01-01,广州,广东,0.0415
2020-01-01,杭州,浙江,0.0361
2020-01-01,黄冈,湖北,0.0338
2020-01-01,金华,浙江,0.030699999999999998
2020-01-01,株洲,湖南,0.0288
2020-01-01,东莞,广东,0.0278
2020-01-01,衢州,浙江,0.0245
2020-01-01,武汉,湖北,0.0197
2020-01-01,北京,北京,0.0177
2020-01-01,韶关,广东,0.0174
2020-01-01,厦门,福建,0.0166
2020-01-01,泉州,福建,0.016399999999999998
2020-01-01,温州,浙江,0.015700000000000002
2020-01-01,佛山,广东,0.0134
2020-01-01,宁波,浙江,0.0129
2020-01-01,福州,福建,0.0121
2020-01-01,安庆,安徽,0.012
2020-01-01,南平,福建,0.011899999999999999
2020-01-01,河源,广东,0.011899999999999999
2020-01-01,惠州,广东,0.011699999999999999
2020-01-01,梅州,广东,0.0116
2020-01-01,苏州,江苏,0.011000000000000001
2020-01-01,黄石,湖北,0.0106
2020-01-01,龙岩,福建,0.0106
2020-01-01,三明,福建,0.0102
2020-01-01,南京,江苏,0.0086
2020-01-01,重庆,重庆,0.0086
2020-01-01,郴州,湖南,0.008199999999999999
2020-01-01,嘉兴,浙江,0.0079
2020-01-01,合肥,安徽,0.0076
2020-01-01,绍兴,浙江,0.006999999999999999
2020-01-01,台州,浙江,0.006500000000000001
2020-01-01,池州,安徽,0.0062
2020-01-01,岳阳,湖南,0.0060999999999999995
2020-01-01,衡阳,湖南,0.0060999999999999995
2020-01-01,中山,广东,0.006
2020-01-01,揭阳,广东,0.0054
2020-01-01,汕头,广东,0.0052
2020-01-01,黄山,安徽,0.0052
2020-01-01,湘潭,湖南,0.0051
2020-01-01,漳州,福建,0.005
2020-01-01,成都,四川,0.0049
2020-01-01,无锡,江苏,0.0049
2020-01-01,郑州,河南,0.0046
2020-01-01,珠海,广东,0.0045000000000000005
2020-01-01,昆明,云南,0.0044
2020-01-01,海口,海南,0.0040999999999999995
2020-01-02,长沙,湖南,0.0472
2020-01-02,上海,上海,0.0458
2020-01-02,深圳,广东,0.0449
2020-01-02,广州,广东,0.0416
2020-01-02,杭州,浙江,0.0348
2020-01-02,金华,浙江,0.0321
2020-01-02,东莞,广东,0.0304
2020-01-02,北京,北京,0.0226
2020-01-02,武汉,湖北,0.022000000000000002
2020-01-02,泉州,福建,0.018500000000000003
2020-01-02,黄冈,湖北,0.0182
2020-01-02,厦门,福建,0.0177
2020-01-02,温州,浙江,0.0161
2020-01-02,株洲,湖南,0.015700000000000002
2020-01-02,佛山,广东,0.015700000000000002
2020-01-02,福州,福建,0.014199999999999999
2020-01-02,重庆,重庆,0.0134
2020-01-02,宁波,浙江,0.013300000000000001
2020-01-02,衢州,浙江,0.0128
2020-01-02,惠州,广东,0.0127
2020-01-02,苏州,江苏,0.011000000000000001
2020-01-02,韶关,广东,0.009399999999999999
2020-01-02,南京,江苏,0.0092
2020-01-02,南平,福建,0.0088
2020-01-02,梅州,广东,0.0087
2020-01-02,合肥,安徽,0.008199999999999999
2020-01-02,绍兴,浙江,0.0079
2020-01-02,安庆,安徽,0.0079
2020-01-02,黄石,湖北,0.0077
2020-01-02,河源,广东,0.0076
2020-01-02,台州,浙江,0.0075
2020-01-02,龙岩,福建,0.0073
2020-01-02,成都,四川,0.0070999999999999995
2020-01-02,嘉兴,浙江,0.0067
2020-01-02,三明,福建,0.0067
2020-01-02,中山,广东,0.0064
2020-01-02,郴州,湖南,0.0063
2020-01-02,无锡,江苏,0.0062
2020-01-02,漳州,福建,0.006
2020-01-02,衡阳,湖南,0.005600000000000001
2020-01-02,岳阳,湖南,0.0055000000000000005
2020-01-02,揭阳,广东,0.0052
2020-01-02,汕头,广东,0.0051
2020-01-02,西安,陕西,0.0051
2020-01-02,郑州,河南,0.005
2020-01-02,昆明,云南,0.0049
2020-01-02,贵阳,贵州,0.0048
2020-01-02,湖州,浙江,0.0048
