日期,市,省,比例
2020-01-01,北京,北京,0.4028
2020-01-01,天津,天津,0.1664
2020-01-01,德州,山东,0.0351
2020-01-01,聊城,山东,0.0208
2020-01-01,安阳,河南,0.0147
2020-01-01,葫芦岛,辽宁,0.0102
2020-01-01,滨州,山东,0.0094
2020-01-01,大同,山西,0.0091
2020-01-01,济南,山东,0.009000000000000001
2020-01-01,郑州,河南,0.0088
2020-01-01,忻州,山西,0.0084
2020-01-01,晋中,山西,0.0084
2020-01-01,太原,山西,0.0079
2020-01-01,赤峰,内蒙古,0.006999999999999999
2020-01-01,潍坊,山东,0.006999999999999999
2020-01-01,濮阳,河南,0.006500000000000001
2020-01-01,乌兰察布,内蒙古,0.0063
2020-01-01,长治,山西,0.0059
2020-01-01,锡林郭勒盟,内蒙古,0.0055000000000000005
2020-01-01,青岛,山东,0.005
2020-01-01,上海,上海,0.005
2020-01-01,菏泽,山东,0.0048
2020-01-01,沈阳,辽宁,0.0048
2020-01-01,临沂,山东,0.004699999999999999
2020-01-01,哈尔滨,黑龙江,0.004699999999999999
2020-01-01,阳泉,山西,0.0046
2020-01-01,西安,陕西,0.0043
2020-01-01,朝阳,辽宁,0.0042
2020-01-01,榆林,陕西,0.0039
2020-01-01,重庆,重庆,0.0038
2020-01-01,济宁,山东,0.0037
2020-01-01,成都,四川,0.0036
2020-01-01,鄂尔多斯,内蒙古,0.0035
2020-01-01,广州,广东,0.0034
2020-01-01,新乡,河南,0.0034
2020-01-01,呼和浩特,内蒙古,0.0033
2020-01-01,泰安,山东,0.0032
2020-01-01,周口,河南,0.0032
2020-01-01,吕梁,山西,0.003
2020-01-01,淄博,山东,0.003
2020-01-01,武汉,湖北,0.0028000000000000004
2020-01-01,长春,吉林,0.0028000000000000004
2020-01-01,东营,山东,0.0027
2020-01-01,临汾,山西,0.0027
2020-01-01,苏州,江苏,0.0027
2020-01-01,烟台,山东,0.0026
2020-01-01,徐州,江苏,0.0026
2020-01-01,杭州,浙江,0.0024
2020-01-01,南京,江苏,0.0024
2020-01-01,南阳,河南,0.0023
2020-01-02,北京,北京,0.32909999999999995
2020-01-02,天津,天津,0.1238
2020-01-02,德州,山东,0.0201
2020-01-02,聊城,山东,0.013
2020-01-02,郑州,河南,0.0113
2020-01-02,济南,山东,0.011
2020-01-02,安阳,河南,0.0109
2020-01-02,太原,山西,0.0105
2020-01-02,潍坊,山东,0.0095
2020-01-02,晋中,山西,0.0092
2020-01-02,忻州,山西,0.0087
2020-01-02,滨州,山东,0.0085
2020-01-02,大同,山西,0.0083
2020-01-02,重庆,重庆,0.008199999999999999
2020-01-02,青岛,山东,0.008
2020-01-02,赤峰,内蒙古,0.0078
2020-01-02,上海,上海,0.0077
2020-01-02,哈尔滨,黑龙江,0.0075
2020-01-02,临沂,山东,0.0072
2020-01-02,榆林,陕西,0.0071
2020-01-02,葫芦岛,辽宁,0.0071
2020-01-02,长治,山西,0.006999999999999999
2020-01-02,沈阳,辽宁,0.0066
2020-01-02,西安,陕西,0.006500000000000001
2020-01-02,鄂尔多斯,内蒙古,0.0063
2020-01-02,菏泽,山东,0.0059
2020-01-02,成都,四川,0.0054
2020-01-02,乌兰察布,内蒙古,0.0054
2020-01-02,锡林郭勒盟,内蒙古,0.0053
2020-01-02,周口,河南,0.0051
2020-01-02,濮阳,河南,0.0049
2020-01-02,济宁,山东,0.0049
2020-01-02,广州,广东,0.0049
2020-01-02,阳泉,山西,0.004699999999999999
2020-01-02,苏州,江苏,0.004699999999999999
2020-01-02,新乡,河南,0.0045000000000000005
2020-01-02,武汉,湖北,0.0044
2020-01-02,徐州,江苏,0.0043
2020-01-02,淄博,山东,0.0043
2020-01-02,呼和浩特,内蒙古,0.0042
2020-01-02,吕梁,山西,0.0042
2020-01-02,杭州,浙江,0.0041
2020-01-02,烟台,山东,0.004
2020-01-02,运城,山西,0.004
2020-01-02,泰安,山东,0.004
2020-01-02,临汾,山西,0.0039
2020-01-02,三亚,海南,0.0038
2020-01-02,驻马店,河南,0.0037
2020-01-02,长春,吉林,0.0037
2020-01-02,南阳,河南,0.0036
2020-01-03,北京,北京,0.3378
2020-01-03,天津,天津,0.1519
2020-01-03,德州,山东,0.0279
2020-01-03,聊城,山东,0.0182
2020-01-03,安阳,河南,0.0128
2020-01-03,济南,山东,0.0119
2020-01-03,郑州,河南,0.0113
2020-01-03,晋中,山西,0.0105
2020-01-03,滨州,山东,0.0099
2020-01-03,忻州,山西,0.0094
2020-01-03,葫芦岛,辽宁,0.0094
2020-01-03,太原,山西,0.0092
2020-01-03,大同,山西,0.0091
2020-01-03,赤峰,内蒙古,0.0085
2020-01-03,潍坊,山东,0.008199999999999999
2020-01-03,长治,山西,0.0075
2020-01-03,榆林,陕西,0.0069
2020-01-03,青岛,山东,0.0068000000000000005
2020-01-03,上海,上海,0.0067
2020-01-03,哈尔滨,黑龙江,0.0063
2020-01-03,乌兰察布,内蒙古,0.0062
2020-01-03,西安,陕西,0.0061
2020-01-03,沈阳,辽宁,0.0061
2020-01-03,临沂,山东,0.006
2020-01-03,濮阳,河南,0.0058
2020-01-03,菏泽,山东,0.005600000000000001
2020-01-03,鄂尔多斯,内蒙古,0.0055000000000000005
2020-01-03,锡林郭勒盟,内蒙古,0.0053
2020-01-03,阳泉,山西,0.0053
2020-01-03,重庆,重庆,0.0052
2020-01-03,济宁,山东,0.004699999999999999
2020-01-03,周口,河南,0.0045000000000000005
2020-01-03,新乡,河南,0.0043
2020-01-03,成都,四川,0.0043
2020-01-03,朝阳,辽宁,0.0042
2020-01-03,泰安,山东,0.004
2020-01-03,淄博,山东,0.0039
2020-01-03,徐州,江苏,0.0039
2020-01-03,呼和浩特,内蒙古,0.0039
2020-01-03,武汉,湖北,0.0038
2020-01-03,广州,广东,0.0038
2020-01-03,东营,山东,0.0037
2020-01-03,运城,山西,0.0036
2020-01-03,杭州,浙江,0.0035
