日期,市,省,比例
2020-01-01,北京,北京,0.0682
2020-01-01,上海,上海,0.0378
2020-01-01,苏州,江苏,0.0364
2020-01-01,菏泽,山东,0.0346
2020-01-01,邯郸,河北,0.0307
2020-01-01,阜阳,安徽,0.0292
2020-01-01,西安,陕西,0.0276
2020-01-01,武汉,湖北,0.0246
2020-01-01,杭州,浙江,0.023
2020-01-01,聊城,山东,0.0229
2020-01-01,天津,天津,0.0205
2020-01-01,深圳,广东,0.0178
2020-01-01,宁波,浙江,0.0168
2020-01-01,广州,广东,0.0168
2020-01-01,运城,山西,0.016399999999999998
2020-01-01,东莞,广东,0.0159
2020-01-01,亳州,安徽,0.015700000000000002
2020-01-01,襄阳,湖北,0.0153
2020-01-01,晋城,山西,0.015
2020-01-01,嘉兴,浙江,0.0124
2020-01-01,金华,浙江,0.0122
2020-01-01,无锡,江苏,0.012
2020-01-01,长治,山西,0.0116
2020-01-01,南京,江苏,0.011200000000000002
2020-01-01,石家庄,河北,0.0111
2020-01-01,徐州,江苏,0.0097
2020-01-01,青岛,山东,0.0092
2020-01-01,宿州,安徽,0.0089
2020-01-01,合肥,安徽,0.0088
2020-01-01,温州,浙江,0.0085
2020-01-01,六安,安徽,0.0084
2020-01-01,济宁,山东,0.0083
2020-01-01,济南,山东,0.008100000000000001
2020-01-01,保定,河北,0.0073
2020-01-01,太原,山西,0.0071
2020-01-01,廊坊,河北,0.0071
2020-01-01,南通,江苏,0.0067
2020-01-01,台州,浙江,0.0066
2020-01-01,成都,四川,0.006500000000000001
2020-01-01,重庆,重庆,0.0064
2020-01-01,绍兴,浙江,0.0063
2020-01-01,常州,江苏,0.006
2020-01-01,湖州,浙江,0.0059
2020-01-01,临沂,山东,0.0059
2020-01-01,长沙,湖南,0.005600000000000001
2020-01-01,邢台,河北,0.005600000000000001
2020-01-01,渭南,陕西,0.005600000000000001
2020-01-01,佛山,广东,0.0055000000000000005
2020-01-01,潍坊,山东,0.0052
2020-01-01,十堰,湖北,0.0051
2020-01-01,临汾,山西,0.0051
2020-01-01,随州,湖北,0.005
2020-01-01,惠州,广东,0.0048
2020-01-01,厦门,福建,0.004699999999999999
2020-01-01,淮北,安徽,0.0046
2020-01-01,沧州,河北,0.0045000000000000005
2020-01-01,乌鲁木齐,新疆,0.0044
2020-01-01,孝感,湖北,0.0044
2020-01-01,烟台,山东,0.0043
2020-01-01,汕头,广东,0.0041
2020-01-01,泉州,福建,0.0041
2020-01-01,唐山,河北,0.0039
2020-01-01,黄冈,湖北,0.0039
