日期,市,省,比例
2020-01-01,上海,上海,0.13
2020-01-01,苏州,江苏,0.0653
2020-01-01,上饶,江西,0.0366
2020-01-01,重庆,重庆,0.0223
2020-01-01,阜阳,安徽,0.0199
2020-01-01,宣城,安徽,0.0196
2020-01-01,无锡,江苏,0.0169
2020-01-01,毕节,贵州,0.0158
2020-01-01,周口,河南,0.015300000000000001
2020-01-01,商丘,河南,0.0149
2020-01-01,南京,江苏,0.0144
2020-01-01,安庆,安徽,0.0137
2020-01-01,宁德,福建,0.0132
2020-01-01,合肥,安徽,0.011699999999999999
2020-01-01,信阳,河南,0.011399999999999999
2020-01-01,北京,北京,0.011399999999999999
2020-01-01,昭通,云南,0.0106
2020-01-01,黄山,安徽,0.0104
2020-01-01,亳州,安徽,0.0102
2020-01-01,九江,江西,0.0098
2020-01-01,遵义,贵州,0.0098
2020-01-01,黔西南布依族苗族自治州,贵州,0.0092
2020-01-01,黔南布依族苗族自治州,贵州,0.0091
2020-01-01,常州,江苏,0.0088
2020-01-01,怀化,湖南,0.0086
2020-01-01,宿州,安徽,0.0085
2020-01-01,南通,江苏,0.0085
2020-01-01,黔东南苗族侗族自治州,贵州,0.0083
2020-01-01,贵阳,贵州,0.0083
2020-01-01,黄冈,湖北,0.008199999999999999
2020-01-01,安顺,贵州,0.008100000000000001
2020-01-01,南阳,河南,0.0076
2020-01-01,武汉,湖北,0.0075
2020-01-01,铜仁,贵州,0.0074
2020-01-01,景德镇,江西,0.0074
2020-01-01,湘西土家族苗族自治州,湖南,0.0074
2020-01-01,南昌,江西,0.0072
2020-01-01,抚州,江西,0.0070999999999999995
2020-01-01,广州,广东,0.0070999999999999995
2020-01-01,六盘水,贵州,0.006999999999999999
2020-01-01,福州,福建,0.0067
2020-01-01,恩施土家族苗族自治州,湖北,0.0067
2020-01-01,宜春,江西,0.0064
2020-01-01,成都,四川,0.0062
2020-01-01,蚌埠,安徽,0.0062
2020-01-01,驻马店,河南,0.0060999999999999995
2020-01-01,六安,安徽,0.006
2020-01-01,深圳,广东,0.0059
2020-01-01,长沙,湖南,0.0055000000000000005
2020-01-01,芜湖,安徽,0.0055000000000000005
2020-01-02,上海,上海,0.0875
2020-01-02,上饶,江西,0.0364
2020-01-02,苏州,江苏,0.0355
2020-01-02,重庆,重庆,0.028900000000000002
2020-01-02,阜阳,安徽,0.023399999999999997
2020-01-02,毕节,贵州,0.0197
2020-01-02,周口,河南,0.0179
2020-01-02,商丘,河南,0.0176
2020-01-02,安庆,安徽,0.0163
2020-01-02,昭通,云南,0.0158
2020-01-02,遵义,贵州,0.0152
2020-01-02,信阳,河南,0.0134
2020-01-02,无锡,江苏,0.0127
2020-01-02,亳州,安徽,0.0126
2020-01-02,北京,北京,0.0126
2020-01-02,黔东南苗族侗族自治州,贵州,0.012
2020-01-02,黔南布依族苗族自治州,贵州,0.012
