日期,市,省,比例
2020-01-01,北京,北京,0.0862
2020-01-01,湛江,广东,0.0515
2020-01-01,广州,广东,0.0382
2020-01-01,重庆,重庆,0.0354
2020-01-01,上海,上海,0.0342
2020-01-01,成都,四川,0.0341
2020-01-01,深圳,广东,0.0334
2020-01-01,天津,天津,0.0238
2020-01-01,郑州,河南,0.0228
2020-01-01,西安,陕西,0.0227
2020-01-01,武汉,湖北,0.0205
2020-01-01,哈尔滨,黑龙江,0.0196
2020-01-01,长春,吉林,0.0177
2020-01-01,长沙,湖南,0.0159
2020-01-01,南昌,江西,0.0149
2020-01-01,杭州,浙江,0.0142
2020-01-01,北海,广西,0.0137
2020-01-01,沈阳,辽宁,0.0136
2020-01-01,太原,山西,0.0131
2020-01-01,石家庄,河北,0.013
2020-01-01,贵阳,贵州,0.0124
2020-01-01,南宁,广西,0.0106
2020-01-01,南京,江苏,0.0102
2020-01-01,佛山,广东,0.0099
2020-01-01,东莞,广东,0.0095
2020-01-01,济南,山东,0.0092
2020-01-01,茂名,广东,0.0089
2020-01-01,昆明,云南,0.0073
2020-01-01,乌鲁木齐,新疆,0.0071
2020-01-01,保定,河北,0.0067
2020-01-01,宁波,浙江,0.0066
2020-01-01,苏州,江苏,0.006
2020-01-01,廊坊,河北,0.0059
2020-01-01,合肥,安徽,0.0055000000000000005
2020-01-01,厦门,福建,0.0055000000000000005
2020-01-01,大连,辽宁,0.0053
2020-01-01,桂林,广西,0.0053
2020-01-01,珠海,广东,0.0053
2020-01-01,呼和浩特,内蒙古,0.0052
2020-01-01,福州,福建,0.005
2020-01-01,银川,宁夏,0.0049
2020-01-01,青岛,山东,0.0046
2020-01-01,唐山,河北,0.0045000000000000005
2020-01-01,兰州,甘肃,0.0045000000000000005
2020-01-01,遵义,贵州,0.0042
2020-01-01,咸阳,陕西,0.0041
2020-01-01,无锡,江苏,0.004
2020-01-01,邯郸,河北,0.0037
2020-01-01,西宁,青海,0.0037
2020-01-01,玉林,广西,0.0036
2020-01-02,北京,北京,0.0889
2020-01-02,上海,上海,0.0423
2020-01-02,广州,广东,0.0374
2020-01-02,成都,四川,0.0361
2020-01-02,重庆,重庆,0.032400000000000005
2020-01-02,湛江,广东,0.0307
2020-01-02,深圳,广东,0.029
2020-01-02,哈尔滨,黑龙江,0.0287
2020-01-02,天津,天津,0.0265
2020-01-02,郑州,河南,0.023
2020-01-02,西安,陕西,0.0217
2020-01-02,武汉,湖北,0.0193
2020-01-02,长春,吉林,0.0191
2020-01-02,长沙,湖南,0.018500000000000003
2020-01-02,贵阳,贵州,0.0165
2020-01-02,石家庄,河北,0.0139
2020-01-02,杭州,浙江,0.0131
2020-01-02,太原,山西,0.0122
2020-01-02,沈阳,辽宁,0.0119
2020-01-02,南昌,江西,0.01
2020-01-02,济南,山东,0.0097
2020-01-02,东莞,广东,0.0096
2020-01-02,廊坊,河北,0.0093
2020-01-02,南宁,广西,0.0088
2020-01-02,乌鲁木齐,新疆,0.0085
2020-01-02,佛山,广东,0.0083
2020-01-02,北海,广西,0.0079
2020-01-02,南京,江苏,0.0078
2020-01-02,保定,河北,0.0073
2020-01-02,兰州,甘肃,0.0071
2020-01-02,苏州,江苏,0.0068000000000000005
2020-01-02,茂名,广东,0.0067
2020-01-02,昆明,云南,0.0061
2020-01-02,呼和浩特,内蒙古,0.0058
2020-01-02,大连,辽宁,0.0055000000000000005
2020-01-02,珠海,广东,0.0054
2020-01-02,合肥,安徽,0.0054
2020-01-02,遵义,贵州,0.005
2020-01-02,宁波,浙江,0.0049
2020-01-02,唐山,河北,0.0048
2020-01-02,厦门,福建,0.0048
2020-01-02,无锡,江苏,0.0044
2020-01-02,桂林,广西,0.0044
2020-01-02,大庆,黑龙江,0.0042
2020-01-02,沧州,河北,0.0042
2020-01-02,青岛,山东,0.004
2020-01-02,西宁,青海,0.004
2020-01-02,中山,广东,0.004
2020-01-02,吉林,吉林,0.0039
2020-01-02,福州,福建,0.0039
2020-01-03,北京,北京,0.081
2020-01-03,湛江,广东,0.0421
2020-01-03,广州,广东,0.0395
2020-01-03,上海,上海,0.0384
2020-01-03,成都,四川,0.0349
2020-01-03,重庆,重庆,0.032
2020-01-03,天津,天津,0.029900000000000006
2020-01-03,深圳,广东,0.0276
2020-01-03,哈尔滨,黑龙江,0.0251
2020-01-03,西安,陕西,0.023
2020-01-03,郑州,河南,0.0229
2020-01-03,长沙,湖南,0.0198
2020-01-03,贵阳,贵州,0.0175
2020-01-03,长春,吉林,0.016399999999999998
2020-01-03,武汉,湖北,0.016
2020-01-03,南昌,江西,0.0149
2020-01-03,杭州,浙江,0.0146
2020-01-03,沈阳,辽宁,0.0143
2020-01-03,太原,山西,0.0141
2020-01-03,石家庄,河北,0.012
2020-01-03,南宁,广西,0.0104
2020-01-03,济南,山东,0.0102
2020-01-03,南京,江苏,0.009000000000000001
2020-01-03,东莞,广东,0.0087
2020-01-03,北海,广西,0.0083
2020-01-03,佛山,广东,0.008100000000000001
2020-01-03,乌鲁木齐,新疆,0.0079
2020-01-03,兰州,甘肃,0.0078
2020-01-03,昆明,云南,0.0076
2020-01-03,廊坊,河北,0.0073
2020-01-03,保定,河北,0.0067
2020-01-03,茂名,广东,0.0064
2020-01-03,遵义,贵州,0.0061
2020-01-03,银川,宁夏,0.0058
2020-01-03,合肥,安徽,0.0058
2020-01-03,大连,辽宁,0.005600000000000001
2020-01-03,青岛,山东,0.0055000000000000005
2020-01-03,苏州,江苏,0.0053
2020-01-03,呼和浩特,内蒙古,0.0052
2020-01-03,珠海,广东,0.0048
2020-01-03,宁波,浙江,0.0048
2020-01-03,无锡,江苏,0.0046
2020-01-03,桂林,广西,0.0045000000000000005
2020-01-03,福州,福建,0.0045000000000000005
2020-01-03,玉林,广西,0.0045000000000000005
2020-01-03,西宁,青海,0.004
2020-01-03,唐山,河北,0.0038
2020-01-03,沧州,河北,0.0038
2020-01-03,晋中,山西,0.0035
2020-01-03,吉林,吉林,0.0035
2020-01-04,北京,北京,0.08
2020-01-04,上海,上海,0.0414
2020-01-04,广州,广东,0.0398
2020-01-04,湛江,广东,0.0396
2020-01-04,成都,四川,0.0336
2020-01-04,重庆,重庆,0.0308
2020-01-04,天津,天津,0.0303
2020-01-04,深圳,广东,0.0256
2020-01-04,哈尔滨,黑龙江,0.0232
2020-01-04,西安,陕西,0.0231
2020-01-04,郑州,河南,0.0219
2020-01-04,长沙,湖南,0.021
2020-01-04,长春,吉林,0.0194
2020-01-04,武汉,湖北,0.0186
2020-01-04,沈阳,辽宁,0.014
2020-01-04,贵阳,贵州,0.0139
2020-01-04,杭州,浙江,0.0139
2020-01-04,济南,山东,0.0133
2020-01-04,石家庄,河北,0.0111
2020-01-04,太原,山西,0.0109
2020-01-04,佛山,广东,0.0104
2020-01-04,南昌,江西,0.0103
2020-01-04,东莞,广东,0.0097
2020-01-04,南京,江苏,0.009000000000000001
2020-01-04,乌鲁木齐,新疆,0.0088
2020-01-04,兰州,甘肃,0.0087
2020-01-04,北海,广西,0.0078
2020-01-04,保定,河北,0.0074
2020-01-04,廊坊,河北,0.0071
2020-01-04,南宁,广西,0.0069
2020-01-04,宁波,浙江,0.0068000000000000005
2020-01-04,大连,辽宁,0.006500000000000001
2020-01-04,昆明,云南,0.006500000000000001
2020-01-04,茂名,广东,0.0064
2020-01-04,合肥,安徽,0.006
2020-01-04,遵义,贵州,0.0059
2020-01-04,桂林,广西,0.0055000000000000005
2020-01-04,厦门,福建,0.0055000000000000005
2020-01-04,青岛,山东,0.0054
2020-01-04,呼和浩特,内蒙古,0.0051
2020-01-04,苏州,江苏,0.0049
2020-01-04,珠海,广东,0.004699999999999999
2020-01-04,大庆,黑龙江,0.0044
2020-01-04,银川,宁夏,0.0041
2020-01-04,福州,福建,0.0041
2020-01-04,沧州,河北,0.004
2020-01-04,洛阳,河南,0.004
2020-01-04,唐山,河北,0.004
2020-01-04,西宁,青海,0.0038
2020-01-04,中山,广东,0.0038
2020-01-05,北京,北京,0.0875
2020-01-05,广州,广东,0.0435
2020-01-05,上海,上海,0.0382
2020-01-05,成都,四川,0.0372
2020-01-05,湛江,广东,0.0347
2020-01-05,重庆,重庆,0.033
2020-01-05,天津,天津,0.0286
2020-01-05,深圳,广东,0.0261
2020-01-05,郑州,河南,0.0254
2020-01-05,哈尔滨,黑龙江,0.0234
2020-01-05,西安,陕西,0.0222
2020-01-05,长沙,湖南,0.02
2020-01-05,武汉,湖北,0.0189
2020-01-05,长春,吉林,0.0169
2020-01-05,贵阳,贵州,0.014
2020-01-05,南昌,江西,0.0137
2020-01-05,杭州,浙江,0.013
2020-01-05,沈阳,辽宁,0.0129
2020-01-05,济南,山东,0.0113
2020-01-05,太原,山西,0.0109
2020-01-05,佛山,广东,0.0104
2020-01-05,南京,江苏,0.0103
2020-01-05,东莞,广东,0.0102
2020-01-05,石家庄,河北,0.01
2020-01-05,南宁,广西,0.0095
2020-01-05,兰州,甘肃,0.008199999999999999
2020-01-05,北海,广西,0.0079
2020-01-05,乌鲁木齐,新疆,0.0073
2020-01-05,昆明,云南,0.006999999999999999
2020-01-05,茂名,广东,0.0068000000000000005
2020-01-05,廊坊,河北,0.0067
2020-01-05,呼和浩特,内蒙古,0.0064
2020-01-05,保定,河北,0.0063
2020-01-05,银川,宁夏,0.006
2020-01-05,苏州,江苏,0.0058
2020-01-05,宁波,浙江,0.005699999999999999
2020-01-05,青岛,山东,0.005699999999999999
2020-01-05,合肥,安徽,0.005600000000000001
2020-01-05,厦门,福建,0.0055000000000000005
2020-01-05,珠海,广东,0.005
2020-01-05,福州,福建,0.0049
2020-01-05,遵义,贵州,0.0048
2020-01-05,大连,辽宁,0.0048
2020-01-05,桂林,广西,0.004699999999999999
2020-01-05,西宁,青海,0.0046
2020-01-05,中山,广东,0.0045000000000000005
2020-01-05,唐山,河北,0.0042
2020-01-05,洛阳,河南,0.004
2020-01-05,无锡,江苏,0.004
2020-01-05,吉林,吉林,0.0036
2020-01-06,北京,北京,0.0843
2020-01-06,广州,广东,0.0417
2020-01-06,上海,上海,0.037000000000000005
2020-01-06,成都,四川,0.034
2020-01-06,重庆,重庆,0.0295
2020-01-06,湛江,广东,0.0283
2020-01-06,天津,天津,0.0265
2020-01-06,深圳,广东,0.0259
2020-01-06,哈尔滨,黑龙江,0.0259
2020-01-06,郑州,河南,0.0253
2020-01-06,长沙,湖南,0.0234
2020-01-06,武汉,湖北,0.0223
2020-01-06,西安,陕西,0.022
2020-01-06,长春,吉林,0.0175
2020-01-06,太原,山西,0.0174
2020-01-06,南昌,江西,0.0156
2020-01-06,杭州,浙江,0.0136
2020-01-06,石家庄,河北,0.0134
2020-01-06,沈阳,辽宁,0.0124
2020-01-06,贵阳,贵州,0.0122
2020-01-06,南京,江苏,0.0106
2020-01-06,东莞,广东,0.0106
2020-01-06,佛山,广东,0.0089
2020-01-06,乌鲁木齐,新疆,0.0089
2020-01-06,南宁,广西,0.0089
2020-01-06,昆明,云南,0.0085
2020-01-06,廊坊,河北,0.0079
2020-01-06,兰州,甘肃,0.0076
2020-01-06,济南,山东,0.0071
2020-01-06,北海,广西,0.0066
2020-01-06,大连,辽宁,0.0064
2020-01-06,保定,河北,0.0063
2020-01-06,合肥,安徽,0.0062
2020-01-06,唐山,河北,0.0061
2020-01-06,苏州,江苏,0.0061
2020-01-06,呼和浩特,内蒙古,0.006
2020-01-06,青岛,山东,0.0055000000000000005
2020-01-06,银川,宁夏,0.0052
2020-01-06,宁波,浙江,0.0052
2020-01-06,葫芦岛,辽宁,0.0052
2020-01-06,遵义,贵州,0.0051
2020-01-06,厦门,福建,0.0051
2020-01-06,茂名,广东,0.005
2020-01-06,珠海,广东,0.0049
2020-01-06,西宁,青海,0.0046
2020-01-06,福州,福建,0.0043
2020-01-06,桂林,广西,0.0041
2020-01-06,大庆,黑龙江,0.004
2020-01-06,吉林,吉林,0.004
2020-01-06,泉州,福建,0.0039
2020-01-07,北京,北京,0.0814
2020-01-07,广州,广东,0.0446
2020-01-07,上海,上海,0.0396
2020-01-07,成都,四川,0.0322
2020-01-07,重庆,重庆,0.0321
2020-01-07,湛江,广东,0.0287
2020-01-07,哈尔滨,黑龙江,0.0263
2020-01-07,武汉,湖北,0.0255
2020-01-07,西安,陕西,0.0251
2020-01-07,郑州,河南,0.0249
2020-01-07,长沙,湖南,0.024
2020-01-07,深圳,广东,0.0239
2020-01-07,天津,天津,0.022400000000000003
2020-01-07,长春,吉林,0.0172
