日期,市,省,比例
2020-01-01,台州,浙江,0.1593
2020-01-01,杭州,浙江,0.1063
2020-01-01,丽水,浙江,0.08560000000000001
2020-01-01,宁德,福建,0.0738
2020-01-01,金华,浙江,0.0677
2020-01-01,宁波,浙江,0.0531
2020-01-01,上海,上海,0.0473
2020-01-01,绍兴,浙江,0.0213
2020-01-01,嘉兴,浙江,0.021
2020-01-01,福州,福建,0.015
2020-01-01,苏州,江苏,0.0148
2020-01-01,泉州,福建,0.0136
2020-01-01,上饶,江西,0.0122
2020-01-01,衢州,浙江,0.0105
2020-01-01,广州,广东,0.0103
2020-01-01,北京,北京,0.0098
2020-01-01,重庆,重庆,0.0074
2020-01-01,深圳,广东,0.0072
2020-01-01,湖州,浙江,0.0071
2020-01-01,无锡,江苏,0.0067
2020-01-01,南京,江苏,0.0061
2020-01-01,厦门,福建,0.0061
2020-01-01,舟山,浙江,0.0059
2020-01-01,武汉,湖北,0.0053
2020-01-01,成都,四川,0.004699999999999999
2020-01-01,南通,江苏,0.004699999999999999
2020-01-01,南平,福建,0.004699999999999999
2020-01-01,九江,江西,0.004699999999999999
2020-01-01,合肥,安徽,0.0042
2020-01-01,东莞,广东,0.0041
2020-01-01,常州,江苏,0.004
2020-01-01,宜春,江西,0.0038
2020-01-01,南昌,江西,0.0037
2020-01-01,西安,陕西,0.0037
2020-01-01,阜阳,安徽,0.0037
2020-01-01,抚州,江西,0.0036
2020-01-01,天津,天津,0.0036
2020-01-01,漳州,福建,0.0032
2020-01-01,黄冈,湖北,0.0032
2020-01-01,郑州,河南,0.0032
2020-01-01,长沙,湖南,0.0031
2020-01-01,宿州,安徽,0.003
2020-01-01,昆明,云南,0.0028000000000000004
2020-01-01,佛山,广东,0.0028000000000000004
2020-01-01,周口,河南,0.0026
2020-01-01,亳州,安徽,0.0025
2020-01-01,贵阳,贵州,0.0025
2020-01-01,遵义,贵州,0.0025
2020-01-01,盐城,江苏,0.0024
2020-01-01,徐州,江苏,0.0024
2020-01-02,杭州,浙江,0.1276
2020-01-02,台州,浙江,0.078
2020-01-02,金华,浙江,0.0594
2020-01-02,上海,上海,0.0559
2020-01-02,宁波,浙江,0.0548
2020-01-02,丽水,浙江,0.0535
2020-01-02,宁德,福建,0.045
2020-01-02,嘉兴,浙江,0.0262
2020-01-02,绍兴,浙江,0.0244
2020-01-02,苏州,江苏,0.0221
2020-01-02,福州,福建,0.0184
2020-01-02,泉州,福建,0.0134
2020-01-02,广州,广东,0.0129
2020-01-02,上饶,江西,0.0128
2020-01-02,衢州,浙江,0.012
2020-01-02,湖州,浙江,0.012
2020-01-02,北京,北京,0.0117
2020-01-02,无锡,江苏,0.0097
2020-01-02,武汉,湖北,0.009000000000000001
2020-01-02,深圳,广东,0.009000000000000001
2020-01-02,南京,江苏,0.0087
2020-01-02,厦门,福建,0.0069
2020-01-02,重庆,重庆,0.0062
2020-01-02,西安,陕西,0.0062
2020-01-02,常州,江苏,0.006
2020-01-02,合肥,安徽,0.0058
2020-01-02,南昌,江西,0.0058
2020-01-02,舟山,浙江,0.005699999999999999
2020-01-02,佛山,广东,0.005600000000000001
2020-01-02,南平,福建,0.0054
2020-01-02,南通,江苏,0.0051
2020-01-02,九江,江西,0.0051
2020-01-02,郑州,河南,0.0048
2020-01-02,成都,四川,0.0044
2020-01-02,黄冈,湖北,0.0042
2020-01-02,阜阳,安徽,0.0042
2020-01-02,宜春,江西,0.0042
2020-01-02,贵阳,贵州,0.0041
2020-01-02,长沙,湖南,0.0038
2020-01-02,东莞,广东,0.0038
2020-01-02,抚州,江西,0.0037
2020-01-02,徐州,江苏,0.0035
