日期,市,省,比例
2020-01-01,台州,浙江,0.0866
2020-01-01,杭州,浙江,0.0701
2020-01-01,丽水,浙江,0.06280000000000001
2020-01-01,宁德,福建,0.0516
2020-01-01,金华,浙江,0.047400000000000005
2020-01-01,上海,上海,0.033
2020-01-01,宁波,浙江,0.0296
2020-01-01,重庆,重庆,0.0288
2020-01-01,上饶,江西,0.0255
2020-01-01,遵义,贵州,0.0177
2020-01-01,九江,江西,0.016399999999999998
2020-01-01,绍兴,浙江,0.0152
2020-01-01,福州,福建,0.0141
2020-01-01,黄冈,湖北,0.0127
2020-01-01,铜仁,贵州,0.0114
2020-01-01,阜阳,安徽,0.0113
2020-01-01,毕节,贵州,0.0109
2020-01-01,嘉兴,浙江,0.0107
2020-01-01,恩施土家族苗族自治州,湖北,0.0106
2020-01-01,黔东南苗族侗族自治州,贵州,0.0103
2020-01-01,黔西南布依族苗族自治州,贵州,0.0101
2020-01-01,周口,河南,0.0098
2020-01-01,苏州,江苏,0.0094
2020-01-01,宜春,江西,0.0092
2020-01-01,怀化,湖南,0.0089
2020-01-01,衢州,浙江,0.0089
2020-01-01,黄石,湖北,0.0084
2020-01-01,安顺,贵州,0.008
2020-01-01,湘西土家族苗族自治州,湖南,0.006999999999999999
2020-01-01,广州,广东,0.006500000000000001
2020-01-01,抚州,江西,0.006500000000000001
2020-01-01,泉州,福建,0.0064
2020-01-01,武汉,湖北,0.0062
2020-01-01,贵阳,贵州,0.006
2020-01-01,景德镇,江西,0.0059
2020-01-01,昭通,云南,0.0058
2020-01-01,六盘水,贵州,0.005600000000000001
2020-01-01,亳州,安徽,0.0053
2020-01-01,成都,四川,0.0053
2020-01-01,宿州,安徽,0.0052
2020-01-01,达州,四川,0.005
2020-01-01,黔南布依族苗族自治州,贵州,0.0049
2020-01-01,信阳,河南,0.0049
2020-01-01,无锡,江苏,0.0049
2020-01-01,安庆,安徽,0.0049
2020-01-01,北京,北京,0.0048
2020-01-01,南京,江苏,0.004699999999999999
2020-01-01,湖州,浙江,0.0046
2020-01-01,株洲,湖南,0.0046
2020-01-01,宜宾,四川,0.0046
2020-01-01,襄阳,湖北,0.0044
2020-01-01,合肥,安徽,0.0044
2020-01-01,南阳,河南,0.0043
2020-01-01,长沙,湖南,0.0041
2020-01-01,常德,湖南,0.004
2020-01-01,深圳,广东,0.0039
2020-01-01,厦门,福建,0.0038
2020-01-01,南昌,江西,0.0038
2020-01-01,咸宁,湖北,0.0038
2020-01-01,吉安,江西,0.0038
2020-01-01,荆州,湖北,0.0038
2020-01-01,驻马店,河南,0.0037
2020-01-01,曲靖,云南,0.0035
2020-01-01,商丘,河南,0.0035
2020-01-01,南平,福建,0.0035
2020-01-01,邵阳,湖南,0.0033
2020-01-01,昆明,云南,0.0032
2020-01-01,蚌埠,安徽,0.0031
2020-01-01,郑州,河南,0.0031
2020-01-01,西安,陕西,0.003
2020-01-01,宜昌,湖北,0.003
2020-01-01,赣州,江西,0.0029
2020-01-01,张家界,湖南,0.0028000000000000004
2020-01-01,舟山,浙江,0.0027
2020-01-01,新余,江西,0.0026
2020-01-01,广安,四川,0.0025
2020-01-01,南通,江苏,0.0025
2020-01-01,常州,江苏,0.0025
2020-01-01,滁州,安徽,0.0024
2020-01-01,南充,四川,0.0023
2020-01-01,萍乡,江西,0.0023
2020-01-01,池州,安徽,0.0023
2020-01-01,东莞,广东,0.0023
2020-01-01,徐州,江苏,0.0022
2020-01-01,鹰潭,江西,0.0022
2020-01-01,自贡,四川,0.0021
2020-01-01,衡阳,湖南,0.0019
2020-01-01,咸阳,陕西,0.0019
2020-01-01,平顶山,河南,0.0019
2020-01-01,六安,安徽,0.0018
2020-01-01,岳阳,湖南,0.0018
2020-01-01,南宁,广西,0.0018
2020-01-01,三明,福建,0.0018
2020-01-01,佛山,广东,0.0018
2020-01-01,遂宁,四川,0.0017
2020-01-01,湘潭,湖南,0.0017
2020-01-01,巴中,四川,0.0016
2020-01-01,十堰,湖北,0.0016
2020-01-01,漳州,福建,0.0016
2020-01-01,芜湖,安徽,0.0015
2020-01-02,杭州,浙江,0.0553
2020-01-02,台州,浙江,0.0467
2020-01-02,重庆,重庆,0.04019999999999999
2020-01-02,丽水,浙江,0.0357
2020-01-02,上饶,江西,0.034
2020-01-02,金华,浙江,0.0329
2020-01-02,遵义,贵州,0.032
2020-01-02,上海,上海,0.0302
2020-01-02,宁德,福建,0.0254
2020-01-02,宁波,浙江,0.0235
2020-01-02,九江,江西,0.0214
2020-01-02,黔东南苗族侗族自治州,贵州,0.0183
2020-01-02,铜仁,贵州,0.0176
2020-01-02,毕节,贵州,0.0166
2020-01-02,阜阳,安徽,0.0156
2020-01-02,恩施土家族苗族自治州,湖北,0.015
2020-01-02,黄冈,湖北,0.0141
2020-01-02,黔西南布依族苗族自治州,贵州,0.0132
2020-01-02,宜春,江西,0.0128
2020-01-02,安顺,贵州,0.0124
2020-01-02,黄石,湖北,0.012
2020-01-02,周口,河南,0.0119
2020-01-02,怀化,湖南,0.0114
2020-01-02,绍兴,浙江,0.0113
2020-01-02,抚州,江西,0.011200000000000002
2020-01-02,嘉兴,浙江,0.0108
2020-01-02,湘西土家族苗族自治州,湖南,0.0095
2020-01-02,六盘水,贵州,0.0083
2020-01-02,苏州,江苏,0.008199999999999999
2020-01-02,福州,福建,0.0079
2020-01-02,衢州,浙江,0.0076
2020-01-02,亳州,安徽,0.0075
2020-01-02,昭通,云南,0.0074
2020-01-02,南阳,河南,0.0068000000000000005
2020-01-02,信阳,河南,0.0067
2020-01-02,景德镇,江西,0.0066
2020-01-02,黔南布依族苗族自治州,贵州,0.0064
2020-01-02,宜宾,四川,0.0064
2020-01-02,泉州,福建,0.0063
2020-01-02,广州,广东,0.0061
2020-01-02,宿州,安徽,0.0058
2020-01-02,常德,湖南,0.005600000000000001
2020-01-02,安庆,安徽,0.005600000000000001
2020-01-02,贵阳,贵州,0.005600000000000001
2020-01-02,达州,四川,0.0055000000000000005
2020-01-02,武汉,湖北,0.0055000000000000005
2020-01-02,驻马店,河南,0.0054
2020-01-02,成都,四川,0.0053
2020-01-02,襄阳,湖北,0.0053
2020-01-02,吉安,江西,0.0051
2020-01-02,荆州,湖北,0.0051
2020-01-02,北京,北京,0.0051
2020-01-02,湖州,浙江,0.0049
2020-01-02,株洲,湖南,0.004699999999999999
2020-01-02,咸宁,湖北,0.0045000000000000005
2020-01-02,商丘,河南,0.0044
2020-01-02,深圳,广东,0.0044
2020-01-02,无锡,江苏,0.0043
2020-01-02,曲靖,云南,0.0043
2020-01-02,南昌,江西,0.0041
2020-01-02,南京,江苏,0.004
2020-01-02,南充,四川,0.0039
2020-01-02,蚌埠,安徽,0.0038
2020-01-02,广安,四川,0.0037
2020-01-02,合肥,安徽,0.0036
2020-01-02,邵阳,湖南,0.0036
2020-01-02,厦门,福建,0.0034
2020-01-02,赣州,江西,0.0034
2020-01-02,宜昌,湖北,0.0033
2020-01-02,自贡,四川,0.0032
2020-01-02,长沙,湖南,0.0032
2020-01-02,新余,江西,0.0032
2020-01-02,滁州,安徽,0.0031
2020-01-02,南平,福建,0.0031
2020-01-02,东莞,广东,0.003
2020-01-02,张家界,湖南,0.0028000000000000004
2020-01-02,郑州,河南,0.0028000000000000004
2020-01-02,舟山,浙江,0.0027
2020-01-02,巴中,四川,0.0027
2020-01-02,佛山,广东,0.0027
2020-01-02,昆明,云南,0.0026
2020-01-02,西安,陕西,0.0026
2020-01-02,平顶山,河南,0.0025
2020-01-02,常州,江苏,0.0025
2020-01-02,鹰潭,江西,0.0025
2020-01-02,萍乡,江西,0.0025
2020-01-02,衡阳,湖南,0.0025
2020-01-02,岳阳,湖南,0.0023
2020-01-02,南通,江苏,0.0022
2020-01-02,池州,安徽,0.0022
2020-01-02,徐州,江苏,0.0022
2020-01-02,六安,安徽,0.0021
2020-01-02,汉中,陕西,0.0021
2020-01-02,十堰,湖北,0.0021
2020-01-02,遂宁,四川,0.002
2020-01-02,永州,湖南,0.0019
2020-01-02,漳州,福建,0.0019
2020-01-02,莆田,福建,0.0018
2020-01-02,宣城,安徽,0.0017
2020-01-02,洛阳,河南,0.0017
2020-01-03,杭州,浙江,0.0761
2020-01-03,台州,浙江,0.0526
2020-01-03,丽水,浙江,0.0447
2020-01-03,金华,浙江,0.041100000000000005
2020-01-03,重庆,重庆,0.0342
2020-01-03,上海,上海,0.0337
2020-01-03,上饶,江西,0.0326
2020-01-03,宁波,浙江,0.0318
2020-01-03,宁德,福建,0.0297
2020-01-03,遵义,贵州,0.0205
2020-01-03,九江,江西,0.0193
2020-01-03,绍兴,浙江,0.0155
2020-01-03,阜阳,安徽,0.0131
2020-01-03,毕节,贵州,0.013000000000000001
2020-01-03,恩施土家族苗族自治州,湖北,0.0129
2020-01-03,黔东南苗族侗族自治州,贵州,0.0123
2020-01-03,黄石,湖北,0.0119
2020-01-03,嘉兴,浙江,0.0119
2020-01-03,周口,河南,0.0118
2020-01-03,黄冈,湖北,0.0117
2020-01-03,铜仁,贵州,0.0117
2020-01-03,宜春,江西,0.0103
2020-01-03,衢州,浙江,0.0096
2020-01-03,苏州,江苏,0.0096
2020-01-03,怀化,湖南,0.0095
2020-01-03,抚州,江西,0.0094
2020-01-03,黔西南布依族苗族自治州,贵州,0.0091
2020-01-03,福州,福建,0.0091
2020-01-03,湘西土家族苗族自治州,湖南,0.0085
2020-01-03,安顺,贵州,0.008199999999999999
2020-01-03,贵阳,贵州,0.0073
2020-01-03,六盘水,贵州,0.0072
2020-01-03,武汉,湖北,0.0068000000000000005
2020-01-03,泉州,福建,0.0068000000000000005
2020-01-03,亳州,安徽,0.0068000000000000005
2020-01-03,广州,广东,0.006500000000000001
2020-01-03,昭通,云南,0.0061
2020-01-03,南京,江苏,0.006
2020-01-03,成都,四川,0.0059
2020-01-03,景德镇,江西,0.0058
2020-01-03,湖州,浙江,0.005699999999999999
2020-01-03,信阳,河南,0.005600000000000001
2020-01-03,宜宾,四川,0.005600000000000001
2020-01-03,无锡,江苏,0.005600000000000001
2020-01-03,北京,北京,0.0055000000000000005
2020-01-03,黔南布依族苗族自治州,贵州,0.0053
2020-01-03,南阳,河南,0.0051
2020-01-03,安庆,安徽,0.0051
2020-01-03,宿州,安徽,0.0049
2020-01-03,厦门,福建,0.004699999999999999
2020-01-03,株洲,湖南,0.004699999999999999
2020-01-03,吉安,江西,0.004699999999999999
2020-01-03,南昌,江西,0.004699999999999999
2020-01-03,驻马店,河南,0.0046
2020-01-03,常德,湖南,0.0046
2020-01-03,咸宁,湖北,0.0045000000000000005
2020-01-03,达州,四川,0.0044
2020-01-03,邵阳,湖南,0.0044
2020-01-03,商丘,河南,0.0043
2020-01-03,荆州,湖北,0.0042
2020-01-03,深圳,广东,0.0041
2020-01-03,长沙,湖南,0.0041
2020-01-03,宜昌,湖北,0.004
2020-01-03,合肥,安徽,0.0039
2020-01-03,南平,福建,0.0038
2020-01-03,赣州,江西,0.0038
2020-01-03,南通,江苏,0.0037
2020-01-03,襄阳,湖北,0.0037
2020-01-03,舟山,浙江,0.0035
2020-01-03,昆明,云南,0.0033
2020-01-03,郑州,河南,0.0032
2020-01-03,蚌埠,安徽,0.0031
2020-01-03,常州,江苏,0.0029
2020-01-03,新余,江西,0.0028000000000000004
2020-01-03,东莞,广东,0.0028000000000000004
2020-01-03,西安,陕西,0.0028000000000000004
2020-01-03,萍乡,江西,0.0028000000000000004
2020-01-03,南充,四川,0.0026
2020-01-03,广安,四川,0.0025
2020-01-03,自贡,四川,0.0025
2020-01-03,池州,安徽,0.0025
2020-01-03,佛山,广东,0.0024
2020-01-03,永州,湖南,0.0023
2020-01-03,滁州,安徽,0.0022
2020-01-03,岳阳,湖南,0.0022
2020-01-03,莆田,福建,0.0022
