日期,市,省,比例
2020-01-01,广州,广东,0.0603
2020-01-01,重庆,重庆,0.052300000000000006
2020-01-01,深圳,广东,0.043
2020-01-01,南阳,河南,0.038
2020-01-01,上海,上海,0.0309
2020-01-01,长沙,湖南,0.029300000000000007
2020-01-01,东莞,广东,0.0285
2020-01-01,九江,江西,0.0278
2020-01-01,北京,北京,0.0277
2020-01-01,岳阳,湖南,0.0274
2020-01-01,温州,浙江,0.0232
2020-01-01,信阳,河南,0.0232
2020-01-01,杭州,浙江,0.0201
2020-01-01,苏州,江苏,0.0165
2020-01-01,常德,湖南,0.0159
2020-01-01,郑州,河南,0.0159
2020-01-01,湘西土家族苗族自治州,湖南,0.0156
2020-01-01,西安,陕西,0.0154
2020-01-01,佛山,广东,0.0123
2020-01-01,成都,四川,0.0115
2020-01-01,宁波,浙江,0.0107
2020-01-01,南昌,江西,0.0101
2020-01-01,台州,浙江,0.0097
2020-01-01,惠州,广东,0.0095
2020-01-01,金华,浙江,0.0093
2020-01-01,南京,江苏,0.0092
2020-01-01,嘉兴,浙江,0.009000000000000001
2020-01-01,驻马店,河南,0.009000000000000001
2020-01-01,安康,陕西,0.009000000000000001
2020-01-01,合肥,安徽,0.0088
2020-01-01,天津,天津,0.0088
2020-01-01,安庆,安徽,0.0079
2020-01-01,福州,福建,0.0075
2020-01-01,泉州,福建,0.0074
2020-01-01,无锡,江苏,0.0071
2020-01-01,中山,广东,0.0067
2020-01-01,株洲,湖南,0.0058
2020-01-01,厦门,福建,0.0055000000000000005
2020-01-01,六安,安徽,0.0051
2020-01-01,石家庄,河北,0.0048
2020-01-01,绍兴,浙江,0.0046
2020-01-01,阜阳,安徽,0.0045000000000000005
2020-01-01,洛阳,河南,0.0044
2020-01-01,周口,河南,0.0043
2020-01-01,昆明,云南,0.0042
2020-01-01,汕头,广东,0.0042
2020-01-01,廊坊,河北,0.0041
2020-01-01,宜春,江西,0.0038
2020-01-01,常州,江苏,0.0038
2020-01-01,南通,江苏,0.0036
2020-01-01,湖州,浙江,0.0035
2020-01-01,青岛,山东,0.0035
2020-01-01,赣州,江西,0.0034
2020-01-01,贵阳,贵州,0.0034
2020-01-01,益阳,湖南,0.0034
2020-01-01,邯郸,河北,0.0033
2020-01-01,平顶山,河南,0.0033
2020-01-01,珠海,广东,0.0033
2020-01-01,保定,河北,0.0032
2020-01-01,沧州,河北,0.0032
2020-01-01,张家界,湖南,0.0031
2020-01-01,济南,山东,0.0031
2020-01-01,徐州,江苏,0.0031
2020-01-01,南宁,广西,0.003
2020-01-01,许昌,河南,0.0029
2020-01-01,临沂,山东,0.0029
2020-01-01,衡阳,湖南,0.0029
2020-01-01,新乡,河南,0.0029
2020-01-01,焦作,河南,0.0029
2020-01-01,桂林,广西,0.0028000000000000004
2020-01-01,商丘,河南,0.0028000000000000004
2020-01-01,兰州,甘肃,0.0027
2020-01-01,海口,海南,0.0026
2020-01-01,开封,河南,0.0026
2020-01-01,哈尔滨,黑龙江,0.0026
2020-01-01,揭阳,广东,0.0025
2020-01-01,莆田,福建,0.0025
2020-01-01,乌鲁木齐,新疆,0.0025
2020-01-01,江门,广东,0.0025
2020-01-01,太原,山西,0.0025
2020-01-01,上饶,江西,0.0025
2020-01-01,潍坊,山东,0.0024
2020-01-01,漯河,河南,0.0024
2020-01-01,菏泽,山东,0.0024
2020-01-01,湘潭,湖南,0.0023
