日期,市,省,比例
2020-01-01,重庆,重庆,0.0683
2020-01-01,南阳,河南,0.049100000000000005
2020-01-01,九江,江西,0.0424
2020-01-01,长沙,湖南,0.037599999999999995
2020-01-01,岳阳,湖南,0.037200000000000004
2020-01-01,信阳,河南,0.0313
2020-01-01,北京,北京,0.03
2020-01-01,上海,上海,0.0282
2020-01-01,深圳,广东,0.0279
2020-01-01,广州,广东,0.024
2020-01-01,湘西土家族苗族自治州,湖南,0.019799999999999998
2020-01-01,常德,湖南,0.019799999999999998
2020-01-01,郑州,河南,0.0179
2020-01-01,杭州,浙江,0.014499999999999999
2020-01-01,南昌,江西,0.0144
2020-01-01,西安,陕西,0.0137
2020-01-01,驻马店,河南,0.0131
2020-01-01,成都,四川,0.013000000000000001
2020-01-01,安康,陕西,0.0128
2020-01-01,东莞,广东,0.0128
2020-01-01,合肥,安徽,0.0124
2020-01-01,苏州,江苏,0.012
2020-01-01,安庆,安徽,0.0116
2020-01-01,南京,江苏,0.010700000000000001
2020-01-01,六安,安徽,0.0075
2020-01-01,佛山,广东,0.0067
2020-01-01,周口,河南,0.0060999999999999995
2020-01-01,阜阳,安徽,0.006
2020-01-01,温州,浙江,0.0058
2020-01-01,昆明,云南,0.005600000000000001
2020-01-01,贵阳,贵州,0.0054
2020-01-01,宁波,浙江,0.0053
2020-01-01,金华,浙江,0.0052
2020-01-01,益阳,湖南,0.0052
2020-01-01,福州,福建,0.0052
2020-01-01,天津,天津,0.0051
2020-01-01,洛阳,河南,0.005
2020-01-01,平顶山,河南,0.0049
2020-01-01,宜春,江西,0.004699999999999999
2020-01-01,株洲,湖南,0.004699999999999999
2020-01-01,无锡,江苏,0.0046
2020-01-01,衡阳,湖南,0.0045000000000000005
2020-01-01,惠州,广东,0.0044
2020-01-01,商丘,河南,0.0044
2020-01-01,张家界,湖南,0.0043
2020-01-01,厦门,福建,0.0042
2020-01-01,新乡,河南,0.0040999999999999995
2020-01-01,石家庄,河北,0.004
2020-01-01,赣州,江西,0.0038
2020-01-01,泉州,福建,0.0038
2020-01-02,重庆,重庆,0.054299999999999994
2020-01-02,长沙,湖南,0.0379
2020-01-02,北京,北京,0.0363
2020-01-02,南阳,河南,0.032799999999999996
2020-01-02,深圳,广东,0.0292
2020-01-02,上海,上海,0.0287
2020-01-02,广州,广东,0.0271
2020-01-02,九江,江西,0.023799999999999998
2020-01-02,岳阳,湖南,0.0232
2020-01-02,信阳,河南,0.023
2020-01-02,郑州,河南,0.018799999999999997
2020-01-02,西安,陕西,0.0159
2020-01-02,成都,四川,0.0159
2020-01-02,南昌,江西,0.015
2020-01-02,杭州,浙江,0.015
2020-01-02,常德,湖南,0.0134
2020-01-02,合肥,安徽,0.0132
2020-01-02,苏州,江苏,0.0128
2020-01-02,东莞,广东,0.0128
2020-01-02,驻马店,河南,0.0126
2020-01-02,南京,江苏,0.0113
2020-01-02,佛山,广东,0.0087
2020-01-02,湘西土家族苗族自治州,湖南,0.0087
2020-01-02,安康,陕西,0.0087
2020-01-02,安庆,安徽,0.0086
2020-01-02,温州,浙江,0.0074
2020-01-02,厦门,福建,0.006999999999999999
2020-01-02,昆明,云南,0.0069
2020-01-02,贵阳,贵州,0.0069
2020-01-02,阜阳,安徽,0.006500000000000001
2020-01-02,周口,河南,0.0063
2020-01-02,宁波,浙江,0.0060999999999999995
2020-01-02,福州,福建,0.0059
2020-01-02,六安,安徽,0.0059
2020-01-02,金华,浙江,0.0058
2020-01-02,宜春,江西,0.0054
2020-01-02,无锡,江苏,0.0053
2020-01-02,天津,天津,0.0053
2020-01-02,平顶山,河南,0.0052
2020-01-02,南宁,广西,0.0051
2020-01-02,衡阳,湖南,0.005
2020-01-02,惠州,广东,0.0049
2020-01-02,洛阳,河南,0.0049
2020-01-02,上饶,江西,0.0048
2020-01-02,青岛,山东,0.004699999999999999
2020-01-02,株洲,湖南,0.004699999999999999
2020-01-02,商丘,河南,0.0046
2020-01-02,益阳,湖南,0.0045000000000000005
2020-01-02,泉州,福建,0.0045000000000000005
2020-01-02,三亚,海南,0.0045000000000000005
2020-01-03,重庆,重庆,0.064
2020-01-03,长沙,湖南,0.043899999999999995
2020-01-03,南阳,河南,0.0371
2020-01-03,北京,北京,0.0331
2020-01-03,九江,江西,0.0286
2020-01-03,信阳,河南,0.028300000000000002
2020-01-03,上海,上海,0.027999999999999997
2020-01-03,岳阳,湖南,0.0274
2020-01-03,广州,广东,0.0265
2020-01-03,深圳,广东,0.025699999999999997
2020-01-03,郑州,河南,0.0202
2020-01-03,常德,湖南,0.0166
2020-01-03,成都,四川,0.0154
2020-01-03,杭州,浙江,0.0144
2020-01-03,西安,陕西,0.0139
2020-01-03,合肥,安徽,0.0139
2020-01-03,南昌,江西,0.0134
2020-01-03,驻马店,河南,0.0132
2020-01-03,湘西土家族苗族自治州,湖南,0.013000000000000001
2020-01-03,东莞,广东,0.011399999999999999
2020-01-03,南京,江苏,0.011200000000000002
2020-01-03,苏州,江苏,0.0106
2020-01-03,安康,陕西,0.0098
2020-01-03,安庆,安徽,0.0097
2020-01-03,佛山,广东,0.0076
2020-01-03,贵阳,贵州,0.0072
2020-01-03,周口,河南,0.0069
2020-01-03,六安,安徽,0.0069
2020-01-03,昆明,云南,0.0069
2020-01-03,厦门,福建,0.0067
2020-01-03,无锡,江苏,0.0066
2020-01-03,温州,浙江,0.006500000000000001
2020-01-03,阜阳,安徽,0.0060999999999999995
2020-01-03,宁波,浙江,0.0059
2020-01-03,天津,天津,0.005600000000000001
2020-01-03,福州,福建,0.0054
2020-01-03,洛阳,河南,0.0054
2020-01-03,株洲,湖南,0.005
2020-01-03,宜春,江西,0.005
2020-01-03,商丘,河南,0.0048
2020-01-03,金华,浙江,0.004699999999999999
