日期,市,省,比例
2020-01-01,广州,广东,0.1038
2020-01-01,东莞,广东,0.0781
2020-01-01,深圳,广东,0.0711
2020-01-01,佛山,广东,0.0383
2020-01-01,萍乡,江西,0.0298
2020-01-01,武汉,湖北,0.028
2020-01-01,荆州,湖北,0.0248
2020-01-01,桂林,广西,0.0219
2020-01-01,铜仁,贵州,0.021
2020-01-01,重庆,重庆,0.0195
2020-01-01,中山,广东,0.0195
2020-01-01,惠州,广东,0.0178
2020-01-01,上海,上海,0.0174
2020-01-01,韶关,广东,0.0166
2020-01-01,宜春,江西,0.0165
2020-01-01,恩施土家族苗族自治州,湖北,0.0161
2020-01-01,金华,浙江,0.016
2020-01-01,北京,北京,0.0156
2020-01-01,温州,浙江,0.0155
2020-01-01,黔东南苗族侗族自治州,贵州,0.0144
2020-01-01,杭州,浙江,0.0139
2020-01-01,宁波,浙江,0.0128
2020-01-01,清远,广东,0.0127
2020-01-01,咸宁,湖北,0.0101
2020-01-01,南昌,江西,0.0087
2020-01-01,泉州,福建,0.0084
2020-01-01,珠海,广东,0.0078
2020-01-01,嘉兴,浙江,0.0077
2020-01-01,贵阳,贵州,0.0076
2020-01-01,南宁,广西,0.0072
2020-01-01,江门,广东,0.0072
2020-01-01,贺州,广西,0.006999999999999999
2020-01-01,赣州,江西,0.0066
2020-01-01,柳州,广西,0.0064
2020-01-01,苏州,江苏,0.0063
2020-01-01,台州,浙江,0.0063
2020-01-01,吉安,江西,0.0061
2020-01-01,绍兴,浙江,0.006
2020-01-01,成都,四川,0.0058
2020-01-01,福州,福建,0.0052
2020-01-01,郑州,河南,0.0052
2020-01-01,昆明,云南,0.005
2020-01-01,西安,陕西,0.0048
2020-01-01,厦门,福建,0.0048
2020-01-01,九江,江西,0.0045000000000000005
2020-01-01,肇庆,广东,0.0044
2020-01-01,南京,江苏,0.0043
2020-01-01,天津,天津,0.0041
2020-01-01,海口,海南,0.0041
2020-01-01,宜昌,湖北,0.0039
2020-01-01,合肥,安徽,0.0033
2020-01-01,遵义,贵州,0.0031
2020-01-01,无锡,江苏,0.0031
2020-01-01,黔南布依族苗族自治州,贵州,0.003
2020-01-01,汕头,广东,0.0029
2020-01-01,湛江,广东,0.0028000000000000004
2020-01-01,襄阳,湖北,0.0028000000000000004
2020-01-01,湖州,浙江,0.0027
2020-01-01,黄冈,湖北,0.0027
2020-01-01,孝感,湖北,0.0026
2020-01-01,上饶,江西,0.0025
2020-01-01,三亚,海南,0.0025
2020-01-01,石家庄,河北,0.0024
2020-01-01,新余,江西,0.0024
2020-01-01,揭阳,广东,0.0024
2020-01-01,南阳,河南,0.0024
2020-01-01,毕节,贵州,0.0023
2020-01-01,潮州,广东,0.0022
2020-01-01,济南,山东,0.0022
2020-01-01,保定,河北,0.002
2020-01-01,莆田,福建,0.002
2020-01-01,哈尔滨,黑龙江,0.002
2020-01-01,荆门,湖北,0.002
2020-01-01,黄石,湖北,0.0019
2020-01-01,河源,广东,0.0019
2020-01-01,邯郸,河北,0.0018
2020-01-01,阳江,广东,0.0018
2020-01-01,漳州,福建,0.0018
2020-01-01,青岛,山东,0.0017
2020-01-01,沧州,河北,0.0017
2020-01-01,北海,广西,0.0017
2020-01-01,南通,江苏,0.0016
2020-01-01,常州,江苏,0.0015
2020-01-01,信阳,河南,0.0015
2020-01-01,玉林,广西,0.0015
2020-01-01,丽水,浙江,0.0015
2020-01-01,徐州,江苏,0.0015
2020-01-01,安顺,贵州,0.0014000000000000002
2020-01-01,抚州,江西,0.0014000000000000002
2020-01-01,梧州,广西,0.0014000000000000002
2020-01-01,茂名,广东,0.0014000000000000002
2020-01-01,临沂,山东,0.0014000000000000002
