日期,市,省,比例
2020-01-01,广州,广东,0.08310000000000001
2020-01-01,深圳,广东,0.0652
2020-01-01,东莞,广东,0.0499
2020-01-01,荆州,湖北,0.04190000000000001
2020-01-01,萍乡,江西,0.0355
2020-01-01,桂林,广西,0.0327
2020-01-01,武汉,湖北,0.0322
2020-01-01,重庆,重庆,0.0271
2020-01-01,铜仁,贵州,0.027000000000000003
2020-01-01,佛山,广东,0.0254
2020-01-01,恩施土家族苗族自治州,湖北,0.025
2020-01-01,韶关,广东,0.023799999999999998
2020-01-01,宜春,江西,0.0217
2020-01-01,北京,北京,0.0192
2020-01-01,黔东南苗族侗族自治州,贵州,0.0173
2020-01-01,清远,广东,0.0166
2020-01-01,上海,上海,0.0161
2020-01-01,咸宁,湖北,0.0155
2020-01-01,中山,广东,0.0127
2020-01-01,南昌,江西,0.011200000000000002
2020-01-01,惠州,广东,0.011000000000000001
2020-01-01,贺州,广西,0.0101
2020-01-01,杭州,浙江,0.0092
2020-01-01,吉安,江西,0.0092
2020-01-01,贵阳,贵州,0.0089
2020-01-01,南宁,广西,0.0084
2020-01-01,柳州,广西,0.008199999999999999
2020-01-01,赣州,江西,0.0076
2020-01-01,成都,四川,0.0070999999999999995
2020-01-01,九江,江西,0.0069
2020-01-01,珠海,广东,0.0068000000000000005
2020-01-01,昆明,云南,0.0067
2020-01-01,郑州,河南,0.0058
2020-01-01,西安,陕西,0.0055000000000000005
2020-01-01,宜昌,湖北,0.0053
2020-01-01,江门,广东,0.0052
2020-01-01,孝感,湖北,0.005
2020-01-01,南京,江苏,0.0049
2020-01-01,金华,浙江,0.0048
2020-01-01,遵义,贵州,0.0046
2020-01-01,肇庆,广东,0.0045000000000000005
2020-01-01,福州,福建,0.0043
2020-01-01,苏州,江苏,0.0042
2020-01-01,合肥,安徽,0.0042
2020-01-01,宁波,浙江,0.0040999999999999995
2020-01-01,襄阳,湖北,0.004
2020-01-01,厦门,福建,0.0039000000000000003
2020-01-01,黔南布依族苗族自治州,贵州,0.0037
2020-01-01,南阳,河南,0.0036
2020-01-01,黄冈,湖北,0.0034999999999999996
2020-01-02,广州,广东,0.08529999999999999
2020-01-02,深圳,广东,0.0576
2020-01-02,东莞,广东,0.0471
2020-01-02,武汉,湖北,0.0363
2020-01-02,荆州,湖北,0.0296
2020-01-02,佛山,广东,0.0275
2020-01-02,重庆,重庆,0.0274
2020-01-02,北京,北京,0.0271
2020-01-02,桂林,广西,0.025099999999999997
2020-01-02,萍乡,江西,0.0184
2020-01-02,上海,上海,0.0182
2020-01-02,铜仁,贵州,0.0177
2020-01-02,宜春,江西,0.0173
2020-01-02,韶关,广东,0.016399999999999998
2020-01-02,黔东南苗族侗族自治州,贵州,0.0144
2020-01-02,中山,广东,0.0132
2020-01-02,恩施土家族苗族自治州,湖北,0.0123
2020-01-02,清远,广东,0.0123
2020-01-02,南昌,江西,0.011699999999999999
2020-01-02,惠州,广东,0.0113
2020-01-02,咸宁,湖北,0.0108
2020-01-02,杭州,浙江,0.010700000000000001
2020-01-02,成都,四川,0.0098
2020-01-02,南宁,广西,0.0097
2020-01-02,贵阳,贵州,0.0096
2020-01-02,赣州,江西,0.0083
2020-01-02,昆明,云南,0.0078000000000000005
2020-01-02,西安,陕西,0.0077
2020-01-02,珠海,广东,0.0077
