日期,市,省,比例
2020-01-01,西安,陕西,0.12
2020-01-01,海东,青海,0.0483
2020-01-01,西宁,青海,0.0426
2020-01-01,银川,宁夏,0.0412
2020-01-01,北京,北京,0.0366
2020-01-01,乌鲁木齐,新疆,0.0358
2020-01-01,固原,宁夏,0.0342
2020-01-01,咸阳,陕西,0.0329
2020-01-01,宝鸡,陕西,0.0315
2020-01-01,阿拉善盟,内蒙古,0.0262
2020-01-01,成都,四川,0.0227
2020-01-01,中卫,宁夏,0.0216
2020-01-01,上海,上海,0.0215
2020-01-01,吴忠,宁夏,0.0206
2020-01-01,哈密,新疆,0.0199
2020-01-01,苏州,江苏,0.0165
2020-01-01,天津,天津,0.0156
2020-01-01,榆林,陕西,0.0152
2020-01-01,延安,陕西,0.0137
2020-01-01,海西蒙古族藏族自治州,青海,0.0132
2020-01-01,阿坝藏族羌族自治州,四川,0.012
2020-01-01,杭州,浙江,0.0108
2020-01-01,重庆,重庆,0.0098
2020-01-01,昌吉回族自治州,新疆,0.0091
2020-01-01,广元,四川,0.0088
2020-01-01,汉中,陕西,0.0084
2020-01-01,郑州,河南,0.0079
2020-01-01,深圳,广东,0.0068000000000000005
2020-01-01,广州,广东,0.0067
2020-01-01,巴音郭楞蒙古自治州,新疆,0.0064
2020-01-01,海北藏族自治州,青海,0.0061
2020-01-01,鄂尔多斯,内蒙古,0.0061
2020-01-01,渭南,陕西,0.0059
2020-01-01,绵阳,四川,0.0055000000000000005
2020-01-01,黄南藏族自治州,青海,0.0052
2020-01-01,石家庄,河北,0.0051
2020-01-01,拉萨,西藏,0.0051
2020-01-01,阿克苏地区,新疆,0.005
2020-01-01,武汉,湖北,0.005
2020-01-01,无锡,江苏,0.004699999999999999
2020-01-01,青岛,山东,0.0045000000000000005
2020-01-01,南京,江苏,0.0043
2020-01-01,伊犁哈萨克自治州,新疆,0.0042
2020-01-01,吐鲁番,新疆,0.0041
2020-01-01,喀什地区,新疆,0.0041
2020-01-01,巴彦淖尔,内蒙古,0.004
2020-01-01,廊坊,河北,0.0039
2020-01-01,石嘴山,宁夏,0.0036
2020-01-01,东莞,广东,0.0036
2020-01-01,济南,山东,0.0036
2020-01-02,西安,陕西,0.1169
2020-01-02,北京,北京,0.046500000000000014
2020-01-02,乌鲁木齐,新疆,0.045
2020-01-02,银川,宁夏,0.042
2020-01-02,西宁,青海,0.0345
2020-01-02,苏州,江苏,0.028
2020-01-02,上海,上海,0.0275
2020-01-02,成都,四川,0.0252
2020-01-02,宝鸡,陕西,0.0233
2020-01-02,咸阳,陕西,0.0223
2020-01-02,天津,天津,0.0221
2020-01-02,海东,青海,0.0217
2020-01-02,杭州,浙江,0.0156
2020-01-02,哈密,新疆,0.0147
2020-01-02,固原,宁夏,0.0144
2020-01-02,阿拉善盟,内蒙古,0.0139
2020-01-02,榆林,陕西,0.0138
2020-01-02,吴忠,宁夏,0.0134
2020-01-02,中卫,宁夏,0.0131
2020-01-02,昌吉回族自治州,新疆,0.0113
2020-01-02,海西蒙古族藏族自治州,青海,0.011200000000000002
2020-01-02,重庆,重庆,0.0107
2020-01-02,深圳,广东,0.0103
2020-01-02,延安,陕西,0.0097
2020-01-02,郑州,河南,0.0093
2020-01-02,武汉,湖北,0.0088
2020-01-02,石家庄,河北,0.0084
2020-01-02,巴音郭楞蒙古自治州,新疆,0.008100000000000001
2020-01-02,拉萨,西藏,0.006999999999999999
2020-01-02,广州,广东,0.0067
2020-01-02,青岛,山东,0.006500000000000001
2020-01-02,南京,江苏,0.0064
2020-01-02,汉中,陕西,0.0063
2020-01-02,鄂尔多斯,内蒙古,0.0062
2020-01-02,广元,四川,0.0061
2020-01-02,哈尔滨,黑龙江,0.005600000000000001
2020-01-02,无锡,江苏,0.0055000000000000005
2020-01-02,阿克苏地区,新疆,0.0053
2020-01-02,东莞,广东,0.0053
2020-01-02,廊坊,河北,0.0053
2020-01-02,喀什地区,新疆,0.0052
2020-01-02,济南,山东,0.0052
2020-01-02,阿坝藏族羌族自治州,四川,0.005
2020-01-02,渭南,陕西,0.0048
2020-01-02,宁波,浙江,0.0046
2020-01-02,伊犁哈萨克自治州,新疆,0.0046
2020-01-02,绵阳,四川,0.0044
2020-01-02,巴彦淖尔,内蒙古,0.0044
2020-01-02,南昌,江西,0.0042
2020-01-02,吐鲁番,新疆,0.0041
2020-01-03,西安,陕西,0.1207
2020-01-03,西宁,青海,0.0462
2020-01-03,银川,宁夏,0.0431
2020-01-03,乌鲁木齐,新疆,0.041100000000000005
2020-01-03,北京,北京,0.039
2020-01-03,海东,青海,0.032400000000000005
2020-01-03,宝鸡,陕西,0.0266
2020-01-03,咸阳,陕西,0.0245
2020-01-03,成都,四川,0.0244
2020-01-03,天津,天津,0.0243
2020-01-03,上海,上海,0.0241
2020-01-03,苏州,江苏,0.0227
2020-01-03,固原,宁夏,0.0216
2020-01-03,哈密,新疆,0.019
2020-01-03,阿拉善盟,内蒙古,0.0186
2020-01-03,中卫,宁夏,0.0168
2020-01-03,杭州,浙江,0.015
2020-01-03,吴忠,宁夏,0.0149
2020-01-03,榆林,陕西,0.0133
2020-01-03,海西蒙古族藏族自治州,青海,0.012
2020-01-03,延安,陕西,0.0106
2020-01-03,重庆,重庆,0.0096
2020-01-03,昌吉回族自治州,新疆,0.0095
2020-01-03,郑州,河南,0.0094
2020-01-03,深圳,广东,0.0085
2020-01-03,广元,四川,0.008199999999999999
2020-01-03,汉中,陕西,0.0078
2020-01-03,阿坝藏族羌族自治州,四川,0.0072
2020-01-03,武汉,湖北,0.006999999999999999
2020-01-03,巴音郭楞蒙古自治州,新疆,0.006999999999999999
2020-01-03,石家庄,河北,0.006
2020-01-03,济南,山东,0.0058
2020-01-03,广州,广东,0.0058
2020-01-03,鄂尔多斯,内蒙古,0.005699999999999999
2020-01-03,南京,江苏,0.005699999999999999
2020-01-03,拉萨,西藏,0.005600000000000001
2020-01-03,渭南,陕西,0.0051
2020-01-03,东莞,广东,0.0049
2020-01-03,南昌,江西,0.0048
2020-01-03,阿克苏地区,新疆,0.004699999999999999
2020-01-03,无锡,江苏,0.004699999999999999
2020-01-03,海北藏族自治州,青海,0.0046
2020-01-03,青岛,山东,0.0046
2020-01-03,喀什地区,新疆,0.0045000000000000005
2020-01-03,长沙,湖南,0.0045000000000000005
2020-01-03,伊犁哈萨克自治州,新疆,0.0044
2020-01-03,绵阳,四川,0.0042
