日期,市,省,比例
2020-01-01,西安,陕西,0.1562
2020-01-01,海东,青海,0.057
2020-01-01,西宁,青海,0.0503
2020-01-01,宝鸡,陕西,0.0446
2020-01-01,咸阳,陕西,0.0438
2020-01-01,银川,宁夏,0.0423
2020-01-01,固原,宁夏,0.0407
2020-01-01,中卫,宁夏,0.0285
2020-01-01,阿拉善盟,内蒙古,0.0256
2020-01-01,北京,北京,0.0252
2020-01-01,成都,四川,0.024700000000000003
2020-01-01,吴忠,宁夏,0.0212
2020-01-01,广元,四川,0.0177
2020-01-01,汉中,陕西,0.0172
2020-01-01,哈密,新疆,0.0152
2020-01-01,榆林,陕西,0.0144
2020-01-01,延安,陕西,0.013
2020-01-01,重庆,重庆,0.0125
2020-01-01,乌鲁木齐,新疆,0.0122
2020-01-01,阿坝藏族羌族自治州,四川,0.0121
2020-01-01,上海,上海,0.0089
2020-01-01,海西蒙古族藏族自治州,青海,0.008199999999999999
2020-01-01,苏州,江苏,0.008
2020-01-01,渭南,陕西,0.0073
2020-01-01,绵阳,四川,0.0072
2020-01-01,郑州,河南,0.0071
2020-01-01,天津,天津,0.006500000000000001
2020-01-01,杭州,浙江,0.005600000000000001
2020-01-01,南阳,河南,0.0051
2020-01-01,广州,广东,0.0049
2020-01-01,南充,四川,0.0048
2020-01-01,黄南藏族自治州,青海,0.0048
2020-01-01,海北藏族自治州,青海,0.0046
2020-01-01,鄂尔多斯,内蒙古,0.0044
2020-01-01,石嘴山,宁夏,0.004
2020-01-01,昌吉回族自治州,新疆,0.004
2020-01-01,石家庄,河北,0.0039
2020-01-01,武汉,湖北,0.0039
2020-01-01,运城,山西,0.0038
2020-01-01,洛阳,河南,0.0035
2020-01-01,保定,河北,0.0035
2020-01-01,昆明,云南,0.0034
2020-01-01,深圳,广东,0.0032
2020-01-01,驻马店,河南,0.0031
2020-01-01,安康,陕西,0.003
2020-01-01,巴彦淖尔,内蒙古,0.0029
2020-01-01,太原,山西,0.0029
2020-01-01,商洛,陕西,0.0029
2020-01-01,三亚,海南,0.0027
2020-01-01,长沙,湖南,0.0027
2020-01-01,菏泽,山东,0.0024
2020-01-01,周口,河南,0.0024
2020-01-01,乌海,内蒙古,0.0023
2020-01-01,海南藏族自治州,青海,0.0023
2020-01-01,扬州,江苏,0.0023
2020-01-01,南京,江苏,0.0023
2020-01-01,商丘,河南,0.0023
2020-01-01,徐州,江苏,0.0023
2020-01-01,巴音郭楞蒙古自治州,新疆,0.0022
2020-01-01,厦门,福建,0.0022
2020-01-01,德阳,四川,0.0022
2020-01-01,临汾,山西,0.0022
2020-01-01,南昌,江西,0.0021
2020-01-01,呼和浩特,内蒙古,0.002
2020-01-01,阿克苏地区,新疆,0.002
2020-01-01,三门峡,河南,0.002
2020-01-01,巴中,四川,0.002
2020-01-01,合肥,安徽,0.0019
2020-01-01,荆州,湖北,0.0018
2020-01-01,十堰,湖北,0.0018
2020-01-01,开封,河南,0.0018
2020-01-01,邯郸,河北,0.0018
2020-01-01,新乡,河南,0.0018
2020-01-01,吐鲁番,新疆,0.0017
2020-01-01,贵阳,贵州,0.0017
2020-01-01,铜川,陕西,0.0017
2020-01-01,黄冈,湖北,0.0016
2020-01-01,沈阳,辽宁,0.0016
2020-01-01,许昌,河南,0.0015
2020-01-01,东莞,广东,0.0015
2020-01-01,济宁,山东,0.0015
2020-01-01,果洛藏族自治州,青海,0.0015
2020-01-01,无锡,江苏,0.0015
2020-01-01,伊犁哈萨克自治州,新疆,0.0015
2020-01-01,临沂,山东,0.0015
2020-01-01,青岛,山东,0.0015
2020-01-01,廊坊,河北,0.0015
2020-01-01,嘉兴,浙江,0.0015
2020-01-01,温州,浙江,0.0014000000000000002
2020-01-01,福州,福建,0.0014000000000000002
2020-01-01,襄阳,湖北,0.0014000000000000002
2020-01-01,安阳,河南,0.0014000000000000002
2020-01-01,南宁,广西,0.0014000000000000002
2020-01-01,包头,内蒙古,0.0014000000000000002
2020-01-01,济南,山东,0.0014000000000000002
2020-01-01,天门,湖北,0.0013
2020-01-01,盐城,江苏,0.0013
2020-01-01,泰州,江苏,0.0013
2020-01-01,晋中,山西,0.0013
2020-01-01,沧州,河北,0.0013
2020-01-02,西安,陕西,0.1583
2020-01-02,西宁,青海,0.0456
2020-01-02,银川,宁夏,0.0413
2020-01-02,北京,北京,0.0326
2020-01-02,咸阳,陕西,0.032
2020-01-02,成都,四川,0.0316
2020-01-02,宝鸡,陕西,0.0302
2020-01-02,海东,青海,0.0283
2020-01-02,阿拉善盟,内蒙古,0.0235
2020-01-02,固原,宁夏,0.0227
2020-01-02,中卫,宁夏,0.0181
2020-01-02,吴忠,宁夏,0.0165
2020-01-02,哈密,新疆,0.0156
2020-01-02,乌鲁木齐,新疆,0.0155
2020-01-02,重庆,重庆,0.015
2020-01-02,广元,四川,0.014
2020-01-02,上海,上海,0.014
2020-01-02,榆林,陕西,0.012
2020-01-02,汉中,陕西,0.0117
2020-01-02,苏州,江苏,0.0104
2020-01-02,延安,陕西,0.0102
2020-01-02,郑州,河南,0.0094
2020-01-02,海西蒙古族藏族自治州,青海,0.0086
2020-01-02,广州,广东,0.0085
2020-01-02,渭南,陕西,0.0084
2020-01-02,阿坝藏族羌族自治州,四川,0.008199999999999999
2020-01-02,绵阳,四川,0.0074
2020-01-02,天津,天津,0.0066
2020-01-02,杭州,浙江,0.0062
2020-01-02,南充,四川,0.0059
2020-01-02,南阳,河南,0.0058
2020-01-02,深圳,广东,0.0054
2020-01-02,驻马店,河南,0.0051
2020-01-02,武汉,湖北,0.005
2020-01-02,三亚,海南,0.0048
2020-01-02,石家庄,河北,0.0045000000000000005
2020-01-02,海北藏族自治州,青海,0.0044
2020-01-02,洛阳,河南,0.0043
2020-01-02,昌吉回族自治州,新疆,0.0043
2020-01-02,保定,河北,0.0043
2020-01-02,石嘴山,宁夏,0.0042
2020-01-02,昆明,云南,0.0041
2020-01-02,南京,江苏,0.0038
2020-01-02,巴彦淖尔,内蒙古,0.0038
2020-01-02,商丘,河南,0.0037
2020-01-02,厦门,福建,0.0035
2020-01-02,鄂尔多斯,内蒙古,0.0035
2020-01-02,黄南藏族自治州,青海,0.0035
2020-01-02,扬州,江苏,0.0035
2020-01-02,巴音郭楞蒙古自治州,新疆,0.0034
2020-01-02,长沙,湖南,0.0033
2020-01-02,运城,山西,0.0033
2020-01-02,太原,山西,0.0033
2020-01-02,菏泽,山东,0.0033
2020-01-02,周口,河南,0.0031
2020-01-02,荆州,湖北,0.0031
2020-01-02,黄冈,湖北,0.0029
2020-01-02,温州,浙江,0.0028000000000000004
2020-01-02,徐州,江苏,0.0027
2020-01-02,青岛,山东,0.0027
2020-01-02,南昌,江西,0.0027
2020-01-02,沧州,河北,0.0026
2020-01-02,海口,海南,0.0026
2020-01-02,邯郸,河北,0.0025
2020-01-02,巴中,四川,0.0025
2020-01-02,济南,山东,0.0025
2020-01-02,海南藏族自治州,青海,0.0025
2020-01-02,无锡,江苏,0.0024
2020-01-02,乌海,内蒙古,0.0024
2020-01-02,安康,陕西,0.0024
2020-01-02,廊坊,河北,0.0023
2020-01-02,三门峡,河南,0.0023
2020-01-02,贵阳,贵州,0.0022
2020-01-02,呼和浩特,内蒙古,0.0022
2020-01-02,开封,河南,0.0022
2020-01-02,吐鲁番,新疆,0.0021
2020-01-02,北海,广西,0.0021
2020-01-02,合肥,安徽,0.0021
2020-01-02,新乡,河南,0.0021
2020-01-02,阿克苏地区,新疆,0.002
2020-01-02,天门,湖北,0.002
2020-01-02,商洛,陕西,0.002
2020-01-02,仙桃,湖北,0.002
2020-01-02,福州,福建,0.0019
2020-01-02,东莞,广东,0.0019
2020-01-02,伊犁哈萨克自治州,新疆,0.0019
2020-01-02,拉萨,西藏,0.0019
2020-01-02,乐山,四川,0.0018
2020-01-02,包头,内蒙古,0.0018
2020-01-02,临汾,山西,0.0018
2020-01-02,嘉兴,浙江,0.0018
2020-01-02,许昌,河南,0.0017
2020-01-02,吕梁,山西,0.0017
2020-01-02,孝感,湖北,0.0017
2020-01-02,德阳,四川,0.0017
2020-01-02,十堰,湖北,0.0017
2020-01-02,安庆,安徽,0.0017
2020-01-02,平顶山,河南,0.0017
2020-01-02,信阳,河南,0.0016
2020-01-02,遂宁,四川,0.0016
2020-01-03,西安,陕西,0.16510000000000002
2020-01-03,西宁,青海,0.0472
2020-01-03,宝鸡,陕西,0.0405
2020-01-03,海东,青海,0.0394
2020-01-03,银川,宁夏,0.0382
2020-01-03,咸阳,陕西,0.0379
2020-01-03,成都,四川,0.0296
2020-01-03,北京,北京,0.0296
2020-01-03,固原,宁夏,0.0266
2020-01-03,阿拉善盟,内蒙古,0.0243
2020-01-03,中卫,宁夏,0.0195
2020-01-03,吴忠,宁夏,0.0165
2020-01-03,重庆,重庆,0.0163
2020-01-03,上海,上海,0.0146
2020-01-03,广元,四川,0.0138
2020-01-03,乌鲁木齐,新疆,0.0136
2020-01-03,汉中,陕西,0.0129
2020-01-03,榆林,陕西,0.0129
2020-01-03,哈密,新疆,0.0125
2020-01-03,延安,陕西,0.0114
2020-01-03,苏州,江苏,0.009000000000000001
2020-01-03,郑州,河南,0.0085
2020-01-03,海西蒙古族藏族自治州,青海,0.008100000000000001
2020-01-03,阿坝藏族羌族自治州,四川,0.008100000000000001
2020-01-03,绵阳,四川,0.0079
2020-01-03,天津,天津,0.0078
2020-01-03,渭南,陕西,0.0076
2020-01-03,杭州,浙江,0.0066
2020-01-03,广州,广东,0.0064
2020-01-03,驻马店,河南,0.0054
2020-01-03,南充,四川,0.0052
2020-01-03,深圳,广东,0.0052
2020-01-03,南阳,河南,0.004699999999999999
2020-01-03,昆明,云南,0.0046
2020-01-03,洛阳,河南,0.0043
2020-01-03,昌吉回族自治州,新疆,0.0041
2020-01-03,鄂尔多斯,内蒙古,0.0041
2020-01-03,三亚,海南,0.004
2020-01-03,武汉,湖北,0.0039
2020-01-03,黄南藏族自治州,青海,0.0039
2020-01-03,巴彦淖尔,内蒙古,0.0038
2020-01-03,海北藏族自治州,青海,0.0038
2020-01-03,石家庄,河北,0.0037
2020-01-03,石嘴山,宁夏,0.0036
2020-01-03,青岛,山东,0.0035
2020-01-03,扬州,江苏,0.0035
2020-01-03,长沙,湖南,0.0034
2020-01-03,南京,江苏,0.0034
2020-01-03,周口,河南,0.0034
2020-01-03,商丘,河南,0.0032
2020-01-03,太原,山西,0.0031
2020-01-03,保定,河北,0.0029
2020-01-03,巴音郭楞蒙古自治州,新疆,0.0029
2020-01-03,厦门,福建,0.0028000000000000004
2020-01-03,海口,海南,0.0028000000000000004
2020-01-03,济南,山东,0.0028000000000000004
2020-01-03,安康,陕西,0.0027
2020-01-03,开封,河南,0.0027
2020-01-03,荆州,湖北,0.0027
2020-01-03,吐鲁番,新疆,0.0026
2020-01-03,商洛,陕西,0.0026
2020-01-03,运城,山西,0.0026
2020-01-03,新乡,河南,0.0025
2020-01-03,呼和浩特,内蒙古,0.0024
2020-01-03,贵阳,贵州,0.0024
2020-01-03,菏泽,山东,0.0024
2020-01-03,福州,福建,0.0023
2020-01-03,三门峡,河南,0.0023
2020-01-03,十堰,湖北,0.0022
2020-01-03,徐州,江苏,0.0022
2020-01-03,温州,浙江,0.0021
2020-01-03,廊坊,河北,0.0021
2020-01-03,巴中,四川,0.0021
2020-01-03,德阳,四川,0.0021
2020-01-03,合肥,安徽,0.0021
2020-01-03,许昌,河南,0.0021
2020-01-03,邯郸,河北,0.002
2020-01-03,临汾,山西,0.002
2020-01-03,沧州,河北,0.002
2020-01-03,南昌,江西,0.002
2020-01-03,东莞,广东,0.002
2020-01-03,无锡,江苏,0.002
2020-01-03,海南藏族自治州,青海,0.0019
2020-01-03,哈尔滨,黑龙江,0.0019
2020-01-03,天门,湖北,0.0018
2020-01-03,包头,内蒙古,0.0018
2020-01-03,乌海,内蒙古,0.0017
2020-01-03,北海,广西,0.0017
2020-01-03,济宁,山东,0.0017
2020-01-03,黄冈,湖北,0.0017
2020-01-03,桂林,广西,0.0017
2020-01-03,阿克苏地区,新疆,0.0017
2020-01-03,邢台,河北,0.0016
2020-01-03,泉州,福建,0.0015
2020-01-03,沈阳,辽宁,0.0015
2020-01-03,平顶山,河南,0.0015
2020-01-03,临沂,山东,0.0015
2020-01-03,达州,四川,0.0015
2020-01-03,吕梁,山西,0.0014000000000000002
2020-01-03,阜阳,安徽,0.0014000000000000002
2020-01-04,西安,陕西,0.1562
2020-01-04,西宁,青海,0.0455
2020-01-04,海东,青海,0.0439
2020-01-04,咸阳,陕西,0.0407
2020-01-04,宝鸡,陕西,0.0386
2020-01-04,银川,宁夏,0.0342
2020-01-04,北京,北京,0.031400000000000004
2020-01-04,固原,宁夏,0.0303
2020-01-04,成都,四川,0.0303
2020-01-04,阿拉善盟,内蒙古,0.0238
2020-01-04,中卫,宁夏,0.0229
2020-01-04,吴忠,宁夏,0.0172
2020-01-04,上海,上海,0.017
2020-01-04,重庆,重庆,0.015
2020-01-04,广元,四川,0.015
2020-01-04,汉中,陕西,0.014
2020-01-04,榆林,陕西,0.013500000000000002
2020-01-04,乌鲁木齐,新疆,0.0128
2020-01-04,苏州,江苏,0.0123
2020-01-04,哈密,新疆,0.0123
2020-01-04,延安,陕西,0.0096
2020-01-04,阿坝藏族羌族自治州,四川,0.0091
2020-01-04,郑州,河南,0.008199999999999999
2020-01-04,海西蒙古族藏族自治州,青海,0.008100000000000001
2020-01-04,天津,天津,0.008100000000000001
2020-01-04,渭南,陕西,0.0075
2020-01-04,绵阳,四川,0.0062
2020-01-04,广州,广东,0.0054
2020-01-04,南充,四川,0.0052
2020-01-04,南阳,河南,0.0051
2020-01-04,杭州,浙江,0.005
2020-01-04,深圳,广东,0.0049
2020-01-04,武汉,湖北,0.004699999999999999
2020-01-04,海北藏族自治州,青海,0.0044
2020-01-04,石家庄,河北,0.0042
2020-01-04,黄南藏族自治州,青海,0.0041
2020-01-04,昆明,云南,0.0041
2020-01-04,洛阳,河南,0.004
2020-01-04,三亚,海南,0.0038
2020-01-04,长沙,湖南,0.0037
2020-01-04,驻马店,河南,0.0037
2020-01-04,昌吉回族自治州,新疆,0.0036
2020-01-04,太原,山西,0.0034
2020-01-04,扬州,江苏,0.0034
2020-01-04,运城,山西,0.0034
2020-01-04,青岛,山东,0.0033
2020-01-04,南京,江苏,0.0033
2020-01-04,厦门,福建,0.0033
2020-01-04,鄂尔多斯,内蒙古,0.0033
2020-01-04,商丘,河南,0.0032
2020-01-04,周口,河南,0.0032
2020-01-04,石嘴山,宁夏,0.0031
2020-01-04,海口,海南,0.0031
2020-01-04,保定,河北,0.003
