日期,市,省,比例
2020-01-01,温州,浙江,0.0692
2020-01-01,上海,上海,0.0541
2020-01-01,深圳,广东,0.0462
2020-01-01,赣州,江西,0.040999999999999995
2020-01-01,广州,广东,0.0371
2020-01-01,汕头,广东,0.0304
2020-01-01,北京,北京,0.029300000000000003
2020-01-01,杭州,浙江,0.0245
2020-01-01,东莞,广东,0.0195
2020-01-01,潮州,广东,0.0194
2020-01-01,南昌,江西,0.0187
2020-01-01,梅州,广东,0.0174
2020-01-01,抚州,江西,0.0163
2020-01-01,上饶,江西,0.0152
2020-01-01,苏州,江苏,0.015
2020-01-01,金华,浙江,0.014199999999999999
2020-01-01,重庆,重庆,0.0141
2020-01-01,长沙,湖南,0.013000000000000001
2020-01-01,武汉,湖北,0.013000000000000001
2020-01-01,宁波,浙江,0.0127
2020-01-01,佛山,广东,0.0116
2020-01-01,丽水,浙江,0.011200000000000002
2020-01-01,南京,江苏,0.011000000000000001
2020-01-01,天津,天津,0.0108
2020-01-01,台州,浙江,0.0108
2020-01-01,成都,四川,0.0106
2020-01-01,西安,陕西,0.0104
2020-01-01,惠州,广东,0.009000000000000001
2020-01-01,揭阳,广东,0.009000000000000001
2020-01-01,郑州,河南,0.0084
2020-01-01,合肥,安徽,0.0079
2020-01-01,宜春,江西,0.006999999999999999
2020-01-01,无锡,江苏,0.006999999999999999
2020-01-01,九江,江西,0.0069
2020-01-01,昆明,云南,0.0068000000000000005
2020-01-01,吉安,江西,0.006500000000000001
2020-01-01,衢州,浙江,0.006500000000000001
2020-01-01,贵阳,贵州,0.0063
2020-01-01,绍兴,浙江,0.0060999999999999995
2020-01-01,嘉兴,浙江,0.006
2020-01-01,南宁,广西,0.005699999999999999
2020-01-01,青岛,山东,0.005600000000000001
2020-01-01,舟山,浙江,0.0055000000000000005
2020-01-01,石家庄,河北,0.0051
2020-01-01,香港,香港,0.0049
2020-01-01,哈尔滨,黑龙江,0.0049
2020-01-01,沈阳,辽宁,0.0048
2020-01-01,济南,山东,0.0043
2020-01-01,肇庆,广东,0.004
2020-01-01,南通,江苏,0.004
2020-01-02,上海,上海,0.0538
2020-01-02,深圳,广东,0.0467
2020-01-02,温州,浙江,0.042699999999999995
2020-01-02,广州,广东,0.038900000000000004
2020-01-02,北京,北京,0.0366
2020-01-02,赣州,江西,0.0269
2020-01-02,杭州,浙江,0.0235
2020-01-02,东莞,广东,0.0208
2020-01-02,南昌,江西,0.019299999999999998
2020-01-02,苏州,江苏,0.0179
2020-01-02,汕头,广东,0.0177
2020-01-02,武汉,湖北,0.0169
2020-01-02,重庆,重庆,0.0168
2020-01-02,南京,江苏,0.0146
2020-01-02,佛山,广东,0.0131
2020-01-02,长沙,湖南,0.013000000000000001
2020-01-02,成都,四川,0.0128
2020-01-02,宁波,浙江,0.0126
2020-01-02,天津,天津,0.0126
2020-01-02,西安,陕西,0.0125
2020-01-02,郑州,河南,0.0124
2020-01-02,金华,浙江,0.012
2020-01-02,上饶,江西,0.011699999999999999
2020-01-02,抚州,江西,0.011399999999999999
2020-01-02,台州,浙江,0.0109
2020-01-02,潮州,广东,0.0101
2020-01-02,梅州,广东,0.0089
2020-01-02,惠州,广东,0.0087
2020-01-02,无锡,江苏,0.0085
2020-01-02,九江,江西,0.008
2020-01-02,合肥,安徽,0.0077
2020-01-02,宜春,江西,0.0076
2020-01-02,昆明,云南,0.0075
2020-01-02,揭阳,广东,0.0073
2020-01-02,济南,山东,0.006500000000000001
2020-01-02,南宁,广西,0.006500000000000001
2020-01-02,贵阳,贵州,0.0064
2020-01-02,嘉兴,浙江,0.0063
2020-01-02,石家庄,河北,0.0062
2020-01-02,沈阳,辽宁,0.0060999999999999995
2020-01-02,青岛,山东,0.006
2020-01-02,丽水,浙江,0.006
2020-01-02,吉安,江西,0.0059
2020-01-02,绍兴,浙江,0.0058
2020-01-02,哈尔滨,黑龙江,0.005600000000000001
2020-01-02,遵义,贵州,0.0051
2020-01-02,肇庆,广东,0.005
2020-01-02,中山,广东,0.0049
2020-01-02,南通,江苏,0.0048
2020-01-02,海口,海南,0.0048
2020-01-03,上海,上海,0.0547
2020-01-03,深圳,广东,0.049
2020-01-03,温州,浙江,0.0487
2020-01-03,广州,广东,0.0394
2020-01-03,北京,北京,0.032400000000000005
2020-01-03,赣州,江西,0.0292
2020-01-03,杭州,浙江,0.025
2020-01-03,南昌,江西,0.022400000000000003
2020-01-03,东莞,广东,0.0207
2020-01-03,汕头,广东,0.020499999999999997
2020-01-03,武汉,湖北,0.0163
2020-01-03,苏州,江苏,0.015300000000000001
2020-01-03,重庆,重庆,0.0144
2020-01-03,天津,天津,0.014199999999999999
2020-01-03,宁波,浙江,0.013500000000000002
2020-01-03,抚州,江西,0.013300000000000001
2020-01-03,潮州,广东,0.0132
2020-01-03,上饶,江西,0.013000000000000001
2020-01-03,南京,江苏,0.0129
2020-01-03,长沙,湖南,0.0127
2020-01-03,金华,浙江,0.0126
2020-01-03,梅州,广东,0.0125
2020-01-03,成都,四川,0.012199999999999999
2020-01-03,郑州,河南,0.0121
2020-01-03,佛山,广东,0.0121
2020-01-03,台州,浙江,0.0121
2020-01-03,西安,陕西,0.0118
2020-01-03,无锡,江苏,0.0091
2020-01-03,昆明,云南,0.0087
2020-01-03,合肥,安徽,0.0087
2020-01-03,惠州,广东,0.0085
2020-01-03,揭阳,广东,0.0083
2020-01-03,丽水,浙江,0.0083
2020-01-03,九江,江西,0.0077
2020-01-03,宜春,江西,0.0075
2020-01-03,济南,山东,0.0072
2020-01-03,青岛,山东,0.0070999999999999995
2020-01-03,达州,四川,0.006999999999999999
2020-01-03,南宁,广西,0.0068000000000000005
2020-01-03,贵阳,贵州,0.0067
2020-01-03,嘉兴,浙江,0.0064
2020-01-03,吉安,江西,0.006
2020-01-03,绍兴,浙江,0.0058
2020-01-03,沈阳,辽宁,0.005699999999999999
2020-01-03,肇庆,广东,0.0053
2020-01-03,石家庄,河北,0.0052
2020-01-03,中山,广东,0.005
2020-01-03,哈尔滨,黑龙江,0.0048
2020-01-03,衢州,浙江,0.0044
2020-01-03,常州,江苏,0.0042
2020-01-04,温州,浙江,0.052000000000000005
2020-01-04,上海,上海,0.051500000000000004
2020-01-04,深圳,广东,0.047599999999999996
2020-01-04,广州,广东,0.0354
2020-01-04,北京,北京,0.0322
2020-01-04,赣州,江西,0.0291
2020-01-04,汕头,广东,0.0248
2020-01-04,杭州,浙江,0.0227
2020-01-04,南昌,江西,0.0219
2020-01-04,东莞,广东,0.0192
2020-01-04,苏州,江苏,0.016200000000000003
2020-01-04,武汉,湖北,0.016200000000000003
2020-01-04,重庆,重庆,0.015700000000000002
2020-01-04,潮州,广东,0.0141
2020-01-04,梅州,广东,0.0139
2020-01-04,长沙,湖南,0.0139
