日期,市,省,比例
2020-01-01,温州,浙江,0.0525
2020-01-01,重庆,重庆,0.0404
2020-01-01,赣州,江西,0.038599999999999995
2020-01-01,上海,上海,0.0345
2020-01-01,深圳,广东,0.0322
2020-01-01,广州,广东,0.026600000000000002
2020-01-01,上饶,江西,0.0208
2020-01-01,汕头,广东,0.0206
2020-01-01,抚州,江西,0.0192
2020-01-01,北京,北京,0.0176
2020-01-01,杭州,浙江,0.016200000000000003
2020-01-01,潮州,广东,0.0161
2020-01-01,梅州,广东,0.0149
2020-01-01,毕节,贵州,0.0148
2020-01-01,南昌,江西,0.0146
2020-01-01,达州,四川,0.014199999999999999
2020-01-01,东莞,广东,0.014199999999999999
2020-01-01,遵义,贵州,0.0118
2020-01-01,成都,四川,0.0111
2020-01-01,铜仁,贵州,0.0106
2020-01-01,武汉,湖北,0.0105
2020-01-01,揭阳,广东,0.0095
2020-01-01,贵阳,贵州,0.009399999999999999
2020-01-01,长沙,湖南,0.009399999999999999
2020-01-01,吉安,江西,0.009300000000000001
2020-01-01,九江,江西,0.0092
2020-01-01,金华,浙江,0.0091
2020-01-01,宜春,江西,0.0088
2020-01-01,台州,浙江,0.0086
2020-01-01,香港,香港,0.0085
2020-01-01,苏州,江苏,0.0084
2020-01-01,宁波,浙江,0.0083
2020-01-01,丽水,浙江,0.008199999999999999
2020-01-01,佛山,广东,0.008100000000000001
2020-01-01,惠州,广东,0.0077
2020-01-01,昆明,云南,0.0076
2020-01-01,西安,陕西,0.0075
2020-01-01,南京,江苏,0.0072
2020-01-01,怀化,湖南,0.0066
2020-01-01,广安,四川,0.006500000000000001
2020-01-01,黄冈,湖北,0.0064
2020-01-01,南阳,河南,0.0063
2020-01-01,恩施土家族苗族自治州,湖北,0.0062
2020-01-01,郑州,河南,0.0062
2020-01-01,黔东南苗族侗族自治州,贵州,0.0060999999999999995
2020-01-01,周口,河南,0.005600000000000001
2020-01-01,合肥,安徽,0.005600000000000001
2020-01-01,衢州,浙江,0.0055000000000000005
2020-01-01,天津,天津,0.0054
2020-01-01,黔西南布依族苗族自治州,贵州,0.0051
2020-01-02,重庆,重庆,0.054000000000000006
2020-01-02,温州,浙江,0.0341
2020-01-02,上海,上海,0.031
2020-01-02,赣州,江西,0.029300000000000003
2020-01-02,深圳,广东,0.0282
2020-01-02,广州,广东,0.0241
2020-01-02,毕节,贵州,0.0189
2020-01-02,上饶,江西,0.018799999999999997
2020-01-02,达州,四川,0.0184
2020-01-02,北京,北京,0.0177
2020-01-02,遵义,贵州,0.0169
2020-01-02,抚州,江西,0.016200000000000003
2020-01-02,铜仁,贵州,0.016
2020-01-02,汕头,广东,0.014499999999999999
2020-01-02,杭州,浙江,0.014199999999999999
