日期,市,省,比例
2020-01-01,成都,四川,0.1773
2020-01-01,甘孜藏族自治州,四川,0.1158
2020-01-01,咸阳,陕西,0.0684
2020-01-01,海西蒙古族藏族自治州,青海,0.0647
2020-01-01,玉树藏族自治州,青海,0.0602
2020-01-01,重庆,重庆,0.0531
2020-01-01,西宁,青海,0.035
2020-01-01,迪庆藏族自治州,云南,0.0259
2020-01-01,西安,陕西,0.024700000000000003
2020-01-01,天津,天津,0.023
2020-01-01,北京,北京,0.0189
2020-01-01,绵阳,四川,0.0123
2020-01-01,上海,上海,0.0119
2020-01-01,临夏回族自治州,甘肃,0.0103
2020-01-01,哈尔滨,黑龙江,0.0103
2020-01-01,兰州,甘肃,0.009000000000000001
2020-01-01,海东,青海,0.008199999999999999
2020-01-01,南充,四川,0.0078
2020-01-01,郑州,河南,0.0078
2020-01-01,南京,江苏,0.0074
2020-01-01,武汉,湖北,0.0074
2020-01-01,昆明,云南,0.006999999999999999
2020-01-01,广安,四川,0.006999999999999999
2020-01-01,广州,广东,0.006500000000000001
2020-01-01,果洛藏族自治州,青海,0.0061
2020-01-01,岳阳,湖南,0.0049
2020-01-01,石家庄,河北,0.0049
2020-01-01,怒江傈僳族自治州,云南,0.0049
2020-01-01,深圳,广东,0.0045000000000000005
2020-01-01,眉山,四川,0.0045000000000000005
2020-01-01,渭南,陕西,0.0045000000000000005
2020-01-01,济南,山东,0.0045000000000000005
2020-01-01,黄冈,湖北,0.0045000000000000005
2020-01-01,德阳,四川,0.0045000000000000005
2020-01-01,长沙,湖南,0.0041
2020-01-01,遂宁,四川,0.0041
2020-01-01,丽江,云南,0.0041
2020-01-01,宝鸡,陕西,0.0041
2020-01-01,贵阳,贵州,0.0032
2020-01-01,杭州,浙江,0.0032
2020-01-01,南昌,江西,0.0032
2020-01-01,阿坝藏族羌族自治州,四川,0.0032
2020-01-01,凉山彝族自治州,四川,0.0032
2020-01-01,廊坊,河北,0.0032
2020-01-01,雅安,四川,0.0028000000000000004
2020-01-01,驻马店,河南,0.0028000000000000004
2020-01-01,海南藏族自治州,青海,0.0024
2020-01-01,自贡,四川,0.0024
2020-01-01,太原,山西,0.0024
2020-01-01,内江,四川,0.0024
2020-01-01,大理白族自治州,云南,0.002
2020-01-01,资阳,四川,0.002
2020-01-01,乌鲁木齐,新疆,0.002
2020-01-01,天水,甘肃,0.002
2020-01-01,遵义,贵州,0.002
2020-01-01,仙桃,湖北,0.002
2020-01-01,泸州,四川,0.002
2020-01-01,沈阳,辽宁,0.002
2020-01-01,中卫,宁夏,0.002
2020-01-01,淮北,安徽,0.0016
2020-01-01,宜宾,四川,0.0016
2020-01-01,商丘,河南,0.0016
2020-01-01,毕节,贵州,0.0016
2020-01-01,鹤壁,河南,0.0016
2020-01-01,嘉兴,浙江,0.0016
2020-01-01,大连,辽宁,0.0016
2020-01-01,甘南藏族自治州,甘肃,0.0016
2020-01-01,乐山,四川,0.0016
2020-01-01,汉中,陕西,0.0016
2020-01-01,长春,吉林,0.0016
2020-01-01,宁波,浙江,0.0016
2020-01-01,安阳,河南,0.0016
2020-01-01,桂林,广西,0.0016
2020-01-01,镇江,江苏,0.0012
2020-01-01,青岛,山东,0.0012
2020-01-01,张掖,甘肃,0.0012
2020-01-01,襄阳,湖北,0.0012
2020-01-01,佛山,广东,0.0012
2020-01-01,淄博,山东,0.0012
2020-01-01,保定,河北,0.0012
2020-01-01,西双版纳傣族自治州,云南,0.0012
2020-01-01,南阳,河南,0.0012
2020-01-01,厦门,福建,0.0012
2020-01-01,武威,甘肃,0.0012
2020-01-01,合肥,安徽,0.0012
2020-01-01,许昌,河南,0.0012
2020-01-01,菏泽,山东,0.0012
2020-01-01,娄底,湖南,0.0012
2020-01-01,喀什地区,新疆,0.0012
2020-01-01,沧州,河北,0.0012
2020-01-01,银川,宁夏,0.0012
2020-01-01,大同,山西,0.0008
2020-01-01,宿迁,江苏,0.0008
2020-01-01,信阳,河南,0.0008
2020-01-01,达州,四川,0.0008
2020-01-01,榆林,陕西,0.0008
2020-01-01,邯郸,河北,0.0008
2020-01-01,阿克苏地区,新疆,0.0008
2020-01-01,广元,四川,0.0008
2020-01-01,阜阳,安徽,0.0008
2020-01-02,成都,四川,0.16140000000000002
2020-01-02,咸阳,陕西,0.0898
2020-01-02,甘孜藏族自治州,四川,0.0645
2020-01-02,玉树藏族自治州,青海,0.0541
2020-01-02,海西蒙古族藏族自治州,青海,0.052000000000000005
2020-01-02,重庆,重庆,0.0466
2020-01-02,西宁,青海,0.0353
2020-01-02,西安,陕西,0.0306
