日期,市,省,比例
2020-01-01,重庆,重庆,0.163
2020-01-01,泸州,四川,0.0883
2020-01-01,曲靖,云南,0.0803
2020-01-01,昆明,云南,0.0535
2020-01-01,昭通,云南,0.0519
2020-01-01,怀化,湖南,0.0455
2020-01-01,成都,四川,0.0291
2020-01-01,广州,广东,0.028
2020-01-01,百色,广西,0.0217
2020-01-01,河池,广西,0.0184
2020-01-01,深圳,广东,0.018000000000000002
2020-01-01,湘西土家族苗族自治州,湖南,0.0161
2020-01-01,东莞,广东,0.0152
2020-01-01,柳州,广西,0.0141
2020-01-01,长沙,湖南,0.0108
2020-01-01,邵阳,湖南,0.0106
2020-01-01,上海,上海,0.0092
2020-01-01,北京,北京,0.0087
2020-01-01,桂林,广西,0.0087
2020-01-01,南宁,广西,0.0087
2020-01-01,佛山,广东,0.006999999999999999
2020-01-01,宜宾,四川,0.0067
2020-01-01,金华,浙江,0.0062
2020-01-01,广安,四川,0.0061
2020-01-01,惠州,广东,0.0058
2020-01-01,温州,浙江,0.005699999999999999
2020-01-01,杭州,浙江,0.0055000000000000005
2020-01-01,宁波,浙江,0.0053
2020-01-01,郑州,河南,0.0052
2020-01-01,武汉,湖北,0.0051
2020-01-01,红河哈尼族彝族自治州,云南,0.005
2020-01-01,娄底,湖南,0.0049
2020-01-01,西安,陕西,0.0045000000000000005
2020-01-01,南充,四川,0.0044
2020-01-01,泉州,福建,0.0042
2020-01-01,内江,四川,0.0041
2020-01-01,吉安,江西,0.004
2020-01-01,福州,福建,0.0039
2020-01-01,厦门,福建,0.0039
2020-01-01,常德,湖南,0.0034
2020-01-01,玉溪,云南,0.0034
2020-01-01,中山,广东,0.0032
2020-01-01,自贡,四川,0.003
2020-01-01,北海,广西,0.003
2020-01-01,三亚,海南,0.0029
2020-01-01,苏州,江苏,0.0029
2020-01-01,大理白族自治州,云南,0.0028000000000000004
2020-01-01,达州,四川,0.0026
2020-01-01,衡阳,湖南,0.0026
2020-01-01,南昌,江西,0.0025
2020-01-01,南京,江苏,0.0025
2020-01-01,荆州,湖北,0.0024
2020-01-01,乐山,四川,0.0024
2020-01-01,株洲,湖南,0.0024
2020-01-01,丽江,云南,0.0024
2020-01-01,台州,浙江,0.0023
2020-01-01,资阳,四川,0.0022
2020-01-01,文山壮族苗族自治州,云南,0.0022
2020-01-01,绍兴,浙江,0.0022
2020-01-01,绵阳,四川,0.0022
2020-01-01,眉山,四川,0.0021
2020-01-01,宜昌,湖北,0.002
2020-01-01,贵港,广西,0.002
2020-01-01,天津,天津,0.002
2020-01-01,岳阳,湖南,0.002
2020-01-01,宜春,江西,0.0019
2020-01-01,玉林,广西,0.0019
2020-01-01,湘潭,湖南,0.0019
2020-01-01,遂宁,四川,0.0018
2020-01-01,德阳,四川,0.0018
2020-01-01,嘉兴,浙江,0.0018
2020-01-01,珠海,广东,0.0018
2020-01-01,无锡,江苏,0.0018
2020-01-01,湛江,广东,0.0017
2020-01-01,江门,广东,0.0017
2020-01-01,南阳,河南,0.0016
2020-01-01,合肥,安徽,0.0016
2020-01-01,西双版纳傣族自治州,云南,0.0016
2020-01-01,肇庆,广东,0.0016
2020-01-01,海口,海南,0.0015
2020-01-01,荆门,湖北,0.0015
2020-01-01,永州,湖南,0.0015
2020-01-01,九江,江西,0.0015
2020-01-01,恩施土家族苗族自治州,湖北,0.0015
2020-01-01,贺州,广西,0.0014000000000000002
2020-01-01,楚雄彝族自治州,云南,0.0014000000000000002
2020-01-01,益阳,湖南,0.0014000000000000002
2020-01-01,襄阳,湖北,0.0013
2020-01-01,湖州,浙江,0.0013
2020-01-01,郴州,湖南,0.0012
2020-01-01,凉山彝族自治州,四川,0.0012
2020-01-01,上饶,江西,0.0012
2020-01-01,常州,江苏,0.0012
2020-01-01,清远,广东,0.0011
2020-01-01,漳州,福建,0.0011
2020-01-01,来宾,广西,0.0011
2020-01-01,抚州,江西,0.0011
2020-01-01,徐州,江苏,0.0011
2020-01-01,钦州,广西,0.0011
2020-01-01,赣州,江西,0.001
2020-01-02,重庆,重庆,0.1459
2020-01-02,昆明,云南,0.0581
2020-01-02,曲靖,云南,0.0495
2020-01-02,泸州,四川,0.0466
2020-01-02,成都,四川,0.0359
2020-01-02,昭通,云南,0.0338
2020-01-02,广州,广东,0.0329
2020-01-02,怀化,湖南,0.0266
2020-01-02,深圳,广东,0.0207
2020-01-02,东莞,广东,0.018000000000000002
2020-01-02,长沙,湖南,0.0151
2020-01-02,百色,广西,0.0137
2020-01-02,北京,北京,0.0137
2020-01-02,河池,广西,0.0131
2020-01-02,上海,上海,0.0124
2020-01-02,邵阳,湖南,0.0109
2020-01-02,南宁,广西,0.0097
2020-01-02,柳州,广西,0.0093
2020-01-02,佛山,广东,0.0092
2020-01-02,湘西土家族苗族自治州,湖南,0.009000000000000001
2020-01-02,桂林,广西,0.0089
2020-01-02,广安,四川,0.008
2020-01-02,温州,浙江,0.0078
