日期,市,省,比例
2020-01-01,北京,北京,0.0971
2020-01-01,赤峰,内蒙古,0.0652
2020-01-01,通辽,内蒙古,0.06309999999999999
2020-01-01,长春,吉林,0.0518
2020-01-01,四平,吉林,0.049100000000000005
2020-01-01,哈尔滨,黑龙江,0.0489
2020-01-01,秦皇岛,河北,0.0473
2020-01-01,天津,天津,0.0387
2020-01-01,通化,吉林,0.0261
2020-01-01,上海,上海,0.023
2020-01-01,唐山,河北,0.0226
2020-01-01,辽源,吉林,0.0171
2020-01-01,吉林,吉林,0.015700000000000002
2020-01-01,烟台,山东,0.0145
2020-01-01,青岛,山东,0.0143
2020-01-01,承德,河北,0.0137
2020-01-01,廊坊,河北,0.0122
2020-01-01,威海,山东,0.0118
2020-01-01,松原,吉林,0.0118
2020-01-01,齐齐哈尔,黑龙江,0.0094
2020-01-01,绥化,黑龙江,0.0092
2020-01-01,大庆,黑龙江,0.0089
2020-01-01,广州,广东,0.008100000000000001
2020-01-01,深圳,广东,0.008
2020-01-01,白城,吉林,0.008
2020-01-01,济南,山东,0.0076
2020-01-01,保定,河北,0.0076
2020-01-01,延边朝鲜族自治州,吉林,0.0073
2020-01-01,西安,陕西,0.0072
2020-01-01,石家庄,河北,0.0071
2020-01-01,成都,四川,0.0071
2020-01-01,沧州,河北,0.0071
2020-01-01,潍坊,山东,0.006500000000000001
2020-01-01,武汉,湖北,0.0063
2020-01-01,杭州,浙江,0.006
2020-01-01,郑州,河南,0.005699999999999999
2020-01-01,兴安盟,内蒙古,0.005699999999999999
2020-01-01,呼伦贝尔,内蒙古,0.005699999999999999
2020-01-01,苏州,江苏,0.0054
2020-01-01,南京,江苏,0.0054
2020-01-01,白山,吉林,0.005
2020-01-01,三亚,海南,0.0049
2020-01-01,牡丹江,黑龙江,0.0043
2020-01-01,厦门,福建,0.0041
2020-01-01,重庆,重庆,0.0039
2020-01-01,临沂,山东,0.0038
2020-01-01,宁波,浙江,0.0036
2020-01-01,太原,山西,0.0036
2020-01-01,无锡,江苏,0.0031
2020-01-01,呼和浩特,内蒙古,0.003
2020-01-01,佳木斯,黑龙江,0.003
2020-01-01,邯郸,河北,0.0029
2020-01-01,德州,山东,0.0029
2020-01-01,淄博,山东,0.0028000000000000004
2020-01-01,长沙,湖南,0.0027
2020-01-01,合肥,安徽,0.0027
2020-01-01,徐州,江苏,0.0027
2020-01-01,聊城,山东,0.0025
2020-01-01,邢台,河北,0.0025
2020-01-01,菏泽,山东,0.0025
2020-01-01,滨州,山东,0.0025
2020-01-01,济宁,山东,0.0024
2020-01-01,泰安,山东,0.0024
2020-01-01,昆明,云南,0.0024
2020-01-01,桂林,广西,0.0024
2020-01-01,衡水,河北,0.0024
2020-01-01,鄂尔多斯,内蒙古,0.0023
2020-01-01,金华,浙江,0.0022
2020-01-01,温州,浙江,0.0022
2020-01-01,东营,山东,0.0021
2020-01-01,黑河,黑龙江,0.0021
2020-01-01,常州,江苏,0.002
2020-01-01,南通,江苏,0.002
2020-01-01,南昌,江西,0.002
2020-01-01,鸡西,黑龙江,0.002
2020-01-01,嘉兴,浙江,0.0019
2020-01-01,海口,海南,0.0019
2020-01-01,舟山,浙江,0.0019
2020-01-01,洛阳,河南,0.0019
2020-01-01,福州,福建,0.0019
2020-01-01,东莞,广东,0.0018
2020-01-01,张家口,河北,0.0018
2020-01-01,日照,山东,0.0017
2020-01-01,盐城,江苏,0.0017
2020-01-01,锡林郭勒盟,内蒙古,0.0016
2020-01-01,伊春,黑龙江,0.0016
2020-01-01,包头,内蒙古,0.0016
2020-01-01,扬州,江苏,0.0015
2020-01-01,南宁,广西,0.0015
2020-01-01,佛山,广东,0.0015
2020-01-01,兰州,甘肃,0.0014000000000000002
2020-01-01,泉州,福建,0.0014000000000000002
2020-01-01,新乡,河南,0.0013
2020-01-01,双鸭山,黑龙江,0.0012
2020-01-01,晋中,山西,0.0012
2020-01-01,连云港,江苏,0.0012
2020-01-01,南阳,河南,0.0011
2020-01-01,台州,浙江,0.0011
2020-01-01,珠海,广东,0.0011
2020-01-01,周口,河南,0.0011
