日期,市,省,比例
2020-01-01,成都,四川,0.0995
2020-01-01,广安,四川,0.0757
2020-01-01,遵义,贵州,0.0549
2020-01-01,达州,四川,0.0447
2020-01-01,泸州,四川,0.0407
2020-01-01,恩施土家族苗族自治州,湖北,0.0277
2020-01-01,南充,四川,0.0233
2020-01-01,内江,四川,0.0233
2020-01-01,遂宁,四川,0.0209
2020-01-01,铜仁,贵州,0.0201
2020-01-01,上海,上海,0.0193
2020-01-01,深圳,广东,0.0189
2020-01-01,广州,广东,0.018000000000000002
2020-01-01,资阳,四川,0.018000000000000002
2020-01-01,东莞,广东,0.0179
2020-01-01,贵阳,贵州,0.0173
2020-01-01,北京,北京,0.016399999999999998
2020-01-01,宜宾,四川,0.0138
2020-01-01,温州,浙江,0.013
2020-01-01,泉州,福建,0.0125
2020-01-01,昆明,云南,0.0116
2020-01-01,武汉,湖北,0.01
2020-01-01,西安,陕西,0.0097
2020-01-01,宜昌,湖北,0.0093
2020-01-01,佛山,广东,0.0091
2020-01-01,绵阳,四川,0.0089
2020-01-01,杭州,浙江,0.0088
2020-01-01,嘉兴,浙江,0.0088
2020-01-01,自贡,四川,0.0088
2020-01-01,巴中,四川,0.0071
2020-01-01,福州,福建,0.0068000000000000005
2020-01-01,湘西土家族苗族自治州,湖南,0.0066
2020-01-01,苏州,江苏,0.0066
2020-01-01,毕节,贵州,0.006500000000000001
2020-01-01,宁波,浙江,0.0064
2020-01-01,惠州,广东,0.0064
2020-01-01,长沙,湖南,0.0063
2020-01-01,德阳,四川,0.005699999999999999
2020-01-01,乐山,四川,0.0055000000000000005
2020-01-01,金华,浙江,0.005
2020-01-01,昭通,云南,0.0049
2020-01-01,中山,广东,0.0049
2020-01-01,天津,天津,0.0048
2020-01-01,台州,浙江,0.0044
2020-01-01,郑州,河南,0.0044
2020-01-01,无锡,江苏,0.0043
2020-01-01,眉山,四川,0.0042
2020-01-01,厦门,福建,0.0042
2020-01-01,广元,四川,0.0042
2020-01-01,南京,江苏,0.004
2020-01-02,成都,四川,0.0952
2020-01-02,广安,四川,0.0514
2020-01-02,遵义,贵州,0.034300000000000004
2020-01-02,达州,四川,0.032
2020-01-02,泸州,四川,0.0261
