日期,市,省,比例
2020-01-01,成都,四川,0.1172
2020-01-01,广安,四川,0.0948
2020-01-01,遵义,贵州,0.0633
2020-01-01,达州,四川,0.059
2020-01-01,泸州,四川,0.0478
2020-01-01,恩施土家族苗族自治州,湖北,0.0357
2020-01-01,南充,四川,0.0277
2020-01-01,遂宁,四川,0.0253
2020-01-01,内江,四川,0.0244
2020-01-01,铜仁,贵州,0.0232
2020-01-01,资阳,四川,0.022400000000000003
2020-01-01,贵阳,贵州,0.0218
2020-01-01,宜宾,四川,0.015700000000000002
2020-01-01,宜昌,湖北,0.0149
2020-01-01,北京,北京,0.0144
2020-01-01,上海,上海,0.0134
2020-01-01,昆明,云南,0.0108
2020-01-01,广州,广东,0.0105
2020-01-01,西安,陕西,0.0101
2020-01-01,自贡,四川,0.0097
2020-01-01,绵阳,四川,0.0096
2020-01-01,深圳,广东,0.0093
2020-01-01,毕节,贵州,0.0092
2020-01-01,湘西土家族苗族自治州,湖南,0.009000000000000001
2020-01-01,武汉,湖北,0.0088
2020-01-01,巴中,四川,0.008199999999999999
2020-01-01,德阳,四川,0.0074
2020-01-01,乐山,四川,0.006999999999999999
2020-01-01,长沙,湖南,0.0066
2020-01-01,眉山,四川,0.0064
2020-01-01,昭通,云南,0.0052
2020-01-01,东莞,广东,0.004699999999999999
2020-01-01,广元,四川,0.0046
2020-01-01,杭州,浙江,0.0045000000000000005
2020-01-01,黔南布依族苗族自治州,贵州,0.0044
2020-01-01,怀化,湖南,0.004
2020-01-01,六盘水,贵州,0.0039
2020-01-01,南京,江苏,0.0038
2020-01-01,荆州,湖北,0.0037
2020-01-01,安顺,贵州,0.0037
2020-01-01,郑州,河南,0.0037
2020-01-01,天津,天津,0.0035
2020-01-01,佛山,广东,0.0035
2020-01-01,黔东南苗族侗族自治州,贵州,0.0033
2020-01-01,安康,陕西,0.0032
2020-01-01,合肥,安徽,0.0032
2020-01-01,苏州,江苏,0.0031
2020-01-01,三亚,海南,0.003
2020-01-01,温州,浙江,0.0028000000000000004
2020-01-01,黔西南布依族苗族自治州,贵州,0.0028000000000000004
2020-01-01,凉山彝族自治州,四川,0.0026
2020-01-01,泉州,福建,0.0025
2020-01-01,南宁,广西,0.0024
2020-01-01,宁波,浙江,0.0023
2020-01-01,福州,福建,0.0023
2020-01-01,无锡,江苏,0.0022
2020-01-01,雅安,四川,0.0022
2020-01-01,南阳,河南,0.0022
2020-01-01,南昌,江西,0.0022
2020-01-01,丽江,云南,0.0022
2020-01-01,乌鲁木齐,新疆,0.0021
2020-01-01,厦门,福建,0.0021
2020-01-01,曲靖,云南,0.002
2020-01-01,海口,海南,0.002
2020-01-01,汉中,陕西,0.0019
2020-01-01,兰州,甘肃,0.0019
2020-01-01,北海,广西,0.0019
2020-01-01,咸阳,陕西,0.0018
2020-01-01,邵阳,湖南,0.0018
2020-01-01,十堰,湖北,0.0018
2020-01-01,文昌,海南,0.0018
2020-01-01,济南,山东,0.0018
2020-01-01,青岛,山东,0.0018
2020-01-01,金华,浙江,0.0017
2020-01-01,石家庄,河北,0.0017
2020-01-01,阿坝藏族羌族自治州,四川,0.0017
2020-01-01,中山,广东,0.0017
2020-01-01,嘉兴,浙江,0.0017
2020-01-01,珠海,广东,0.0016
2020-01-01,太原,山西,0.0016
2020-01-01,常德,湖南,0.0016
2020-01-01,柳州,广西,0.0016
2020-01-01,惠州,广东,0.0015
2020-01-01,洛阳,河南,0.0015
2020-01-01,西双版纳傣族自治州,云南,0.0015
2020-01-01,桂林,广西,0.0015
2020-01-01,玉溪,云南,0.0014000000000000002
2020-01-01,襄阳,湖北,0.0014000000000000002
2020-01-01,陇南,甘肃,0.0013
2020-01-01,大理白族自治州,云南,0.0013
2020-01-01,徐州,江苏,0.0013
2020-01-01,台州,浙江,0.0012
2020-01-01,沈阳,辽宁,0.0012
2020-01-01,拉萨,西藏,0.0012
2020-01-01,荆门,湖北,0.0012
2020-01-01,廊坊,河北,0.0012
2020-01-01,江门,广东,0.0012
2020-01-01,赣州,江西,0.0011
2020-01-01,渭南,陕西,0.0011
2020-01-01,衡阳,湖南,0.0011
2020-01-02,成都,四川,0.1268
2020-01-02,广安,四川,0.0632
2020-01-02,遵义,贵州,0.0533
2020-01-02,达州,四川,0.0468
2020-01-02,泸州,四川,0.0328
2020-01-02,南充,四川,0.0259
2020-01-02,贵阳,贵州,0.025
2020-01-02,恩施土家族苗族自治州,湖北,0.024700000000000003
2020-01-02,北京,北京,0.02
2020-01-02,遂宁,四川,0.0194
2020-01-02,内江,四川,0.0187
2020-01-02,宜宾,四川,0.016399999999999998
2020-01-02,铜仁,贵州,0.016
2020-01-02,上海,上海,0.0158
2020-01-02,昆明,云南,0.015700000000000002
2020-01-02,资阳,四川,0.015700000000000002
2020-01-02,宜昌,湖北,0.0128
2020-01-02,广州,广东,0.0125
2020-01-02,绵阳,四川,0.0115
2020-01-02,深圳,广东,0.0113
2020-01-02,西安,陕西,0.011200000000000002
2020-01-02,武汉,湖北,0.0098
2020-01-02,毕节,贵州,0.0091
2020-01-02,巴中,四川,0.009000000000000001
2020-01-02,自贡,四川,0.0088
2020-01-02,乐山,四川,0.0083
2020-01-02,长沙,湖南,0.0075
2020-01-02,昭通,云南,0.0071
2020-01-02,德阳,四川,0.0071
2020-01-02,杭州,浙江,0.0066
2020-01-02,黔南布依族苗族自治州,贵州,0.0066
2020-01-02,眉山,四川,0.006
2020-01-02,东莞,广东,0.0059
2020-01-02,湘西土家族苗族自治州,湖南,0.0059
2020-01-02,广元,四川,0.0058
2020-01-02,三亚,海南,0.0049
2020-01-02,南京,江苏,0.0049
2020-01-02,郑州,河南,0.0048
2020-01-02,安顺,贵州,0.0045000000000000005
2020-01-02,六盘水,贵州,0.0045000000000000005
2020-01-02,佛山,广东,0.0043
2020-01-02,苏州,江苏,0.0043
2020-01-02,厦门,福建,0.004
2020-01-02,泉州,福建,0.004
2020-01-02,天津,天津,0.004
2020-01-02,南宁,广西,0.0039
2020-01-02,荆州,湖北,0.0035
2020-01-02,宁波,浙江,0.0034
2020-01-02,黔东南苗族侗族自治州,贵州,0.0034
2020-01-02,凉山彝族自治州,四川,0.0033
2020-01-02,怀化,湖南,0.0033
2020-01-02,福州,福建,0.0033
2020-01-02,曲靖,云南,0.0032
2020-01-02,合肥,安徽,0.0031
2020-01-02,安康,陕西,0.0031
2020-01-02,黔西南布依族苗族自治州,贵州,0.0031
2020-01-02,兰州,甘肃,0.0028000000000000004
2020-01-02,北海,广西,0.0028000000000000004
2020-01-02,南昌,江西,0.0028000000000000004
2020-01-02,嘉兴,浙江,0.0027
2020-01-02,大理白族自治州,云南,0.0026
2020-01-02,丽江,云南,0.0026
2020-01-02,无锡,江苏,0.0025
2020-01-02,西双版纳傣族自治州,云南,0.0024
2020-01-02,温州,浙江,0.0024
2020-01-02,海口,海南,0.0024
