日期,市,省,比例
2020-01-01,兰州,甘肃,0.223
2020-01-01,临夏回族自治州,甘肃,0.0862
2020-01-01,西安,陕西,0.0422
2020-01-01,武威,甘肃,0.029300000000000007
2020-01-01,成都,四川,0.0291
2020-01-01,张掖,甘肃,0.0278
2020-01-01,酒泉,甘肃,0.024
2020-01-01,甘南藏族自治州,甘肃,0.0238
2020-01-01,巴音郭楞蒙古自治州,新疆,0.0231
2020-01-01,北京,北京,0.0222
2020-01-01,阿坝藏族羌族自治州,四川,0.0182
2020-01-01,天水,甘肃,0.0173
2020-01-01,拉萨,西藏,0.0165
2020-01-01,定西,甘肃,0.0151
2020-01-01,白银,甘肃,0.0123
2020-01-01,甘孜藏族自治州,四川,0.012
2020-01-01,银川,宁夏,0.0116
2020-01-01,重庆,重庆,0.0107
2020-01-01,那曲,西藏,0.0107
2020-01-01,咸阳,陕西,0.01
2020-01-01,昌都,西藏,0.0087
2020-01-01,南充,四川,0.008100000000000001
2020-01-01,南阳,河南,0.0072
2020-01-01,上海,上海,0.0066
2020-01-01,郑州,河南,0.006500000000000001
2020-01-01,平凉,甘肃,0.0059
2020-01-01,三亚,海南,0.0058
2020-01-01,商丘,河南,0.005600000000000001
2020-01-01,吴忠,宁夏,0.0052
2020-01-01,中卫,宁夏,0.0052
2020-01-01,渭南,陕西,0.005
2020-01-01,东莞,广东,0.0046
2020-01-01,宝鸡,陕西,0.0046
2020-01-01,广州,广东,0.0045000000000000005
2020-01-01,菏泽,山东,0.0045000000000000005
2020-01-01,洛阳,河南,0.0045000000000000005
2020-01-01,深圳,广东,0.0043
2020-01-01,榆林,陕西,0.004
2020-01-01,金昌,甘肃,0.0038
2020-01-01,新乡,河南,0.0037
2020-01-01,陇南,甘肃,0.0037
2020-01-01,昆明,云南,0.0037
2020-01-01,嘉峪关,甘肃,0.0037
2020-01-01,开封,河南,0.0037
2020-01-01,徐州,江苏,0.0036
2020-01-01,天津,天津,0.0034
2020-01-01,苏州,江苏,0.0034
2020-01-01,乌鲁木齐,新疆,0.0033
2020-01-01,吕梁,山西,0.0033
2020-01-01,海口,海南,0.003
2020-01-02,兰州,甘肃,0.1298
2020-01-02,临夏回族自治州,甘肃,0.0562
2020-01-02,西安,陕西,0.0516
2020-01-02,成都,四川,0.0385
2020-01-02,酒泉,甘肃,0.0278
2020-01-02,北京,北京,0.0269
2020-01-02,武威,甘肃,0.0263
2020-01-02,张掖,甘肃,0.023
2020-01-02,拉萨,西藏,0.0217
2020-01-02,南充,四川,0.0176
2020-01-02,重庆,重庆,0.0154
2020-01-02,天水,甘肃,0.0151
2020-01-02,定西,甘肃,0.014
2020-01-02,甘南藏族自治州,甘肃,0.0134
2020-01-02,白银,甘肃,0.0126
2020-01-02,阿坝藏族羌族自治州,四川,0.0119
2020-01-02,咸阳,陕西,0.011
2020-01-02,银川,宁夏,0.011
2020-01-02,三亚,海南,0.0109
2020-01-02,巴音郭楞蒙古自治州,新疆,0.0107
2020-01-02,甘孜藏族自治州,四川,0.0107
2020-01-02,广州,广东,0.0094
2020-01-02,菏泽,山东,0.0086
2020-01-02,郑州,河南,0.0085
2020-01-02,商丘,河南,0.0083
2020-01-02,昌都,西藏,0.008
2020-01-02,徐州,江苏,0.0075
2020-01-02,平凉,甘肃,0.0075
2020-01-02,深圳,广东,0.0074
2020-01-02,上海,上海,0.0074
2020-01-02,那曲,西藏,0.0073
2020-01-02,开封,河南,0.0072
2020-01-02,渭南,陕西,0.0063
2020-01-02,南阳,河南,0.0062
2020-01-02,宝鸡,陕西,0.0062
2020-01-02,杭州,浙江,0.005600000000000001
2020-01-02,驻马店,河南,0.0055000000000000005
2020-01-02,榆林,陕西,0.0055000000000000005
2020-01-02,安庆,安徽,0.0053
2020-01-02,新乡,河南,0.0053
2020-01-02,保定,河北,0.0053
2020-01-02,绵阳,四川,0.0048
2020-01-02,长沙,湖南,0.004699999999999999
2020-01-02,吕梁,山西,0.0045000000000000005
2020-01-02,苏州,江苏,0.0042
2020-01-02,陇南,甘肃,0.0041
2020-01-02,周口,河南,0.004
2020-01-02,许昌,河南,0.004
2020-01-02,洛阳,河南,0.004
2020-01-02,天门,湖北,0.0039
2020-01-03,兰州,甘肃,0.1947
2020-01-03,临夏回族自治州,甘肃,0.0637
2020-01-03,西安,陕西,0.0475
2020-01-03,成都,四川,0.0346
2020-01-03,张掖,甘肃,0.0253
2020-01-03,武威,甘肃,0.0241
2020-01-03,酒泉,甘肃,0.0218
2020-01-03,北京,北京,0.0205
2020-01-03,甘南藏族自治州,甘肃,0.0177
2020-01-03,重庆,重庆,0.0151
2020-01-03,天水,甘肃,0.0149
2020-01-03,定西,甘肃,0.0149
2020-01-03,拉萨,西藏,0.0148
2020-01-03,南充,四川,0.0141
2020-01-03,咸阳,陕西,0.0123
2020-01-03,巴音郭楞蒙古自治州,新疆,0.0121
2020-01-03,白银,甘肃,0.012
2020-01-03,阿坝藏族羌族自治州,四川,0.0115
2020-01-03,甘孜藏族自治州,四川,0.0113
2020-01-03,那曲,西藏,0.011
2020-01-03,上海,上海,0.0107
2020-01-03,郑州,河南,0.0098
2020-01-03,南阳,河南,0.0092
2020-01-03,昌都,西藏,0.0083
2020-01-03,银川,宁夏,0.0078
2020-01-03,宝鸡,陕西,0.0072
2020-01-03,榆林,陕西,0.006999999999999999
2020-01-03,平凉,甘肃,0.0068000000000000005
2020-01-03,三亚,海南,0.0067
2020-01-03,深圳,广东,0.0066
2020-01-03,驻马店,河南,0.006500000000000001
2020-01-03,商丘,河南,0.0063
2020-01-03,菏泽,山东,0.0063
2020-01-03,吴忠,宁夏,0.0062
2020-01-03,开封,河南,0.0058
