日期,市,省,比例
2020-01-01,呼伦贝尔,内蒙古,0.1008
2020-01-01,北京,北京,0.0961
2020-01-01,长春,吉林,0.0839
2020-01-01,天津,天津,0.0527
2020-01-01,沈阳,辽宁,0.0497
2020-01-01,大连,辽宁,0.0476
2020-01-01,松原,吉林,0.0349
2020-01-01,青岛,山东,0.0323
2020-01-01,兴安盟,内蒙古,0.024700000000000003
2020-01-01,上海,上海,0.0218
2020-01-01,吉林,吉林,0.021
2020-01-01,廊坊,河北,0.02
2020-01-01,延边朝鲜族自治州,吉林,0.0199
2020-01-01,白城,吉林,0.0155
2020-01-01,唐山,河北,0.0111
2020-01-01,潍坊,山东,0.0094
2020-01-01,广州,广东,0.0093
2020-01-01,威海,山东,0.0092
2020-01-01,烟台,山东,0.0092
2020-01-01,杭州,浙江,0.0091
2020-01-01,秦皇岛,河北,0.0091
2020-01-01,四平,吉林,0.0088
2020-01-01,深圳,广东,0.0088
2020-01-01,苏州,江苏,0.0085
2020-01-01,济南,山东,0.0079
2020-01-01,营口,辽宁,0.0072
2020-01-01,南京,江苏,0.0067
2020-01-01,沧州,河北,0.006500000000000001
2020-01-01,西安,陕西,0.0063
2020-01-01,鞍山,辽宁,0.006
2020-01-01,石家庄,河北,0.006
2020-01-01,通辽,内蒙古,0.0058
2020-01-01,成都,四川,0.005600000000000001
2020-01-01,临沂,山东,0.005600000000000001
2020-01-01,武汉,湖北,0.005600000000000001
2020-01-01,三亚,海南,0.005600000000000001
2020-01-01,郑州,河南,0.0055000000000000005
2020-01-01,锦州,辽宁,0.0051
2020-01-01,宁波,浙江,0.0051
2020-01-01,保定,河北,0.005
2020-01-01,铁岭,辽宁,0.0049
2020-01-01,葫芦岛,辽宁,0.0045000000000000005
2020-01-01,无锡,江苏,0.0044
2020-01-01,赤峰,内蒙古,0.0041
2020-01-01,丹东,辽宁,0.0039
2020-01-01,厦门,福建,0.0038
2020-01-01,盘锦,辽宁,0.0038
2020-01-01,长沙,湖南,0.0034
2020-01-01,重庆,重庆,0.0033
2020-01-01,南昌,江西,0.0029
2020-01-01,合肥,安徽,0.0027
2020-01-01,通化,吉林,0.0027
2020-01-01,金华,浙江,0.0026
2020-01-01,昆明,云南,0.0026
2020-01-01,呼和浩特,内蒙古,0.0026
2020-01-01,常州,江苏,0.0026
2020-01-01,南通,江苏,0.0025
2020-01-01,太原,山西,0.0025
2020-01-01,温州,浙江,0.0024
2020-01-01,抚顺,辽宁,0.0024
2020-01-01,淄博,山东,0.0024
2020-01-01,东莞,广东,0.0023
2020-01-01,辽阳,辽宁,0.0022
2020-01-01,徐州,江苏,0.0022
2020-01-01,德州,山东,0.0021
2020-01-01,福州,福建,0.0021
2020-01-01,日照,山东,0.0021
2020-01-01,南宁,广西,0.0021
2020-01-01,佛山,广东,0.002
2020-01-01,嘉兴,浙江,0.002
2020-01-01,鄂尔多斯,内蒙古,0.0018
2020-01-01,济宁,山东,0.0018
2020-01-01,海口,海南,0.0018
2020-01-01,东营,山东,0.0018
2020-01-01,朝阳,辽宁,0.0017
2020-01-01,白山,吉林,0.0017
2020-01-01,辽源,吉林,0.0017
2020-01-01,聊城,山东,0.0016
2020-01-01,银川,宁夏,0.0015
2020-01-01,泰安,山东,0.0015
2020-01-01,菏泽,山东,0.0015
2020-01-01,阜新,辽宁,0.0015
2020-01-01,本溪,辽宁,0.0014000000000000002
2020-01-01,扬州,江苏,0.0014000000000000002
2020-01-01,珠海,广东,0.0014000000000000002
2020-01-01,惠州,广东,0.0013
2020-01-01,泰州,江苏,0.0013
2020-01-01,北海,广西,0.0013
2020-01-01,衡水,河北,0.0012
2020-01-01,绍兴,浙江,0.0012
2020-01-01,承德,河北,0.0012
2020-01-01,贵阳,贵州,0.0011
2020-01-01,邢台,河北,0.0011
2020-01-01,邯郸,河北,0.0011
2020-01-01,镇江,江苏,0.0011
2020-01-01,榆林,陕西,0.001
2020-01-01,泉州,福建,0.001
2020-01-01,桂林,广西,0.001
2020-01-01,盐城,江苏,0.0009
2020-01-01,西双版纳傣族自治州,云南,0.0009
2020-01-02,北京,北京,0.1029
2020-01-02,长春,吉林,0.0757
2020-01-02,呼伦贝尔,内蒙古,0.0649
2020-01-02,天津,天津,0.0568
2020-01-02,沈阳,辽宁,0.0544
2020-01-02,大连,辽宁,0.0544
2020-01-02,青岛,山东,0.0341
2020-01-02,上海,上海,0.0282
2020-01-02,松原,吉林,0.0231
2020-01-02,廊坊,河北,0.0229
2020-01-02,吉林,吉林,0.0174
2020-01-02,延边朝鲜族自治州,吉林,0.0149
2020-01-02,兴安盟,内蒙古,0.0137
2020-01-02,威海,山东,0.0118
2020-01-02,苏州,江苏,0.011200000000000002
2020-01-02,广州,广东,0.0109
2020-01-02,烟台,山东,0.0109
2020-01-02,深圳,广东,0.0107
2020-01-02,白城,吉林,0.0105
2020-01-02,秦皇岛,河北,0.0105
2020-01-02,杭州,浙江,0.0103
2020-01-02,唐山,河北,0.0101
2020-01-02,济南,山东,0.0099
2020-01-02,潍坊,山东,0.0094
2020-01-02,营口,辽宁,0.0093
2020-01-02,四平,吉林,0.009000000000000001
2020-01-02,石家庄,河北,0.0083
2020-01-02,南京,江苏,0.008
2020-01-02,西安,陕西,0.0072
2020-01-02,保定,河北,0.006999999999999999
2020-01-02,成都,四川,0.0069
2020-01-02,沧州,河北,0.0069
2020-01-02,鞍山,辽宁,0.006500000000000001
2020-01-02,郑州,河南,0.0064
2020-01-02,临沂,山东,0.0064
2020-01-02,武汉,湖北,0.006
2020-01-02,宁波,浙江,0.005600000000000001
2020-01-02,锦州,辽宁,0.005600000000000001
2020-01-02,长沙,湖南,0.0051
2020-01-02,铁岭,辽宁,0.005
2020-01-02,三亚,海南,0.0049
2020-01-02,葫芦岛,辽宁,0.0048
2020-01-02,通辽,内蒙古,0.0048
2020-01-02,盘锦,辽宁,0.0044
2020-01-02,重庆,重庆,0.0043
2020-01-02,丹东,辽宁,0.004
2020-01-02,赤峰,内蒙古,0.0036
2020-01-02,东莞,广东,0.0036
