日期,省,比例
2020-01-01,甘肃,0.2889
2020-01-01,内蒙古,0.2331
2020-01-01,陕西,0.2089
2020-01-01,河南,0.0304
2020-01-01,北京,0.0266
2020-01-01,河北,0.0219
2020-01-01,四川,0.02
2020-01-01,山西,0.015700000000000002
2020-01-01,山东,0.0151
2020-01-01,江苏,0.015
2020-01-01,广东,0.0131
2020-01-01,青海,0.0121
2020-01-01,浙江,0.0099
2020-01-01,安徽,0.0091
2020-01-01,湖北,0.009000000000000001
2020-01-01,海南,0.0088
2020-01-01,新疆,0.008100000000000001
2020-01-01,上海,0.0073
2020-01-01,重庆,0.006500000000000001
2020-01-01,湖南,0.0061
2020-01-01,云南,0.005600000000000001
2020-01-01,黑龙江,0.004
2020-01-01,广西,0.0037
2020-01-01,天津,0.0036
2020-01-01,福建,0.0036
2020-01-01,辽宁,0.0036
2020-01-01,江西,0.003
2020-01-01,吉林,0.0027
2020-01-01,贵州,0.0026
2020-01-01,西藏,0.0004
2020-01-02,甘肃,0.2432
2020-01-02,陕西,0.2013
2020-01-02,内蒙古,0.1743
2020-01-02,河南,0.0489
2020-01-02,北京,0.0311
2020-01-02,江苏,0.0263
2020-01-02,河北,0.0251
2020-01-02,四川,0.0245
2020-01-02,山东,0.0241
2020-01-02,广东,0.021
2020-01-02,山西,0.0198
2020-01-02,湖北,0.015700000000000002
2020-01-02,浙江,0.0156
2020-01-02,新疆,0.0152
2020-01-02,安徽,0.015
2020-01-02,青海,0.0139
2020-01-02,重庆,0.0122
2020-01-02,上海,0.0115
2020-01-02,云南,0.0089
2020-01-02,福建,0.0076
2020-01-02,海南,0.0074
2020-01-02,湖南,0.0067
2020-01-02,天津,0.0063
2020-01-02,辽宁,0.0055000000000000005
2020-01-02,广西,0.004699999999999999
2020-01-02,吉林,0.0032
2020-01-02,江西,0.0032
2020-01-02,黑龙江,0.0029
2020-01-02,贵州,0.0025
2020-01-02,西藏,0.0006
2020-01-03,甘肃,0.2535
2020-01-03,陕西,0.2049
2020-01-03,内蒙古,0.193
2020-01-03,河南,0.0391
2020-01-03,北京,0.03
2020-01-03,河北,0.0263
2020-01-03,江苏,0.0254
2020-01-03,四川,0.0219
2020-01-03,山东,0.0214
2020-01-03,山西,0.0209
2020-01-03,广东,0.0174
2020-01-03,安徽,0.0151
2020-01-03,浙江,0.0136
2020-01-03,青海,0.0123
2020-01-03,海南,0.0118
2020-01-03,上海,0.0116
2020-01-03,湖北,0.011000000000000001
2020-01-03,新疆,0.0099
2020-01-03,重庆,0.008199999999999999
2020-01-03,云南,0.008
2020-01-03,福建,0.0068000000000000005
2020-01-03,湖南,0.0066
2020-01-03,广西,0.006
2020-01-03,江西,0.0049
2020-01-03,天津,0.0045000000000000005
2020-01-03,辽宁,0.0042
2020-01-03,黑龙江,0.0034
2020-01-03,贵州,0.0032
2020-01-03,吉林,0.003
2020-01-03,西藏,0.0004
2020-01-04,甘肃,0.26530000000000004
