日期,省,比例
2020-01-01,广西,0.1845
2020-01-01,湖南,0.16449999999999998
2020-01-01,江西,0.07440000000000001
2020-01-01,湖北,0.0691
2020-01-01,四川,0.0551
2020-01-01,贵州,0.0549
2020-01-01,河南,0.0497
2020-01-01,福建,0.039900000000000005
2020-01-01,云南,0.0361
2020-01-01,重庆,0.0296
2020-01-01,浙江,0.018500000000000003
2020-01-01,江苏,0.0159
2020-01-01,北京,0.015
2020-01-01,海南,0.0146
2020-01-01,上海,0.0131
2020-01-01,安徽,0.0129
2020-01-01,陕西,0.012
2020-01-01,山东,0.0096
2020-01-01,河北,0.006500000000000001
2020-01-01,辽宁,0.0048
2020-01-01,黑龙江,0.0044
2020-01-01,甘肃,0.0037
2020-01-01,山西,0.0036
2020-01-01,吉林,0.0032
2020-01-01,天津,0.0025
2020-01-01,新疆,0.0017
2020-01-01,内蒙古,0.0016
2020-01-01,宁夏,0.0008
2020-01-01,青海,0.0005
2020-01-01,西藏,0.0001
2020-01-02,湖南,0.17120000000000002
2020-01-02,广西,0.1629
2020-01-02,湖北,0.0852
2020-01-02,江西,0.0735
2020-01-02,四川,0.0709
2020-01-02,贵州,0.0646
2020-01-02,河南,0.0606
2020-01-02,云南,0.0391
2020-01-02,重庆,0.0356
2020-01-02,福建,0.034
2020-01-02,浙江,0.0192
2020-01-02,江苏,0.0163
2020-01-02,北京,0.015
2020-01-02,安徽,0.0149
2020-01-02,陕西,0.0141
2020-01-02,海南,0.013999999999999999
2020-01-02,上海,0.0122
2020-01-02,山东,0.0106
2020-01-02,河北,0.0071
2020-01-02,黑龙江,0.0054
2020-01-02,辽宁,0.0053
2020-01-02,甘肃,0.0044
2020-01-02,山西,0.0037
2020-01-02,吉林,0.0034
2020-01-02,天津,0.0025
2020-01-02,内蒙古,0.0018
2020-01-02,新疆,0.0016
2020-01-02,宁夏,0.0006
2020-01-02,青海,0.0006
2020-01-02,西藏,0.0001
2020-01-03,湖南,0.1739
2020-01-03,广西,0.1617
2020-01-03,湖北,0.0825
2020-01-03,江西,0.0735
2020-01-03,四川,0.0655
2020-01-03,贵州,0.0587
2020-01-03,河南,0.0568
2020-01-03,福建,0.039
2020-01-03,重庆,0.036000000000000004
2020-01-03,云南,0.0332
2020-01-03,浙江,0.0193
2020-01-03,江苏,0.016200000000000003
2020-01-03,安徽,0.0151
2020-01-03,海南,0.0148
2020-01-03,北京,0.0146
2020-01-03,陕西,0.0133
2020-01-03,上海,0.013
2020-01-03,山东,0.0101
2020-01-03,河北,0.0072
2020-01-03,辽宁,0.0052
2020-01-03,黑龙江,0.0052
2020-01-03,甘肃,0.0041
2020-01-03,山西,0.0039
2020-01-03,吉林,0.003
2020-01-03,天津,0.0026
2020-01-03,新疆,0.0017
2020-01-03,内蒙古,0.0016
2020-01-03,宁夏,0.0007000000000000001
2020-01-03,青海,0.0004
2020-01-03,西藏,0.0001
2020-01-04,湖南,0.1685
2020-01-04,广西,0.15560000000000002
2020-01-04,湖北,0.0859
2020-01-04,江西,0.0729
2020-01-04,四川,0.0667
2020-01-04,贵州,0.05860000000000001
2020-01-04,河南,0.0542
2020-01-04,福建,0.0386
2020-01-04,重庆,0.0354
2020-01-04,云南,0.0317
2020-01-04,浙江,0.0196
2020-01-04,江苏,0.0168
2020-01-04,安徽,0.0156
2020-01-04,北京,0.0148
2020-01-04,海南,0.0141
2020-01-04,陕西,0.0136
2020-01-04,上海,0.0136
2020-01-04,山东,0.0111
2020-01-04,河北,0.0076
2020-01-04,辽宁,0.0053
2020-01-04,黑龙江,0.0048
2020-01-04,甘肃,0.0043
2020-01-04,山西,0.0041
2020-01-04,吉林,0.0032
2020-01-04,天津,0.0026
2020-01-04,新疆,0.002
2020-01-04,内蒙古,0.0017
2020-01-04,宁夏,0.0007000000000000001
2020-01-04,青海,0.0005
2020-01-04,西藏,0.0001
2020-01-05,湖南,0.16760000000000005
2020-01-05,广西,0.1528
2020-01-05,湖北,0.08779999999999999
2020-01-05,江西,0.0725
2020-01-05,四川,0.0695
2020-01-05,河南,0.0543
2020-01-05,贵州,0.0519
2020-01-05,福建,0.0356
2020-01-05,重庆,0.0354
2020-01-05,云南,0.0304
2020-01-05,浙江,0.0204
2020-01-05,江苏,0.0178
2020-01-05,北京,0.017
2020-01-05,上海,0.015700000000000002
2020-01-05,安徽,0.0152
2020-01-05,陕西,0.0134
2020-01-05,海南,0.0131
2020-01-05,山东,0.011200000000000002
2020-01-05,河北,0.0069
2020-01-05,辽宁,0.0054
2020-01-05,黑龙江,0.0044
2020-01-05,山西,0.004
2020-01-05,甘肃,0.0038
