日期,省,比例
2020-01-01,上海,0.2837
2020-01-01,安徽,0.238
2020-01-01,浙江,0.13449999999999998
2020-01-01,山东,0.1124
2020-01-01,河南,0.0496
2020-01-01,北京,0.0192
2020-01-01,广东,0.0191
2020-01-01,河北,0.0186
2020-01-01,湖北,0.016
2020-01-01,江西,0.0122
2020-01-01,陕西,0.0104
2020-01-01,福建,0.0099
2020-01-01,山西,0.0075
2020-01-01,四川,0.0075
2020-01-01,天津,0.0071
2020-01-01,湖南,0.0071
2020-01-01,辽宁,0.0066
2020-01-01,重庆,0.0051
2020-01-01,云南,0.0042
2020-01-01,广西,0.0041
2020-01-01,黑龙江,0.0037
2020-01-01,贵州,0.0037
2020-01-01,甘肃,0.0033
2020-01-01,吉林,0.0032
2020-01-01,新疆,0.0027
2020-01-01,海南,0.0026
2020-01-01,内蒙古,0.0024
2020-01-01,宁夏,0.0012
2020-01-01,青海,0.0009
2020-01-01,西藏,0.0003
2020-01-02,上海,0.231
2020-01-02,安徽,0.2025
2020-01-02,浙江,0.1318
2020-01-02,山东,0.1166
2020-01-02,河南,0.0623
2020-01-02,北京,0.0279
2020-01-02,河北,0.0276
2020-01-02,广东,0.0272
2020-01-02,湖北,0.0218
2020-01-02,江西,0.015
2020-01-02,陕西,0.0146
2020-01-02,福建,0.0126
2020-01-02,辽宁,0.0116
2020-01-02,四川,0.0111
2020-01-02,湖南,0.0102
2020-01-02,山西,0.0102
2020-01-02,天津,0.0093
2020-01-02,重庆,0.0067
2020-01-02,黑龙江,0.0061
2020-01-02,云南,0.0059
2020-01-02,吉林,0.0054
2020-01-02,贵州,0.0051
2020-01-02,甘肃,0.0049
2020-01-02,广西,0.0045000000000000005
2020-01-02,新疆,0.0044
2020-01-02,内蒙古,0.0034
2020-01-02,海南,0.0028000000000000004
2020-01-02,宁夏,0.0022
2020-01-02,青海,0.0017
2020-01-02,西藏,0.0003
2020-01-03,上海,0.3386
2020-01-03,安徽,0.18
2020-01-03,浙江,0.1298
2020-01-03,山东,0.1017
2020-01-03,河南,0.0506
2020-01-03,北京,0.0231
2020-01-03,广东,0.0201
2020-01-03,河北,0.02
2020-01-03,湖北,0.0172
