日期,省,比例
2020-01-01,浙江,0.5384
2020-01-01,福建,0.1209
2020-01-01,江苏,0.0512
2020-01-01,上海,0.0473
2020-01-01,江西,0.0369
2020-01-01,广东,0.033
2020-01-01,安徽,0.0275
2020-01-01,湖北,0.016
2020-01-01,河南,0.015
2020-01-01,山东,0.0136
2020-01-01,贵州,0.0121
2020-01-01,北京,0.0098
2020-01-01,湖南,0.0098
2020-01-01,四川,0.0083
2020-01-01,河北,0.008199999999999999
2020-01-01,重庆,0.0074
2020-01-01,陕西,0.006500000000000001
2020-01-01,云南,0.0061
2020-01-01,辽宁,0.0053
2020-01-01,广西,0.0044
2020-01-01,天津,0.0036
2020-01-01,山西,0.0032
2020-01-01,黑龙江,0.0023
2020-01-01,海南,0.0021
2020-01-01,新疆,0.0021
2020-01-01,吉林,0.0019
2020-01-01,甘肃,0.0017
2020-01-01,内蒙古,0.0016
2020-01-01,宁夏,0.0006
2020-01-01,青海,0.0003
2020-01-01,西藏,0.0002
2020-01-02,浙江,0.4541
2020-01-02,福建,0.0982
2020-01-02,江苏,0.0708
2020-01-02,上海,0.0559
2020-01-02,广东,0.0417
2020-01-02,江西,0.0412
2020-01-02,安徽,0.0347
2020-01-02,湖北,0.024
2020-01-02,河南,0.0235
2020-01-02,山东,0.0211
2020-01-02,贵州,0.016
2020-01-02,河北,0.0137
2020-01-02,湖南,0.013500000000000002
2020-01-02,北京,0.0117
2020-01-02,四川,0.0096
2020-01-02,陕西,0.0093
2020-01-02,辽宁,0.0073
2020-01-02,云南,0.0071
2020-01-02,山西,0.0064
2020-01-02,重庆,0.0062
2020-01-02,广西,0.005600000000000001
2020-01-02,黑龙江,0.0044
2020-01-02,新疆,0.0037
2020-01-02,甘肃,0.0036
2020-01-02,吉林,0.0035
2020-01-02,天津,0.0035
2020-01-02,海南,0.0027
2020-01-02,内蒙古,0.0022
2020-01-02,宁夏,0.0015
2020-01-02,青海,0.0008
2020-01-02,西藏,0.0002
2020-01-03,浙江,0.5029
2020-01-03,福建,0.1031
2020-01-03,江苏,0.0634
2020-01-03,上海,0.0518
2020-01-03,江西,0.0367
2020-01-03,广东,0.0361
2020-01-03,安徽,0.0282
2020-01-03,湖北,0.0217
2020-01-03,山东,0.0193
2020-01-03,河南,0.0191
2020-01-03,贵州,0.0125
2020-01-03,河北,0.0125
2020-01-03,湖南,0.0117
2020-01-03,四川,0.0103
2020-01-03,北京,0.0086
2020-01-03,陕西,0.0071
2020-01-03,重庆,0.006999999999999999
2020-01-03,辽宁,0.0068000000000000005
2020-01-03,云南,0.0062
2020-01-03,广西,0.0048
2020-01-03,天津,0.0046
2020-01-03,山西,0.0044
2020-01-03,新疆,0.0043
2020-01-03,黑龙江,0.0033
2020-01-03,甘肃,0.003
2020-01-03,吉林,0.0028000000000000004
2020-01-03,内蒙古,0.0022
2020-01-03,海南,0.0013
2020-01-03,宁夏,0.0009
2020-01-03,青海,0.0008
2020-01-03,西藏,0.0003
2020-01-04,浙江,0.5157
2020-01-04,福建,0.1064
2020-01-04,江苏,0.0571
2020-01-04,上海,0.0437
2020-01-04,广东,0.0344
2020-01-04,江西,0.0338
2020-01-04,安徽,0.0277
2020-01-04,湖北,0.0216
2020-01-04,河南,0.0209
2020-01-04,山东,0.0169
2020-01-04,湖南,0.0118
2020-01-04,河北,0.0116
2020-01-04,贵州,0.0115
2020-01-04,四川,0.0101
2020-01-04,北京,0.0089
2020-01-04,云南,0.0079
2020-01-04,陕西,0.0074
2020-01-04,辽宁,0.006999999999999999
2020-01-04,山西,0.006999999999999999
2020-01-04,重庆,0.0068000000000000005
2020-01-04,广西,0.0052
2020-01-04,新疆,0.0042
2020-01-04,黑龙江,0.0035
2020-01-04,天津,0.0034
2020-01-04,海南,0.0029
2020-01-04,吉林,0.0027
2020-01-04,甘肃,0.0027
2020-01-04,内蒙古,0.0019
2020-01-04,宁夏,0.0013
2020-01-04,青海,0.0009
2020-01-04,西藏,0.0004
2020-01-05,浙江,0.5109
2020-01-05,福建,0.1067
2020-01-05,江苏,0.0636
2020-01-05,上海,0.0466
2020-01-05,广东,0.0382
2020-01-05,江西,0.0328
2020-01-05,安徽,0.0274
2020-01-05,湖北,0.021
2020-01-05,山东,0.0191
2020-01-05,河南,0.0184
2020-01-05,湖南,0.0116
2020-01-05,北京,0.0102
2020-01-05,四川,0.0096
2020-01-05,贵州,0.0092
2020-01-05,河北,0.0091
2020-01-05,云南,0.0088
2020-01-05,陕西,0.0077
2020-01-05,重庆,0.0067
2020-01-05,辽宁,0.0063
2020-01-05,广西,0.0063
2020-01-05,天津,0.0045000000000000005
2020-01-05,新疆,0.0039
2020-01-05,山西,0.0033
2020-01-05,吉林,0.0031
2020-01-05,黑龙江,0.003
2020-01-05,甘肃,0.0026
2020-01-05,内蒙古,0.0023
2020-01-05,海南,0.0017
2020-01-05,宁夏,0.0016
2020-01-05,青海,0.0006
2020-01-05,西藏,0.0003
2020-01-06,浙江,0.5129
2020-01-06,福建,0.0988
2020-01-06,江苏,0.064
2020-01-06,上海,0.0528
2020-01-06,广东,0.035
2020-01-06,江西,0.033
2020-01-06,安徽,0.0279
2020-01-06,湖北,0.0216
2020-01-06,山东,0.018000000000000002
2020-01-06,河南,0.015700000000000002
2020-01-06,河北,0.0127
2020-01-06,湖南,0.0123
2020-01-06,北京,0.0119
2020-01-06,四川,0.0096
2020-01-06,贵州,0.009000000000000001
2020-01-06,云南,0.008100000000000001
2020-01-06,陕西,0.0075
2020-01-06,辽宁,0.0075
2020-01-06,重庆,0.0058
2020-01-06,广西,0.005600000000000001
2020-01-06,山西,0.0044
2020-01-06,新疆,0.004
2020-01-06,天津,0.004
2020-01-06,吉林,0.0036
2020-01-06,甘肃,0.0028000000000000004
2020-01-06,黑龙江,0.0023
2020-01-06,海南,0.0021
2020-01-06,内蒙古,0.0021
2020-01-06,宁夏,0.0014000000000000002
