日期,省,比例
2020-01-01,浙江,0.339
2020-01-01,贵州,0.08529999999999999
2020-01-01,福建,0.085
2020-01-01,江西,0.0816
2020-01-01,湖北,0.0603
2020-01-01,安徽,0.0488
2020-01-01,湖南,0.0447
2020-01-01,河南,0.0376
2020-01-01,江苏,0.034300000000000004
2020-01-01,上海,0.0331
2020-01-01,四川,0.0321
2020-01-01,重庆,0.0288
2020-01-01,广东,0.0211
2020-01-01,云南,0.0189
2020-01-01,陕西,0.0084
2020-01-01,山东,0.0078
2020-01-01,广西,0.0069
2020-01-01,北京,0.0048
2020-01-01,河北,0.0035
2020-01-01,辽宁,0.003
2020-01-01,黑龙江,0.0025
2020-01-01,吉林,0.0018
2020-01-01,山西,0.0018
2020-01-01,甘肃,0.0015
2020-01-01,天津,0.0015
2020-01-01,海南,0.0012
2020-01-01,内蒙古,0.0007000000000000001
2020-01-01,新疆,0.0005
2020-01-01,宁夏,0.0002
2020-01-01,青海,0.0002
2020-01-02,浙江,0.2319
2020-01-02,贵州,0.1309
2020-01-02,江西,0.1073
2020-01-02,湖北,0.07440000000000001
2020-01-02,安徽,0.0587
2020-01-02,福建,0.0526
2020-01-02,湖南,0.052300000000000006
2020-01-02,河南,0.0493
2020-01-02,四川,0.0413
2020-01-02,重庆,0.040199999999999986
2020-01-02,江苏,0.0312
2020-01-02,上海,0.0302
2020-01-02,广东,0.0231
2020-01-02,云南,0.0206
2020-01-02,山东,0.0107
2020-01-02,陕西,0.008199999999999999
2020-01-02,广西,0.0064
2020-01-02,北京,0.0051
2020-01-02,河北,0.0049
2020-01-02,辽宁,0.0029
2020-01-02,黑龙江,0.0027
2020-01-02,甘肃,0.0026
2020-01-02,山西,0.0025
2020-01-02,海南,0.0022
2020-01-02,吉林,0.0016
2020-01-02,天津,0.0012
2020-01-02,内蒙古,0.0011
2020-01-02,新疆,0.0005
2020-01-02,宁夏,0.0004
2020-01-02,青海,0.0003
2020-01-03,浙江,0.2931
2020-01-03,江西,0.0985
2020-01-03,贵州,0.0951
2020-01-03,湖北,0.0704
2020-01-03,福建,0.0616
2020-01-03,安徽,0.0526
2020-01-03,湖南,0.0501
2020-01-03,河南,0.0447
2020-01-03,江苏,0.0381
2020-01-03,重庆,0.0342
2020-01-03,上海,0.0337
2020-01-03,四川,0.0336
2020-01-03,广东,0.0227
