日期,省,比例
2020-01-01,广东,0.1854
2020-01-01,河南,0.1213
2020-01-01,湖南,0.1138
2020-01-01,浙江,0.0939
2020-01-01,江西,0.0545
2020-01-01,江苏,0.0536
2020-01-01,重庆,0.052300000000000006
2020-01-01,安徽,0.0392
2020-01-01,陕西,0.0341
2020-01-01,上海,0.0309
2020-01-01,福建,0.0279
2020-01-01,北京,0.0277
2020-01-01,山东,0.0271
2020-01-01,河北,0.0248
2020-01-01,四川,0.0228
2020-01-01,广西,0.0125
2020-01-01,贵州,0.0111
2020-01-01,山西,0.0108
2020-01-01,云南,0.0092
2020-01-01,天津,0.0088
2020-01-01,海南,0.0068000000000000005
2020-01-01,甘肃,0.0055000000000000005
2020-01-01,辽宁,0.0054
2020-01-01,新疆,0.0051
2020-01-01,黑龙江,0.0033
2020-01-01,内蒙古,0.0026
2020-01-01,吉林,0.0025
2020-01-01,青海,0.0017
2020-01-01,宁夏,0.0016
2020-01-01,西藏,0.001
2020-01-02,广东,0.2364
2020-01-02,浙江,0.1073
2020-01-02,河南,0.0945
2020-01-02,湖南,0.0793
2020-01-02,江苏,0.06280000000000001
2020-01-02,江西,0.0378
2020-01-02,安徽,0.0352
2020-01-02,山东,0.0341
2020-01-02,重庆,0.0338
2020-01-02,福建,0.0315
2020-01-02,北京,0.0312
2020-01-02,上海,0.0308
2020-01-02,陕西,0.03
2020-01-02,河北,0.0288
2020-01-02,四川,0.0213
2020-01-02,广西,0.0124
2020-01-02,山西,0.0117
2020-01-02,贵州,0.0117
2020-01-02,天津,0.011200000000000002
2020-01-02,云南,0.0098
2020-01-02,海南,0.008
2020-01-02,辽宁,0.0074
2020-01-02,甘肃,0.0066
2020-01-02,新疆,0.0062
2020-01-02,黑龙江,0.0044
2020-01-02,吉林,0.004
2020-01-02,内蒙古,0.0036
2020-01-02,宁夏,0.0022
2020-01-02,青海,0.002
2020-01-02,西藏,0.001
2020-01-03,广东,0.21600000000000005
2020-01-03,河南,0.1035
2020-01-03,浙江,0.1034
2020-01-03,湖南,0.0928
2020-01-03,江苏,0.0611
2020-01-03,江西,0.049400000000000006
2020-01-03,重庆,0.0392
2020-01-03,安徽,0.0377
2020-01-03,山东,0.031400000000000004
2020-01-03,上海,0.031
2020-01-03,北京,0.031
2020-01-03,福建,0.0309
2020-01-03,陕西,0.03
2020-01-03,河北,0.0257
2020-01-03,四川,0.0209
2020-01-03,广西,0.0122
2020-01-03,山西,0.0115
2020-01-03,贵州,0.0109
2020-01-03,天津,0.0105
2020-01-03,云南,0.0087
2020-01-03,海南,0.0072
2020-01-03,辽宁,0.0069
2020-01-03,甘肃,0.0059
2020-01-03,新疆,0.0045000000000000005
2020-01-03,黑龙江,0.0038
2020-01-03,吉林,0.0032
2020-01-03,内蒙古,0.0031
