日期,省,比例,规模,规模/人口
2020-01-01,上海,0.2837,2.16713278008,8.941128238041406
2020-01-01,安徽,0.238,1.8180387792000001,2.8750059763425897
2020-01-01,浙江,0.13449999999999998,1.0274210748,1.790868179884957
2020-01-01,山东,0.1124,0.8586031881600001,0.8545662173492423
2020-01-01,河南,0.0496,0.37888539264000004,0.39446683252472675
2020-01-01,北京,0.0192,0.14666531328000001,0.6756590651863454
2020-01-01,广东,0.0191,0.14590143144,0.12859283574828134
2020-01-01,河北,0.0186,0.14208202224,0.18803120871325912
2020-01-01,湖北,0.016,0.12222109440000002,0.2065592266351192
2020-01-01,江西,0.0122,0.09319358448000002,0.20162606711235156
2020-01-01,陕西,0.0104,0.07944371136,0.20713063262624368
2020-01-01,福建,0.0099,0.07562430216000002,0.19189114986044156
2020-01-01,山西,0.0075,0.057291138000000005,0.1547426310316421
2020-01-01,四川,0.0075,0.057291138000000005,0.06868617431962595
2020-01-01,天津,0.0071,0.05423561064000001,0.3477533382918698
2020-01-01,湖南,0.0071,0.05423561064000001,0.07905835200139939
2020-01-01,辽宁,0.0066,0.05041620144,0.1156520575321726
2020-01-01,重庆,0.0051,0.03895797384000001,0.12779684572058408
2020-01-01,云南,0.0042,0.032083037280000004,0.0668326992604937
2020-01-01,广西,0.0041,0.03131915544,0.06411290775844422
2020-01-01,黑龙江,0.0037,0.028263628080000006,0.07459980489349911
2020-01-01,贵州,0.0037,0.028263628080000006,0.07894868178770952
2020-01-01,甘肃,0.0033,0.02520810072,0.09600489284802968
2020-01-01,吉林,0.0032,0.024444218880000004,0.08995344454134974
2020-01-01,新疆,0.0027,0.02062480968,0.08436643669697752
2020-01-01,海南,0.0026,0.01986092784,0.2145364656066367
2020-01-01,内蒙古,0.0024,0.018333164160000002,0.07234871412786109
2020-01-01,宁夏,0.0012,0.009166582080000001,0.13444876105545697
2020-01-01,青海,0.0009,0.00687493656,0.11489248571142084
2020-01-01,西藏,0.0003,0.0022916455200000002,0.06797109654456474
2020-01-02,上海,0.231,1.7613412739999998,7.266918920033994
2020-01-02,安徽,0.2025,1.544032935,2.441699245682839
2020-01-02,浙江,0.1318,1.0049557571999999,1.7517095297193652
2020-01-02,山东,0.1166,0.8890579763999998,0.8848778136085133
2020-01-02,河南,0.0623,0.4750284042,0.4945636691306611
2020-01-02,北京,0.0279,0.2127334266,0.9800222352236605
2020-01-02,河北,0.0276,0.21044597039999996,0.27850399057739894
2020-01-02,广东,0.0272,0.20739602879999997,0.18279219883659437
2020-01-02,湖北,0.0218,0.16622181719999998,0.28092245597431126
2020-01-02,江西,0.015,0.11437280999999998,0.24744771856948136
2020-01-02,陕西,0.0146,0.11132286839999998,0.2902479725924535
2020-01-02,福建,0.0126,0.0960731604,0.24377863587921847
2020-01-02,辽宁,0.0116,0.08844830639999998,0.20289566306517098
2020-01-02,四川,0.0111,0.08463587939999999,0.10146970315309914
2020-01-02,湖南,0.0102,0.0777735108,0.11336915949972305
2020-01-02,山西,0.0102,0.0777735108,0.21006525801180334
2020-01-02,天津,0.0093,0.07091114219999999,0.45467518722749417
2020-01-02,重庆,0.0067,0.05108652179999999,0.16758305685221572
2020-01-02,黑龙江,0.0061,0.0465116094,0.12276403357352127
2020-01-02,云南,0.0059,0.0449866386,0.09371240204145401
2020-01-02,吉林,0.0054,0.041174211599999996,0.15151894105827932
2020-01-02,贵州,0.0051,0.0388867554,0.1086222217877095
2020-01-02,甘肃,0.0049,0.037361784599999996,0.1422921213690773
2020-01-02,广西,0.0045000000000000005,0.034311843,0.07023918730808598
2020-01-02,新疆,0.0044,0.033549357599999996,0.137234708979126
2020-01-02,内蒙古,0.0034,0.025924503599999996,0.10230664404104181
2020-01-02,海南,0.0028000000000000004,0.0213495912,0.23061691151054267
2020-01-02,宁夏,0.0022,0.016774678799999998,0.24603879200340276
2020-01-02,青海,0.0017,0.012962251799999998,0.21662241050837255
2020-01-02,西藏,0.0003,0.0022874561999999994,0.06784683968559986
2020-01-03,上海,0.3386,4.233844242,17.467939507711094
2020-01-03,安徽,0.18,2.2507146,3.559229869061926
2020-01-03,浙江,0.1298,1.6230153059999999,2.829031385741677
2020-01-03,山东,0.1017,1.271653749,1.265674701709126
2020-01-03,河南,0.0506,0.632700882,0.6587203352420614
2020-01-03,北京,0.0231,0.28884170699999995,1.3306385359561428
2020-01-03,广东,0.0201,0.25132979699999997,0.22151401110523528
2020-01-03,河北,0.02,0.2500794,0.33095483239151435
2020-01-03,湖北,0.0172,0.21506828399999997,0.3634752137907723
