日期,省,比例,规模,规模/人口
2020-01-01,浙江,0.339,0.44798809320000005,0.7808751842426356
2020-01-01,贵州,0.08529999999999999,0.11272384763999999,0.31487108279329606
2020-01-01,福建,0.085,0.11232739800000001,0.28502257802588177
2020-01-01,江西,0.0816,0.10783430208000001,0.23330153410787308
2020-01-01,湖北,0.0603,0.07968637764,0.1346736143991888
2020-01-01,安徽,0.0488,0.06448914144000001,0.10198168992346132
2020-01-01,湖南,0.0447,0.05907099636,0.08610681373720884
2020-01-01,河南,0.0376,0.04968835488000001,0.051731759375325356
2020-01-01,江苏,0.034300000000000004,0.04532740884000001,0.05645250375499733
2020-01-01,上海,0.0331,0.04374161028,0.18046856678411405
2020-01-01,四川,0.0321,0.04242011148,0.05085734501858291
2020-01-01,重庆,0.0288,0.03805916544,0.12484841521701336
2020-01-01,广东,0.0211,0.027883624680000003,0.02457573125330513
2020-01-01,云南,0.0189,0.024976327320000002,0.05202859560462452
2020-01-01,陕西,0.0084,0.01110058992,0.028942155059132724
2020-01-01,山东,0.0078,0.01030769064,0.010259226056110933
2020-01-01,广西,0.0069,0.009118341720000001,0.018666001473899695
2020-01-01,北京,0.0048,0.00634319424,0.029221883447735752
2020-01-01,河北,0.0035,0.0046252458,0.006121045749904054
2020-01-01,辽宁,0.003,0.003964496400000001,0.009094341752116167
2020-01-01,黑龙江,0.0025,0.003303747,0.008720001583656664
2020-01-01,吉林,0.0018,0.00237869784,0.008753483401596361
2020-01-01,山西,0.0018,0.00237869784,0.006424832444258377
2020-01-01,甘肃,0.0015,0.0019822482000000003,0.007549379786800524
2020-01-01,天津,0.0015,0.0019822482000000003,0.012709978199538346
2020-01-01,海南,0.0012,0.00158579856,0.017129694089180778
2020-01-01,内蒙古,0.0007000000000000001,0.0009250491600000002,0.003650549171270719
2020-01-01,新疆,0.0005,0.0006607494000000001,0.0027028163310385458
2020-01-01,宁夏,0.0002,0.00026429976,0.003876556711010722
2020-01-01,青海,0.0002,0.00026429976,0.00441692168855911
2020-01-02,浙江,0.2319,0.40782100967999996,0.7108610940909883
2020-01-02,贵州,0.1309,0.23020168247999998,0.6430214594413407
2020-01-02,江西,0.1073,0.18869855256,0.408252855974557
2020-01-02,湖北,0.07440000000000001,0.13084037568,0.2211262053067433
2020-01-02,安徽,0.0587,0.10323024264,0.16324600328926558
2020-01-02,福建,0.0526,0.09250273871999999,0.23471895133214918
2020-01-02,湖南,0.052300000000000006,0.09197515656000001,0.13407066347919888
2020-01-02,河南,0.0493,0.08669933495999999,0.09026479433628316
2020-01-02,四川,0.0413,0.07263047736,0.08707646248651242
2020-01-02,重庆,0.040199999999999986,0.07069600943999997,0.23190957128751513
2020-01-02,江苏,0.0312,0.054868544639999996,0.06833540238875119
2020-01-02,上海,0.0302,0.05310993744,0.2191202891351525
2020-01-02,广东,0.0231,0.040623826319999994,0.0358045358011634
2020-01-02,云南,0.0206,0.03622730832,0.07546569798979273
