日期,省,比例,规模,规模/人口
2020-01-01,河南,0.15689999999999998,0.4018655851199999,0.41839207196251943
2020-01-01,湖南,0.1503,0.38496110543999995,0.5611514320865281
2020-01-01,广东,0.0943,0.24152915663999996,0.21287604145954517
2020-01-01,江西,0.0802,0.20541504095999996,0.4444192920101252
2020-01-01,重庆,0.0684,0.17519188032,0.5746954344367429
2020-01-01,安徽,0.057,0.1459932336,0.230870443418306
2020-01-01,江苏,0.0478,0.12242941344,0.15247831497141717
2020-01-01,浙江,0.0451,0.11551394447999999,0.20134904040439253
2020-01-01,陕西,0.0384,0.09835333631999998,0.2564329941805894
2020-01-01,四川,0.0306,0.07837531487999999,0.09396393103944371
2020-01-01,北京,0.03,0.076838544,0.35398048555765416
2020-01-01,上海,0.0282,0.07222823135999999,0.29799829753525475
2020-01-01,山东,0.0246,0.06300760607999999,0.06271135762657207
2020-01-01,福建,0.0206,0.05276246688,0.13388091063181934
2020-01-01,贵州,0.0195,0.0499450536,0.13951132290502793
2020-01-01,河北,0.0195,0.0499450536,0.0660972348900917
2020-01-01,广西,0.0149,0.03816314352,0.07812311877175025
2020-01-01,云南,0.0131,0.033552830879999995,0.06989445032809082
2020-01-01,山西,0.011,0.028174132799999994,0.07609797236890083
2020-01-01,海南,0.0094,0.024076077119999997,0.2600682371240926
2020-01-01,辽宁,0.0069,0.01767286512,0.040540603124354826
2020-01-01,甘肃,0.0066,0.016904479679999997,0.0643806044079506
2020-01-01,天津,0.0051,0.01306255248,0.0837557866119518
2020-01-01,黑龙江,0.0046,0.011781910079999998,0.031097500673054078
2020-01-01,新疆,0.0036,0.009220625279999999,0.03771725950741817
2020-01-01,内蒙古,0.003,0.0076838544,0.030323024467245458
2020-01-01,吉林,0.0025,0.006403211999999999,0.023563484615979065
2020-01-01,青海,0.0014000000000000002,0.00358579872,0.05992510979645042
2020-01-01,宁夏,0.0014000000000000002,0.00358579872,0.052593888440722214
2020-01-01,西藏,0.0005,0.0012806424,0.03798435117900044
2020-01-02,河南,0.1322,0.41332795344000006,0.43032582346694437
2020-01-02,湖南,0.12,0.375184224,0.5468998338240868
2020-01-02,广东,0.1057,0.33047477064,0.2912698489687996
2020-01-02,江西,0.0658,0.20572601616,0.4450920926851431
2020-01-02,安徽,0.0555,0.17352270360000002,0.27440493326586124
2020-01-02,重庆,0.0543,0.16977086136000002,0.5569124479158125
2020-01-02,江苏,0.0531,0.16601901912000003,0.20676649162442556
2020-01-02,浙江,0.0518,0.16195452336000002,0.2822982802161409
2020-01-02,四川,0.0365,0.1141185348,0.13681637069895697
2020-01-02,北京,0.0364,0.11380588128,0.5242819425991616
2020-01-02,陕西,0.0356,0.11130465312,0.29020048057067765
2020-01-02,山东,0.031400000000000004,0.09817320528000002,0.09771161560786845
2020-01-02,上海,0.0288,0.09004421376,0.3715032460041753
2020-01-02,贵州,0.0252,0.07878868704,0.22008013139664806
2020-01-02,福建,0.0251,0.07847603352,0.1991272101497082
2020-01-02,河北,0.022,0.0687837744,0.0910283794979024
2020-01-02,广西,0.021,0.06565723920000001,0.13440581207778918
2020-01-02,云南,0.0176,0.055027019520000005,0.11462768361628999
2020-01-02,山西,0.0145,0.04533476040000001,0.12244860804624093
2020-01-02,海南,0.0121,0.03783107592,0.4086488498098859
2020-01-02,甘肃,0.0109,0.03407923368,0.12979054686161076
2020-01-02,辽宁,0.008199999999999999,0.025637588639999997,0.058811250980662026
2020-01-02,新疆,0.0059,0.01844655768,0.0754562279571476
2020-01-02,黑龙江,0.0058,0.01813390416,0.04786313025576055
2020-01-02,天津,0.0053,0.01657063656,0.10624927263400874
2020-01-02,内蒙古,0.0046,0.014382061920000001,0.05675636116811365
2020-01-02,吉林,0.0031,0.00969225912,0.03566700566343935
2020-01-02,青海,0.003,0.0093796056,0.15674998495939035
2020-01-02,宁夏,0.0025,0.007816338,0.11464436263365553
2020-01-02,西藏,0.0009,0.00281388168,0.08346082396559396
2020-01-03,河南,0.14529999999999998,0.61843434552,0.6438670958042686
2020-01-03,湖南,0.1368,0.58225614912,0.8487451519197692
2020-01-03,广东,0.09539999999999996,0.4060470513599998,0.35787683003701726
2020-01-03,江西,0.0668,0.28431806112,0.6151274553125203
2020-01-03,重庆,0.064,0.2724005376,0.8935764888811618
2020-01-03,安徽,0.0578,0.24601173552,0.389037471566829
2020-01-03,江苏,0.0505,0.2149410492,0.2676958753565068
2020-01-03,浙江,0.0473,0.20132102232000001,0.35091689440474116
2020-01-03,四川,0.0355,0.1510971732,0.18114994988610478
2020-01-03,陕西,0.0342,0.14556403728,0.3795236981415431
2020-01-03,北京,0.0331,0.14088215303999999,0.6490171513336711
2020-01-03,上海,0.027999999999999997,0.1191752352,0.49169163537944854
2020-01-03,山东,0.0279,0.11874960936000001,0.11819127378265078
2020-01-03,贵州,0.0256,0.10896021504,0.3043581425698324
2020-01-03,福建,0.0235,0.10002207240000001,0.25379871200202997
2020-01-03,广西,0.0198,0.08427391632,0.1725156935926305
2020-01-03,河北,0.0195,0.0829970388,0.10983819964797586
2020-01-03,云南,0.015700000000000002,0.06682325688000001,0.13920061843557965
