日期,省,比例,规模,规模/人口
2020-01-01,广东,0.3194,0.84714347016,0.7466450468535166
2020-01-01,湖北,0.147,0.38988757079999997,0.6589277857022139
2020-01-01,江西,0.104,0.2758388256,0.5967824703057052
2020-01-01,广西,0.0741,0.19653516324,0.4023237732650973
2020-01-01,贵州,0.0697,0.18486505908,0.5163828465921788
2020-01-01,浙江,0.0322,0.08540394408,0.14886516311661147
2020-01-01,河南,0.03,0.079568892,0.0828411160853722
2020-01-01,重庆,0.0271,0.07187723244,0.23578442818106368
2020-01-01,江苏,0.0204,0.054106846560000005,0.067386754212696
2020-01-01,北京,0.0192,0.050924090879999995,0.2345975532316764
2020-01-01,福建,0.0182,0.048271794480000005,0.1224861570159858
2020-01-01,四川,0.0172,0.04561949808,0.05469308006234265
2020-01-01,上海,0.0161,0.04270197204,0.1761792408551931
2020-01-01,云南,0.0158,0.041906283120000005,0.08729566320174983
2020-01-01,安徽,0.0148,0.03925398672,0.06207537908786134
2020-01-01,山东,0.0119,0.03156232716,0.03141392776523702
2020-01-01,陕西,0.0105,0.0278491122,0.07260995400788436
2020-01-01,河北,0.0105,0.0278491122,0.0368554877387081
2020-01-01,海南,0.0094,0.02493158616,0.2693093907708261
2020-01-01,山西,0.0058,0.015383319119999999,0.041550148203168255
2020-01-01,辽宁,0.0032,0.00848734848,0.01946952143692795
2020-01-01,黑龙江,0.0031,0.008222118839999999,0.021701688811465673
2020-01-01,新疆,0.003,0.007956889200000001,0.03254790707948312
2020-01-01,天津,0.0029,0.0076916595599999995,0.04931815568094383
2020-01-01,甘肃,0.0028000000000000004,0.007426429920000001,0.0282835115835336
2020-01-01,内蒙古,0.0025,0.006630741,0.026167091554853986
2020-01-01,吉林,0.0017,0.00450890388,0.01659253000077279
2020-01-01,宁夏,0.0012,0.0031827556799999997,0.04668234617697531
2020-01-01,青海,0.0008,0.00212183712,0.03545969317156322
2020-01-01,西藏,0.0004,0.00106091856,0.03146725671066291
2020-01-02,广东,0.3064,0.9176156668800001,0.8087569776837652
2020-01-02,湖北,0.1217,0.36447071364000005,0.6159721372993072
2020-01-02,江西,0.0817,0.24467754564000002,0.5293644569351594
2020-01-02,广西,0.0675,0.20215097100000004,0.4138197973387923
2020-01-02,贵州,0.0622,0.18627837624000002,0.5203306598882682
2020-01-02,浙江,0.0369,0.11050919748000002,0.19262540958689214
2020-01-02,河南,0.035,0.10481902200000003,0.10912964289432589
2020-01-02,重庆,0.0274,0.08205832008000001,0.26918223505214167
2020-01-02,北京,0.0271,0.08115987132000001,0.373888014557516
2020-01-02,江苏,0.0262,0.07846452504000001,0.09772274674006452
2020-01-02,四川,0.0239,0.07157641788,0.08581275372257524
2020-01-02,福建,0.022,0.0658862424,0.1671815336209084
2020-01-02,云南,0.0212,0.06349037904,0.13225784614102698
2020-01-02,安徽,0.019,0.0569017548,0.0899831659181479
2020-01-02,上海,0.0182,0.05450589144000001,0.22487969799239205
2020-01-02,山东,0.0165,0.049414681800000006,0.049182344405030644
2020-01-02,海南,0.015,0.044922438,0.48524928707224335
2020-01-02,陕西,0.013500000000000002,0.04043019420000001,0.10541214097991368
2020-01-02,河北,0.0129,0.038633296680000005,0.05112726688987997
2020-01-02,山西,0.006999999999999999,0.0209638044,0.05662296757464854
2020-01-02,甘肃,0.0055000000000000005,0.016471560600000004,0.06273183481801115
2020-01-02,黑龙江,0.0055000000000000005,0.016471560600000004,0.04347549449679311
2020-01-02,辽宁,0.0046,0.01377621432,0.03160189553368661
2020-01-02,新疆,0.0035,0.0104819022,0.042876552663549686
2020-01-02,天津,0.0033,0.00988293636,0.06336840446268274
2020-01-02,吉林,0.0032,0.009583453440000002,0.035266606462723976
2020-01-02,内蒙古,0.0029,0.00868500468,0.03427389376479874
2020-01-02,青海,0.0017,0.00509120964,0.08508321869046426
2020-01-02,宁夏,0.001,0.0029948292000000006,0.0439259772070579
2020-01-02,西藏,0.0008,0.0023958633600000005,0.07106223817292008
2020-01-03,广东,0.2826,1.1398603176000002,1.0046362749867797
2020-01-03,湖北,0.1361,0.5489560836,0.9277608308264323
2020-01-03,江西,0.0964,0.3888270864,0.8412346907249951
2020-01-03,广西,0.0717,0.28920022920000005,0.5920168458546572
2020-01-03,贵州,0.0681,0.2746797156,0.7672617754189944
2020-01-03,河南,0.0372,0.1500453072,0.15621583258719418
2020-01-03,浙江,0.0337,0.13592814120000002,0.23693244064842256
2020-01-03,重庆,0.0305,0.12302101800000001,0.40355533176093933
2020-01-03,江苏,0.0235,0.09478668600000001,0.11805099572814567
2020-01-03,北京,0.0231,0.0931732956,0.4292315640116091
