日期,省,比例,规模,规模/人口
2020-01-01,四川,0.4407,0.09439635347999999,0.11317150639012108
2020-01-01,青海,0.1677,0.03592073628,0.6002997473177579
2020-01-01,云南,0.0588,0.012594748319999998,0.026236326049369856
2020-01-01,陕西,0.0508,0.010881177119999998,0.02837008822977285
2020-01-01,甘肃,0.0455,0.0097459362,0.03711733664418386
2020-01-01,重庆,0.0447,0.009574579079999998,0.03140823007252913
2020-01-01,河南,0.0388,0.008310820319999999,0.008652597938573658
2020-01-01,湖北,0.0166,0.00355566024,0.006009228054757478
2020-01-01,江苏,0.0131,0.00280597284,0.003494666832725144
2020-01-01,河北,0.013,0.0027845531999999996,0.0036850749705543712
2020-01-01,湖南,0.0113,0.0024204193199999996,0.0035282051835223457
2020-01-01,北京,0.0105,0.0022490622,0.010360999677523379
2020-01-01,广东,0.0102,0.00218480328,0.0019256154415653094
2020-01-01,安徽,0.0093,0.0019920265199999997,0.0031501463090644563
2020-01-01,贵州,0.0087,0.0018635086799999997,0.005205331508379887
2020-01-01,山西,0.008,0.0017135712,0.004628333896039003
2020-01-01,山东,0.0074,0.00158505336,0.0015776007739438892
2020-01-01,浙江,0.006,0.0012851784,0.0022401575736447623
2020-01-01,宁夏,0.0049,0.0010495623599999998,0.015394217574326402
2020-01-01,海南,0.0048,0.0010281427199999998,0.01110593155893536
2020-01-01,福建,0.0042,0.0008996248799999999,0.0022827325044404967
2020-01-01,上海,0.0036,0.0007711070399999999,0.003181423396512884
2020-01-01,新疆,0.0036,0.0007711070399999999,0.0031542377498803517
2020-01-01,江西,0.0034,0.0007282677599999999,0.0015756209515155445
2020-01-01,辽宁,0.0033,0.0007068481199999999,0.0016214716124148371
2020-01-01,广西,0.0024,0.0005140713599999999,0.0010523466939611054
2020-01-01,黑龙江,0.0024,0.0005140713599999999,0.0013568542244041491
2020-01-01,天津,0.0021,0.00044981243999999993,0.0028841526032315976
2020-01-01,内蒙古,0.0015,0.0003212946,0.001267934490923441
2020-01-01,吉林,0.0013,0.00027845531999999996,0.0010247009858579612
2020-01-02,四川,0.4387,0.13561462908,0.16258797395995683
2020-01-02,青海,0.1358,0.041979636720000005,0.7015548099869648
2020-01-02,甘肃,0.0617,0.01907322228,0.07264024694273168
2020-01-02,重庆,0.0616,0.019042309440000002,0.062465956049507464
2020-01-02,陕西,0.0493,0.01524003012,0.039734763469119576
2020-01-02,河南,0.0487,0.015054553080000001,0.0156736627589797
2020-01-02,云南,0.0438,0.013539823920000001,0.0282050284762004
2020-01-02,湖南,0.015700000000000002,0.004853315880000001,0.007074598233287661
2020-01-02,湖北,0.0154,0.0047605773600000005,0.008045592969410174
2020-01-02,安徽,0.0134,0.00414232056,0.006550573344297552
2020-01-02,北京,0.0125,0.0038641050000000005,0.017801193163495647
2020-01-02,河北,0.0118,0.00364771512,0.004827382607890105
2020-01-02,山东,0.0114,0.0035240637600000005,0.0035074943566591426
2020-01-02,广东,0.009000000000000001,0.0027821556000000008,0.0024521025912215763
2020-01-02,江苏,0.0088,0.0027203299200000003,0.0033880038359508304
2020-01-02,贵州,0.0088,0.0027203299200000003,0.007598686927374303
2020-01-02,海南,0.0069,0.00213298596,0.023040377203594885
2020-01-02,浙江,0.0062,0.0019165960800000001,0.0033407636046714315
2020-01-02,山西,0.0062,0.0019165960800000001,0.005176701500398396
2020-01-02,江西,0.005,0.001545642,0.0033440254429804635
2020-01-02,上海,0.0042,0.00129833928,0.005356671315053346
2020-01-02,黑龙江,0.0036,0.00111286224,0.002937319502731808
2020-01-02,宁夏,0.0033,0.0010201237200000001,0.014962433007230967
2020-01-02,广西,0.0032,0.00098921088,0.002024996683725691
2020-01-02,福建,0.0032,0.00098921088,0.002510050444049734
2020-01-02,新疆,0.0031,0.0009582980400000001,0.003919948459301255
2020-01-02,辽宁,0.003,0.0009273852000000001,0.0021273718257518413
2020-01-02,内蒙古,0.0016,0.00049460544,0.0019518762430939228
2020-01-02,天津,0.0015,0.0004636926000000001,0.002973150807899462
2020-01-02,吉林,0.0012,0.00037095408,0.0013650915754959648
2020-01-03,四川,0.4461,0.16915094892,0.20279456770171442
2020-01-03,青海,0.1463,0.05547362436,0.9270634773889501
2020-01-03,甘肃,0.0547,0.02074099284,0.07899194061796619
2020-01-03,重庆,0.054000000000000006,0.020475568800000003,0.06716758724983025
2020-01-03,云南,0.0514,0.01948970808,0.040599329403187175
2020-01-03,陕西,0.0508,0.01926220176,0.05022162192603717
2020-01-03,河南,0.047400000000000005,0.017972999280000002,0.018712128349817805
2020-01-03,湖北,0.0175,0.0066356010000000005,0.011214468480648979
2020-01-03,湖南,0.0145,0.0054980694000000005,0.008014444768374101
2020-01-03,山东,0.0119,0.00451220868,0.004490993227990971
2020-01-03,安徽,0.0115,0.0043605378,0.00689565722057056
2020-01-03,广东,0.011200000000000002,0.004246784640000001,0.0037429795875198314
2020-01-03,北京,0.0109,0.0041330314799999995,0.019040086055189566
2020-01-03,贵州,0.0088,0.00333675936,0.00932055687150838
2020-01-03,河北,0.0085,0.0032230062,0.004265323240210156
2020-01-03,江苏,0.0083,0.00314717076,0.003919607886117096
2020-01-03,浙江,0.006999999999999999,0.0026542403999999997,0.0046265302422869095
