日期,省,比例,规模,规模/人口
2020-01-01,浙江,0.192,0.5924689919999999,1.032715691127767
2020-01-01,广东,0.1636,0.5048329535999999,0.4449435515600211
2020-01-01,云南,0.1311,0.40454523359999994,0.8427147872096655
2020-01-01,重庆,0.1078,0.3326466528,1.0912064662793635
2020-01-01,四川,0.0977,0.30148031519999996,0.36144384989809375
2020-01-01,湖南,0.0599,0.1848379824,0.26943526777644966
2020-01-01,广西,0.054000000000000006,0.166631904,0.34110932241555786
2020-01-01,福建,0.0497,0.15336306719999998,0.3891475950266429
2020-01-01,江苏,0.0325,0.10028772,0.12490219570821864
2020-01-01,湖北,0.016200000000000003,0.0499895712,0.08448465641372317
2020-01-01,上海,0.0123,0.0379550448,0.15659443018755825
2020-01-01,江西,0.0122,0.0376464672,0.08144883754137729
2020-01-01,河南,0.0102,0.0314749152,0.03276930265486726
2020-01-01,山东,0.0099,0.0305491824,0.030405546597871657
2020-01-01,北京,0.008100000000000001,0.0249947856,0.11514619984336849
2020-01-01,安徽,0.0066,0.0203661216,0.032206530457334424
2020-01-01,陕西,0.0063,0.019440388799999996,0.0506862023653088
2020-01-01,海南,0.0062,0.019131811199999998,0.20666059453854127
2020-01-01,河北,0.005600000000000001,0.0172803456,0.02286879239839604
2020-01-01,黑龙江,0.0034,0.010491638399999998,0.027691921767360832
2020-01-01,天津,0.003,0.009257327999999999,0.059357065914337
2020-01-01,辽宁,0.0025,0.0077144399999999995,0.01769651090771454
2020-01-01,山西,0.0021,0.006480129599999999,0.01750274717409213
2020-01-01,内蒙古,0.0013,0.004011508799999999,0.01583073717442778
2020-01-01,甘肃,0.0013,0.004011508799999999,0.01527780600294777
2020-01-01,吉林,0.001,0.0030857759999999997,0.011355493977765755
2020-01-01,新疆,0.0008,0.0024686207999999998,0.01009797150535655
2020-01-01,西藏,0.0006,0.0018514655999999996,0.054915189084977
2020-01-01,宁夏,0.0005,0.0015428879999999999,0.022629959371654025
2020-01-01,青海,0.0001,0.00030857759999999997,0.005156883585681339
2020-01-02,浙江,0.25370000000000004,1.04413847688,1.8200078035210039
2020-01-02,广东,0.20010000000000008,0.8235400442400003,0.7258417453199367
2020-01-02,云南,0.0783,0.32225479991999995,0.6712942400166648
2020-01-02,重庆,0.0759,0.31237725815999995,1.0247152080251145
2020-01-02,四川,0.0694,0.28562558256,0.34243565826639494
2020-01-02,福建,0.0645,0.2654589348,0.6735826815529053
2020-01-02,湖南,0.0452,0.18602703647999996,0.27116853222938103
2020-01-02,江苏,0.0437,0.17985357288,0.22399657863076483
2020-01-02,广西,0.0335,0.1378740204,0.2822395504605936
