日期,省,比例,规模,规模/人口
2020-01-01,甘肃,0.4775,0.175240017,0.6674005011977713
2020-01-01,四川,0.0842,0.03090096216,0.037047071286416496
2020-01-01,陕西,0.073,0.0267906204,0.06985018772292097
2020-01-01,河南,0.0467,0.01713865716,0.017843474398750652
2020-01-01,西藏,0.038,0.0139458024,0.4136379178407237
2020-01-01,新疆,0.0316,0.011597035680000001,0.04743804145344771
2020-01-01,宁夏,0.0252,0.00924826896,0.1356468848179058
2020-01-01,北京,0.0222,0.00814728456,0.037532982724466764
2020-01-01,山东,0.0209,0.007670191319999999,0.007634127700741696
2020-01-01,江苏,0.0202,0.00741329496,0.009232803556972587
2020-01-01,广东,0.0188,0.006899502240000001,0.0060809996827075625
2020-01-01,湖北,0.0165,0.0060554142,0.010233926314010478
2020-01-01,河北,0.0152,0.00557832096,0.007382344480764395
2020-01-01,内蒙古,0.012,0.0044039376,0.017379390686661406
2020-01-01,山西,0.0118,0.00433053864,0.0116967294826259
2020-01-01,重庆,0.0107,0.00392684436,0.012881530361530362
2020-01-01,海南,0.0105,0.0038534454,0.04162466946076737
2020-01-01,浙江,0.0105,0.0038534454,0.0067168300505490676
2020-01-01,安徽,0.0092,0.0033763521600000002,0.005339288000506041
2020-01-01,云南,0.0083,0.0030460568400000002,0.006345290782210187
2020-01-01,上海,0.0066,0.00242216568,0.009993339659540055
2020-01-01,福建,0.0052,0.00190837296,0.004842357168231413
2020-01-01,湖南,0.004699999999999999,0.0017248755599999998,0.002514322556193697
2020-01-01,江西,0.0037,0.0013578807600000001,0.002937800480301162
2020-01-01,辽宁,0.0034,0.00124778232,0.002862345605945909
2020-01-01,天津,0.0034,0.00124778232,0.008000656065657861
2020-01-01,广西,0.0027,0.00099088596,0.00202842571136131
2020-01-01,黑龙江,0.0024,0.0008807875199999999,0.0023247750415709874
2020-01-01,吉林,0.002,0.0007339896,0.002701043265143904
2020-01-01,贵州,0.0012,0.00044039375999999997,0.0012301501675977653
2020-01-02,甘肃,0.3371,0.14385418884,0.5478677722977785
2020-01-02,四川,0.1073,0.045789244920000007,0.0548965890420813
2020-01-02,陕西,0.0892,0.03806524368,0.09924609348601464
2020-01-02,河南,0.0687,0.02931706548,0.030522712628839148
2020-01-02,西藏,0.0396,0.016898919840000002,0.501228528548124
2020-01-02,山东,0.0328,0.013997085120000002,0.013931273782650761
2020-01-02,江苏,0.0305,0.0130155822,0.016210108228612706
2020-01-02,广东,0.0269,0.01147931676,0.010117501110523532
2020-01-02,北京,0.0269,0.01147931676,0.05288301819689501
2020-01-02,河北,0.0236,0.01007107344,0.013328048701083863
2020-01-02,湖北,0.0223,0.00951631092,0.016082999695791786
2020-01-02,安徽,0.022,0.0093882888,0.014846430514264026
2020-01-02,宁夏,0.0206,0.00879085224,0.1289378289502633
2020-01-02,新疆,0.0199,0.00849213396,0.03473734270883187
2020-01-02,浙江,0.016399999999999998,0.0069985425599999995,0.012198958619487537
2020-01-02,重庆,0.0154,0.006571802160000001,0.021557989391260423
2020-01-02,山西,0.0154,0.006571802160000001,0.01775035358623577
2020-01-02,海南,0.0151,0.00644378004,0.06960529770134809
2020-01-02,内蒙古,0.0107,0.00456612228,0.01801942494080505
2020-01-02,湖南,0.0097,0.00413938188,0.006033908457479374
2020-01-02,云南,0.009000000000000001,0.0038406636000000004,0.008000549109467766
2020-01-02,福建,0.008199999999999999,0.0034992712799999997,0.00887914559756407
2020-01-02,上海,0.0074,0.0031578789600000003,0.013028735941380818
2020-01-02,广西,0.004699999999999999,0.0020056798799999997,0.0041057929989764584
2020-01-02,贵州,0.004,0.0017069616,0.0047680491620111735
2020-01-02,天津,0.0035,0.0014935914000000002,0.009576759425493719
2020-01-02,吉林,0.0031,0.00132289524,0.004868185160243318
2020-01-02,辽宁,0.003,0.0012802212,0.0029367586539123256
2020-01-02,江西,0.0028000000000000004,0.0011948731200000003,0.002585130395274876
2020-01-02,黑龙江,0.0022,0.0009388288800000001,0.002477971019083063
2020-01-03,甘肃,0.4087,0.24959619612,0.9505855411298277
