排名	城市	常住流动人口数量（万人）	地区
1	上海	972.69	上海
2	广州	967.33	广东
3	深圳	818.11	广东
4	北京	794.3	北京
5	苏州	538	江苏
6	天津	498.23	天津
7	杭州	450.44	浙江
8	成都	437	四川
9	宁波	430	浙江
10	东莞	415.86	广东
11	佛山	360.09	广东
12	郑州	340	河南
13	金华	300	浙江
14	温州	297	浙江
15	武汉	287	湖北
16	嘉兴	247	浙江
17	厦门	221.02	福建
18	昆明	219	云南
19	泉州	204.07	福建
20	济南	203	山东
21	南京	200	江苏
22	长沙	200	湖南
23	无锡	190	江苏
24	常州	170	江苏
25	重庆	167.65	重庆
26	惠州	163	广东
27	中山	162.45	广东
28	青岛	161	山东
29	合肥	158	安徽
30	南宁	130	广西
31	福州	127.87	福建
32	西安	126	陕西
33	台州	124.28	浙江
34	长春	120	吉林
35	贵阳	120	贵州
36	大连	120	辽宁
37	哈尔滨	113.39	黑龙江
38	乌鲁木齐	110	新疆
39	榆林	107.18	陕西
40	太原	100	山西
41	珠海	100	广东
42	沈阳	90.7	辽宁
43	石家庄	89.28	河北
44	南昌	80	江西
45	绍兴	79	浙江
46	呼和浩特	63.4	内蒙古
47	兰州	59	甘肃
48	江门	59	广东
49	烟台	50.6	山东
50	鄂尔多斯	50	内蒙古
51	大庆	50	黑龙江
52	柳州	42.1	广西
53	唐山	39	河北
54	咸阳	36.49	陕西
55	海口	31.65	海南
56	三亚	20	海南
