省会 东经 北纬 地区
北京 E116°28′ N39°54′ 北京
上海 E121°29′ N31°14′ 上海
天津 E117°11′ N39°09′ 天津
重庆 E106°32′ N29°32′ 重庆
哈尔滨 E126°41′ N45°45′ 黑龙江
长春 E125°19′ N43°52′ 吉林
沈阳 E123°24′ N41°50′ 辽宁
呼和浩特 E111°48′ N40°49′ 内蒙古
石家庄 E114°28′ N38°02′ 河北
太原 E112°34′ N37°52′ 山西
济南 E117° N36°38′ 山东
郑州 E113°42′ N34°48′ 河南
西安 E108°54′ N34°16′ 陕西
兰州 E103°49′ N36°03′ 甘肃
银川 E106°16′ N38°20′ 宁夏
西宁 E101°45′ N36°38′ 青海
乌鲁木齐 E87°36′ N43°48′ 新疆
合肥 E117°18′ N31°51′ 安徽
南京 E118°50′ N32°02′ 江苏
杭州 E120°09′ N30°14′ 浙江
长沙 E113° N28°11′ 湖南
南昌 E115°52′ N28°41′ 江西
武汉 E114°21′ N30°37′ 湖北
成都 E104°05′ N30°39′ 四川
贵阳 E106°42′ N26°35′ 贵州
福州 E119°18′ N26°05′ 福建
台北 E121°31′ N25°03′ 台湾
广州 E113°15′ N23°08′ 广东
海口 E110°20′ N20°02′ 海南
南宁 E108°20′ N22°48′ 广西
昆明 E102°41′ N25° 云南
拉萨 E91°10′ N29°40′ 西藏
香港 E114°10′ N22°18′ 香港
澳门 E113°33′ N22°13′ 澳门
