,北京,上海,天津,重庆,黑龙江,吉林,辽宁,内蒙古,河北,山西,山东,河南,陕西,甘肃,宁夏,青海,新疆,安徽,江苏,浙江,湖南,江西,湖北,四川,贵州,福建,台湾,广东,海南,广西,云南,西藏,香港,澳门,武汉
北京,0.0,1063.2119817609375,103.58906895730271,1464.3534443658305,1057.0058086727458,855.853839621195,622.4670101533729,409.21590005075274,270.1461640034077,406.7091410403652,365.5944501758005,616.7297406039563,917.7502476756094,1189.4251397349447,898.583018923464,1336.1833364322026,2423.247607698669,896.3572506591752,898.4984358839478,1123.5390346295464,1338.1876448284422,1245.4697524322892,1047.7088303619114,1521.1792879416953,1732.2709377564283,1554.8216715962783,1713.0567489713587,1883.6815959072935,2278.975814943442,2045.5278511700399,2094.4290854561123,2566.5911418123733,1963.500779750247,1979.971010275277,1047.7088303619114
上海,1063.2119817609375,0.0,961.3358490019763,1448.0548467646422,1673.1211025883022,1442.0454535059753,1188.6434304843,1373.7961438675445,990.777572791456,1099.562407347748,728.1946871663127,827.4769971017421,1225.3339193591955,1720.8497882258039,1596.9799126473233,1916.0790447856361,3274.0425938847725,403.0636743892225,266.5787317216457,169.10123083370127,887.4539784038589,611.2959236200522,685.0930393506926,1662.3281759286624,1529.4899773179063,609.3298939821858,685.2593108156044,1212.021185177378,1669.102562260359,1602.8809506560913,1968.8205871464438,2907.9582100280663,1227.7098435977666,1272.272491508462,685.0930393506926
天津,103.58906895730271,961.3358490019763,0.0,1446.3681151245403,1070.1611866696405,856.8939800550384,605.2085154590378,495.54580328125934,267.1604605145543,427.071744117227,279.800983559675,573.6825627686088,916.6363810994421,1228.1539997091627,952.8364100000082,1384.1557547541258,2510.255994351874,810.0058409174085,803.5963932522125,1025.6681386677851,1276.3449577149893,1167.3098396754135,981.31761605969,1521.2760535298873,1701.635394850529,1462.5124643426125,1615.599793221502,1814.4988497942632,2218.730447928568,1997.58973536005,2076.6945782636462,2600.944314789648,1890.0166069648778,1908.890967424966,981.31761605969
重庆,1464.3534443658305,1448.0548467646422,1446.3681151245403,0.0,2516.1452661916883,2301.938754294504,2040.8405115436642,1339.9006515569217,1194.2363093346512,1079.7405607084918,1253.5729156832424,892.8307805911021,570.554154829931,766.0955715659273,976.4236904193409,904.925112017399,2307.0629857688787,1062.5236266778231,1208.7680249886073,1316.8558124146873,648.3573330387798,913.098985351919,762.9742483019972,266.63760286254063,327.3307320447649,1313.90347527114,1562.8015426354425,975.4575991973015,1120.044958747474,767.3514727594999,630.492493542822,1487.5609552559044,1107.0523829286233,1072.5359236126847,762.9742483019972
黑龙江,1057.0058086727458,1673.1211025883022,1070.1611866696405,2516.1452661916883,0.0,235.55762544755817,509.0184937959905,1323.8249715201716,1324.955391646528,1460.2364311993076,1296.0432419710728,1638.2312158396273,1974.717546257691,2196.0714713734374,1873.1858320997214,2310.7420528346947,3070.322042624173,1742.2159325089885,1666.0561590051043,1813.8038470846213,2291.5693767396783,2118.8950021139444,1992.0356031999925,2577.4917257782595,2768.664987843942,2279.1909725905953,2342.865444960482,2787.2559151835694,3221.9926274207705,3039.2193214145427,3146.6001003146066,3562.860315988086,2838.434304517034,2869.841527716589,1992.0356031999925
吉林,855.853839621195,1442.0454535059753,856.8939800550384,2301.938754294504,235.55762544755817,0.0,274.8764410332863,1162.6757154771406,1118.3984308056833,1262.4816645356673,1069.267886040521,1417.279502155495,1770.5556107063778,2023.7127425283304,1709.3716703650273,2150.532750027612,3006.771077923529,1507.0597777868745,1430.5526085375514,1580.4159744087658,2058.9486325131375,1883.5970006111427,1759.7352405144763,2375.1447968947264,2546.797687145588,2046.5198888325701,2115.7836912379084,2551.9480587986222,2987.5307643471297,2808.730191694031,2931.7050829383165,3398.6918762862497,2602.876705384335,2634.334168522641,1759.7352405144763
辽宁,622.4670101533729,1188.6434304843,605.2085154590378,2040.8405115436642,509.0184937959905,274.8764410332863,0.0,976.9381811729816,871.7485186753086,1025.384359705021,798.6688216126395,1151.463988658583,1521.575182393465,1810.086544116268,1509.2149931992974,1950.270705413845,2913.097793360381,1233.441012587327,1160.6978707391652,1319.7614262701322,1784.1184389859293,1610.3105318554049,1484.9819175976631,2125.951987929458,2278.487542533801,1787.0813310940207,1869.6148081342596,2278.643592963134,2713.0220550431454,2534.519246443772,2669.170354510566,3187.8055553114505,2331.4231027168657,2361.9475708645045,1484.9819175976631
内蒙古,409.21590005075274,1373.7961438675445,495.54580328125934,1339.9006515569217,1323.8249715201716,1162.6757154771406,976.9381811729816,0.0,384.93992550241046,334.11295564341486,647.9357269872996,688.3962159098224,770.6945675742597,874.4909399459398,549.429295844045,988.7850682818054,2015.1462937485069,1110.1722209738236,1159.98302782347,1395.6837710869154,1405.7389158776405,1396.1351994666593,1154.8627835193556,1325.253077058562,1647.198664129216,1774.8982777391373,1967.5011246908134,1965.6109801270204,2308.365075750443,2024.1351106534796,1947.696304768136,2239.7694865020785,2065.223794843337,2068.983462083095,1154.8627835193556
河北,270.1461640034077,990.777572791456,267.1604605145543,1194.2363093346512,1324.955391646528,1118.3984308056833,871.7485186753086,384.93992550241046,0.0,168.0134009992591,273.01304317839566,365.31747182032325,652.1835813772291,972.079652026315,718.9641252827162,1136.710457842233,2340.468497916655,733.0729221639775,775.5494716966825,1011.1080712003646,1100.9351317053436,1045.138365433793,822.7921143587857,1256.8881386638325,1463.9172669180575,1400.933572309737,1586.3159748185296,1655.9636786134768,2034.7227780336543,1787.4791340915567,1824.3914404464358,2339.122242531081,1744.4140714037492,1755.6007619904478,822.7921143587857
山西,406.7091410403652,1099.562407347748,427.071744117227,1079.7405607084918,1460.2364311993076,1262.4816645356673,1025.384359705021,334.11295564341486,168.0134009992591,0.0,416.40575023326403,355.1716301471845,518.2398067870586,804.5829145939452,554.9048186013009,968.7925700622651,2196.7409517527685,795.2491310736665,863.5172088581302,1097.8299126006495,1074.6984359828957,1063.6917578634482,820.7784750431808,1117.61584213286,1367.1694075151922,1452.2702420183448,1654.181215402647,1634.6969736520955,1988.4106968975275,1718.630715567783,1705.7788287670874,2174.228172690794,1732.4733136175857,1737.4641625687284,820.7784750431808
