地区,人口,GDP,人均GDP,流动人口,流动人口占比,面积,人均面积,海拔,北纬,东经,距离武汉
全国,1395380000.0,90030000000000.0,64520.059052014505,54776300.0,0.0,964.9988215499999,,,,,
广东,113460000.0,9727777000000.0,85737.5022034197,590000.0,0.005200070509430637,17.97,1583.818085668958,6.6,23.133333333333333,113.25,836.3269806945693
山东,100472400.0,7646967000000.0,76110.12576588197,506000.0,0.005036208948925277,15.38,1530.7686489025843,51.6,36.63333333333333,117.0,711.1106486029196
河南,96050000.0,4805586000000.0,50032.12909942738,3400000.0,0.035398230088495575,16.7,1738.6777719937531,110.4,34.8,113.7,467.9113527241792
四川,83410000.0,4067812999999.9995,48768.888622467326,4370000.0,0.05239179954441914,48.14,5771.49022898933,505.9,30.65,104.08333333333333,983.9062852391351
江苏,80293000.0,9259540000000.0,115321.8836013102,1700000.0,0.02117245588033826,10.26,1277.8199843074738,8.9,32.03333333333333,118.83333333333333,454.6601205328845
河北,75563000.0,3601026999999.9995,47655.955957280676,390000.0,0.005161256170347922,18.77,2484.019956857192,80.5,38.03333333333333,114.46666666666667,822.7921143587857
湖南,68602000.0,3642578000000.0,53097.25663974811,2000000.0,0.029153668989242296,21.18,3087.373545960759,44.9,28.183333333333334,113.0,299.85244580308284
安徽,63236000.0,3000682000000.0,47452.11588335758,1580000.0,0.02498576760073376,13.97,2209.184641659814,29.8,31.85,117.3,312.5323674620964
湖北,59170000.0,3936655000000.0005,66531.2658441778,2870000.0,0.04850430961635964,18.59,3141.794828460368,23.3,30.616666666666667,114.35,0.0
浙江,57370000.0,5619715000000.0,97955.63883562837,790000.0,0.013770263203765034,10.2,1777.9327174481434,41.7,30.233333333333334,120.15,558.7756208563001
广西,48850000.0,2035250999999.9998,41663.27533265097,421000.0,0.008618219037871034,23.67,4845.445240532242,72.2,22.8,108.33333333333333,1052.388881886975
云南,48005000.0,1788112000000.0,37248.453286116026,2190000.0,0.045620247890844706,38.33,7984.584939068846,1891.4,25.0,102.68333333333334,1306.1397811091626
江西,46221000.0,2198478000000.0,47564.48367625105,800000.0,0.017308149975119536,16.69,3610.9127885593134,46.7,28.683333333333334,115.86666666666666,259.78078510491787
辽宁,43593000.0,2531535000000.0,58072.052852522196,907000.0,0.020806092721308466,14.59,3346.867616360425,41.6,41.833333333333336,123.4,1484.9819175976631
福建,39410000.0,3580404000000.0,90850.13955848769,1278700.0,0.032446079675209336,12.13,3077.8990104034515,84.0,26.083333333333332,119.3,698.338061560427
陕西,38354400.0,2443832000000.0,63717.122416202576,364900.0,0.009513901925202845,20.56,5360.532298771456,396.9,34.266666666666666,108.9,652.8718749465996
黑龙江,37887000.0,1636162000000.0,43185.31422387627,500000.0,0.013197138860295088,45.48,12004.11750732441,171.7,45.75,126.68333333333334,1992.0356031999925
山西,37023500.0,1681811000000.0,45425.5000202574,1000000.0,0.02700987210825557,15.63,4221.643010520345,777.9,37.86666666666667,112.56666666666666,820.7784750431808
贵州,35800000.0,1480645000000.0,41358.79888268156,1200000.0,0.0335195530726257,17.6167,4920.865921787709,1071.2,26.583333333333332,106.7,871.2539208164027
重庆,30484300.0,2036318999999.9998,66798.94240641904,1676500.0,0.05499552228524191,8.2402,2703.0963479561606,259.1,29.533333333333335,106.53333333333333,762.9742483019972
吉林,27174300.0,1507462000000.0,55473.811652922064,1200000.0,0.04415937117055453,18.74,6896.221797801599,236.8,43.86666666666667,125.31666666666666,1759.7352405144763
甘肃,26257100.0,824607000000.0,31405.10566665778,590000.0,0.02247011284566841,45.44,17305.79538486733,1520.0,36.05,103.81666666666666,1149.9358574285293
内蒙古,25340000.0,1728922000000.0,68228.96606156275,500000.0,0.01973164956590371,118.3,46685.08287292818,1063.0,40.81666666666667,111.8,1154.8627835193556
新疆,24446700.0,1219908000000.0,49900.72279694192,1100000.0,0.044995848110378905,166.0,67902.82533020816,917.9,43.8,87.6,2770.0296885247576
上海,24237800.000000004,3267987000000.0,134830.18260733233,9726900.0,0.40131117510665154,0.63,259.924580613752,4.5,31.233333333333334,121.48333333333333,685.0930393506926
台湾,23690000.0,3900104000000.0,164630.81468974252,0.0,0.0,3.61928155,1527.7676445757706,9.0,25.05,121.51666666666667,937.0859877648901
北京,21707000.0,3031998000000.0,139678.3526051504,7943000.0,0.3659188280278251,1.68,773.9438890680426,31.2,39.9,116.46666666666667,1047.7088303619114
天津,15596000.0,1880964000000.0,120605.53988202102,4982300.0,0.31946011797896895,1.13,724.5447550654013,3.3,39.15,117.18333333333334,981.31761605969
武汉,10914000.0,1484729000000.0,136038.94080996886,2870000.0,0.26296499908374565,0.85,778.816199376947,23.3,30.616666666666667,114.35,0.0
海南,9257600.0,483205000000.0,52195.49343242309,200000.0,0.021603871413757345,3.54,3823.8852402350503,14.1,20.033333333333335,110.33333333333333,1239.888698859467
香港,7482500.0,2400098000000.0,320761.51019044436,0.0,0.0,0.1101,147.14333444704312,32.0,22.3,114.16666666666667,921.636262401836
宁夏,6817900.0,370518000000.0,54344.88625529855,0.0,0.0,6.64,9739.06921486088,1111.5,38.333333333333336,106.26666666666667,1132.2151212228036
青海,5983800.0,286523000000.0,47883.11775126174,0.0,0.0,72.23,120709.24830375347,2261.2,36.63333333333333,101.75,1344.474540139298
西藏,3371500.0,147763000000.0,43827.07993474715,0.0,0.0,122.84,364348.2129615898,3658.0,29.666666666666668,91.16666666666667,2232.2356607779666
澳门,632000.0,360900000000.0,571044.3037974683,0.0,0.0,0.0025399999999999997,40.189873417721515,19.0,22.216666666666665,113.55,934.088338334293
